Doculect1	Doculect2	SharedCognateCount
ABSMissong1	AGAMissong2	111
ABSMissong1	AOMNgun2	78
ABSMissong1	APBMumfu1	18
ABSMissong1	BAAMashi4	27
ABSMissong1	BKBMashi2	26
ABSMissong1	BNMKung2	19
ABSMissong1	CENMundabli2	19
ABSMissong1	DNMMumfu2	21
ABSMissong1	DPNFang13	17
ABSMissong1	ECLAbar8	84
ABSMissong1	ENBBiya1	62
ABSMissong1	FBCBiya8	71
ABSMissong1	ICNBiya2	55
ABSMissong1	JGYKoshin3	25
ABSMissong1	KBMNgun4	75
ABSMissong1	KCSKung3	28
ABSMissong1	KCYBuu2	40
ABSMissong1	KDCAjumbu10	26
ABSMissong1	KDVFang1	13
ABSMissong1	KEMBuu1	40
ABSMissong1	KFKMashi1	28
ABSMissong1	KHKFang12	16
ABSMissong1	KJSFang2	14
ABSMissong1	KMNAjumbu2	27
ABSMissong1	LFNMundabli1	19
ABSMissong1	MCANgun3	71
ABSMissong1	MEAMumfu3	20
ABSMissong1	MNJBuu4	44
ABSMissong1	MRYKoshin2	17
ABSMissong1	NACAbar2	76
ABSMissong1	NCCMumfu4	19
ABSMissong1	NCMMashi5	27
ABSMissong1	NDNMissong5	112
ABSMissong1	NEAMunken1	71
ABSMissong1	NEMAjumbu9	23
ABSMissong1	NFKBiya7	66
ABSMissong1	NGTMunken3	72
ABSMissong1	NINMundabli4	20
ABSMissong1	NJNBiya6	74
ABSMissong1	NJSKung4	26
ABSMissong1	NMAAbar1	68
ABSMissong1	NMNMundabli3	18
ABSMissong1	NMSMissong4	111
ABSMissong1	NNBBuu3	43
ABSMissong1	NSFBiya5	69
ABSMissong1	NUNMunken4	76
ABSMissong1	NVBAbar7	87
ABSMissong1	NVIAjumbu1	23
ABSMissong1	TELKoshin4	26
ABSMissong1	TNTMunken2	69
ABSMissong1	WCANgun1	77
ABSMissong1	ZKGKung1	17
AGAMissong2	AOMNgun2	78
AGAMissong2	APBMumfu1	19
AGAMissong2	BAAMashi4	25
AGAMissong2	BKBMashi2	24
AGAMissong2	BNMKung2	19
AGAMissong2	CENMundabli2	21
AGAMissong2	DNMMumfu2	19
AGAMissong2	DPNFang13	17
AGAMissong2	ECLAbar8	82
AGAMissong2	ENBBiya1	65
AGAMissong2	FBCBiya8	73
AGAMissong2	ICNBiya2	56
AGAMissong2	JGYKoshin3	23
AGAMissong2	KBMNgun4	79
AGAMissong2	KCSKung3	30
AGAMissong2	KCYBuu2	39
AGAMissong2	KDCAjumbu10	26
AGAMissong2	KDVFang1	13
AGAMissong2	KEMBuu1	43
AGAMissong2	KFKMashi1	26
AGAMissong2	KHKFang12	17
AGAMissong2	KJSFang2	15
AGAMissong2	KMNAjumbu2	26
AGAMissong2	LFNMundabli1	21
AGAMissong2	MCANgun3	74
AGAMissong2	MEAMumfu3	20
AGAMissong2	MNJBuu4	42
AGAMissong2	MRYKoshin2	17
AGAMissong2	NACAbar2	74
AGAMissong2	NCCMumfu4	21
AGAMissong2	NCMMashi5	26
AGAMissong2	NDNMissong5	117
AGAMissong2	NEAMunken1	74
AGAMissong2	NEMAjumbu9	26
AGAMissong2	NFKBiya7	67
AGAMissong2	NGTMunken3	74
AGAMissong2	NINMundabli4	22
AGAMissong2	NJNBiya6	76
AGAMissong2	NJSKung4	28
AGAMissong2	NMAAbar1	64
AGAMissong2	NMNMundabli3	18
AGAMissong2	NMSMissong4	116
AGAMissong2	NNBBuu3	41
AGAMissong2	NSFBiya5	72
AGAMissong2	NUNMunken4	78
AGAMissong2	NVBAbar7	87
AGAMissong2	NVIAjumbu1	25
AGAMissong2	TELKoshin4	24
AGAMissong2	TNTMunken2	78
AGAMissong2	WCANgun1	76
AGAMissong2	ZKGKung1	18
AOMNgun2	APBMumfu1	13
AOMNgun2	BAAMashi4	22
AOMNgun2	BKBMashi2	23
AOMNgun2	BNMKung2	19
AOMNgun2	CENMundabli2	15
AOMNgun2	DNMMumfu2	14
AOMNgun2	DPNFang13	18
AOMNgun2	ECLAbar8	99
AOMNgun2	ENBBiya1	79
AOMNgun2	FBCBiya8	97
AOMNgun2	ICNBiya2	66
AOMNgun2	JGYKoshin3	25
AOMNgun2	KBMNgun4	105
AOMNgun2	KCSKung3	26
AOMNgun2	KCYBuu2	38
AOMNgun2	KDCAjumbu10	29
AOMNgun2	KDVFang1	12
AOMNgun2	KEMBuu1	37
AOMNgun2	KFKMashi1	22
AOMNgun2	KHKFang12	16
AOMNgun2	KJSFang2	14
AOMNgun2	KMNAjumbu2	29
AOMNgun2	LFNMundabli1	14
AOMNgun2	MCANgun3	108
AOMNgun2	MEAMumfu3	13
AOMNgun2	MNJBuu4	39
AOMNgun2	MRYKoshin2	15
AOMNgun2	NACAbar2	89
AOMNgun2	NCCMumfu4	15
AOMNgun2	NCMMashi5	24
AOMNgun2	NDNMissong5	81
AOMNgun2	NEAMunken1	85
AOMNgun2	NEMAjumbu9	25
AOMNgun2	NFKBiya7	96
AOMNgun2	NGTMunken3	93
AOMNgun2	NINMundabli4	16
AOMNgun2	NJNBiya6	97
AOMNgun2	NJSKung4	25
AOMNgun2	NMAAbar1	79
AOMNgun2	NMNMundabli3	15
AOMNgun2	NMSMissong4	83
AOMNgun2	NNBBuu3	40
AOMNgun2	NSFBiya5	100
AOMNgun2	NUNMunken4	98
AOMNgun2	NVBAbar7	99
AOMNgun2	NVIAjumbu1	27
AOMNgun2	TELKoshin4	25
AOMNgun2	TNTMunken2	91
AOMNgun2	WCANgun1	112
AOMNgun2	ZKGKung1	20
APBMumfu1	BAAMashi4	33
APBMumfu1	BKBMashi2	31
APBMumfu1	BNMKung2	15
APBMumfu1	CENMundabli2	104
APBMumfu1	DNMMumfu2	100
APBMumfu1	DPNFang13	46
APBMumfu1	ECLAbar8	14
APBMumfu1	ENBBiya1	13
APBMumfu1	FBCBiya8	15
APBMumfu1	ICNBiya2	12
APBMumfu1	JGYKoshin3	45
APBMumfu1	KBMNgun4	14
APBMumfu1	KCSKung3	19
APBMumfu1	KCYBuu2	46
APBMumfu1	KDCAjumbu10	28
APBMumfu1	KDVFang1	33
APBMumfu1	KEMBuu1	47
APBMumfu1	KFKMashi1	33
APBMumfu1	KHKFang12	45
APBMumfu1	KJSFang2	33
APBMumfu1	KMNAjumbu2	29
APBMumfu1	LFNMundabli1	106
APBMumfu1	MCANgun3	15
APBMumfu1	MEAMumfu3	105
APBMumfu1	MNJBuu4	49
APBMumfu1	MRYKoshin2	27
APBMumfu1	NACAbar2	14
APBMumfu1	NCCMumfu4	110
APBMumfu1	NCMMashi5	31
APBMumfu1	NDNMissong5	22
APBMumfu1	NEAMunken1	14
APBMumfu1	NEMAjumbu9	31
APBMumfu1	NFKBiya7	15
APBMumfu1	NGTMunken3	16
APBMumfu1	NINMundabli4	100
APBMumfu1	NJNBiya6	17
APBMumfu1	NJSKung4	20
APBMumfu1	NMAAbar1	13
APBMumfu1	NMNMundabli3	101
APBMumfu1	NMSMissong4	20
APBMumfu1	NNBBuu3	48
APBMumfu1	NSFBiya5	16
APBMumfu1	NUNMunken4	13
APBMumfu1	NVBAbar7	12
APBMumfu1	NVIAjumbu1	29
APBMumfu1	TELKoshin4	45
APBMumfu1	TNTMunken2	13
APBMumfu1	WCANgun1	15
APBMumfu1	ZKGKung1	15
BAAMashi4	BKBMashi2	116
BAAMashi4	BNMKung2	21
BAAMashi4	CENMundabli2	31
BAAMashi4	DNMMumfu2	30
BAAMashi4	DPNFang13	30
BAAMashi4	ECLAbar8	26
BAAMashi4	ENBBiya1	21
BAAMashi4	FBCBiya8	24
BAAMashi4	ICNBiya2	18
BAAMashi4	JGYKoshin3	44
BAAMashi4	KBMNgun4	23
BAAMashi4	KCSKung3	28
BAAMashi4	KCYBuu2	42
BAAMashi4	KDCAjumbu10	29
BAAMashi4	KDVFang1	22
BAAMashi4	KEMBuu1	44
BAAMashi4	KFKMashi1	119
BAAMashi4	KHKFang12	29
BAAMashi4	KJSFang2	19
BAAMashi4	KMNAjumbu2	27
BAAMashi4	LFNMundabli1	32
BAAMashi4	MCANgun3	21
BAAMashi4	MEAMumfu3	31
BAAMashi4	MNJBuu4	41
BAAMashi4	MRYKoshin2	34
BAAMashi4	NACAbar2	22
BAAMashi4	NCCMumfu4	31
BAAMashi4	NCMMashi5	123
BAAMashi4	NDNMissong5	28
BAAMashi4	NEAMunken1	22
BAAMashi4	NEMAjumbu9	28
BAAMashi4	NFKBiya7	24
BAAMashi4	NGTMunken3	22
BAAMashi4	NINMundabli4	33
BAAMashi4	NJNBiya6	25
BAAMashi4	NJSKung4	28
BAAMashi4	NMAAbar1	22
BAAMashi4	NMNMundabli3	32
BAAMashi4	NMSMissong4	27
BAAMashi4	NNBBuu3	41
BAAMashi4	NSFBiya5	22
BAAMashi4	NUNMunken4	21
BAAMashi4	NVBAbar7	24
BAAMashi4	NVIAjumbu1	24
BAAMashi4	TELKoshin4	42
BAAMashi4	TNTMunken2	20
BAAMashi4	WCANgun1	23
