# Wordlist

# DATA
ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID
#
2341	100_hill	NVBAbar7	ŋkʊ̌ːŋ / ŋkʊ̌ːŋbʷî	ŋ k ʊː ¹ ⁵ ŋ	4 1 7 8 8 4	ACYTTN	NKY66N	19	19.N.C 19.K.C 19.Y.V 19.6.T 19.6.T 19.N.c	1.6 1.2 3.0 1.0 1.0 0.5	ŋkʊː¹⁵ŋ	0	1	1
2342	100_hill	ECLAbar8	ŋkʊ̌ːŋ / bʷɪ̀ŋkʊ̌ŋ	ŋ k ʊː ¹ ⁵ ŋ	4 1 7 8 8 4	ACYTTN	NKY66N	3	3.N.C 3.K.C 3.Y.V 3.6.T 3.6.T 3.N.c	1.6 1.2 3.0 1.0 1.0 0.5	ŋkʊː¹⁵ŋ	0	1	1
2343	100_hill	NEMAjumbu9	gbó ~ fə̀gbó / kə̀gbóːlə́~m̩̀gbó	gb o ⁵	1 7 8	AXT	KU6	13	13.K.C 13.U.V 13.6.T	1.6 3.0 1.0	gbo⁵	0	2	2
2344	100_hill	KDCAjumbu10	gbó / kə́gbóːlə́	gb o ⁵	1 7 8	AXT	KU6	9	9.K.C 9.U.V 9.6.T	1.6 3.0 1.0	gbo⁵	0	2	2
2345	100_hill	ENBBIYA1	ŋkʷə́n~ŋkɔ́ːn / bə̀ŋkʷə́n~bàŋkɔ́n	ŋ kʷ ə ⁵ n	4 1 7 8 4	ACYTN	NKE6N	4	4.N.C 4.K.C 4.E.V 4.6.T 4.N.c	1.6 1.2 3.0 1.0 0.5	ŋkʷə⁵n	0	1	1
2346	100_hill	ICNBIYA2	ʊ̀kâh / kə̀káɦlə̄	ʊ ¹ k a ⁵ ¹ h	7 8 1 7 8 8 3	XTBYTTN	Y6KA66H	5	5.Y.V 5.6.T 5.K.C 5.A.V 5.6.T 5.6.T 5.H.c	3.0 1.0 1.3 3.0 1.0 1.0 0.5	ʊ¹ka⁵¹h	0	5	2
2347	100_hill	NNBBuu3	ⁿgàŋnə́ / bə̀ⁿgàŋnə̀	n g a ¹ ŋ n ə ⁵	4 1 7 8 4 4 7 8	ACYTMBYT	NKA6NNE6	17	17.N.C 17.K.C 17.A.V 17.6.T 17.N.c 17.N.C 17.E.V 17.6.T	1.6 1.2 3.0 1.0 1.1 1.3 3.0 1.0	nga¹ŋnə⁵	0	1	1
2348	100_hill	MNJBuu4	ŋ̀kʷə́n / bə̀ŋkʷə́n	ŋ ¹ kʷ ə ⁵ n	4 8 1 7 8 4	ATBYTN	N6KE6N	12	12.N.C 12.6.T 12.K.C 12.E.V 12.6.T 12.N.c	1.6 1.0 1.3 3.0 1.0 0.5	ŋ¹kʷə⁵n	0	1	1
2349	100_hill	KHKFANG12	ⁿgàŋnə̀ / bə̀ⁿgàŋnə̀	n g a ¹ ŋ n ə ¹	4 1 7 8 4 4 7 8	ACYTMBYT	NKA6NNE6	10	10.N.C 10.K.C 10.A.V 10.6.T 10.N.c 10.N.C 10.E.V 10.6.T	1.6 1.2 3.0 1.0 1.1 1.3 3.0 1.0	nga¹ŋnə¹	0	1	1
2350	100_hill	DPNFANG13	gbʊ́ŋ~ⁿgàŋnə̀ / bə̀ⁿgàŋnə̀~tə̄gbʊ́ŋkə̄	gb ʊ ⁵ ŋ	1 7 8 4	AXTN	KY6N	2	2.K.C 2.Y.V 2.6.T 2.N.c	1.6 3.0 1.0 0.5	gbʊ⁵ŋ	0	2	1
2351	100_hill	JGYKoshin3	ddîː / tə́ddîː	d d iː ⁵ ¹	1 1 7 8 8	ACYTT	TTI66	6	6.T.C 6.T.C 6.I.V 6.6.T 6.6.T	1.6 1.2 3.0 1.0 1.0	ddiː⁵¹	0	6	3
