Concept	Stability
435_ear	0.97
348_cowcattle	0.95
170_book	0.94
1404_tongue	0.92
277_child	0.92
184_breast	0.89
76_bag	0.89
909_mother	0.89
72_axe	0.87
1247_soap	0.85
276_chief	0.84
1189_sheep	0.83
430_dryseason	0.83
676_horse	0.83
813_ladder	0.83
592_gong	0.82
621_hair	0.82
1076_raffiabamboo	0.81
1252_song	0.81
233_camwood	0.81
599_grave	0.81
487_father	0.8
1206_sieve	0.79
500_fence	0.79
654_heart	0.79
1405_tooth	0.78
1150_sand	0.77
374_dance	0.76
351_crab	0.75
648_head	0.75
1238_smoke	0.74
1306_stomach	0.73
1484_war	0.73
385_deitygodgod	0.72
590_goat	0.72
889_medicine	0.72
1046_potato	0.71
1416_tree	0.71
359_cricket	0.71
550_forest	0.71
594_grass	0.7
913_mouth	0.7
623_hand	0.69
939_nose	0.69
556_fowl	0.68
1526_workn	0.66
159_bitterleaf	0.66
264_chair	0.66
50_animal	0.66
1167_seed	0.65
1451_umbrella	0.65
304_cloth	0.65
484_farm	0.65
650_headpad	0.65
1024_place	0.64
477_faeces	0.64
620_hailstone	0.64
719_jaw	0.64
1148_salt	0.63
192_bridge	0.63
253_caterpillar	0.63
557_friend	0.63
1123_road	0.62
1136_rope	0.62
1307_stone	0.62
474_eye	0.62
493_feather	0.62
1079_rain	0.61
1541_xylophone	0.61
1542_yam	0.61
1022_pineapple	0.6
519_fire	0.6
822_leaf	0.6
90_basket	0.6
921_name	0.6
1000_pepper	0.59
157_bird	0.59
433_dust	0.59
661_hill	0.59
1003_person	0.58
1027_plantain	0.58
163_blood	0.58
443_egg	0.58
527_fish	0.58
618_gun	0.58
667_hoe	0.58
1017_pig	0.57
40_air	0.57
681_house	0.57
903_monkey	0.57
95_bat	0.57
1134_root	0.56
1403_toilet	0.56
250_cat	0.56
713_intestine	0.56
944_oil	0.56
975_palmnut	0.56
139_bed	0.55
237_cap	0.55
371_cutlass	0.55
412_dog	0.55
978_palmtree	0.55
1266_spider	0.54
194_broom	0.54
340_corn	0.54
391_devil	0.54
958_owl	0.54
980_pap	0.54
1513_winglesstermite	0.53
247_casecourtn	0.53
522_fireside	0.53
1240_snake	0.52
1490_water	0.52
365_cup	0.52
81_banana	0.52
596_grasshopper	0.51
1219_sky	0.5
1325_sun	0.5
584_gizzardfowl	0.5
905_moon	0.5
428_drum	0.48
541_flybird	0.48
574_gardenegg	0.48
1249_soldierant	0.47
1409_trap	0.47
1552_zinc	0.47
1044_pot	0.45
1311_stormwind	0.45
1312_story	0.45
381_day	0.45
458_elephantstalk	0.45
334_compound	0.41
803_knife	0.4
1290_star	0.36
1367_termite	0.32
1080_rainbow	0.31
