# Wordlist

# DATA
ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID
#
748	10_camwood	NVBAbar7	kə́bʷôː / ɪ́bʷôːbî	k ə ⁵ bʷ oː ⁵ ¹	1 7 8 1 7 8 8	AXTBYTT	KE6PU66	24	24.K.C 24.E.V 24.6.T 24.P.C 24.U.V 24.6.T 24.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.0	kə⁵bʷoː⁵¹	0	11	4
749	10_camwood	ECLAbar8	kə́bʷo᷇ː / bībʷo᷇ː	k ə ⁵ bʷ oː ⁵ ³	1 7 8 1 7 8 8	AXTBYTT	KE6PU66	8	8.K.C 8.E.V 8.6.T 8.P.C 8.U.V 8.6.T 8.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.0	kə⁵bʷoː⁵³	0	11	4
750	10_camwood	NEMAjumbu9	kə̀kʊ́~kə́kʷʊ́ / bə́kʷʊ́~bə́kʊ́	k ə ¹ k ʊ ⁵	1 7 8 1 7 8	AXTBYT	KE6KY6	18	18.K.C 18.E.V 18.6.T 18.K.C 18.Y.V 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0	kə¹kʊ⁵	0	11	4
751	10_camwood	KDCAjumbu10	kə́kʷú / bə́kʷú	k ə ⁵ kʷ u ¹	1 7 8 1 7 8	AXTBYT	KE6KY6	14	14.K.C 14.E.V 14.6.T 14.K.C 14.Y.V 14.6.T	1.6 3.0 1.0 1.3 3.0 1.0	kə⁵kʷu¹	0	11	4
752	10_camwood	ENBBIYA1	kə́bo᷇ːh / bíbo᷇ːh	k ə ⁵ b oː ⁵ ³ h	1 7 8 1 7 8 8 3	AXTBYTTN	KE6PU66H	9	9.K.C 9.E.V 9.6.T 9.P.C 9.U.V 9.6.T 9.6.T 9.H.c	1.6 3.0 1.0 1.3 3.0 1.0 1.0 0.5	kə⁵boː⁵³h	0	11	4
753	10_camwood	ICNBIYA2	kə́bɑ̂ / kə̀bɑ̂~bìbɑ̂	k ə ⁵ b ɑ ⁵ ¹	1 7 8 1 7 8 8	AXTBYTT	KE6PA66	10	10.K.C 10.E.V 10.6.T 10.P.C 10.A.V 10.6.T 10.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.0	kə⁵bɑ⁵¹	0	11	4
754	10_camwood	NNBBuu3	kə́kʷûː~kʊ̄ː~kə́ku᷇ː / bə́kʷûː ~ kʊ̄ː~kə́ku᷇ː	k ə ⁵ kʷ uː ⁵ ¹	1 7 8 1 7 8 8	AXTBYTT	KE6KY66	22	22.K.C 22.E.V 22.6.T 22.K.C 22.Y.V 22.6.T 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.0	kə⁵kʷuː⁵¹	0	11	4
755	10_camwood	MNJBuu4	kə́kʊ́ː / bə́kʊ́ː	k ə ⁵ k ʊː ⁵	1 7 8 1 7 8	AXTBYT	KE6KY6	17	17.K.C 17.E.V 17.6.T 17.K.C 17.Y.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0	kə⁵kʊː⁵	0	11	4
756	10_camwood	KHKFANG12	kʊ̂ː / tə̀kʊ̂ː	k ʊː ⁵ ¹	1 7 8 8	AXTT	KY66	15	15.K.C 15.Y.V 15.6.T 15.6.T	1.6 3.0 1.0 1.0	kʊː⁵¹	0	5	4
757	10_camwood	DPNFANG13	kʊ̂ / tə̀kʊ̂~bə́ku᷇ː	k ʊ ¹ ⁵	1 7 8 8	AXTT	KY66	7	7.K.C 7.Y.V 7.6.T 7.6.T	1.6 3.0 1.0 1.0	kʊ¹⁵	0	5	4
758	10_camwood	JGYKoshin3	kə́kú~kə́kʊ́ / bə́kú	k ə ⁵ k u ¹	1 7 8 1 7 8	AXTBYT	KE6KY6	11	11.K.C 11.E.V 11.6.T 11.K.C 11.Y.V 11.6.T	1.6 3.0 1.0 1.3 3.0 1.0	kə⁵ku¹	0	11	4
759	10_camwood	TELKoshin4	kə́kú / bə́kú	k ə ⁵ k u ¹	1 7 8 1 7 8	AXTBYT	KE6KY6	25	25.K.C 25.E.V 25.6.T 25.K.C 25.Y.V 25.6.T	1.6 3.0 1.0 1.3 3.0 1.0	kə⁵ku¹	0	11	4
760	10_camwood	KCSKung3	kə̀bɘ̂ɣ / ʊ̀bɘ̂	k ə ¹ b ɘ ⁵ ¹ ɣ	1 7 8 1 7 8 8 3	AXTBYTTN	KE6PE66G	13	13.K.C 13.E.V 13.6.T 13.P.C 13.E.V 13.6.T 13.6.T 13.G.c	1.6 3.0 1.0 1.3 3.0 1.0 1.0 0.5	kə¹bɘ⁵¹ɣ	0	11	4
761	10_camwood	NJSKung4	kə́bɨ̂ɣ / ʊ́bɨ̂ɣ	k ə ⁵ b ɨ ⁵ ¹ ɣ	1 7 8 1 7 8 8 3	AXTBYTTN	KE6PI66G	20	20.K.C 20.E.V 20.6.T 20.P.C 20.I.V 20.6.T 20.6.T 20.G.c	1.6 3.0 1.0 1.3 3.0 1.0 1.0 0.5	kə⁵bɨ⁵¹ɣ	0	11	4
762	10_camwood	NMNMundabli3	kɒ̄ɦ / kɒ̄ɦ	k ɒ ³ ɦ	1 7 8 3	AXTN	KO6H	21	21.K.C 21.O.V 21.6.T 21.H.c	1.6 3.0 1.0 0.5	kɒ³ɦ	0	5	3
763	10_camwood	CENMundabli2	kœ̄ɦ / ø	k œ ³ ɦ	1 7 8 3	AXTN	KU6H	5	5.K.C 5.U.V 5.6.T 5.H.c	1.6 3.0 1.0 0.5	kœ³ɦ	0	5	3
764	10_camwood	NGTMunken3	ábô / bìbô	a ⁵ b o ⁵ ¹	7 8 1 7 8 8	XTBYTT	A6PU66	19	19.A.V 19.6.T 19.P.C 19.U.V 19.6.T 19.6.T	3.0 1.0 1.3 3.0 1.0 1.0	a⁵bo⁵¹	0	11	4
765	10_camwood	NUNMunken4	ábo᷇ː / bíbo᷇ː	a ⁵ b oː ⁵ ³	7 8 1 7 8 8	XTBYTT	A6PU66	23	23.A.V 23.6.T 23.P.C 23.U.V 23.6.T 23.6.T	3.0 1.0 1.3 3.0 1.0 1.0	a⁵boː⁵³	0	11	4
766	10_camwood	MCANgun3	kə́bô~ábɔ᷇ː / bíbo᷇ː~ɪ́bɔ᷇ː	k ə ⁵ b o ⁵ ¹	1 7 8 1 7 8 8	AXTBYTT	KE6PU66	16	16.K.C 16.E.V 16.6.T 16.P.C 16.U.V 16.6.T 16.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.0	kə⁵bo⁵¹	0	11	4
767	10_camwood	KBMNgun4	kə́bo᷇ː / bíbo᷇ː	k ə ⁵ b oː ⁵ ³	1 7 8 1 7 8 8	AXTBYTT	KE6PU66	12	12.K.C 12.E.V 12.6.T 12.P.C 12.U.V 12.6.T 12.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.0	kə⁵boː⁵³	0	11	4
768	10_camwood	APBMumfu1	bʊ́ŋ / bʊ́ŋ~bʊ́ŋwə́	b ʊ ⁵ ŋ	1 7 8 4	AXTN	PY6N	3	3.P.C 3.Y.V 3.6.T 3.N.c	1.6 3.0 1.0 0.5	bʊ⁵ŋ	0	3	2
769	10_camwood	DNMMumfu2	bʊ́ŋ / ø	b ʊ ⁵ ŋ	1 7 8 4	AXTN	PY6N	6	6.P.C 6.Y.V 6.6.T 6.N.c	1.6 3.0 1.0 0.5	bʊ⁵ŋ	0	3	2
770	10_camwood	BKBMashi2	bú / ø	b u ¹	1 7 8	AXT	PY6	4	4.P.C 4.Y.V 4.6.T	1.6 3.0 1.0	bu¹	0	3	2
771	10_camwood	DNMMumfu2	bʊ́ŋ / ø	b ʊ ⁵ ŋ	1 7 8 4	AXTN	PY6N	6	6.P.C 6.Y.V 6.6.T 6.N.c	1.6 3.0 1.0 0.5	bʊ⁵ŋ	1	3	2
