ZKGKung1            	1.00	0.87	0.72	0.74	0.18	0.15	0.14	0.15	0.21	0.23	0.22	0.23	0.24	0.26	0.24	0.23	0.23	0.24	0.21	0.22	0.25	0.25	0.18	0.16	0.19	0.19	0.11	0.11	0.11	0.12	0.12	0.15	0.13	0.12	0.23	0.23	0.25	0.23	0.23	0.29	0.28	0.21	0.23	0.20	0.22	0.22	0.23	0.24	0.22
BNMKung2            	0.87	1.00	0.82	0.79	0.21	0.19	0.17	0.17	0.23	0.24	0.20	0.23	0.25	0.28	0.26	0.24	0.23	0.26	0.20	0.21	0.24	0.25	0.22	0.20	0.24	0.24	0.14	0.14	0.14	0.14	0.13	0.16	0.14	0.13	0.26	0.27	0.27	0.24	0.24	0.30	0.29	0.20	0.22	0.20	0.21	0.25	0.27	0.28	0.26
NJSKung4            	0.72	0.82	1.00	0.93	0.18	0.17	0.14	0.14	0.21	0.23	0.22	0.24	0.23	0.26	0.26	0.23	0.24	0.23	0.22	0.23	0.24	0.24	0.24	0.20	0.25	0.25	0.13	0.13	0.13	0.14	0.13	0.16	0.14	0.12	0.24	0.26	0.27	0.22	0.22	0.26	0.25	0.20	0.21	0.22	0.21	0.28	0.28	0.29	0.27
KCSKung3            	0.74	0.79	0.93	1.00	0.18	0.17	0.14	0.14	0.22	0.23	0.23	0.24	0.22	0.27	0.26	0.23	0.25	0.24	0.23	0.23	0.25	0.25	0.24	0.21	0.25	0.25	0.13	0.13	0.13	0.15	0.14	0.16	0.14	0.13	0.24	0.25	0.26	0.22	0.24	0.26	0.24	0.20	0.21	0.22	0.22	0.27	0.28	0.29	0.27
NCMMashi5           	0.18	0.21	0.18	0.18	1.00	0.92	0.91	0.91	0.24	0.27	0.23	0.25	0.25	0.26	0.24	0.25	0.26	0.27	0.24	0.26	0.24	0.24	0.28	0.29	0.32	0.31	0.28	0.31	0.31	0.32	0.32	0.34	0.31	0.30	0.33	0.35	0.38	0.39	0.38	0.33	0.35	0.27	0.27	0.26	0.28	0.20	0.23	0.21	0.19
BAAMashi4           	0.15	0.19	0.17	0.17	0.92	1.00	0.88	0.88	0.22	0.25	0.23	0.25	0.23	0.25	0.24	0.25	0.25	0.25	0.24	0.24	0.24	0.23	0.27	0.29	0.31	0.30	0.28	0.32	0.31	0.33	0.34	0.35	0.33	0.32	0.32	0.36	0.38	0.38	0.36	0.32	0.34	0.27	0.27	0.26	0.27	0.18	0.22	0.20	0.18
KFKMashi1           	0.14	0.17	0.14	0.14	0.91	0.88	1.00	0.95	0.23	0.24	0.22	0.26	0.23	0.23	0.23	0.23	0.25	0.24	0.22	0.23	0.22	0.22	0.26	0.28	0.29	0.29	0.29	0.30	0.31	0.32	0.32	0.34	0.31	0.30	0.33	0.34	0.35	0.36	0.35	0.31	0.34	0.26	0.25	0.25	0.25	0.19	0.20	0.19	0.18
BKBMashi2           	0.15	0.17	0.14	0.14	0.91	0.88	0.95	1.00	0.23	0.24	0.22	0.25	0.22	0.24	0.21	0.22	0.24	0.25	0.23	0.24	0.22	0.23	0.26	0.27	0.28	0.27	0.28	0.30	0.29	0.30	0.31	0.32	0.29	0.29	0.31	0.33	0.33	0.34	0.34	0.31	0.32	0.25	0.25	0.23	0.24	0.17	0.20	0.19	0.18
NUNMunken4          	0.21	0.23	0.21	0.22	0.24	0.22	0.23	0.23	1.00	0.83	0.83	0.80	0.71	0.71	0.71	0.68	0.67	0.68	0.68	0.72	0.69	0.66	0.52	0.54	0.55	0.56	0.25	0.23	0.24	0.21	0.23	0.24	0.24	0.22	0.29	0.26	0.29	0.41	0.40	0.42	0.43	0.26	0.25	0.27	0.24	0.29	0.29	0.31	0.31
NGTMunken3          	0.23	0.24	0.23	0.23	0.27	0.25	0.24	0.24	0.83	1.00	0.77	0.80	0.72	0.73	0.73	0.69	0.67	0.71	0.72	0.70	0.69	0.69	0.52	0.53	0.58	0.59	0.24	0.23	0.23	0.21	0.22	0.23	0.24	0.21	0.29	0.28	0.29	0.41	0.41	0.42	0.42	0.25	0.25	0.25	0.23	0.28	0.29	0.31	0.30
TNTMunken2          	0.22	0.20	0.22	0.23	0.23	0.23	0.22	0.22	0.83	0.77	1.00	0.87	0.72	0.70	0.72	0.70	0.70	0.65	0.71	0.73	0.69	0.65	0.56	0.56	0.54	0.56	0.23	0.25	0.23	0.22	0.25	0.25	0.26	0.23	0.27	0.26	0.30	0.45	0.45	0.42	0.41	0.24	0.24	0.25	0.24	0.27	0.28	0.32	0.34
NEAMunken1          	0.23	0.23	0.24	0.24	0.25	0.25	0.26	0.25	0.80	0.80	0.87	1.00	0.73	0.72	0.70	0.70	0.70	0.69	0.71	0.71	0.67	0.66	0.55	0.57	0.55	0.57	0.23	0.26	0.24	0.24	0.26	0.27	0.27	0.24	0.30	0.29	0.32	0.47	0.47	0.45	0.45	0.29	0.29	0.30	0.25	0.30	0.31	0.34	0.34
NACAbar2            	0.24	0.25	0.23	0.22	0.25	0.23	0.23	0.22	0.71	0.72	0.72	0.73	1.00	0.92	0.92	0.89	0.66	0.68	0.73	0.76	0.75	0.74	0.61	0.66	0.63	0.64	0.23	0.22	0.23	0.23	0.25	0.27	0.25	0.25	0.29	0.29	0.31	0.46	0.44	0.47	0.45	0.24	0.24	0.27	0.20	0.33	0.33	0.38	0.39
ECLAbar8            	0.26	0.28	0.26	0.27	0.26	0.25	0.23	0.24	0.71	0.73	0.70	0.72	0.92	1.00	0.91	0.86	0.68	0.70	0.72	0.72	0.76	0.71	0.59	0.61	0.65	0.65	0.24	0.24	0.24	0.24	0.24	0.27	0.26	0.24	0.30	0.31	0.33	0.44	0.44	0.48	0.45	0.26	0.26	0.27	0.22	0.32	0.33	0.35	0.37
NVBAbar7            	0.24	0.26	0.26	0.26	0.24	0.24	0.23	0.21	0.71	0.73	0.72	0.70	0.92	0.91	1.00	0.89	0.70	0.69	0.71	0.71	0.75	0.72	0.60	0.62	0.65	0.66	0.24	0.23	0.24	0.24	0.23	0.26	0.25	0.24	0.30	0.29	0.33	0.43	0.43	0.46	0.45	0.23	0.23	0.26	0.22	0.34	0.34	0.36	0.38
NMAAbar1            	0.23	0.24	0.23	0.23	0.25	0.25	0.23	0.22	0.68	0.69	0.70	0.70	0.89	0.86	0.89	1.00	0.64	0.66	0.69	0.71	0.72	0.69	0.55	0.60	0.56	0.57	0.21	0.21	0.23	0.22	0.25	0.26	0.25	0.24	0.28	0.28	0.30	0.45	0.44	0.46	0.44	0.24	0.24	0.26	0.21	0.33	0.32	0.38	0.39
ICNBiya2            	0.23	0.23	0.24	0.25	0.26	0.25	0.25	0.24	0.67	0.67	0.70	0.70	0.66	0.68	0.70	0.64	1.00	0.80	0.74	0.73	0.78	0.71	0.53	0.54	0.57	0.59	0.25	0.27	0.26	0.24	0.27	0.28	0.29	0.27	0.28	0.28	0.30	0.38	0.40	0.41	0.40	0.23	0.23	0.23	0.22	0.33	0.33	0.36	0.37
ENBBiya1            	0.24	0.26	0.23	0.24	0.27	0.25	0.24	0.25	0.68	0.71	0.65	0.69	0.68	0.70	0.69	0.66	0.80	1.00	0.74	0.77	0.77	0.74	0.50	0.50	0.55	0.55	0.29	0.27	0.27	0.26	0.28	0.30	0.29	0.26	0.30	0.28	0.29	0.41	0.41	0.42	0.42	0.23	0.23	0.24	0.21	0.33	0.35	0.33	0.34
WCANgun1            	0.21	0.20	0.22	0.23	0.24	0.24	0.22	0.23	0.68	0.72	0.71	0.71	0.73	0.72	0.71	0.69	0.74	0.74	1.00	0.87	0.84	0.80	0.57	0.61	0.62	0.60	0.20	0.23	0.20	0.21	0.22	0.25	0.23	0.22	0.27	0.28	0.30	0.38	0.41	0.37	0.38	0.21	0.23	0.23	0.20	0.29	0.30	0.33	0.33
AOMNgun2            	0.22	0.21	0.23	0.23	0.26	0.24	0.23	0.24	0.72	0.70	0.73	0.71	0.76	0.72	0.71	0.71	0.73	0.77	0.87	1.00	0.85	0.80	0.57	0.59	0.58	0.59	0.23	0.24	0.22	0.22	0.23	0.26	0.23	0.22	0.30	0.29	0.30	0.41	0.40	0.39	0.38	0.21	0.21	0.23	0.17	0.29	0.29	0.32	0.34
KBMNgun4            	0.25	0.24	0.24	0.25	0.24	0.24	0.22	0.22	0.69	0.69	0.69	0.67	0.75	0.76	0.75	0.72	0.78	0.77	0.84	0.85	1.00	0.84	0.57	0.60	0.63	0.63	0.23	0.23	0.24	0.22	0.23	0.26	0.24	0.24	0.29	0.30	0.31	0.39	0.42	0.41	0.40	0.21	0.21	0.23	0.19	0.29	0.30	0.32	0.33
MCANgun3            	0.25	0.25	0.24	0.25	0.24	0.23	0.22	0.23	0.66	0.69	0.65	0.66	0.74	0.71	0.72	0.69	0.71	0.74	0.80	0.80	0.84	1.00	0.54	0.54	0.58	0.58	0.22	0.23	0.22	0.21	0.21	0.24	0.22	0.22	0.26	0.28	0.29	0.37	0.41	0.41	0.39	0.21	0.23	0.22	0.17	0.31	0.31	0.33	0.32
AGAMissong2         	0.18	0.22	0.24	0.24	0.28	0.27	0.26	0.26	0.52	0.52	0.56	0.55	0.61	0.59	0.60	0.55	0.53	0.50	0.57	0.57	0.57	0.54	1.00	0.89	0.87	0.87	0.31	0.32	0.29	0.29	0.29	0.31	0.31	0.31	0.27	0.26	0.30	0.45	0.44	0.44	0.44	0.21	0.20	0.25	0.20	0.27	0.27	0.29	0.29
ABSMissong1         	0.16	0.20	0.20	0.21	0.29	0.29	0.28	0.27	0.54	0.53	0.56	0.57	0.66	0.61	0.62	0.60	0.54	0.50	0.61	0.59	0.60	0.54	0.89	1.00	0.88	0.86	0.29	0.30	0.28	0.29	0.28	0.31	0.30	0.30	0.29	0.28	0.30	0.45	0.44	0.44	0.44	0.22	0.21	0.26	0.20	0.24	0.25	0.28	0.29
NMSMissong4         	0.19	0.24	0.25	0.25	0.32	0.31	0.29	0.28	0.55	0.58	0.54	0.55	0.63	0.65	0.65	0.56	0.57	0.55	0.62	0.58	0.63	0.58	0.87	0.88	1.00	0.95	0.32	0.34	0.32	0.30	0.30	0.32	0.34	0.32	0.31	0.31	0.33	0.42	0.43	0.46	0.47	0.25	0.25	0.27	0.24	0.27	0.29	0.27	0.28
NDNMissong5         	0.19	0.24	0.25	0.25	0.31	0.30	0.29	0.27	0.56	0.59	0.56	0.57	0.64	0.65	0.66	0.57	0.59	0.55	0.60	0.59	0.63	0.58	0.87	0.86	0.95	1.00	0.34	0.34	0.34	0.31	0.31	0.33	0.34	0.33	0.32	0.30	0.33	0.45	0.45	0.49	0.48	0.26	0.25	0.28	0.25	0.27	0.28	0.29	0.30
MEAMumfu3           	0.11	0.14	0.13	0.13	0.28	0.28	0.29	0.28	0.25	0.24	0.23	0.23	0.23	0.24	0.24	0.21	0.25	0.29	0.20	0.23	0.23	0.22	0.31	0.29	0.32	0.34	1.00	0.88	0.87	0.81	0.74	0.77	0.78	0.78	0.36	0.36	0.31	0.40	0.36	0.41	0.42	0.30	0.30	0.29	0.30	0.28	0.25	0.25	0.24
DNMMumfu2           	0.11	0.14	0.13	0.13	0.31	0.32	0.30	0.30	0.23	0.23	0.25	0.26	0.22	0.24	0.23	0.21	0.27	0.27	0.23	0.24	0.23	0.23	0.32	0.30	0.34	0.34	0.88	1.00	0.87	0.86	0.73	0.77	0.78	0.75	0.35	0.35	0.32	0.41	0.38	0.43	0.42	0.33	0.34	0.34	0.33	0.26	0.23	0.24	0.25
NCCMumfu4           	0.11	0.14	0.13	0.13	0.31	0.31	0.31	0.29	0.24	0.23	0.23	0.24	0.23	0.24	0.24	0.23	0.26	0.27	0.20	0.22	0.24	0.22	0.29	0.28	0.32	0.34	0.87	0.87	1.00	0.82	0.73	0.72	0.76	0.78	0.35	0.35	0.32	0.42	0.39	0.44	0.44	0.32	0.32	0.31	0.30	0.27	0.25	0.23	0.24
APBMumfu1           	0.12	0.14	0.14	0.15	0.32	0.33	0.32	0.30	0.21	0.21	0.22	0.24	0.23	0.24	0.24	0.22	0.24	0.26	0.21	0.22	0.22	0.21	0.29	0.29	0.30	0.31	0.81	0.86	0.82	1.00	0.74	0.80	0.78	0.78	0.34	0.37	0.31	0.40	0.41	0.39	0.40	0.36	0.37	0.35	0.33	0.28	0.26	0.23	0.25
NINMundabli4        	0.12	0.13	0.13	0.14	0.32	0.34	0.32	0.31	0.23	0.22	0.25	0.26	0.25	0.24	0.23	0.25	0.27	0.28	0.22	0.23	0.23	0.21	0.29	0.28	0.30	0.31	0.74	0.73	0.73	0.74	1.00	0.88	0.88	0.86	0.35	0.36	0.34	0.43	0.40	0.41	0.42	0.35	0.34	0.34	0.33	0.25	0.26	0.25	0.23
LFNMundabli1        	0.15	0.16	0.16	0.16	0.34	0.35	0.34	0.32	0.24	0.23	0.25	0.27	0.27	0.27	0.26	0.26	0.28	0.30	0.25	0.26	0.26	0.24	0.31	0.31	0.32	0.33	0.77	0.77	0.72	0.80	0.88	1.00	0.88	0.86	0.37	0.40	0.38	0.42	0.39	0.42	0.43	0.38	0.38	0.38	0.37	0.29	0.29	0.26	0.26
NMNMundabli3        	0.13	0.14	0.14	0.14	0.31	0.33	0.31	0.29	0.24	0.24	0.26	0.27	0.25	0.26	0.25	0.25	0.29	0.29	0.23	0.23	0.24	0.22	0.31	0.30	0.34	0.34	0.78	0.78	0.76	0.78	0.88	0.88	1.00	0.91	0.38	0.39	0.36	0.45	0.42	0.45	0.46	0.38	0.36	0.39	0.38	0.28	0.27	0.26	0.25
CENMundabli2        	0.12	0.13	0.12	0.13	0.30	0.32	0.30	0.29	0.22	0.21	0.23	0.24	0.25	0.24	0.24	0.24	0.27	0.26	0.22	0.22	0.24	0.22	0.31	0.30	0.32	0.33	0.78	0.75	0.78	0.78	0.86	0.86	0.91	1.00	0.36	0.36	0.34	0.43	0.41	0.43	0.42	0.36	0.35	0.36	0.35	0.27	0.26	0.25	0.24
TELKoshin4          	0.23	0.26	0.24	0.24	0.33	0.32	0.33	0.31	0.29	0.29	0.27	0.30	0.29	0.30	0.30	0.28	0.28	0.30	0.27	0.30	0.29	0.26	0.27	0.29	0.31	0.32	0.36	0.35	0.35	0.34	0.35	0.37	0.38	0.36	1.00	0.87	0.77	0.50	0.45	0.48	0.50	0.40	0.38	0.46	0.45	0.35	0.33	0.32	0.33
JGYKoshin3          	0.23	0.27	0.26	0.25	0.35	0.36	0.34	0.33	0.26	0.28	0.26	0.29	0.29	0.31	0.29	0.28	0.28	0.28	0.28	0.29	0.30	0.28	0.26	0.28	0.31	0.30	0.36	0.35	0.35	0.37	0.36	0.40	0.39	0.36	0.87	1.00	0.84	0.46	0.42	0.43	0.45	0.43	0.43	0.46	0.44	0.35	0.35	0.31	0.33
MRYKoshin2          	0.25	0.27	0.27	0.26	0.38	0.38	0.35	0.33	0.29	0.29	0.30	0.32	0.31	0.33	0.33	0.30	0.30	0.29	0.30	0.30	0.31	0.29	0.30	0.30	0.33	0.33	0.31	0.32	0.32	0.31	0.34	0.38	0.36	0.34	0.77	0.84	1.00	0.48	0.46	0.45	0.47	0.47	0.46	0.49	0.49	0.37	0.37	0.36	0.36
KEMBuu1             	0.23	0.24	0.22	0.22	0.39	0.38	0.36	0.34	0.41	0.41	0.45	0.47	0.46	0.44	0.43	0.45	0.38	0.41	0.38	0.41	0.39	0.37	0.45	0.45	0.42	0.45	0.40	0.41	0.42	0.40	0.43	0.42	0.45	0.43	0.50	0.46	0.48	1.00	0.90	0.86	0.88	0.45	0.44	0.46	0.45	0.41	0.41	0.42	0.42
KCYBuu2             	0.23	0.24	0.22	0.24	0.38	0.36	0.35	0.34	0.40	0.41	0.45	0.47	0.44	0.44	0.43	0.44	0.40	0.41	0.41	0.40	0.42	0.41	0.44	0.44	0.43	0.45	0.36	0.38	0.39	0.41	0.40	0.39	0.42	0.41	0.45	0.42	0.46	0.90	1.00	0.88	0.85	0.43	0.42	0.42	0.44	0.42	0.40	0.44	0.42
NNBBuu3             	0.29	0.30	0.26	0.26	0.33	0.32	0.31	0.31	0.42	0.42	0.42	0.45	0.47	0.48	0.46	0.46	0.41	0.42	0.37	0.39	0.41	0.41	0.44	0.44	0.46	0.49	0.41	0.43	0.44	0.39	0.41	0.42	0.45	0.43	0.48	0.43	0.45	0.86	0.88	1.00	0.93	0.42	0.41	0.43	0.41	0.37	0.37	0.40	0.39
MNJBuu4             	0.28	0.29	0.25	0.24	0.35	0.34	0.34	0.32	0.43	0.42	0.41	0.45	0.45	0.45	0.45	0.44	0.40	0.42	0.38	0.38	0.40	0.39	0.44	0.44	0.47	0.48	0.42	0.42	0.44	0.40	0.42	0.43	0.46	0.42	0.50	0.45	0.47	0.88	0.85	0.93	1.00	0.40	0.43	0.44	0.43	0.40	0.39	0.39	0.38
KHKFang12           	0.21	0.20	0.20	0.20	0.27	0.27	0.26	0.25	0.26	0.25	0.24	0.29	0.24	0.26	0.23	0.24	0.23	0.23	0.21	0.21	0.21	0.21	0.21	0.22	0.25	0.26	0.30	0.33	0.32	0.36	0.35	0.38	0.38	0.36	0.40	0.43	0.47	0.45	0.43	0.42	0.40	1.00	0.90	0.88	0.87	0.32	0.33	0.31	0.32
DPNFang13           	0.23	0.22	0.21	0.21	0.27	0.27	0.25	0.25	0.25	0.25	0.24	0.29	0.24	0.26	0.23	0.24	0.23	0.23	0.23	0.21	0.21	0.23	0.20	0.21	0.25	0.25	0.30	0.34	0.32	0.37	0.34	0.38	0.36	0.35	0.38	0.43	0.46	0.44	0.42	0.41	0.43	0.90	1.00	0.88	0.86	0.36	0.37	0.34	0.35
KJSFang2            	0.20	0.20	0.22	0.22	0.26	0.26	0.25	0.23	0.27	0.25	0.25	0.30	0.27	0.27	0.26	0.26	0.23	0.24	0.23	0.23	0.23	0.22	0.25	0.26	0.27	0.28	0.29	0.34	0.31	0.35	0.34	0.38	0.39	0.36	0.46	0.46	0.49	0.46	0.42	0.43	0.44	0.88	0.88	1.00	0.94	0.39	0.38	0.38	0.38
KDVFang1            	0.22	0.21	0.21	0.22	0.28	0.27	0.25	0.24	0.24	0.23	0.24	0.25	0.20	0.22	0.22	0.21	0.22	0.21	0.20	0.17	0.19	0.17	0.20	0.20	0.24	0.25	0.30	0.33	0.30	0.33	0.33	0.37	0.38	0.35	0.45	0.44	0.49	0.45	0.44	0.41	0.43	0.87	0.86	0.94	1.00	0.37	0.35	0.37	0.35
NEMAjumbu9          	0.22	0.25	0.28	0.27	0.20	0.18	0.19	0.17	0.29	0.28	0.27	0.30	0.33	0.32	0.34	0.33	0.33	0.33	0.29	0.29	0.29	0.31	0.27	0.24	0.27	0.27	0.28	0.26	0.27	0.28	0.25	0.29	0.28	0.27	0.35	0.35	0.37	0.41	0.42	0.37	0.40	0.32	0.36	0.39	0.37	1.00	0.88	0.84	0.87
KDCAjumbu10         	0.23	0.27	0.28	0.28	0.23	0.22	0.20	0.20	0.29	0.29	0.28	0.31	0.33	0.33	0.34	0.32	0.33	0.35	0.30	0.29	0.30	0.31	0.27	0.25	0.29	0.28	0.25	0.23	0.25	0.26	0.26	0.29	0.27	0.26	0.33	0.35	0.37	0.41	0.40	0.37	0.39	0.33	0.37	0.38	0.35	0.88	1.00	0.84	0.86
NVIAjumbu1          	0.24	0.28	0.29	0.29	0.21	0.20	0.19	0.19	0.31	0.31	0.32	0.34	0.38	0.35	0.36	0.38	0.36	0.33	0.33	0.32	0.32	0.33	0.29	0.28	0.27	0.29	0.25	0.24	0.23	0.23	0.25	0.26	0.26	0.25	0.32	0.31	0.36	0.42	0.44	0.40	0.39	0.31	0.34	0.38	0.37	0.84	0.84	1.00	0.91
KMNAjumbu2          	0.22	0.26	0.27	0.27	0.19	0.18	0.18	0.18	0.31	0.30	0.34	0.34	0.39	0.37	0.38	0.39	0.37	0.34	0.33	0.34	0.33	0.32	0.29	0.29	0.28	0.30	0.24	0.25	0.24	0.25	0.23	0.26	0.25	0.24	0.33	0.33	0.36	0.42	0.42	0.39	0.38	0.32	0.35	0.38	0.35	0.87	0.86	0.91	1.00
