ID	Concept	Doculect	Value	Tokens
1	277_child	NVBAbar7	wân / átɛ̂ŋmbɪ̂	w a ⁵ ¹ n
2	277_child	ECLAbar8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́	w a ⁵ ¹ n
3	277_child	NMAAbar1	wân / bwɪ́tə᷇ːŋ ~ ʃǐːtə᷇ŋ	w a ⁵ ¹ n
4	277_child	NACAbar2	wân / bə̀tə᷇ːŋ	w a ⁵ ¹ n
5	277_child	NEMAjumbu9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ	w a ¹ ŋ
6	277_child	NVIAjumbu1	wâŋ / àtɔ᷇ːŋ	w a ⁵ ¹ ŋ
7	277_child	KMNAjumbu2	wàŋ / àtɔ᷇ːŋ	w a ¹ ŋ
8	277_child	KDCAjumbu10	wáːnə̂ / átɔ́ŋ	w aː ⁵ n ə ⁵ ¹
9	277_child	ENBBiya1	wán / bə̀tə̂ŋ	w a ⁵ n
10	277_child	ICNBiya2	wán / bə̀tə᷇ːŋ	w a ⁵ n
11	277_child	NNBBuu3	wán / ɲʲòmnə́	w a ⁵ n
12	277_child	MNJBuu4	wán / nwòmnə́~ɲʷòmnə́	w a ⁵ n
13	277_child	KEMBuu1	wán ~ kúóə̀ / ɲyòmnə́	w a ⁵ n
14	277_child	KCYBuu2	wán / ɲyòmnə́	w a ⁵ n
15	277_child	KHKFang12	wán / ŋmɛ́m	w a ⁵ n
16	277_child	DPNFang13	wán / ŋmɛ́m	w a ⁵ n
17	277_child	KDVFang1	wán ~ wāɲ / ŋmɛ́n ~ ŋmɛ́m	w a ⁵ n
18	277_child	KJSFang2	wen/bum this	w e ³ n
19	277_child	JGYKoshin3	wāɲ / bāɲ	w a ³ ɲ
20	277_child	TELKoshin4	wáɲ / ba᷇ːɲ	w a ⁵ ɲ
21	277_child	KCSKung3	wāɲ / m̀nɛ᷇ː	w a ³ ɲ
22	277_child	NJSKung4	wáʲ / wáːɣê ~ nêmê	w a ⁵ j
23	277_child	ZKGKung1	wāɪ̄ / wáɪ́	w a ³ ɪ ³
24	277_child	BNMKung2	wāɪ̄ / ə̀wáɪ́	w a ³ ɪ ³
25	277_child	NMNMundabli3	wáɦɲ / ɲɒ́ɦm	w a ⁵ ɦ ɲ
