# Wordlist

# DATA
ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID
#
1616	1000_pepper	NVBAbar7	ʃìntó~ǹtó/mʊ̀ntó~ǹtó	ʃ i ¹ n t o ⁵	3 7 8 4 1 7 8	AXTMBYT	SI6NTU6	45	45.S.C 45.I.V 45.6.T 45.N.c 45.T.C 45.U.V 45.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	ʃi¹nto⁵	0	10	6
1617	1000_pepper	ECLAbar8	ʃìntǒː / mʊ̀ntǒː	ʃ i ¹ n t oː ¹ ⁵	3 7 8 4 1 7 8 8	AXTMBYTT	SI6NTU66	12	12.S.C 12.I.V 12.6.T 12.N.c 12.T.C 12.U.V 12.6.T 12.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.0	ʃi¹ntoː¹⁵	0	10	6
1618	1000_pepper	NMAAbar1	ʃìntó / m̄tó	ʃ i ¹ n t o ⁵	3 7 8 4 1 7 8	AXTMBYT	SI6NTU6	40	40.S.C 40.I.V 40.6.T 40.N.c 40.T.C 40.U.V 40.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	ʃi¹nto⁵	0	10	6
1619	1000_pepper	NACAbar2	ʃìntóː / m̀tóː	ʃ i ¹ n t oː ⁵	3 7 8 4 1 7 8	AXTMBYT	SI6NTU6	31	31.S.C 31.I.V 31.6.T 31.N.c 31.T.C 31.U.V 31.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	ʃi¹ntoː⁵	0	10	6
1620	1000_pepper	NEMAjumbu9	fə̀ⁿtó / m̩̀tó	f ə ¹ n t o ⁵	3 7 8 4 1 7 8	AXTMBYT	BE6NTU6	36	36.B.C 36.E.V 36.6.T 36.N.c 36.T.C 36.U.V 36.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	fə¹nto⁵	0	10	6
1621	1000_pepper	NVIAjumbu1	fə̀ntó / ə̂mtó~ mtó	f ə ¹ n t o ⁵	3 7 8 4 1 7 8	AXTMBYT	BE6NTU6	46	46.B.C 46.E.V 46.6.T 46.N.c 46.T.C 46.U.V 46.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	fə¹nto⁵	0	10	6
1622	1000_pepper	KMNAjumbu2	fə̀ntóː / m̀tóː	f ə ¹ n t oː ⁵	3 7 8 4 1 7 8	AXTMBYT	BE6NTU6	25	25.B.C 25.E.V 25.6.T 25.N.c 25.T.C 25.U.V 25.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	fə¹ntoː⁵	0	10	6
1623	1000_pepper	KDCAjumbu10	fə̀ⁿtó / ǹ̩tó:lə́~m̩̀tó:lə́	f ə ¹ n t o ⁵	3 7 8 4 1 7 8	AXTMBYT	BE6NTU6	19	19.B.C 19.E.V 19.6.T 19.N.c 19.T.C 19.U.V 19.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	fə¹nto⁵	0	10	6
1624	1000_pepper	ENBBiya1	m̀fʷàhà / bàmfʷáhá~bə̀mfʷáhá	m ¹ fʷ a ¹ h a ¹	4 8 3 7 8 3 7 8	ATBYTBYT	M6BA6HA6	13	13.M.C 13.6.T 13.B.C 13.A.V 13.6.T 13.H.C 13.A.V 13.6.T	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0	m¹fʷa¹ha¹	0	3	2
1625	1000_pepper	ICNBiya2	m̀fʷàhà / m̀fʷàhà	m ¹ fʷ a ¹ h a ¹	4 8 3 7 8 3 7 8	ATBYTBYT	M6BA6HA6	14	14.M.C 14.6.T 14.B.C 14.A.V 14.6.T 14.H.C 14.A.V 14.6.T	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0	m¹fʷa¹ha¹	0	3	2
1626	1000_pepper	NNBBuu3	tô / bə̀tô	t o ⁵ ¹	1 7 8 8	AXTT	TU66	43	43.T.C 43.U.V 43.6.T 43.6.T	1.6 3.0 1.0 1.0	to⁵¹	0	10	5
1627	1000_pepper	MNJBuu4	to᷇ː / bə̀to᷇ː	t oː ⁵ ³	1 7 8 8	AXTT	TU66	29	29.T.C 29.U.V 29.6.T 29.6.T	1.6 3.0 1.0 1.0	toː⁵³	0	10	5
1628	1000_pepper	KEMBuu1	tô / bə̀tô	t o ⁵ ¹	1 7 8 8	AXTT	TU66	21	21.T.C 21.U.V 21.6.T 21.6.T	1.6 3.0 1.0 1.0	to⁵¹	0	10	5
1629	1000_pepper	KCYBuu2	tô / bə̀tô	t o ⁵ ¹	1 7 8 8	AXTT	TU66	18	18.T.C 18.U.V 18.6.T 18.6.T	1.6 3.0 1.0 1.0	to⁵¹	0	10	5
1630	1000_pepper	KHKFang12	ⁿtɔ́tɔ̀ / bə̀ⁿtɔ́tɔ̀	n t ɔ ⁵ t ɔ ¹	4 1 7 8 1 7 8	ACYTBYT	NTU6TU6	23	23.N.C 23.T.C 23.U.V 23.6.T 23.T.C 23.U.V 23.6.T	1.6 1.2 3.0 1.0 1.3 3.0 1.0	ntɔ⁵tɔ¹	0	4	1
1631	1000_pepper	DPNFang13	ⁿtótò / bə̀ⁿtótò	n t o ⁵ t o ¹	4 1 7 8 1 7 8	ACYTBYT	NTU6TU6	11	11.N.C 11.T.C 11.U.V 11.6.T 11.T.C 11.U.V 11.6.T	1.6 1.2 3.0 1.0 1.3 3.0 1.0	nto⁵to¹	0	4	1
1632	1000_pepper	KDVFang1	ntə́tə̀ / bə̀ntə́tə̀	n t ə ⁵ t ə ¹	4 1 7 8 1 7 8	ACYTBYT	NTE6TE6	20	20.N.C 20.T.C 20.E.V 20.6.T 20.T.C 20.E.V 20.6.T	1.6 1.2 3.0 1.0 1.3 3.0 1.0	ntə⁵tə¹	0	4	1
1633	1000_pepper	KJSFang2	ǹtɔ́tɔ̀/bə̀ntɔ́tɔ̀	n ¹ t ɔ ⁵ t ɔ ¹	4 8 1 7 8 1 7 8	ATBYTBYT	N6TU6TU6	24	24.N.C 24.6.T 24.T.C 24.U.V 24.6.T 24.T.C 24.U.V 24.6.T	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0	n¹tɔ⁵tɔ¹	0	4	1
1634	1000_pepper	JGYKoshin3	ǹtô / bə̀ntô	n ¹ t o ⁵ ¹	4 8 1 7 8 8	ATBYTT	N6TU66	15	15.N.C 15.6.T 15.T.C 15.U.V 15.6.T 15.6.T	1.6 1.0 1.3 3.0 1.0 1.0	n¹to⁵¹	0	10	5
1635	1000_pepper	TELKoshin4	ǹtô / bə̀ntô	n ¹ t o ⁵ ¹	4 8 1 7 8 8	ATBYTT	N6TU66	47	47.N.C 47.6.T 47.T.C 47.U.V 47.6.T 47.6.T	1.6 1.0 1.3 3.0 1.0 1.0	n¹to⁵¹	0	10	5
1636	1000_pepper	DPJKoshin1	ntô  /  bə̀ntô	n t o ⁵ ¹	4 1 7 8 8	ACYTT	NTU66	10	10.N.C 10.T.C 10.U.V 10.6.T 10.6.T	1.6 1.2 3.0 1.0 1.0	nto⁵¹	0	10	5
1637	1000_pepper	MRYKoshin2	ntô /  bə̀ntô	n t o ⁵ ¹	4 1 7 8 8	ACYTT	NTU66	30	30.N.C 30.T.C 30.U.V 30.6.T 30.6.T	1.6 1.2 3.0 1.0 1.0	nto⁵¹	0	10	5
1638	1000_pepper	KCSKung3	kə̄mgbāŋ /ʊ́mgbáŋ	k ə ³ m gb a ³ ŋ	1 7 8 4 1 7 8 4	AXTMBYTN	KE6MKA6N	17	17.K.C 17.E.V 17.6.T 17.M.c 17.K.C 17.A.V 17.6.T 17.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	kə³mgba³ŋ	0	7	4
1639	1000_pepper	NJSKung4	kə́mgbáŋ /ʊ́mgbáŋ	k ə ⁵ m gb a ⁵ ŋ	1 7 8 4 1 7 8 4	AXTMBYTN	KE6MKA6N	39	39.K.C 39.E.V 39.6.T 39.M.c 39.K.C 39.A.V 39.6.T 39.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	kə⁵mgba⁵ŋ	0	7	4
1640	1000_pepper	ZKGKung1	kə̀mgbáŋ~kə̀mgbāŋ/ʊ̀mgbáŋ~ʊ̀mgbāŋ	k ə ³ m gb a ⁵ ŋ	1 7 8 4 1 7 8 4	AXTMBYTN	KE6MKA6N	50	50.K.C 50.E.V 50.6.T 50.M.c 50.K.C 50.A.V 50.6.T 50.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	kə³mgba⁵ŋ	0	7	4
1641	1000_pepper	BNMKung2	kə́mgbáŋ / ʊ́mgbáŋ	k ə ⁵ m gb a ⁵ ŋ	1 7 8 4 1 7 8 4	AXTMBYTN	KE6MKA6N	7	7.K.C 7.E.V 7.6.T 7.M.c 7.K.C 7.A.V 7.6.T 7.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	kə⁵mgba⁵ŋ	0	7	4
1642	1000_pepper	NMNMundabli3	tɔ́tɔ̀ / tɔ́tɔ̀bɪ́	t ɔ ⁵ t ɔ ¹	1 7 8 1 7 8	AXTBYT	TU6TU6	41	41.T.C 41.U.V 41.6.T 41.T.C 41.U.V 41.6.T	1.6 3.0 1.0 1.3 3.0 1.0	tɔ⁵tɔ¹	0	4	1
1643	1000_pepper	CENMundabli2	ǹtɒ́tɒ̀ / ǹtɒ́tɒ̀	n ¹ t ɒ ⁵ t ɒ ¹	4 8 1 7 8 1 7 8	ATBYTBYT	N6TO6TO6	8	8.N.C 8.6.T 8.T.C 8.O.V 8.6.T 8.T.C 8.O.V 8.6.T	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0	n¹tɒ⁵tɒ¹	0	4	1
1644	1000_pepper	LFNMundabli1	tɔ́tɔ̀lɛ̌ː ~ tɔ́tɔ̀ / tɔ́tɔ̀lɛ̄bó ~ tɔ́tɔ̀	t ɔ ⁵ t ɔ ¹ l ɛː ¹ ⁵	1 7 8 1 7 8 5 7 8 8	AXTBYTBYTT	TU6TU6LE66	26	26.T.C 26.U.V 26.6.T 26.T.C 26.U.V 26.6.T 26.L.C 26.E.V 26.6.T 26.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.0	tɔ⁵tɔ¹lɛː¹⁵	0	4	1
1645	1000_pepper	NINMundabli4	tɔ́tɔ̀ ~tɔ́tɔ̀lɛ̌ː / tɔ́tɔ̀bó ~tɔ́tɔ̀bə̀lɛ̄bó	t ɔ ⁵ t ɔ ¹	1 7 8 1 7 8	AXTBYT	TU6TU6	38	38.T.C 38.U.V 38.6.T 38.T.C 38.U.V 38.6.T	1.6 3.0 1.0 1.3 3.0 1.0	tɔ⁵tɔ¹	0	4	1
1646	1000_pepper	NGTMunken3	m̀fàhà / ḿfáhá	m ¹ f a ¹ h a ¹	4 8 3 7 8 3 7 8	ATBYTBYT	M6BA6HA6	37	37.M.C 37.6.T 37.B.C 37.A.V 37.6.T 37.H.C 37.A.V 37.6.T	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0	m¹fa¹ha¹	0	3	2
1647	1000_pepper	NUNMunken4	ɱ̀fáhálʲǒ / bə̀fʷáhá	ɱ ¹ f a ⁵ h a ⁵ l j o ¹ ⁵	4 8 3 7 8 3 7 8 5 6 7 8 8	ATBYTBYTBCYTT	M6BA6HA6LJU66	44	44.M.C 44.6.T 44.B.C 44.A.V 44.6.T 44.H.C 44.A.V 44.6.T 44.L.C 44.J.C 44.U.V 44.6.T 44.6.T	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 1.2 3.0 1.0 1.0	ɱ¹fa⁵ha⁵ljo¹⁵	0	3	2
1648	1000_pepper	NEAMunken1	m̀fwàʊ̀lɥə̀lə́ / bə̀mfwa᷇ːbə́lɥə́lə́	m ¹ f w a ¹ ʊ ¹ l ɥ ə ¹ l ə ⁵	4 8 3 6 7 8 7 8 5 6 7 8 5 7 8	ATBCYTYTBCYTBYT	M6BWA6Y6LJE6LE6	35	35.M.C 35.6.T 35.B.C 35.W.C 35.A.V 35.6.T 35.Y.V 35.6.T 35.L.C 35.J.C 35.E.V 35.6.T 35.L.C 35.E.V 35.6.T	1.6 1.0 1.3 1.2 3.0 1.0 3.0 1.0 1.3 1.2 3.0 1.0 1.3 3.0 1.0	m¹fwa¹ʊ¹lɥə¹lə⁵	0	35	2
1649	1000_pepper	TNTMunken2	m̀fwàsə̀ʊ̀lyòlə́ / bə̀nmfwásə́bə̀lyólə́~	m ¹ f w a ¹ s ə ¹ ʊ ¹ l j o ¹ l ə ⁵	4 8 3 6 7 8 3 7 8 7 8 5 6 7 8 5 7 8	ATBCYTBYTYTBCYTBYT	M6BWA6SE6Y6LJU6LE6	48	48.M.C 48.6.T 48.B.C 48.W.C 48.A.V 48.6.T 48.S.C 48.E.V 48.6.T 48.Y.V 48.6.T 48.L.C 48.J.C 48.U.V 48.6.T 48.L.C 48.E.V 48.6.T	1.6 1.0 1.3 1.2 3.0 1.0 1.3 3.0 1.0 3.0 1.0 1.3 1.2 3.0 1.0 1.3 3.0 1.0	m¹fwa¹sə¹ʊ¹ljo¹lə⁵	0	35	2
