Concept	Stability
435_ear	0.97
348_cowcattle	0.94
1404_tongue	0.93
277_child	0.93
813_ladder	0.93
170_book	0.92
184_breast	0.9
76_bag	0.9
909_mother	0.9
276_chief	0.86
592_gong	0.86
72_axe	0.86
1189_sheep	0.84
1247_soap	0.84
599_grave	0.84
430_dryseason	0.82
654_heart	0.82
676_horse	0.82
621_hair	0.81
1076_raffiabamboo	0.8
1252_song	0.8
487_father	0.8
1150_sand	0.79
1206_sieve	0.79
500_fence	0.79
648_head	0.78
351_crab	0.77
374_dance	0.76
1484_war	0.75
1238_smoke	0.74
1306_stomach	0.74
590_goat	0.74
889_medicine	0.73
385_deitygodgod	0.72
550_forest	0.72
1003_person	0.71
1405_tooth	0.71
1416_tree	0.71
556_fowl	0.71
594_grass	0.71
1046_potato	0.7
1307_stone	0.7
1526_workn	0.7
233_camwood	0.7
477_faeces	0.7
1167_seed	0.69
620_hailstone	0.69
939_nose	0.69
391_devil	0.68
250_cat	0.67
304_cloth	0.67
474_eye	0.67
50_animal	0.67
623_hand	0.67
913_mouth	0.67
1024_place	0.66
159_bitterleaf	0.66
484_farm	0.66
1136_rope	0.65
1541_xylophone	0.65
253_caterpillar	0.65
264_chair	0.65
650_headpad	0.65
672_hornhead	0.65
148_belly	0.64
719_jaw	0.64
1079_rain	0.62
1148_salt	0.62
192_bridge	0.62
557_friend	0.62
661_hill	0.62
1123_road	0.61
247_casecourtn	0.61
822_leaf	0.61
903_monkey	0.61
1545_year	0.6
359_cricket	0.6
443_egg	0.6
493_feather	0.6
519_fire	0.6
90_basket	0.6
1017_pig	0.59
1027_plantain	0.59
433_dust	0.59
527_fish	0.59
921_name	0.59
1022_pineapple	0.58
1134_root	0.58
1240_snake	0.58
157_bird	0.58
618_gun	0.58
667_hoe	0.58
944_oil	0.58
1000_pepper	0.57
194_broom	0.57
40_air	0.57
412_dog	0.57
713_intestine	0.57
1266_spider	0.56
1513_winglesstermite	0.56
1542_yam	0.56
905_moon	0.56
958_owl	0.56
975_palmnut	0.56
980_pap	0.56
1403_toilet	0.55
1499_week	0.55
681_house	0.55
95_bat	0.55
978_palmtree	0.55
1451_umbrella	0.54
1490_water	0.54
163_blood	0.54
237_cap	0.54
371_cutlass	0.54
139_bed	0.53
340_corn	0.53
365_cup	0.52
522_fireside	0.52
81_banana	0.52
1219_sky	0.51
1325_sun	0.51
458_elephantstalk	0.51
541_flybird	0.51
574_gardenegg	0.51
584_gizzardfowl	0.51
428_drum	0.48
1044_pot	0.47
1312_story	0.47
1409_trap	0.47
1552_zinc	0.47
596_grasshopper	0.47
381_day	0.46
803_knife	0.44
1290_star	0.43
1249_soldierant	0.42
334_compound	0.42
918_mushroom	0.42
1311_stormwind	0.41
1367_termite	0.36
1080_rainbow	0.35
849_lizard	0.33
