Variety	Concept	Stability
abar1239	1000_pepper	1.0
abar1239	1003_person	1.0
abar1239	1017_pig	1.0
abar1239	1022_pineapple	1.0
abar1239	1024_place	1.0
abar1239	1027_plantain	1.0
abar1239	1044_pot	1.0
abar1239	1046_potato	1.0
abar1239	1076_raffiabamboo	1.0
abar1239	1079_rain	1.0
abar1239	1148_salt	1.0
abar1239	1189_sheep	1.0
abar1239	1206_sieve	1.0
abar1239	1240_snake	1.0
abar1239	1247_soap	1.0
abar1239	1249_soldierant	1.0
abar1239	1252_song	1.0
abar1239	1266_spider	1.0
abar1239	1290_star	1.0
abar1239	1307_stone	1.0
abar1239	1311_stormwind	1.0
abar1239	1312_story	1.0
abar1239	1325_sun	1.0
abar1239	139_bed	1.0
abar1239	1403_toilet	1.0
abar1239	1404_tongue	1.0
abar1239	1405_tooth	1.0
abar1239	1416_tree	1.0
abar1239	1484_war	1.0
abar1239	1490_water	1.0
abar1239	1542_yam	1.0
abar1239	157_bird	1.0
abar1239	159_bitterleaf	1.0
abar1239	163_blood	1.0
abar1239	170_book	1.0
abar1239	184_breast	1.0
abar1239	192_bridge	1.0
abar1239	194_broom	1.0
abar1239	250_cat	1.0
abar1239	253_caterpillar	1.0
abar1239	276_chief	1.0
abar1239	277_child	1.0
abar1239	340_corn	1.0
abar1239	348_cowcattle	1.0
abar1239	359_cricket	1.0
abar1239	365_cup	1.0
abar1239	371_cutlass	1.0
abar1239	374_dance	1.0
abar1239	381_day	1.0
abar1239	385_deitygodgod	1.0
abar1239	391_devil	1.0
abar1239	40_air	1.0
abar1239	412_dog	1.0
abar1239	428_drum	1.0
abar1239	433_dust	1.0
abar1239	435_ear	1.0
abar1239	443_egg	1.0
abar1239	474_eye	1.0
abar1239	477_faeces	1.0
abar1239	484_farm	1.0
abar1239	493_feather	1.0
abar1239	500_fence	1.0
abar1239	50_animal	1.0
abar1239	519_fire	1.0
abar1239	527_fish	1.0
abar1239	550_forest	1.0
abar1239	556_fowl	1.0
abar1239	574_gardenegg	1.0
abar1239	590_goat	1.0
abar1239	592_gong	1.0
abar1239	594_grass	1.0
abar1239	596_grasshopper	1.0
abar1239	599_grave	1.0
abar1239	618_gun	1.0
abar1239	620_hailstone	1.0
abar1239	621_hair	1.0
abar1239	623_hand	1.0
abar1239	648_head	1.0
abar1239	654_heart	1.0
abar1239	661_hill	1.0
abar1239	667_hoe	1.0
