ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID	ALIGNMENT
1338	Adam's apple	NVIAjumbu1	fə̀ndyɔ̀ŋ~kə̀ndyɔ̀ŋ / mə̀ndyɔ̀ŋ	f ə.¹/ə n d j ɔ.¹/ɔ ŋ	3 7 4 1 6 7 4	AXMBCYN	BENTJUN	49	49.B.C 49.E.V 49.N.c 49.T.C 49.J.C 49.U.V 49.N.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	fə.¹/əndjɔ.¹/ɔŋ	0	9	8	f ə.¹/ə n d j ɔ.¹/ɔ ŋ
1339	Adam's apple	KEMBuu1	kə̀ndwɔ̌ŋ / kə́ndwɔ᷇ːŋtə́	k ə.¹/ə n d w ɔ.¹⁵/ɔ ŋ	1 7 4 1 6 7 4	AXMBCYN	KENTWUN	21	21.K.C 21.E.V 21.N.c 21.T.C 21.W.C 21.U.V 21.N.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	kə.¹/əndwɔ.¹⁵/ɔŋ	0	9	8	k ə.¹/ə n d w ɔ.¹⁵/ɔ ŋ
1340	Adam's apple	KDVFang1	fə̀ŋkɔ́m / mə̀ŋkɔ́m	f ə.¹/ə ŋ k ɔ.⁵/ɔ m	3 7 4 1 7 4	AXMBYN	BENKUM	20	20.B.C 20.E.V 20.N.c 20.K.C 20.U.V 20.M.c	2.0 1.5 1.1 1.75 1.3 0.8	fə.¹/əŋkɔ.⁵/ɔm	0	8	7	f ə.¹/ə ŋ k ɔ.⁵/ɔ m
1341	Adam's apple	KJSFang2	kə̀ndwə̀ŋ / bə̀ndwə̀ŋ	k ə.¹/ə n d w ə.¹/ə ŋ	1 7 4 1 6 7 4	AXMBCYN	KENTWEN	24	24.K.C 24.E.V 24.N.c 24.T.C 24.W.C 24.E.V 24.N.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	kə.¹/əndwə.¹/əŋ	0	9	8	k ə.¹/ə n d w ə.¹/ə ŋ
1342	Adam's apple	MRYKoshin2	kə́kʊ̃́ /  dʒə̀m	k ə.⁵/ə k ʊ̃.⁵/ʊ̃	1 7 1 7	AXBZ	KEKY	30	30.K.C 30.E.V 30.K.C 30.Y.V	2.0 1.5 1.75 0.8	kə.⁵/əkʊ̃.⁵/ʊ̃	0	3	9	k ə.⁵/ə k ʊ̃.⁵/ʊ̃
1343	Adam's apple	ZKGKung1	ìsêʔ / sə́sə̂ʔ	i.¹/i s e.⁵¹/e ʔ	7 3 7 1	XBYN	ISEH	53	53.I.V 53.S.C 53.E.V 53.H.c	1.5 1.75 1.3 0.8	i.¹/ise.⁵¹/eʔ	0	17	13	i.¹/i s e.⁵¹/e ʔ
1344	Adam's apple	LFNMundabli1	ǹtwœ̌ / ǹtwœ̌bó	n.¹/n t w œ.¹⁵/œ	4 1 6 7	ACCZ	NTWU	26	26.N.C 26.T.C 26.W.C 26.U.V	2.0 1.5 1.5 0.8	n.¹/ntwœ.¹⁵/œ	0	4	4	n.¹/n t w œ.¹⁵/œ -
1345	Adam's apple	NINMundabli4	ǹtʉ̀ɛ̀ː / ǹtʉ̀ɛ̀ːbó	n.¹/n t ʉ.¹/ʉ ɛː.¹/ɛː	4 1 7 7	ACYZ	NTYE	39	39.N.C 39.T.C 39.Y.V 39.E.V	2.0 1.5 1.3 0.8	n.¹/ntʉ.¹/ʉɛː.¹/ɛː	0	2	11	n.¹/n t ʉ.¹/ʉ ɛː.¹/ɛː
1346	Adam's apple	TNTMunken2	ɪ̀kpʊ̀ / àkpʊ̀	ɪ.¹/ɪ kp ʊ.¹/ʊ	7 1 7	XBZ	IKY	51	51.I.V 51.K.C 51.Y.V	1.5 1.75 0.8	ɪ.¹/ɪkpʊ.¹/ʊ	0	3	3	ɪ.¹/ɪ kp ʊ.¹/ʊ
1347	Adam's apple	WCANgun1	áʃáhá ~fyékpʊ̀hʊ̀ ~bíʃáhá / bìkpʊ̀hʊ̀	a.⁵/a ʃ a.⁵/a h a.⁵/a	7 3 7 3 7	XBYBZ	ASAHA	52	52.A.V 52.S.C 52.A.V 52.H.C 52.A.V	1.5 1.75 1.3 1.75 0.8	a.⁵/aʃa.⁵/aha.⁵/a	0	17	12	a.⁵/a ʃ a.⁵/a h a.⁵/a
1348	Adam's apple	AOMNgun2	ɪkpô / kə̀kpô ~kə̀kpó	ɪ.³/ɪ kp o.⁵¹/o	7 1 7	XBZ	IKU	3	3.I.V 3.K.C 3.U.V	1.5 1.75 0.8	ɪ.³/ɪkpo.⁵¹/o	0	3	3	ɪ.³/ɪ kp o.⁵¹/o
1349	Adam's apple	APBMumfu1	ndwɛ̀ʔ / ndʒwɛ̂ʔyə̌	n d w ɛ.¹/ɛ ʔ	4 1 6 7 1	ACCYN	NTWEH	4	4.N.C 4.T.C 4.W.C 4.E.V 4.H.c	2.0 1.5 1.5 1.3 0.8	ndwɛ.¹/ɛʔ	0	4	4	n d w ɛ.¹/ɛ ʔ
1350	Adam's apple	DNMMumfu2	ndwɛ̀ʔ / ndʒwɛ̂ʔɛbə́	n d w ɛ.¹/ɛ ʔ	4 1 6 7 1	ACCYN	NTWEH	9	9.N.C 9.T.C 9.W.C 9.E.V 9.H.c	2.0 1.5 1.5 1.3 0.8	ndwɛ.¹/ɛʔ	0	4	4	n d w ɛ.¹/ɛ ʔ
1351	Adam's apple	ABSMissong1	ìkpə́mndʒà / ákpə́mándʒa᷇ː	i.¹/i kp ə.⁵/ə m n dʒ a.¹/a	7 1 7 4 4 1 7	XBYLMBZ	IKEMNTA	1	1.I.V 1.K.C 1.E.V 1.M.c 1.N.c 1.T.C 1.A.V	1.5 1.75 1.3 1.1 1.1 1.75 0.8	i.¹/ikpə.⁵/əmndʒa.¹/a	0	1	1	i.¹/i kp ə.⁵/ə m n dʒ a.¹/a
1352	Adam's apple	AGAMissong2	ǹtsʊ́lə́ / bàntsʊ́lóbʊ́	n.¹/n ts ʊ.⁵/ʊ l ə.⁵/ə	4 2 7 5 7	ACYBZ	NCYLE	2	2.N.C 2.C.C 2.Y.V 2.L.C 2.E.V	2.0 1.5 1.3 1.75 0.8	n.¹/ntsʊ.⁵/ʊlə.⁵/ə	0	2	2	n.¹/n ts ʊ.⁵/ʊ l ə.⁵/ə
16068	Adam's apple	NFKBiya7	fìndʲòːfìtə́ntə̄ŋfí / bə̀ndʲòbə̀tə́ntə́ŋbʷé	f i.¹/i n d j oː.¹/oː f i.¹/i t ə.⁵/ə n t ə.³/ə ŋ f i.⁵/i	3 7 4 1 6 7 3 7 1 7 4 1 7 4 3 7	AXMBCYBYBYMBYMBZ	BINTJUBITENTENBI	37	37.B.C 37.I.V 37.N.c 37.T.C 37.J.C 37.U.V 37.B.C 37.I.V 37.T.C 37.E.V 37.N.c 37.T.C 37.E.V 37.N.c 37.B.C 37.I.V	2.0 1.5 1.1 1.75 1.5 1.3 1.75 1.3 1.75 1.3 1.1 1.75 1.3 1.1 1.75 0.8	fi.¹/indjoː.¹/oːfi.¹/itə.⁵/əntə.³/əŋfi.⁵/i	0	13	10	f i.¹/i n d j oː.¹/oː f i.¹/i t ə.⁵/ə n t ə.³/ə ŋ f i.⁵/i
16069	Adam's apple	FBCBiya8	ndʲòː / bə̀ndʲòː	n d j oː.¹/oː	4 1 6 7	ACCZ	NTJU	13	13.N.C 13.T.C 13.J.C 13.U.V	2.0 1.5 1.5 0.8	ndjoː.¹/oː	1	4	6	n d j oː.¹/oː
