ID	Concept	Doculect	Value	Tokens
1	child	NVBAbar7	wân / átɛ̂ŋmbɪ̂	w a.⁵¹/a n
2	child	ECLAbar8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́	w a.⁵¹/a n
3	child	NMAAbar1	wân / bwɪ́tə᷇ːŋ ~ ʃǐːtə᷇ŋ	w a.⁵¹/a n
4	child	NACAbar2	wân / bə̀tə᷇ːŋ	w a.⁵¹/a n
5	child	NEMAjumbu9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ	w a.¹/a ŋ
6	child	NVIAjumbu1	wâŋ / àtɔ᷇ːŋ	w a.⁵¹/a ŋ
7	child	KMNAjumbu2	wàŋ / àtɔ᷇ːŋ	w a.¹/a ŋ
8	child	KDCAjumbu10	wáːnə̂ / átɔ́ŋ	w aː.⁵/aː n ə.⁵¹/ə
9	child	NNBBuu3	wán / ɲʲòmnə́	w a.⁵/a n
10	child	MNJBuu4	wán / nwòmnə́~ɲʷòmnə́	w a.⁵/a n
11	child	KEMBuu1	wán ~ kúóə̀ / ɲyòmnə́	w a.⁵/a n
12	child	KCYBuu2	wán / ɲyòmnə́	w a.⁵/a n
13	child	KHKFang12	wán / ŋmɛ́m	w a.⁵/a n
14	child	DPNFang13	wán / ŋmɛ́m	w a.⁵/a n
15	child	KDVFang1	wán ~ wāɲ / ŋmɛ́n ~ ŋmɛ́m	w a.⁵/a n
16	child	KJSFang2	wen/bum this	w e.³/e n
17	child	JGYKoshin3	wāɲ / bāɲ	w a.³/a ɲ
18	child	TELKoshin4	wáɲ / ba᷇ːɲ	w a.⁵/a ɲ
19	child	KCSKung3	wāɲ / m̀nɛ᷇ː	w a.³/a ɲ
20	child	NJSKung4	wáʲ / wáːɣê ~ nêmê	w a.⁵/a j
21	child	ZKGKung1	wāɪ̄ / wáɪ́	w a.³/a ɪ.³/ɪ
22	child	BNMKung2	wāɪ̄ / ə̀wáɪ́	w a.³/a ɪ.³/ɪ
23	child	NMNMundabli3	wáɦɲ / ɲɒ́ɦm	w a.⁵/a ɦ ɲ
24	child	CENMundabli2	wán / ɲɒ́m	w a.⁵/a n
25	child	LFNMundabli1	wān / ɲɔ̄m	w a.³/a n
26	child	NINMundabli4	wān / ɲɔ̄mbó	w a.³/a n
27	child	NGTMunken3	wān / bə̀kʲə̂ŋ	w a.³/a n
28	child	NUNMunken4	wān / bə̀kʲɪ̄ŋ	w a.³/a n
29	child	NEAMunken1	wán~ / bə́kɪ᷇ːn	w a.⁵/a n
30	child	TNTMunken2	wān / bə́kyɨ᷇ːŋ	w a.³/a n
31	child	MCANgun3	wān / bɛ̀tʲa᷇ːŋ	w a.³/a n
32	child	KBMNgun4	wān / bə́tʲa᷇ːŋ	w a.³/a n
33	child	WCANgun1	wān~wán/bə̀fɪ́n~bə́tyâŋ~ bɛ̀tya᷇ːŋ	w a.³/a n
34	child	AOMNgun2	wán~wâw / bɛkyâŋ ~wâwɛ́nwɪ̂	w a.⁵/a n
35	child	APBMumfu1	wɛ́ʼn / ɲɔ́m	w ɛ.⁵/ɛ ʔ n
36	child	DNMMumfu2	wɛ́ʼn / ɲɔ́m	w ɛ.⁵/ɛ ʔ n
37	child	BKBMashi2	ŋwə́ / bím	ŋ w ə.⁵/ə
38	child	KFKMashi1	ŋwə́ / bín	ŋ w ə.⁵/ə
39	child	ABSMissong1	wâ / bàbyáŋbʊ́	w a.⁵¹/a
40	child	AGAMissong2	wá ~ wó / bàbya᷇ŋ	w a.⁵/a
41	baby	NMAAbar1	ʃǐːtə᷇ŋ / ḿtə᷇ŋ	ʃ iː.¹⁵/iː t ə.⁵³/ə ŋ
42	baby	NACAbar2	wân / bə̀tə̂ŋ	w a.⁵¹/a n
43	baby	NVIAjumbu1	wâŋ / àtɔ᷇ːŋ	w a.⁵¹/a ŋ
44	baby	KMNAjumbu2	wàŋ / àtɔ᷇ːŋ	w a.¹/a ŋ
45	baby	KEMBuu1	wán / ɲyòmnə́	w a.⁵/a n
46	baby	KCYBuu2	wânbóːlə́ ~ wán / ɲyòmnə́	w a.⁵¹/a n b oː.⁵/oː l ə.⁵/ə
47	baby	MRYKoshin2	wāɲ / ø	w a.³/a ɲ
48	baby	ZKGKung1	wáɪ́búó / wáɪ́bwôŋə́	w a.⁵/a ɪ.⁵/ɪ b u.¹/u o.⁵/o
49	baby	BNMKung2	wàɪ̀ʊ̀bwóʊ̀ / wáːbwʊ́ə́	w a.¹/a ɪ.¹/ɪ ʊ.¹/ʊ b w o.⁵/o ʊ.¹/ʊ
50	baby	LFNMundabli1	kə̀tʊ́ / ø	k ə.¹/ə t ʊ.⁵/ʊ
51	baby	NINMundabli4	wámbúé ~wáh / ɲɔ́mbóbwébó ~ɲɔ́m	w a.⁵/a m b u.¹/u e.⁵/e
52	baby	NEAMunken1	wânʊ̀ːbə̀lə́ / bə̀kɪ᷇ːŋbə́bə́lə̄	w a.⁵¹/a n ʊː.¹/ʊː b ə.¹/ə l ə.⁵/ə
53	baby	TNTMunken2	ʃíwán / bə́kyɨ᷇ːŋ	ʃ i.⁵/i w a.⁵/a n
54	baby	AOMNgun2	fíbuàŋɨ̂ ~fíkyâŋɪ́ / mùnbyàŋhʊ̀ ~mɨ̃̀ntya᷇ŋ	f i.⁵/i b u.³/u a.¹/a ŋ ɨ.⁵¹/ɨ
55	baby	APBMumfu1	wɛ́ʼn / ɲɔ́m	w ɛ.⁵/ɛ ʔ n
56	baby	DNMMumfu2	wɛ́ʼnwɛ̄ʔn / ɲɔ́mʔbə́	w ɛ.⁵/ɛ ʔ n w ɛ.³/ɛ ʔ n
57	baby	BKBMashi2	ŋwə́ / bím	ŋ w ə.⁵/ə
58	baby	KFKMashi1	ŋwóbʷə̄t / bínbʊ̄bə́tbó	ŋ w o.⁵/o bʷ ə.³/ə t
59	baby	ABSMissong1	fìfyáŋə̂ / mìyáŋmú	f i.¹/i f j a.⁵/a ŋ ə.⁵¹/ə
60	baby	AGAMissong2	wá / bàbya᷇ŋ	w a.⁵/a
