# Wordlist

# DATA
ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID
#
1338	Adam's apple	NVIAjumbu1	fə̀ndyɔ̀ŋ~kə̀ndyɔ̀ŋ / mə̀ndyɔ̀ŋ	f ə ¹ n d j ɔ ¹ ŋ	3 7 8 4 1 6 7 8 4	AXTMBCYTN	BE6NTJU6N	49	49.B.C 49.E.V 49.6.T 49.N.c 49.T.C 49.J.C 49.U.V 49.6.T 49.N.c	1.6 3.0 1.0 1.1 1.3 1.2 3.0 1.0 0.5	fə¹ndjɔ¹ŋ	0	9	11
1339	Adam's apple	KEMBuu1	kə̀ndwɔ̌ŋ / kə́ndwɔ᷇ːŋtə́	k ə ¹ n d w ɔ ¹⁵ ŋ	1 7 8 4 1 6 7 8 4	AXTMBCYTN	KE6NTWU2N	21	21.K.C 21.E.V 21.6.T 21.N.c 21.T.C 21.W.C 21.U.V 21.2.T 21.N.c	1.6 3.0 1.0 1.1 1.3 1.2 3.0 1.0 0.5	kə¹ndwɔ¹⁵ŋ	0	9	4
1340	Adam's apple	KDVFang1	fə̀ŋkɔ́m / mə̀ŋkɔ́m	f ə ¹ ŋ k ɔ ⁵ m	3 7 8 4 1 7 8 4	AXTMBYTN	BE6NKU6M	20	20.B.C 20.E.V 20.6.T 20.N.c 20.K.C 20.U.V 20.6.T 20.M.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	fə¹ŋkɔ⁵m	0	8	7
1341	Adam's apple	KJSFang2	kə̀ndwə̀ŋ / bə̀ndwə̀ŋ	k ə ¹ n d w ə ¹ ŋ	1 7 8 4 1 6 7 8 4	AXTMBCYTN	KE6NTWE6N	24	24.K.C 24.E.V 24.6.T 24.N.c 24.T.C 24.W.C 24.E.V 24.6.T 24.N.c	1.6 3.0 1.0 1.1 1.3 1.2 3.0 1.0 0.5	kə¹ndwə¹ŋ	0	9	4
1342	Adam's apple	MRYKoshin2	kə́kʊ̃́ /  dʒə̀m	k ə ⁵ k ʊ̃ ⁵	1 7 8 1 7 8	AXTBYT	KE6KY6	30	30.K.C 30.E.V 30.6.T 30.K.C 30.Y.V 30.6.T	1.6 3.0 1.0 1.3 3.0 1.0	kə⁵kʊ̃⁵	0	3	8
1343	Adam's apple	ZKGKung1	ìsêʔ / sə́sə̂ʔ	i ¹ s e ⁵¹ ʔ	7 8 3 7 8 1	XTBYTN	I6SE3H	53	53.I.V 53.6.T 53.S.C 53.E.V 53.3.T 53.H.c	3.0 1.0 1.3 3.0 1.0 0.5	i¹se⁵¹ʔ	0	17	13
1344	Adam's apple	LFNMundabli1	ǹtwœ̌ / ǹtwœ̌bó	n ¹ t w œ ¹⁵	4 8 1 6 7 8	ATBCYT	N6TWU2	26	26.N.C 26.6.T 26.T.C 26.W.C 26.U.V 26.2.T	1.6 1.0 1.3 1.2 3.0 1.0	n¹twœ¹⁵	0	2	4
1345	Adam's apple	NINMundabli4	ǹtʉ̀ɛ̀ː / ǹtʉ̀ɛ̀ːbó	n ¹ t ʉ ¹ ɛː ¹	4 8 1 7 8 7 8	ATBYTYT	N6TY6E6	39	39.N.C 39.6.T 39.T.C 39.Y.V 39.6.T 39.E.V 39.6.T	1.6 1.0 1.3 3.0 1.0 3.0 1.0	n¹tʉ¹ɛː¹	0	2	10
1346	Adam's apple	TNTMunken2	ɪ̀kpʊ̀ / àkpʊ̀	ɪ ¹ kp ʊ ¹	7 8 1 7 8	XTBYT	I6KY6	51	51.I.V 51.6.T 51.K.C 51.Y.V 51.6.T	3.0 1.0 1.3 3.0 1.0	ɪ¹kpʊ¹	0	3	3
