Concept	Stability
Basket (male)	1.0
Basket (small)	1.0
Beans (from Kom)	1.0
Calabash-rattle	1.0
Canoe, trough	1.0
Cap (native black)	1.0
Clay pot (father soup)	1.0
Clay pot (palace-wine)	1.0
Clay pot (soup, amulet)	1.0
Cone (nuts removed)	1.0
Cone (palmnut)	1.0
Fang annual dance	1.0
Flat swelling (filaria)	1.0
Furrow (between ridges)	1.0
Lizard (smallest)	1.0
Palm frond rope	1.0
Palmnut (ripe, uncracked)	1.0
Pipe (wine tapping)	1.0
Soup pestle(vegetable)	1.0
Wooden-dish (leg+lid)	1.0
Wooden-dish (yellow soup, feast)	1.0
amulets (for compound)	1.0
amulets (inclined roof)	1.0
ants (black, open thongs)	1.0
ask	1.0
back (human body)	1.0
banana (native)	1.0
barn (corn storage)	1.0
barren palm cone	1.0
bat (smallest)	1.0
beetle	1.0
big hawk (catches monkeys)	1.0
big termite mount	1.0
big woven dish	1.0
bite	1.0
black	1.0
boil (small abscess)	1.0
box (container)	1.0
breath, air	1.0
calabash (long-neck), child, twin calabash	1.0
calabash (not yet perforated)	1.0
calf	1.0
cassava	1.0
catch (run)	1.0
caterpillar (black, stings)	1.0
caterpillar (cylinder sticks)	1.0
caterpillar (for crabs)	1.0
caterpillar (red, yellow lines)	1.0
caterpillar (stings)	1.0
chair (plank)	1.0
chimpanzee	1.0
clay pot (for cooking fufu)	1.0
clay-pot (big)	1.0
cloth-tree	1.0
cobra	1.0
cobweb	1.0
cockroach (toilet)	1.0
cocoyam (slimy strands)	1.0
corn flour	1.0
cutlass (small)	1.0
dance (v)	1.0
datepalm	1.0
discussion	1.0
dish (aluminium)	1.0
dish/pot (clay)	1.0
door	1.0
egussi	1.0
elder (cultural initiation rites)	1.0
elder (palace)	1.0
elders dance	1.0
evil society (nyoŋgo)	1.0
faeces (little)	1.0
fall	1.0
fax-stick	1.0
female youth dance	1.0
fence (open, farm)	1.0
fence (sealed, - palace)	1.0
fibre - palm (rope)	1.0
finger abscess (wicklow)	1.0
fireside stone (pot support stones)	1.0
fish (nose rashes)	1.0
flat-long-stones	1.0
flute (vertical)	1.0
flute dance	1.0
fly (larger than normal fly)	1.0
friend (female)	1.0
front-door	1.0
garbage pit	1.0
gauze (drying meat)	1.0
grass-house	1.0
grasshopper (fattest)	1.0
graveyard	1.0
grinding stone	1.0
half	1.0
hand (plantain) 1	1.0
hand-piano	1.0
handle(knife), arm	1.0
hatred (n)	1.0
hill grass	1.0
hot	1.0
hour	1.0
hut (k. o (a))	1.0
hut (k. o (b))	1.0
indian-bamboo	1.0
itching catarrh	1.0
join (people)	1.0
joint	1.0
juju house	1.0
k. o ant (yellow)	1.0
k.o bag (hanged)	1.0
k.o bee	1.0
k.o calabash	1.0
k.o calabash (ball like)	1.0
k.o caterpillar	1.0
k.o cocoyam (a)	1.0
k.o cocoyam (b)	1.0
k.o dragonfly	1.0
k.o female dance, female rite society	1.0
k.o fish (white)	1.0
k.o fly (slow, painful bite)	1.0
k.o fly (smart, bite, sucks)	1.0
k.o fly (sucks, compound)	1.0
k.o mushroom (brown)	1.0
k.o mushroom (small)	1.0
k.o mushroom (white, flat like fufu)	1.0
k.o mushroom (whitish)	1.0
k.o mushroom (yellowish)	1.0
k.o rat	1.0
k.o rope	1.0
k.o rope (bangle)	1.0
k.o song	1.0
k.o spear (fins)	1.0
k.o spear (large head)	1.0
k.o spear (sharp head)	1.0
k.o trap (a dug hole)	1.0
k.o trap (neck trap)	1.0
k.o trap(rope)	1.0
k.o tree (boma) (fruit, children spin)	1.0
k.o tree (boundary tree)	1.0
k.o tree (brown edible leaves)	1.0
k.o tree (camwood tree)	1.0
k.o tree (caterpillars for crabs)	1.0
k.o tree (spoon-fruit)	1.0
lie	1.0
lie (deceive) (v)	1.0
light	1.0
little hand bag	1.0
lock (v)	1.0
long drum	1.0
long neck calabash	1.0
male youth dance	1.0
metal ankle rattles	1.0
moss plant	1.0
mumps	1.0
native cup	1.0
oil-sieve spoon	1.0
outer palm nuts	1.0
palace	1.0
palm beetle (from dead palm)	1.0
palm cone (empty)	1.0
palm fin	1.0
palm grub	1.0
palm margot (yellow, destroys young palms)	1.0
palm oil	1.0
palmnuts(cracked)	1.0
patches, dotted	1.0
pestle	1.0
pestle (for fufu)	1.0
pillar (in-house support ceiling)	1.0
planting basket (waist)	1.0
pot-sizing stone	1.0
power (n)	1.0
price (n)	1.0
prince	1.0
quarter head	1.0
rat (bush)	1.0
rat (size next to rat mole)	1.0
rat (smallest)	1.0
rat (yellow abdomen)	1.0
red feather bird (feather on caps)	1.0
response	1.0
ring (hand, ear)	1.0
roast	1.0
rope (goat)	1.0
rope (k.o)	1.0
rope (palm climbing)	1.0
sacred dance	1.0
sand-paper tree	1.0
seed (corn)	1.0
seed (groundnut)	1.0
shaving knife	1.0
short drum	1.0
side pain (rapid heart beat under the left breast)	1.0
sky, heaven	1.0
slimy soup chaff	1.0
slimy soup dish (clay pot)	1.0
small drum	1.0
small hand bag for female (dance)	1.0
snake (black)	1.0
snake (dotted mboma)	1.0
snake (white, smallest)	1.0
sneeze	1.0
soil beetle (edible)	1.0
song bird (after rain)	1.0
soup-pot (clay-made)	1.0
sperm	1.0
spin (v)	1.0
staff (stick walk support)	1.0
stick1	1.0
stick2	1.0
stone trap	1.0
summon  (v)	1.0
swelling (with no pus)	1.0
tapping -pipe	1.0
tapping pipe (raffia/palm wine)	1.0
tapping-pipe	1.0
teeth	1.0
termite mount	1.0
time	1.0
toenail	1.0
trap (2)	1.0
trap (inclined stone)	1.0
trap (rope-bone)	1.0
