Concept	Stability
cassava	1.0
cow, cattle	0.9431007128
breast	0.9326074963
tongue	0.9326074963
child	0.931366073
mother	0.9188605575
ear	0.9110469983
chief	0.9016915776
axe	0.8931207002
grave	0.8931207002
bone	0.8727232608
groundnut	0.8727232608
rope	0.8695534274
bag	0.8674546379
knee	0.8571227439
head	0.8499400091
sheep	0.8481788318
book	0.8441150143
navel	0.8415662359
sand	0.8394301918
headpad	0.8357847814
horse	0.8302504547
gong	0.8276027968
sieve	0.8231451039
bird	0.8215515719
heart	0.8106082317
song	0.8029827324
father	0.7947238922
raffia bamboo	0.794246625
hand	0.7906279011
dish (pan)	0.7879644401
stone	0.7867538527
soap	0.7842741821
tooth	0.7768137847
ladder	0.7751504648
war	0.7740925735
kernel	0.7715932056
fence	0.7679432003
fowl	0.7578265753
deity, god, God	0.7574750789
cat	0.7570005937
house	0.7544339182
smoke	0.7537247346
goat	0.753261448
crab	0.7409615374
house fly	0.7399034204
grass	0.7375412057
bitter leaf	0.7372725965
neck	0.7363131325
dance	0.7342600034
potato	0.7259663933
arm	0.7257070871
faeces	0.7252265656
tree	0.721499101
amaranthus (green)	0.7200276429
medicine	0.7192995305
nose	0.718580772
hair	0.7170629053
forest	0.716728955
eye	0.7166077536
sugar cane	0.7081551787
cock	0.7062385455
camwood	0.7005010593
penis	0.6990976693
jaw	0.69537099
road	0.6940068715
horn (head)	0.6919445505
dry season	0.6880501827
wax (incense)	0.6823315793
name	0.6813964999
case (court) (n)	0.6792876279
devil	0.6791770354
cloth	0.6761057065
hill	0.6753602682
rain	0.6746654499
caterpillar	0.6744784595
animal	0.6736987121
dog	0.6707938905
cola	0.6687185222
vagina	0.6684236307
bat	0.6678367454
friend	0.6637915311
seed	0.6613866765
cricket	0.6603072693
cutlass	0.6602456118
chair	0.658398488
moon	0.6563125867
corn	0.6562780936
place	0.6536154332
umbrella	0.6533843852
cocoyam	0.6485728233
work (n)	0.6484034794
tobacco	0.6474403813
fire	0.6459340027
mat (rhizom plant)	0.6447175003
plantain	0.6444815357
blood	0.643256452
stomach	0.6418882559
root	0.641030486
basket	0.6382908558
dust	0.6344671589
snake	0.6341213361
ridge (farm)	0.6333203962
pineapple	0.6326090637
rat	0.6317130043
sun	0.6314490951
leaf	0.6296588615
farm	0.6295904251
hoe	0.6279306303
hailstone	0.6273018377
salt	0.6264902844
monkey	0.6246116825
pig	0.6185170509
fireside	0.6181154745
corn fufu	0.615987148
person	0.6147306089
mouth	0.6115592705
bed	0.6027315913
air	0.6017088438
belly	0.5995642254
jigger	0.5984401538
oil	0.5968754266
bridge	0.5921460779
yam	0.5920065073
owl	0.5898394092
thigh (lap)	0.5881649844
broom	0.586507242
stick	0.5835135084
year	0.5834490208
palm nut	0.5822790753
week	0.5818258378
egg	0.5800063419
soldier ant	0.5797295421
knife	0.5790035346
palm tree	0.5745957471
xylophone	0.5740981653
snore	0.572891032
zinc	0.5638808951
cup	0.5637535117
water	0.5634502919
intestine	0.5615244169
spoon	0.561277106
cough (n)	0.561245103
sky	0.5589369544
pap	0.5550236337
toilet	0.5544146594
spider	0.5537524482
fly (bird)	0.5530040603
feather	0.5524773801
trap	0.5510062389
pepper	0.546024087
sweat	0.5455524952
gizzard (fowl)	0.5412371135
hole	0.5371005019
gun	0.5352369036
body	0.5294682142
ash (wood)	0.5279124587
day	0.5251039226
fish	0.5213094475
cap	0.517588511
bottle	0.5159512258
wingless termite	0.5147752529
banana	0.5147582729
mushroom	0.5137153513
story	0.5090475032
elephant stalk	0.5071486704
comb	0.5064539341
sickness	0.4968801588
storm (wind)	0.4916422845
dirts	0.480637864
grasshopper	0.4764337982
toad (rough back)	0.4752811418
star	0.4739868318
drum	0.4689611299
pot	0.4638801894
testicle	0.4418771518
compound	0.4381988245
garden egg	0.4231555958
lizard	0.4213379184
lake	0.4169260725
catarrh	0.4061237611
honey juice	0.3956473831
rainbow	0.3885078772
termite	0.3382385263
