Variety	Concept	Stability
abar1239	air	1.0
abar1239	animal	1.0
abar1239	axe	1.0
abar1239	bag	1.0
abar1239	bed	1.0
abar1239	bird	1.0
abar1239	bitter leaf	1.0
abar1239	blood	1.0
abar1239	book	1.0
abar1239	breast	1.0
abar1239	bridge	1.0
abar1239	broom	1.0
abar1239	cat	1.0
abar1239	caterpillar	1.0
abar1239	chief	1.0
abar1239	child	1.0
abar1239	cocoyam	1.0
abar1239	corn	1.0
abar1239	cow, cattle	1.0
abar1239	cricket	1.0
abar1239	cup	1.0
abar1239	cutlass	1.0
abar1239	dance	1.0
abar1239	day	1.0
abar1239	deity, god, God	1.0
abar1239	devil	1.0
abar1239	dog	1.0
abar1239	dust	1.0
abar1239	ear	1.0
abar1239	egg	1.0
abar1239	faeces	1.0
abar1239	farm	1.0
abar1239	feather	1.0
abar1239	fence	1.0
abar1239	fire	1.0
abar1239	fish	1.0
abar1239	forest	1.0
abar1239	garden egg	1.0
abar1239	goat	1.0
abar1239	gong	1.0
abar1239	grass	1.0
abar1239	grave	1.0
abar1239	gun	1.0
abar1239	hair	1.0
abar1239	head	1.0
abar1239	heart	1.0
abar1239	hill	1.0
abar1239	hoe	1.0
abar1239	hole	1.0
abar1239	honey juice	1.0
abar1239	horse	1.0
abar1239	house	1.0
abar1239	intestine	1.0
abar1239	jaw	1.0
abar1239	leaf	1.0
abar1239	lizard	1.0
abar1239	monkey	1.0
abar1239	mother	1.0
abar1239	mouth	1.0
abar1239	name	1.0
abar1239	nose	1.0
abar1239	oil	1.0
abar1239	owl	1.0
abar1239	palm nut	1.0
abar1239	palm tree	1.0
abar1239	pepper	1.0
abar1239	person	1.0
abar1239	pig	1.0
abar1239	pineapple	1.0
abar1239	place	1.0
abar1239	plantain	1.0
abar1239	pot	1.0
abar1239	potato	1.0
abar1239	raffia bamboo	1.0
abar1239	rain	1.0
abar1239	rat	1.0
abar1239	salt	1.0
abar1239	sheep	1.0
abar1239	sieve	1.0
abar1239	snake	1.0
abar1239	soap	1.0
abar1239	soldier ant	1.0
abar1239	song	1.0
abar1239	spider	1.0
abar1239	star	1.0
abar1239	stone	1.0
abar1239	storm (wind)	1.0
abar1239	story	1.0
abar1239	sun	1.0
abar1239	tobacco	1.0
abar1239	tongue	1.0
abar1239	tooth	1.0
abar1239	tree	1.0
abar1239	umbrella	1.0
abar1239	war	1.0
abar1239	yam	1.0
biya1235	air	1.0
biya1235	amaranthus (green)	1.0
biya1235	arm	1.0
biya1235	ash (wood)	1.0
biya1235	axe	1.0
biya1235	bag	1.0
biya1235	basket	1.0
biya1235	bed	1.0
biya1235	belly	1.0
biya1235	bird	1.0
biya1235	bitter leaf	1.0
biya1235	blood	1.0
biya1235	body	1.0
biya1235	bone	1.0
biya1235	book	1.0
biya1235	breast	1.0
biya1235	camwood	1.0
biya1235	cassava	1.0
biya1235	caterpillar	1.0
biya1235	chair	1.0
biya1235	chief	1.0
biya1235	child	1.0
biya1235	cloth	1.0
biya1235	cock	1.0
biya1235	cocoyam	1.0
biya1235	cola	1.0
biya1235	comb	1.0
biya1235	corn	1.0
biya1235	corn fufu	1.0
biya1235	cough (n)	1.0
biya1235	cow, cattle	1.0
biya1235	cup	1.0
biya1235	cutlass	1.0
biya1235	deity, god, God	1.0
biya1235	dirts	1.0
biya1235	dish (pan)	1.0
biya1235	drum	1.0
biya1235	dry season	1.0
biya1235	ear	1.0
biya1235	egg	1.0
biya1235	elephant stalk	1.0
biya1235	eye	1.0
biya1235	faeces	1.0
biya1235	fire	1.0
biya1235	fish	1.0
biya1235	forest	1.0
biya1235	goat	1.0
biya1235	gong	1.0
biya1235	grave	1.0
biya1235	groundnut	1.0
biya1235	hair	1.0
biya1235	hand	1.0
biya1235	head	1.0
biya1235	headpad	1.0
biya1235	heart	1.0
biya1235	hoe	1.0
biya1235	hole	1.0
biya1235	horn (head)	1.0
biya1235	horse	1.0
biya1235	house	1.0
biya1235	house fly	1.0
biya1235	jaw	1.0
biya1235	jigger	1.0
biya1235	knee	1.0
biya1235	ladder	1.0
biya1235	leaf	1.0
biya1235	moon	1.0
biya1235	mouth	1.0
biya1235	mushroom	1.0
biya1235	name	1.0
biya1235	navel	1.0
biya1235	neck	1.0
biya1235	nose	1.0
biya1235	oil	1.0
biya1235	owl	1.0
biya1235	palm nut	1.0
biya1235	penis	1.0
biya1235	person	1.0
biya1235	pig	1.0
biya1235	place	1.0
biya1235	potato	1.0
biya1235	raffia bamboo	1.0
biya1235	rain	1.0
biya1235	rat	1.0
biya1235	road	1.0
biya1235	root	1.0
biya1235	rope	1.0
biya1235	sand	1.0
biya1235	seed	1.0
biya1235	sheep	1.0
biya1235	sky	1.0
biya1235	smoke	1.0
biya1235	snore	1.0
biya1235	soap	1.0
biya1235	song	1.0
biya1235	spider	1.0
biya1235	spoon	1.0
biya1235	stone	1.0
biya1235	storm (wind)	1.0
biya1235	sweat	1.0
biya1235	testicle	1.0
biya1235	tobacco	1.0
biya1235	tongue	1.0
biya1235	tooth	1.0
biya1235	tree	1.0
biya1235	vagina	1.0
biya1235	war	1.0
biya1235	wax (incense)	1.0
biya1235	week	1.0
biya1235	wingless termite	1.0
