ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
11935	air	NVBAbar7	ʊ́gbáhá / ɪ̀gbáhákî	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	7 1 7 3 7	XBYBZ	YKAHA	48	48.Y.V 48.K.C 48.A.V 48.H.C 48.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
11936	air	ECLAbar8	ʊ̀gbáhá / kɪ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	7 1 7 3 7	XBYBZ	YKAHA	11	11.Y.V 11.K.C 11.A.V 11.H.C 11.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
11937	air	NMAAbar1	ʊ́gbáhá / kígbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	7 1 7 3 7	XBYBZ	YKAHA	42	42.Y.V 42.K.C 42.A.V 42.H.C 42.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
11938	air	NACAbar2	ʊ́gbáhá~ʊ́báhá/ kígbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	7 1 7 3 7	XBYBZ	YKAHA	31	31.Y.V 31.K.C 31.A.V 31.H.C 31.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
11939	air	NEMAjumbu9	ŋ̩̀vùlə́ / àŋ̩̀vùlə́	ŋ.¹/ŋ v u.¹/u l ə.⁵/ə	4 3 7 5 7	ACYBZ	NBYLE	36	36.N.C 36.B.C 36.Y.V 36.L.C 36.E.V	2.0 1.5 1.3 1.75 0.8	ŋ.¹/ŋvu.¹/ulə.⁵/ə	0	18	ŋ.¹/ŋ v u.¹/u l ə.⁵/ə
11940	air	NVIAjumbu1	m̀vùlə́ / bə̀mvʊ̀lə́~bə̀àmvùlə́~àmvùlə́	m.¹/m v u.¹/u l ə.⁵/ə	4 3 7 5 7	ACYBZ	MBYLE	49	49.M.C 49.B.C 49.Y.V 49.L.C 49.E.V	2.0 1.5 1.3 1.75 0.8	m.¹/mvu.¹/ulə.⁵/ə	0	18	m.¹/m v u.¹/u l ə.⁵/ə
11941	air	KMNAjumbu2	m̀vùːlə́ / àmvúːlə́	m.¹/m v uː.¹/uː l ə.⁵/ə	4 3 7 5 7	ACYBZ	MBYLE	25	25.M.C 25.B.C 25.Y.V 25.L.C 25.E.V	2.0 1.5 1.3 1.75 0.8	m.¹/mvuː.¹/uːlə.⁵/ə	0	18	m.¹/m v uː.¹/uː l ə.⁵/ə
11942	air	KDCAjumbu10	ⁿvùlə́ / àⁿvùlə́	n v u.¹/u l ə.⁵/ə	4 3 7 5 7	ACYBZ	NBYLE	19	19.N.C 19.B.C 19.Y.V 19.L.C 19.E.V	2.0 1.5 1.3 1.75 0.8	nvu.¹/ulə.⁵/ə	0	18	n v u.¹/u l ə.⁵/ə
11943	air	NNBBuu3	gbísə́ / kə̀gbɪ́sə́nə̄	gb i.⁵/i s ə.⁵/ə	1 7 3 7	AXBZ	KISE	45	45.K.C 45.I.V 45.S.C 45.E.V	2.0 1.5 1.75 0.8	gbi.⁵/isə.⁵/ə	0	1	- gb i.⁵/i s ə.⁵/ə
11944	air	MNJBuu4	gbɪ́sə́ / kə̀gbɪ̂sə̀nə́	gb ɪ.⁵/ɪ s ə.⁵/ə	1 7 3 7	AXBZ	KISE	29	29.K.C 29.I.V 29.S.C 29.E.V	2.0 1.5 1.75 0.8	gbɪ.⁵/ɪsə.⁵/ə	0	1	- gb ɪ.⁵/ɪ s ə.⁵/ə
11945	air	KEMBuu1	gbɪ́sə́ / kə́gbɪ̂sə̀nə́ ~	gb ɪ.⁵/ɪ s ə.⁵/ə	1 7 3 7	AXBZ	KISE	21	21.K.C 21.I.V 21.S.C 21.E.V	2.0 1.5 1.75 0.8	gbɪ.⁵/ɪsə.⁵/ə	0	1	- gb ɪ.⁵/ɪ s ə.⁵/ə
11946	air	KCYBuu2	gbɪ́sə́ / kə́gbɪ́sə́	gb ɪ.⁵/ɪ s ə.⁵/ə	1 7 3 7	AXBZ	KISE	18	18.K.C 18.I.V 18.S.C 18.E.V	2.0 1.5 1.75 0.8	gbɪ.⁵/ɪsə.⁵/ə	0	1	- gb ɪ.⁵/ɪ s ə.⁵/ə
11947	air	KHKFang12	bʲə́ / tə̀bʲə́	b j ə.⁵/ə	1 6 7	ACX	PJE	23	23.P.C 23.J.C 23.E.V	2.0 1.5 1.5	bjə.⁵/ə	0	10	b j ə.⁵/ə
11948	air	DPNFang13	bʲə́ / tə̀bʲə́kə̄	b j ə.⁵/ə	1 6 7	ACX	PJE	10	10.P.C 10.J.C 10.E.V	2.0 1.5 1.5	bjə.⁵/ə	0	10	b j ə.⁵/ə
11949	air	KDVFang1	byé	b j e.⁵/e	1 6 7	ACX	PJE	20	20.P.C 20.J.C 20.E.V	2.0 1.5 1.5	bje.⁵/e	0	10	b j e.⁵/e
11950	air	KJSFang2	byé	b j e.⁵/e	1 6 7	ACX	PJE	24	24.P.C 24.J.C 24.E.V	2.0 1.5 1.5	bje.⁵/e	0	10	b j e.⁵/e
11951	air	JGYKoshin3	gbɪ́ː / ø	gb ɪː.⁵/ɪː	1 7	AX	KI	15	15.K.C 15.I.V	2.0 1.5	gbɪː.⁵/ɪː	0	4	gb ɪː.⁵/ɪː -
11952	air	TELKoshin4	gbɪ́í / ø	gb ɪ.⁵/ɪ i.⁵/i	1 7 7	AXZ	KII	50	50.K.C 50.I.V 50.I.V	2.0 1.5 0.8	gbɪ.⁵/ɪi.⁵/i	0	4	gb ɪ.⁵/ɪ i.⁵/i
11953	air	KCSKung3	kə̀fɒ́f / ʊ́fɒ́f	k ə.¹/ə f ɒ.⁵/ɒ f	1 7 3 7 3	AXBYN	KEBOB	17	17.K.C 17.E.V 17.B.C 17.O.V 17.B.c	2.0 1.5 1.75 1.3 0.8	kə.¹/əfɒ.⁵/ɒf	0	16	k ə.¹/ə f ɒ.⁵/ɒ f
11954	air	NJSKung4	kə̀fə́f~kə̀fɑf / ʊ̀fɑ́f	k ə.¹/ə f ə.⁵/ə f	1 7 3 7 3	AXBYN	KEBEB	41	41.K.C 41.E.V 41.B.C 41.E.V 41.B.c	2.0 1.5 1.75 1.3 0.8	kə.¹/əfə.⁵/əf	0	16	k ə.¹/ə f ə.⁵/ə f
11955	air	ZKGKung1	ɪ́zʊ́ʔ / sə́zʊ́ʔ	ɪ.⁵/ɪ z ʊ.⁵/ʊ ʔ	7 3 7 1	XBYN	ISYH	53	53.I.V 53.S.C 53.Y.V 53.H.c	1.5 1.75 1.3 0.8	ɪ.⁵/ɪzʊ.⁵/ʊʔ	0	7	- ɪ.⁵/ɪ z ʊ.⁵/ʊ ʔ
11956	air	BNMKung2	sə́zʊ́ʔ / ø	s ə.⁵/ə z ʊ.⁵/ʊ ʔ	3 7 3 7 1	AXBYN	SESYH	7	7.S.C 7.E.V 7.S.C 7.Y.V 7.H.c	2.0 1.5 1.75 1.3 0.8	sə.⁵/əzʊ.⁵/ʊʔ	0	7	s ə.⁵/ə z ʊ.⁵/ʊ ʔ
11957	air	NMNMundabli3	gbé / gbé	gb e.⁵/e	1 7	AX	KE	43	43.K.C 43.E.V	2.0 1.5	gbe.⁵/e	0	4	gb e.⁵/e -
11958	air	CENMundabli2	gbé / gbé	gb e.⁵/e	1 7	AX	KE	8	8.K.C 8.E.V	2.0 1.5	gbe.⁵/e	0	4	gb e.⁵/e -
11959	air	LFNMundabli1	gbé / ø	gb e.⁵/e	1 7	AX	KE	26	26.K.C 26.E.V	2.0 1.5	gbe.⁵/e	0	4	gb e.⁵/e -
11960	air	NINMundabli4	gbé / gbékɛ́n	gb e.⁵/e	1 7	AX	KE	39	39.K.C 39.E.V	2.0 1.5	gbe.⁵/e	0	4	gb e.⁵/e -
11961	air	NGTMunken3	ʊ̀gbáhá /kígbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	7 1 7 3 7	XBYBZ	YKAHA	38	38.Y.V 38.K.C 38.A.V 38.H.C 38.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
11962	air	NUNMunken4	ʊ́gbáhá / ʊ́gbáhá~kígbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	7 1 7 3 7	XBYBZ	YKAHA	47	47.Y.V 47.K.C 47.A.V 47.H.C 47.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
11963	air	NEAMunken1	ʊ́gbáhá / ø	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	7 1 7 3 7	XBYBZ	YKAHA	35	35.Y.V 35.K.C 35.A.V 35.H.C 35.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
11964	air	TNTMunken2	ʊ̀gbásə́ / kìgbáːsə́	ʊ.¹/ʊ gb a.⁵/a s ə.⁵/ə	7 1 7 3 7	XBYBZ	YKASE	51	51.Y.V 51.K.C 51.A.V 51.S.C 51.E.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/asə.⁵/ə	0	1	ʊ.¹/ʊ gb a.⁵/a s ə.⁵/ə
11965	air	MCANgun3	ʊ̀gbáhá / bìʊ̀gbáhá~àgbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	7 1 7 3 7	XBYBZ	YKAHA	27	27.Y.V 27.K.C 27.A.V 27.H.C 27.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
11966	air	KBMNgun4	ʊ̀gbáhá / ɪ̀gbáhá~kə́gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	7 1 7 3 7	XBYBZ	YKAHA	16	16.Y.V 16.K.C 16.A.V 16.H.C 16.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
11967	air	WCANgun1	ʊ́gbáhá / kə́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	7 1 7 3 7	XBYBZ	YKAHA	52	52.Y.V 52.K.C 52.A.V 52.H.C 52.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	1	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
11968	air	AOMNgun2	gbáhá ~ʊ́gbáhá / ʊgbáhá ~kə̀gbáhá	gb a.⁵/a h a.⁵/a	1 7 3 7	AXBZ	KAHA	3	3.K.C 3.A.V 3.H.C 3.A.V	2.0 1.5 1.75 0.8	gba.⁵/aha.⁵/a	0	1	- gb a.⁵/a h a.⁵/a
11969	air	APBMumfu1	gbɛ́ / gbɛ́ːhó	gb ɛ.⁵/ɛ	1 7	AX	KE	4	4.K.C 4.E.V	2.0 1.5	gbɛ.⁵/ɛ	0	4	gb ɛ.⁵/ɛ -
