ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
5059	20_i	I	NVBAbar7	NVB-Abar-7	N (ḿ, ŋ̀, ń, ǹ), mo / mo[3]	N_	n	abar1239					4	A	N	44	44.N.C	2.0	n	0	2	n
5060	20_i	I	ECLAbar8	ECL-Abar-8	N (m, ŋ, n), mə̀~mə́ / mô~mò	N_	n	abar1239					4	A	N	11	11.N.C	2.0	n	0	2	n
5061	20_i	I	NEMAjumbu9	NEM-Ajumbu-9	Ǹ, mə́ / mə̄	Ǹ	N.¹/n	mbuu1238		6.53792	10.2556		4	A	N	35	35.N.C	2.0	N.¹/n	0	2	N.¹/n
5062	20_i	I	KDCAjumbu10	KDC-Ajumbu-10	Ǹ~mə́ / mə̀~mə́	Ǹ	N.¹/n	mbuu1238		6.53792	10.2556		4	A	N	18	18.N.C	2.0	N.¹/n	0	2	N.¹/n
5063	20_i	I	ENBBiya1	ENB-Biya-1	N (ḿ, ŋ̀, ń, ǹ), mə̀~mə́ / mə́	N_	n	biya1235					4	A	N	12	12.N.C	2.0	n	0	2	n
5064	20_i	I	ICNBiya2	ICN-Biya-2	N (m̀, ŋ, n), mə̀~mə́ / mə̄	N_	n	biya1235					4	A	N	13	13.N.C	2.0	n	0	2	n
5065	20_i	I	NNBBuu3	NNB-Buu-3	m̀ / mɪ́	m̀	m.¹/m	buuu1246		6.54	10.28		4	A	M	42	42.M.C	2.0	m.¹/m	0	1	m.¹/m -
5066	20_i	I	MNJBuu4	MNJ-Buu-4	ǹ / mɪ̄	ǹ	n.¹/n	buuu1246		6.54	10.28		4	A	N	28	28.N.C	2.0	n.¹/n	0	2	n.¹/n
5067	20_i	I	KHKFang12	KHK-Fang-12	mə́, mì, mʲə́, mʲə̄, mə̌ /mʲə̀	mə́	m ə.⁵/ə	fang1248		6.54384	10.319		4 7	AX	ME	22	22.M.C 22.E.V	2.0 1.5	mə.⁵/ə	0	1	m ə.⁵/ə
5068	20_i	I	DPNFang13	DPN-Fang-13	mə́, mʲə́~mʲə̄ / mʲə́	mə́	m ə.⁵/ə	fang1248		6.54384	10.319		4 7	AX	ME	10	10.M.C 10.E.V	2.0 1.5	mə.⁵/ə	0	1	m ə.⁵/ə
5069	20_i	I	JGYKoshin3	JGY-Koshin-3	mə̀ / mə̄	mə̀	m ə.¹/ə	kosh1246		6.5817	10.299		4 7	AX	ME	14	14.M.C 14.E.V	2.0 1.5	mə.¹/ə	1	1	m ə.¹/ə
5070	20_i	I	TELKoshin4	TEL-Koshin-4	N ~ mə́ / mə́	N	n	kosh1246		6.5817	10.299		4	A	N	46	46.N.C	2.0	n	0	2	n
5071	20_i	I	KCSKung3	KCS-Kung-3	m̀, mʲə̌ / mɛ̂ɲ	m̀	m.¹/m	kung1260		6.53881	10.2073		4	A	M	16	16.M.C	2.0	m.¹/m	0	1	m.¹/m -
5072	20_i	I	NJSKung4	NJS-Kung-4	m̀ / mə́ɪ́	m̀	m.¹/m	kung1260		6.53881	10.2073		4	A	M	38	38.M.C	2.0	m.¹/m	0	1	m.¹/m -
5073	20_i	I	NMNMundabli3	NMN-Mundabli-3	N̂ / mə́	N̂	n.⁵¹/n	mund1340					4	A	N	40	40.N.C	2.0	n.⁵¹/n	0	2	n.⁵¹/n
5074	20_i	I	CENMundabli2	CEN-Mundabli-2	Ń ~ Ǹ / mə́	Ń	Ń/n	mund1340					4	A	N	8	8.N.C	2.0	Ń/n	0	2	Ń/n
5075	20_i	I	NGTMunken3	NGT-Munken-3	Ń~Ǹ~mə̀ / mə̄nə̄	Ń	Ń/n	munk1244					4	A	N	36	36.N.C	2.0	Ń/n	0	2	Ń/n
5076	20_i	I	NUNMunken4	NUN-Munken-4	Ǹ~mə̂ / mə̀nə́ ~mí	Ǹ	N.¹/n	munk1244					4	A	N	43	43.N.C	2.0	N.¹/n	0	2	N.¹/n
5077	20_i	I	MCANgun3	MCA-Ngun-3	Ǹ~Ń~mə̀ / mō~mó~mò	Ǹ	N.¹/n	ngun1279					4	A	N	26	26.N.C	2.0	N.¹/n	0	2	N.¹/n
5078	20_i	I	KBMNgun4	KBM-Ngun-4	Ǹ~Ń~mə̀~mə́ / mò~mə̂	Ǹ	N.¹/n	ngun1279					4	A	N	15	15.N.C	2.0	N.¹/n	0	2	N.¹/n
5371	20_i	I	NCCMumfu4	NCC-Mumfu-4	N / mə́	N	n	mufu1234					4	A	N	31	31.N.C	2.0	n	0	2	n
5372	20_i	I	MEAMumfu3	MEA-Mumfu-3	N  / mə̄	N	n	mufu1234					4	A	N	27	27.N.C	2.0	n	0	2	n
5647	20_i	I	NMSMissong4	NMS-Missong-4	N ~ mə̀   / mə̂	N	n	miss1255					4	A	N	41	41.N.C	2.0	n	0	2	n
5648	20_i	I	NDNMissong5	NDN-Missong-5	N, mə̂ ~ mə̀ / mə̀	N	n	miss1255					4	A	N	33	33.N.C	2.0	n	0	2	n
5921	20_i	I	BAAMashi4	BAA-Mashi-4	ma  / mɪ	ma	m a.³/a	naki1238		6.62784	10.2378		4 7	AX	MA	5	5.M.C 5.A.V	2.0 1.5	ma.³/a	0	1	m a.³/a
5922	20_i	I	NCMMashi5	NCM-Mashi-5	m ~ ma / mí	m	m	naki1238		6.62784	10.2378		4	A	M	32	32.M.C	2.0	m	0	1	m -
4156	40_air	air	NVBAbar7	NVB-Abar-7	ʊ́gbáhá / ɪ̀gbáhákî	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	abar1239					7 1 7 3 7	XBYBZ	YKAHA	44	44.Y.V 44.K.C 44.A.V 44.H.C 44.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	3	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
4157	40_air	air	ECLAbar8	ECL-Abar-8	ʊ̀gbáhá / kɪ̀gbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	abar1239					7 1 7 3 7	XBYBZ	YKAHA	11	11.Y.V 11.K.C 11.A.V 11.H.C 11.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	3	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
4158	40_air	air	NMAAbar1	NMA-Abar-1	ʊ́gbáhá / kígbáhá	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	abar1239					7 1 7 3 7	XBYBZ	YKAHA	39	39.Y.V 39.K.C 39.A.V 39.H.C 39.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	3	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
4159	40_air	air	NACAbar2	NAC-Abar-2	ʊ́gbáhá~ʊ́báhá/ kígbáhá	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a	abar1239					7 1 7 3 7	XBYBZ	YKAHA	30	30.Y.V 30.K.C 30.A.V 30.H.C 30.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	3	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
4160	40_air	air	NEMAjumbu9	NEM-Ajumbu-9	ŋ̩̀vùlə́ / àŋ̩̀vùlə́	ŋ̩̀vùlə́	ŋ.¹/ŋ v u.¹/u l ə.⁵/ə	mbuu1238		6.53792	10.2556		4 3 7 5 7	ACYBZ	NBYLE	35	35.N.C 35.B.C 35.Y.V 35.L.C 35.E.V	2.0 1.5 1.3 1.75 0.8	ŋ.¹/ŋvu.¹/ulə.⁵/ə	0	20	ŋ.¹/ŋ v u.¹/u l ə.⁵/ə
4161	40_air	air	NVIAjumbu1	NVI-Ajumbu-1	m̀vùlə́ / bə̀mvʊ̀lə́~bə̀àmvùlə́~àmvùlə́	m̀vùlə́	m.¹/m v u.¹/u l ə.⁵/ə	mbuu1238		6.53792	10.2556		4 3 7 5 7	ACYBZ	MBYLE	45	45.M.C 45.B.C 45.Y.V 45.L.C 45.E.V	2.0 1.5 1.3 1.75 0.8	m.¹/mvu.¹/ulə.⁵/ə	0	20	m.¹/m v u.¹/u l ə.⁵/ə
4162	40_air	air	KMNAjumbu2	KMN-Ajumbu-2	m̀vùːlə́ / àmvúːlə́	m̀vùːlə́	m.¹/m v uː.¹/uː l ə.⁵/ə	mbuu1238		6.53792	10.2556		4 3 7 5 7	ACYBZ	MBYLE	24	24.M.C 24.B.C 24.Y.V 24.L.C 24.E.V	2.0 1.5 1.3 1.75 0.8	m.¹/mvuː.¹/uːlə.⁵/ə	0	20	m.¹/m v uː.¹/uː l ə.⁵/ə
4163	40_air	air	KDCAjumbu10	KDC-Ajumbu-10	ⁿvùlə́ / àⁿvùlə́	ⁿvùlə́	n v u.¹/u l ə.⁵/ə	mbuu1238		6.53792	10.2556		4 3 7 5 7	ACYBZ	NBYLE	18	18.N.C 18.B.C 18.Y.V 18.L.C 18.E.V	2.0 1.5 1.3 1.75 0.8	nvu.¹/ulə.⁵/ə	0	20	n v u.¹/u l ə.⁵/ə
4164	40_air	air	ENBBiya1	ENB-Biya-1	ʊ̀gbáhá / ʊ̀gbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	biya1235					7 1 7 3 7	XBYBZ	YKAHA	12	12.Y.V 12.K.C 12.A.V 12.H.C 12.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	3	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
4165	40_air	air	ICNBiya2	ICN-Biya-2	ʊ̀gbáhá / ʊ̀gbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a	biya1235					7 1 7 3 7	XBYBZ	YKAHA	13	13.Y.V 13.K.C 13.A.V 13.H.C 13.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	3	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
4166	40_air	air	NNBBuu3	NNB-Buu-3	gbísə́ / kə̀gbɪ́sə́nə̄	gbísə́	gb i.⁵/i s ə.⁵/ə	buuu1246		6.54	10.28		1 7 3 7	AXBZ	KISE	42	42.K.C 42.I.V 42.S.C 42.E.V	2.0 1.5 1.75 0.8	gbi.⁵/isə.⁵/ə	0	3	- gb i.⁵/i s ə.⁵/ə
4167	40_air	air	MNJBuu4	MNJ-Buu-4	gbɪ́sə́ / kə̀gbɪ̂sə̀nə́	gbɪ́sə́	gb ɪ.⁵/ɪ s ə.⁵/ə	buuu1246		6.54	10.28		1 7 3 7	AXBZ	KISE	28	28.K.C 28.I.V 28.S.C 28.E.V	2.0 1.5 1.75 0.8	gbɪ.⁵/ɪsə.⁵/ə	0	3	- gb ɪ.⁵/ɪ s ə.⁵/ə
4168	40_air	air	KEMBuu1	KEM-Buu-1	gbɪ́sə́ / kə́gbɪ̂sə̀nə́ ~	gbɪ́sə́	gb ɪ.⁵/ɪ s ə.⁵/ə	buuu1246		6.54	10.28		1 7 3 7	AXBZ	KISE	20	20.K.C 20.I.V 20.S.C 20.E.V	2.0 1.5 1.75 0.8	gbɪ.⁵/ɪsə.⁵/ə	0	3	- gb ɪ.⁵/ɪ s ə.⁵/ə
4169	40_air	air	KCYBuu2	KCY-Buu-2	gbɪ́sə́ / kə́gbɪ́sə́	gbɪ́sə́	gb ɪ.⁵/ɪ s ə.⁵/ə	buuu1246		6.54	10.28		1 7 3 7	AXBZ	KISE	17	17.K.C 17.I.V 17.S.C 17.E.V	2.0 1.5 1.75 0.8	gbɪ.⁵/ɪsə.⁵/ə	0	3	- gb ɪ.⁵/ɪ s ə.⁵/ə
4170	40_air	air	KHKFang12	KHK-Fang-12	bʲə́ / tə̀bʲə́	bʲə́	b j ə.⁵/ə	fang1248		6.54384	10.319		1 6 7	ACX	PJE	22	22.P.C 22.J.C 22.E.V	2.0 1.5 1.5	bjə.⁵/ə	0	12	b j ə.⁵/ə
4171	40_air	air	DPNFang13	DPN-Fang-13	bʲə́ / tə̀bʲə́kə̄	bʲə́	b j ə.⁵/ə	fang1248		6.54384	10.319		1 6 7	ACX	PJE	10	10.P.C 10.J.C 10.E.V	2.0 1.5 1.5	bjə.⁵/ə	0	12	b j ə.⁵/ə
4172	40_air	air	KDVFang1	KDV-Fang-1	byé	byé	b j e.⁵/e	fang1248		6.54384	10.319		1 6 7	ACX	PJE	19	19.P.C 19.J.C 19.E.V	2.0 1.5 1.5	bje.⁵/e	0	12	b j e.⁵/e
4173	40_air	air	KJSFang2	KJS-Fang-2	byé	byé	b j e.⁵/e	fang1248		6.54384	10.319		1 6 7	ACX	PJE	23	23.P.C 23.J.C 23.E.V	2.0 1.5 1.5	bje.⁵/e	0	12	b j e.⁵/e
4174	40_air	air	JGYKoshin3	JGY-Koshin-3	gbɪ́ː / ø	gbɪ́ː	gb ɪː.⁵/ɪː	kosh1246		6.5817	10.299		1 7	AX	KI	14	14.K.C 14.I.V	2.0 1.5	gbɪː.⁵/ɪː	0	6	gb ɪː.⁵/ɪː -
