Concept	Stability
cow, cattle	0.9383457927
breast	0.9273504791
tongue	0.9273504791
child	0.9259051694
mother	0.9119707944
ear	0.9044724187
chief	0.8946209519
axe	0.8856460428
grave	0.8856460428
rope	0.8614698418
bag	0.8566889518
sand	0.8522576307
head	0.8417288347
sieve	0.837910896
sheep	0.83729913
gong	0.8328591104
book	0.8313884671
headpad	0.8253712987
horse	0.8229274916
heart	0.7955981084
song	0.7905057338
dance	0.7872565412
father	0.7866254816
hand	0.7808225995
war	0.774458063
stone	0.7731231138
fence	0.7679432003
soap	0.7671624862
tooth	0.7657097171
ladder	0.7652455944
fowl	0.754029852
raffia bamboo	0.7516169824
cat	0.7510766877
stomach	0.7469616082
medicine	0.7465446209
deity, god, God	0.7451105281
forest	0.7417638343
crab	0.7386477272
goat	0.738219604
house	0.7363434174
smoke	0.734762232
grass	0.7282889809
bitter leaf	0.7184457207
root	0.7100768768
potato	0.7094723859
nose	0.7091349057
tree	0.7069906962
faeces	0.7057892728
eye	0.70338127
hair	0.703362986
animal	0.6943194415
camwood	0.6927445795
road	0.6897520857
jaw	0.6882246127
devil	0.6815711993
horn (head)	0.6815685737
bird	0.6795847457
friend	0.6753017563
cloth	0.6745398743
dry season	0.6736080619
hill	0.6730275073
case (court) (n)	0.661929521
name	0.6610293689
caterpillar	0.6600300184
cricket	0.65864522
bat	0.6584324784
rain	0.6568418896
plantain	0.6544104863
chair	0.649750395
work (n)	0.6485346432
farm	0.6484035345
dog	0.6463309395
seed	0.6446830092
moon	0.6420048165
cutlass	0.6410597997
corn	0.6403875231
umbrella	0.6383152693
sun	0.6346487881
place	0.6336144203
fire	0.6317688034
monkey	0.6306219779
basket	0.6260220055
blood	0.6252917061
dust	0.6241715161
snake	0.6220005078
salt	0.618167147
pineapple	0.6170082043
belly	0.613164012
hailstone	0.6129234256
hoe	0.6127297847
leaf	0.6092027687
pig	0.6034207603
fireside	0.6031046567
year	0.5928242847
mouth	0.5893972593
intestine	0.5882366019
person	0.5878713683
bed	0.5871104763
broom	0.5844344723
bridge	0.5826327154
air	0.5822243809
palm tree	0.5741536645
oil	0.5724076262
soldier ant	0.5719502146
week	0.5713723432
yam	0.5656325534
owl	0.5653289137
gun	0.5624663587
egg	0.5609264324
xylophone	0.5585662467
zinc	0.5574265726
palm nut	0.5567286358
fly (bird)	0.5530040603
toilet	0.5501995044
sky	0.5497730829
pepper	0.5484283396
knife	0.5452633752
water	0.5447630579
pap	0.544306257
day	0.5406852687
spider	0.5404228082
feather	0.5394419154
cup	0.5384907601
banana	0.5193452202
gizzard (fowl)	0.5190451579
story	0.5168955365
wingless termite	0.5154624922
cap	0.505298663
mushroom	0.4992345581
fish	0.4961578228
elephant stalk	0.4928903263
pot	0.482786675
storm (wind)	0.4724188796
grasshopper	0.4635221785
trap	0.44941238
compound	0.4443457747
drum	0.4427384353
star	0.4291322036
garden egg	0.4245771582
rainbow	0.3640341015
termite	0.3245702624
