Concept	NumDoculects	Pct
axe	51	1.0
bird	51	1.0
breast	51	1.0
cat	51	1.0
caterpillar	51	1.0
chief	51	1.0
corn	51	1.0
devil	51	1.0
ear	51	1.0
egg	51	1.0
fish	51	1.0
forest	51	1.0
garden egg	51	1.0
gong	51	1.0
grave	51	1.0
hair	51	1.0
hand	51	1.0
head	51	1.0
heart	51	1.0
house	51	1.0
jaw	51	1.0
ladder	51	1.0
monkey	51	1.0
name	51	1.0
nose	51	1.0
palm nut	51	1.0
palm tree	51	1.0
pepper	51	1.0
pig	51	1.0
place	51	1.0
plantain	51	1.0
pot	51	1.0
potato	51	1.0
rain	51	1.0
snake	51	1.0
song	51	1.0
stomach	51	1.0
tongue	51	1.0
yam	51	1.0
air	50	0.98
animal	50	0.98
bag	50	0.98
banana	50	0.98
basket	50	0.98
bitter leaf	50	0.98
blood	50	0.98
book	50	0.98
broom	50	0.98
chair	50	0.98
child	50	0.98
compound	50	0.98
crab	50	0.98
cricket	50	0.98
cup	50	0.98
cutlass	50	0.98
deity, god, God	50	0.98
dust	50	0.98
eye	50	0.98
faeces	50	0.98
farm	50	0.98
fowl	50	0.98
grass	50	0.98
hoe	50	0.98
intestine	50	0.98
leaf	50	0.98
moon	50	0.98
pineapple	50	0.98
root	50	0.98
salt	50	0.98
seed	50	0.98
smoke	50	0.98
storm (wind)	50	0.98
story	50	0.98
sun	50	0.98
tooth	50	0.98
trap	50	0.98
tree	50	0.98
water	50	0.98
bed	49	0.96
cow, cattle	49	0.96
day	49	0.96
drum	49	0.96
friend	49	0.96
grasshopper	49	0.96
gun	49	0.96
hailstone	49	0.96
mother	49	0.96
mouth	49	0.96
owl	49	0.96
sand	49	0.96
sieve	49	0.96
soap	49	0.96
stone	49	0.96
war	49	0.96
xylophone	49	0.96
case (court) (n)	48	0.94
father	48	0.94
feather	48	0.94
fence	48	0.94
fire	48	0.94
goat	48	0.94
hill	48	0.94
horse	48	0.94
medicine	48	0.94
person	48	0.94
raffia bamboo	48	0.94
rope	48	0.94
sheep	48	0.94
soldier ant	48	0.94
star	48	0.94
toilet	48	0.94
umbrella	48	0.94
fly (bird)	47	0.92
oil	47	0.92
sky	47	0.92
bat	46	0.9
bridge	46	0.9
dog	46	0.9
zinc	46	0.9
dance	45	0.88
fireside	45	0.88
headpad	45	0.88
camwood	44	0.86
cloth	44	0.86
knife	44	0.86
pap	44	0.86
rainbow	44	0.86
road	44	0.86
work (n)	44	0.86
cap	43	0.84
gizzard (fowl)	43	0.84
spider	43	0.84
termite	42	0.82
wingless termite	42	0.82
dry season	41	0.8
elephant stalk	41	0.8
belly	40	0.78
horn (head)	40	0.78
mushroom	40	0.78
week	39	0.76
year	39	0.76
