ID	Concept	Doculect	Value	Tokens
1	child	NVBAbar7	wân / átɛ̂ŋmbɪ̂	w a.⁵¹/a n
2	child	ECLAbar8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́	w a.⁵¹/a n
3	child	NMAAbar1	wân / bwɪ́tə᷇ːŋ ~ ʃǐːtə᷇ŋ	w a.⁵¹/a n
4	child	NACAbar2	wân / bə̀tə᷇ːŋ	w a.⁵¹/a n
5	child	NEMAjumbu9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ	w a.¹/a ŋ
6	child	NVIAjumbu1	wâŋ / àtɔ᷇ːŋ	w a.⁵¹/a ŋ
7	child	KMNAjumbu2	wàŋ / àtɔ᷇ːŋ	w a.¹/a ŋ
8	child	KDCAjumbu10	wáːnə̂ / átɔ́ŋ	w aː.⁵/aː n ə.⁵¹/ə
9	child	ENBBiya1	wán / bə̀tə̂ŋ	w a.⁵/a n
10	child	ICNBiya2	wán / bə̀tə᷇ːŋ	w a.⁵/a n
11	child	NNBBuu3	wán / ɲʲòmnə́	w a.⁵/a n
12	child	MNJBuu4	wán / nwòmnə́~ɲʷòmnə́	w a.⁵/a n
13	child	KEMBuu1	wán ~ kúóə̀ / ɲyòmnə́	w a.⁵/a n
14	child	KCYBuu2	wán / ɲyòmnə́	w a.⁵/a n
15	child	KHKFang12	wán / ŋmɛ́m	w a.⁵/a n
16	child	DPNFang13	wán / ŋmɛ́m	w a.⁵/a n
17	child	KDVFang1	wán ~ wāɲ / ŋmɛ́n ~ ŋmɛ́m	w a.⁵/a n
18	child	KJSFang2	wen/bum this	w e.³/e n
19	child	JGYKoshin3	wāɲ / bāɲ	w a.³/a ɲ
20	child	TELKoshin4	wáɲ / ba᷇ːɲ	w a.⁵/a ɲ
21	child	KCSKung3	wāɲ / m̀nɛ᷇ː	w a.³/a ɲ
22	child	NJSKung4	wáʲ / wáːɣê ~ nêmê	w a.⁵/a j
23	child	ZKGKung1	wāɪ̄ / wáɪ́	w a.³/a ɪ.³/ɪ
24	child	BNMKung2	wāɪ̄ / ə̀wáɪ́	w a.³/a ɪ.³/ɪ
25	child	NMNMundabli3	wáɦɲ / ɲɒ́ɦm	w a.⁵/a ɦ ɲ
26	child	CENMundabli2	wán / ɲɒ́m	w a.⁵/a n
27	child	LFNMundabli1	wān / ɲɔ̄m	w a.³/a n
28	child	NINMundabli4	wān / ɲɔ̄mbó	w a.³/a n
29	child	NGTMunken3	wān / bə̀kʲə̂ŋ	w a.³/a n
30	child	NUNMunken4	wān / bə̀kʲɪ̄ŋ	w a.³/a n
31	child	NEAMunken1	wán~ / bə́kɪ᷇ːn	w a.⁵/a n
32	child	TNTMunken2	wān / bə́kyɨ᷇ːŋ	w a.³/a n
33	child	MCANgun3	wān / bɛ̀tʲa᷇ːŋ	w a.³/a n
34	child	KBMNgun4	wān / bə́tʲa᷇ːŋ	w a.³/a n
35	child	WCANgun1	wān~wán/bə̀fɪ́n~bə́tyâŋ~ bɛ̀tya᷇ːŋ	w a.³/a n
36	child	AOMNgun2	wán~wâw / bɛkyâŋ ~wâwɛ́nwɪ̂	w a.⁵/a n
37	child	APBMumfu1	wɛ́ʼn / ɲɔ́m	w ɛ.⁵/ɛ ʔ n
38	child	DNMMumfu2	wɛ́ʼn / ɲɔ́m	w ɛ.⁵/ɛ ʔ n
39	child	BKBMashi2	ŋwə́ / bím	ŋ w ə.⁵/ə
40	child	KFKMashi1	ŋwə́ / bín	ŋ w ə.⁵/ə
41	child	ABSMissong1	wâ / bàbyáŋbʊ́	w a.⁵¹/a
42	child	AGAMissong2	wá ~ wó / bàbya᷇ŋ	w a.⁵/a
63	father	NVBAbar7	tà~bə̀bá / àtìlə́bʷɪ̂	t a.¹/a
64	father	ECLAbar8	bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́	b ʊ.¹/ʊ b a.⁵/a
65	father	NMAAbar1	téà / bə̀tìlô	t e.⁵/e a.¹/a
66	father	NACAbar2	tə̀à ~ bàbá / bə̀tə́à	t ə.¹/ə a.¹/a
67	father	NEMAjumbu9	tâː~tâːtá~tátò / bàtâːtá~bə̀tâː	t aː.⁵¹/aː
68	father	NVIAjumbu1	tsè~bâːbə́ / àtsèː~àbâbə́	ts e.¹/e
69	father	KMNAjumbu2	tsè / brǎs	ts e.¹/e
70	father	KDCAjumbu10	bâbə́~bʷâ / bə̀bâbə́~ábʷá	b a.⁵¹/a b ə.⁵/ə
71	father	ENBBiya1	ʊ̀bá~tɛ̂ / pàpá~bàtɛ̂	ʊ.¹/ʊ b a.⁵/a
72	father	ICNBiya2	tʲě / bə̀tʲěː	tʲ e.¹⁵/e
73	father	NNBBuu3	tə̌ː / bə̀tǎː	t əː.¹⁵/əː
74	father	MNJBuu4	tə̌ː / bə̀tə̌ː	t əː.¹⁵/əː
75	father	KEMBuu1	tǎː / bə̀tə̌ː	t aː.¹⁵/aː
76	father	KCYBuu2	tàː / bə̀tàː	t aː.¹/aː
77	father	KHKFang12	tɪ̀lə́ / bə̀tɪ̀lə́	t ɪ.¹/ɪ l ə.⁵/ə
78	father	DPNFang13	bə̀bá / bə̀bø̂	b ə.¹/ə b a.⁵/a
79	father	JGYKoshin3	bâ / bə̀bâ	b a.⁵¹/a
80	father	TELKoshin4	tʲə̂ / bə́tʲə̂	tʲ ə.⁵¹/ə
81	father	KCSKung3	bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê	b ɛː.⁵¹/ɛː
82	father	NJSKung4	bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ	b ɛː.¹⁵/ɛː
83	father	ZKGKung1	bɛ̂ː / ɣɪ̀bɛ̂ː	b ɛː.⁵¹/ɛː
84	father	BNMKung2	pə̀pá / sə̀pə̀pá	p ə.¹/ə p a.⁵/a
85	father	NMNMundabli3	tɪ̌ː / tʲě	t ɪː.¹⁵/ɪː
86	father	CENMundabli2	tɪ̌ː / tɪ̌ː wɪ̄	t ɪː.¹⁵/ɪː
