Concept	Stability
tongue	0.9338046859
child	0.931366073
axe	0.894839547
breast	0.8883856127
mother	0.8776142843
grave	0.8724738215
ear	0.8398106055
horse	0.8302504547
cow, cattle	0.8114225998
father	0.7947238922
heart	0.7918688498
song	0.7844196344
rope	0.7772857833
tooth	0.7768137847
ladder	0.7735844612
sieve	0.7628200334
soap	0.7588180495
bag	0.7544787621
chief	0.7496187123
war	0.749617949
tree	0.7484875723
medicine	0.7473132778
gong	0.7413013804
sheep	0.7404700503
bird	0.737790139
smoke	0.7359556111
stone	0.7347191002
deity, god, God	0.7332699655
fence	0.7331263718
headpad	0.7324566134
road	0.72920572
hand	0.7276877419
cat	0.7199588897
head	0.7102203207
fowl	0.7080770611
basket	0.70522748
nose	0.7019688516
forest	0.7018719766
camwood	0.7005010593
sand	0.6973506893
hair	0.6967014807
goat	0.6899007219
book	0.6884178723
hailstone	0.6788727403
stomach	0.6775295908
umbrella	0.6767847804
devil	0.6723409263
dance	0.6681297416
crab	0.6668099298
fire	0.6608164902
raffia bamboo	0.6598039597
bitter leaf	0.6597711199
jaw	0.6593653247
place	0.6583613651
eye	0.6573925249
work (n)	0.6557579008
caterpillar	0.6502459087
friend	0.6478268902
dog	0.6472428366
rain	0.6446066574
house	0.6393146198
toilet	0.638003721
dust	0.6344671589
monkey	0.6288625147
faeces	0.628554233
grass	0.6283411305
bridge	0.6275090454
seed	0.6244829268
mouth	0.6209704539
yam	0.6203690935
farm	0.6202322027
plantain	0.6200215087
pineapple	0.6173943825
potato	0.61688642
chair	0.6142692536
air	0.6135520013
fireside	0.6124550056
belly	0.6120796804
cricket	0.6111791513
bat	0.6101928383
xylophone	0.6064259601
animal	0.6041152639
moon	0.6036343394
leaf	0.6016384934
person	0.6004173178
corn	0.5957160103
snake	0.5917264153
case (court) (n)	0.5906530008
name	0.5848779906
owl	0.5840704147
root	0.5818117368
broom	0.5806637172
cutlass	0.5789699064
zinc	0.5777905837
dry season	0.5768427909
gun	0.5764980803
pig	0.5761886614
water	0.5737909541
intestine	0.5726069036
fish	0.5598092358
bed	0.5503568443
hill	0.5490375065
cup	0.5488481612
gizzard (fowl)	0.5465010227
egg	0.5463132101
fly (bird)	0.5459988124
cap	0.5454948856
pap	0.5452777892
knife	0.5411779533
palm nut	0.5408640174
hoe	0.5357555014
oil	0.5353346443
sun	0.5348905661
sky	0.5249327407
cloth	0.5234475522
spider	0.5225567633
feather	0.5198202561
soldier ant	0.516118172
palm tree	0.5130334234
blood	0.512306736
salt	0.5086534234
grasshopper	0.5077487824
day	0.5060645979
wingless termite	0.5055033958
banana	0.4959621876
storm (wind)	0.4919952857
compound	0.4785197579
story	0.4667572124
pot	0.466483866
pepper	0.4637659558
elephant stalk	0.4604730087
star	0.4510192646
trap	0.4508565901
drum	0.4426569253
rainbow	0.4274311765
garden egg	0.3991197653
termite	0.2981569366
