Concept	NumDoculects	Pct
axe	54	1.0
bird	54	1.0
breast	54	1.0
chief	54	1.0
corn	54	1.0
devil	54	1.0
ear	54	1.0
egg	54	1.0
fish	54	1.0
forest	54	1.0
garden egg	54	1.0
grave	54	1.0
hair	54	1.0
head	54	1.0
heart	54	1.0
house	54	1.0
jaw	54	1.0
name	54	1.0
nose	54	1.0
palm nut	54	1.0
palm tree	54	1.0
pepper	54	1.0
pig	54	1.0
place	54	1.0
plantain	54	1.0
pot	54	1.0
potato	54	1.0
rain	54	1.0
song	54	1.0
tongue	54	1.0
yam	54	1.0
animal	53	0.98
bag	53	0.98
banana	53	0.98
basket	53	0.98
blood	53	0.98
book	53	0.98
broom	53	0.98
cat	53	0.98
caterpillar	53	0.98
chair	53	0.98
crab	53	0.98
cricket	53	0.98
cup	53	0.98
cutlass	53	0.98
deity, god, God	53	0.98
eye	53	0.98
faeces	53	0.98
farm	53	0.98
hand	53	0.98
ladder	53	0.98
leaf	53	0.98
monkey	53	0.98
root	53	0.98
salt	53	0.98
smoke	53	0.98
snake	53	0.98
stomach	53	0.98
sun	53	0.98
trap	53	0.98
water	53	0.98
air	52	0.96
bed	52	0.96
bitter leaf	52	0.96
child	52	0.96
compound	52	0.96
cow, cattle	52	0.96
day	52	0.96
dust	52	0.96
fowl	52	0.96
friend	52	0.96
gong	52	0.96
grass	52	0.96
hoe	52	0.96
moon	52	0.96
mouth	52	0.96
pineapple	52	0.96
sand	52	0.96
seed	52	0.96
sieve	52	0.96
soap	52	0.96
stone	52	0.96
storm (wind)	52	0.96
story	52	0.96
tooth	52	0.96
tree	52	0.96
war	52	0.96
case (court) (n)	51	0.94
drum	51	0.94
feather	51	0.94
grasshopper	51	0.94
gun	51	0.94
hill	51	0.94
intestine	51	0.94
medicine	51	0.94
mother	51	0.94
owl	51	0.94
person	51	0.94
raffia bamboo	51	0.94
toilet	51	0.94
umbrella	51	0.94
xylophone	51	0.94
father	50	0.93
fire	50	0.93
goat	50	0.93
hailstone	50	0.93
horse	50	0.93
oil	50	0.93
sheep	50	0.93
star	50	0.93
fence	49	0.91
rope	49	0.91
soldier ant	49	0.91
dance	48	0.89
dog	48	0.89
fly (bird)	48	0.89
bat	47	0.87
bridge	47	0.87
headpad	47	0.87
knife	47	0.87
sky	47	0.87
cloth	46	0.85
rainbow	46	0.85
zinc	46	0.85
cap	45	0.83
fireside	45	0.83
gizzard (fowl)	45	0.83
camwood	44	0.81
pap	44	0.81
road	44	0.81
spider	44	0.81
work (n)	44	0.81
belly	42	0.78
termite	42	0.78
wingless termite	42	0.78
dry season	41	0.76
elephant stalk	41	0.76
