Doculect1	Doculect2	weight	color
ABSMissong1	AGAMissong2	.01	grey90
ABSMissong1	AOMNgun2	.01	grey90
ABSMissong1	APBMumfu1	.01	grey90
ABSMissong1	BAAMashi4	.01	grey90
ABSMissong1	BKBMashi2	.01	grey90
ABSMissong1	BNMKung2	.01	grey90
ABSMissong1	CENMundabli2	.01	grey90
ABSMissong1	DNMMumfu2	.01	grey90
ABSMissong1	DPNFang13	.01	grey90
ABSMissong1	ECLAbar8	.01	grey90
ABSMissong1	ENBBiya1	.01	grey90
ABSMissong1	FBCBiya8	.01	grey90
ABSMissong1	ICNBiya2	.01	grey90
ABSMissong1	JGYKoshin3	.01	grey90
ABSMissong1	KBMNgun4	.01	grey90
ABSMissong1	KCSKung3	.01	grey90
ABSMissong1	KCYBuu2	.01	grey90
ABSMissong1	KDCAjumbu10	.01	grey90
ABSMissong1	KDVFang1	.01	grey90
ABSMissong1	KEMBuu1	.01	grey90
ABSMissong1	KFKMashi1	.01	grey90
ABSMissong1	KHKFang12	.01	grey90
ABSMissong1	KJSFang2	.01	grey90
ABSMissong1	KMNAjumbu2	.01	grey90
ABSMissong1	LFNMundabli1	.01	grey90
ABSMissong1	MCANgun3	.01	grey90
ABSMissong1	MEAMumfu3	.01	grey90
ABSMissong1	MNJBuu4	.01	grey90
ABSMissong1	MRYKoshin2	.01	grey90
ABSMissong1	NACAbar2	.01	grey90
ABSMissong1	NCCMumfu4	.01	grey90
ABSMissong1	NCMMashi5	.01	grey90
ABSMissong1	NDNMissong5	.01	grey90
ABSMissong1	NEAMunken1	.01	grey90
ABSMissong1	NEMAjumbu9	.01	grey90
ABSMissong1	NFKBiya7	.01	grey90
ABSMissong1	NGTMunken3	.01	grey90
ABSMissong1	NINMundabli4	.01	grey90
ABSMissong1	NJNBiya6	.01	grey90
ABSMissong1	NJSKung4	.01	grey90
ABSMissong1	NMAAbar1	.01	grey90
ABSMissong1	NMNMundabli3	.01	grey90
ABSMissong1	NMSMissong4	.01	grey90
ABSMissong1	NNBBuu3	.01	grey90
ABSMissong1	NSFBiya5	.01	grey90
ABSMissong1	NUNMunken4	.01	grey90
ABSMissong1	NVBAbar7	.01	grey90
ABSMissong1	NVIAjumbu1	.01	grey90
ABSMissong1	TELKoshin4	.01	grey90
ABSMissong1	TNTMunken2	.01	grey90
ABSMissong1	WCANgun1	.01	grey90
ABSMissong1	ZKGKung1	.01	grey90
AGAMissong2	AOMNgun2	.01	grey90
AGAMissong2	APBMumfu1	.01	grey90
AGAMissong2	BAAMashi4	.01	grey90
AGAMissong2	BKBMashi2	.01	grey90
AGAMissong2	BNMKung2	.01	grey90
AGAMissong2	CENMundabli2	.01	grey90
AGAMissong2	DNMMumfu2	.01	grey90
AGAMissong2	DPNFang13	.01	grey90
AGAMissong2	ECLAbar8	.01	grey90
AGAMissong2	ENBBiya1	.01	grey90
AGAMissong2	FBCBiya8	.01	grey90
AGAMissong2	ICNBiya2	.01	grey90
AGAMissong2	JGYKoshin3	.01	grey90
AGAMissong2	KBMNgun4	.01	grey90
AGAMissong2	KCSKung3	.01	grey90
AGAMissong2	KCYBuu2	.01	grey90
AGAMissong2	KDCAjumbu10	.01	grey90
AGAMissong2	KDVFang1	.01	grey90
AGAMissong2	KEMBuu1	.01	grey90
AGAMissong2	KFKMashi1	.01	grey90
AGAMissong2	KHKFang12	.01	grey90
AGAMissong2	KJSFang2	.01	grey90
AGAMissong2	KMNAjumbu2	.01	grey90
AGAMissong2	LFNMundabli1	.01	grey90
AGAMissong2	MCANgun3	.01	grey90
AGAMissong2	MEAMumfu3	.01	grey90
AGAMissong2	MNJBuu4	.01	grey90
AGAMissong2	MRYKoshin2	.01	grey90
AGAMissong2	NACAbar2	.01	grey90
AGAMissong2	NCCMumfu4	.01	grey90
AGAMissong2	NCMMashi5	.01	grey90
AGAMissong2	NDNMissong5	.01	grey90
AGAMissong2	NEAMunken1	.01	grey90
AGAMissong2	NEMAjumbu9	.01	grey90
AGAMissong2	NFKBiya7	.01	grey90
AGAMissong2	NGTMunken3	.01	grey90
AGAMissong2	NINMundabli4	.01	grey90
AGAMissong2	NJNBiya6	.01	grey90
AGAMissong2	NJSKung4	.01	grey90
AGAMissong2	NMAAbar1	.01	grey90
AGAMissong2	NMNMundabli3	.01	grey90
AGAMissong2	NMSMissong4	.01	grey90
AGAMissong2	NNBBuu3	.01	grey90
AGAMissong2	NSFBiya5	.01	grey90
AGAMissong2	NUNMunken4	.01	grey90
