Vertex	color
ABSMissong1	transparent
AGAMissong2	transparent
AOMNgun2	transparent
APBMumfu1	black
BAAMashi4	transparent
BKBMashi2	transparent
BNMKung2	transparent
CENMundabli2	black
DNMMumfu2	black
DPNFang13	transparent
ECLAbar8	black
ENBBiya1	transparent
FBCBiya8	transparent
ICNBiya2	transparent
JGYKoshin3	transparent
KBMNgun4	transparent
KCSKung3	transparent
KCYBuu2	black
KDCAjumbu10	transparent
KDVFang1	transparent
KEMBuu1	black
KFKMashi1	transparent
KHKFang12	transparent
KJSFang2	transparent
KMNAjumbu2	transparent
LFNMundabli1	black
MCANgun3	transparent
MEAMumfu3	black
MNJBuu4	black
MRYKoshin2	transparent
NACAbar2	black
NCCMumfu4	black
NCMMashi5	transparent
NDNMissong5	transparent
NEAMunken1	transparent
NEMAjumbu9	transparent
NFKBiya7	transparent
NGTMunken3	transparent
NINMundabli4	black
NJNBiya6	transparent
NJSKung4	transparent
NMAAbar1	black
NMNMundabli3	black
NMSMissong4	transparent
NNBBuu3	black
NSFBiya5	transparent
NUNMunken4	transparent
NVBAbar7	black
NVIAjumbu1	transparent
TELKoshin4	transparent
TNTMunken2	transparent
WCANgun1	transparent
ZKGKung1	transparent
