# Wordlist

# DATA
ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID
#
11935	air	NVBAbar7	ʊ́gbáhá / ɪ̀gbáhákî	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	48	48.Y.V 48.6.T 48.K.C 48.A.V 48.6.T 48.H.C 48.A.V 48.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1
11936	air	ECLAbar8	ʊ̀gbáhá / kɪ̀gbáhá	ʊ ¹ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	11	11.Y.V 11.6.T 11.K.C 11.A.V 11.6.T 11.H.C 11.A.V 11.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ¹gba⁵ha⁵	0	1	1
11937	air	NMAAbar1	ʊ́gbáhá / kígbáhá	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	42	42.Y.V 42.6.T 42.K.C 42.A.V 42.6.T 42.H.C 42.A.V 42.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1
11938	air	NACAbar2	ʊ́gbáhá~ʊ́báhá/ kígbáhá	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	31	31.Y.V 31.6.T 31.K.C 31.A.V 31.6.T 31.H.C 31.A.V 31.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1
11939	air	NEMAjumbu9	ŋ̩̀vùlə́ / àŋ̩̀vùlə́	ŋ ¹ v u ¹ l ə ⁵	4 8 3 7 8 5 7 8	ATBYTBYT	N6BY6LE6	36	36.N.C 36.6.T 36.B.C 36.Y.V 36.6.T 36.L.C 36.E.V 36.6.T	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ŋ¹vu¹lə⁵	0	18	8
11940	air	NVIAjumbu1	m̀vùlə́ / bə̀mvʊ̀lə́~bə̀àmvùlə́~àmvùlə́	m ¹ v u ¹ l ə ⁵	4 8 3 7 8 5 7 8	ATBYTBYT	M6BY6LE6	49	49.M.C 49.6.T 49.B.C 49.Y.V 49.6.T 49.L.C 49.E.V 49.6.T	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0	m¹vu¹lə⁵	0	18	8
11941	air	KMNAjumbu2	m̀vùːlə́ / àmvúːlə́	m ¹ v uː ¹ l ə ⁵	4 8 3 7 8 5 7 8	ATBYTBYT	M6BY6LE6	25	25.M.C 25.6.T 25.B.C 25.Y.V 25.6.T 25.L.C 25.E.V 25.6.T	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0	m¹vuː¹lə⁵	0	18	8
11942	air	KDCAjumbu10	ⁿvùlə́ / àⁿvùlə́	n v u ¹ l ə ⁵	4 3 7 8 5 7 8	ACYTBYT	NBY6LE6	19	19.N.C 19.B.C 19.Y.V 19.6.T 19.L.C 19.E.V 19.6.T	1.6 1.2 3.0 1.0 1.3 3.0 1.0	nvu¹lə⁵	0	18	8
11943	air	NNBBuu3	gbísə́ / kə̀gbɪ́sə́nə̄	gb i ⁵ s ə ⁵	1 7 8 3 7 8	AXTBYT	KI6SE6	45	45.K.C 45.I.V 45.6.T 45.S.C 45.E.V 45.6.T	1.6 3.0 1.0 1.3 3.0 1.0	gbi⁵sə⁵	0	1	1
11944	air	MNJBuu4	gbɪ́sə́ / kə̀gbɪ̂sə̀nə́	gb ɪ ⁵ s ə ⁵	1 7 8 3 7 8	AXTBYT	KI6SE6	29	29.K.C 29.I.V 29.6.T 29.S.C 29.E.V 29.6.T	1.6 3.0 1.0 1.3 3.0 1.0	gbɪ⁵sə⁵	0	1	1
11945	air	KEMBuu1	gbɪ́sə́ / kə́gbɪ̂sə̀nə́ ~	gb ɪ ⁵ s ə ⁵	1 7 8 3 7 8	AXTBYT	KI6SE6	21	21.K.C 21.I.V 21.6.T 21.S.C 21.E.V 21.6.T	1.6 3.0 1.0 1.3 3.0 1.0	gbɪ⁵sə⁵	0	1	1
11946	air	KCYBuu2	gbɪ́sə́ / kə́gbɪ́sə́	gb ɪ ⁵ s ə ⁵	1 7 8 3 7 8	AXTBYT	KI6SE6	18	18.K.C 18.I.V 18.6.T 18.S.C 18.E.V 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0	gbɪ⁵sə⁵	0	1	1
11947	air	KHKFang12	bʲə́ / tə̀bʲə́	b j ə ⁵	1 6 7 8	ACXT	PJE6	23	23.P.C 23.J.C 23.E.V 23.6.T	1.6 1.2 3.0 1.0	bjə⁵	0	10	6
11948	air	DPNFang13	bʲə́ / tə̀bʲə́kə̄	b j ə ⁵	1 6 7 8	ACXT	PJE6	10	10.P.C 10.J.C 10.E.V 10.6.T	1.6 1.2 3.0 1.0	bjə⁵	0	10	6
11949	air	KDVFang1	byé	b j e ⁵	1 6 7 8	ACXT	PJE6	20	20.P.C 20.J.C 20.E.V 20.6.T	1.6 1.2 3.0 1.0	bje⁵	0	10	6
11950	air	KJSFang2	byé	b j e ⁵	1 6 7 8	ACXT	PJE6	24	24.P.C 24.J.C 24.E.V 24.6.T	1.6 1.2 3.0 1.0	bje⁵	0	10	6
11951	air	JGYKoshin3	gbɪ́ː / ø	gb ɪː ⁵	1 7 8	AXT	KI6	15	15.K.C 15.I.V 15.6.T	1.6 3.0 1.0	gbɪː⁵	0	4	2
11952	air	TELKoshin4	gbɪ́í / ø	gb ɪ ⁵ i ⁵	1 7 8 7 8	AXTYT	KI6I6	50	50.K.C 50.I.V 50.6.T 50.I.V 50.6.T	1.6 3.0 1.0 3.0 1.0	gbɪ⁵i⁵	0	4	2
11953	air	KCSKung3	kə̀fɒ́f / ʊ́fɒ́f	k ə ¹ f ɒ ⁵ f	1 7 8 3 7 8 3	AXTBYTN	KE6BO6B	17	17.K.C 17.E.V 17.6.T 17.B.C 17.O.V 17.6.T 17.B.c	1.6 3.0 1.0 1.3 3.0 1.0 0.5	kə¹fɒ⁵f	0	4	7
11954	air	NJSKung4	kə̀fə́f~kə̀fɑf / ʊ̀fɑ́f	k ə ¹ f ə ⁵ f	1 7 8 3 7 8 3	AXTBYTN	KE6BE6B	41	41.K.C 41.E.V 41.6.T 41.B.C 41.E.V 41.6.T 41.B.c	1.6 3.0 1.0 1.3 3.0 1.0 0.5	kə¹fə⁵f	0	4	7
11955	air	ZKGKung1	ɪ́zʊ́ʔ / sə́zʊ́ʔ	ɪ ⁵ z ʊ ⁵ ʔ	7 8 3 7 8 1	XTBYTN	I6SY6H	53	53.I.V 53.6.T 53.S.C 53.Y.V 53.6.T 53.H.c	3.0 1.0 1.3 3.0 1.0 0.5	ɪ⁵zʊ⁵ʔ	0	7	5
11956	air	BNMKung2	sə́zʊ́ʔ / ø	s ə ⁵ z ʊ ⁵ ʔ	3 7 8 3 7 8 1	AXTBYTN	SE6SY6H	7	7.S.C 7.E.V 7.6.T 7.S.C 7.Y.V 7.6.T 7.H.c	1.6 3.0 1.0 1.3 3.0 1.0 0.5	sə⁵zʊ⁵ʔ	0	7	5
11957	air	NMNMundabli3	gbé / gbé	gb e ⁵	1 7 8	AXT	KE6	43	43.K.C 43.E.V 43.6.T	1.6 3.0 1.0	gbe⁵	0	4	2
11958	air	CENMundabli2	gbé / gbé	gb e ⁵	1 7 8	AXT	KE6	8	8.K.C 8.E.V 8.6.T	1.6 3.0 1.0	gbe⁵	0	4	2
11959	air	LFNMundabli1	gbé / ø	gb e ⁵	1 7 8	AXT	KE6	26	26.K.C 26.E.V 26.6.T	1.6 3.0 1.0	gbe⁵	0	4	2
11960	air	NINMundabli4	gbé / gbékɛ́n	gb e ⁵	1 7 8	AXT	KE6	39	39.K.C 39.E.V 39.6.T	1.6 3.0 1.0	gbe⁵	0	4	2
11961	air	NGTMunken3	ʊ̀gbáhá /kígbáhá	ʊ ¹ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	38	38.Y.V 38.6.T 38.K.C 38.A.V 38.6.T 38.H.C 38.A.V 38.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ¹gba⁵ha⁵	0	1	1
11962	air	NUNMunken4	ʊ́gbáhá / ʊ́gbáhá~kígbáhá	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	47	47.Y.V 47.6.T 47.K.C 47.A.V 47.6.T 47.H.C 47.A.V 47.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1
11963	air	NEAMunken1	ʊ́gbáhá / ø	ʊ ⁵ gb a ⁵ h a ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6HA6	35	35.Y.V 35.6.T 35.K.C 35.A.V 35.6.T 35.H.C 35.A.V 35.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵gba⁵ha⁵	0	1	1
11964	air	TNTMunken2	ʊ̀gbásə́ / kìgbáːsə́	ʊ ¹ gb a ⁵ s ə ⁵	7 8 1 7 8 3 7 8	XTBYTBYT	Y6KA6SE6	51	51.Y.V 51.6.T 51.K.C 51.A.V 51.6.T 51.S.C 51.E.V 51.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ¹gba⁵sə⁵	0	1	1
