Concept	Stability
tongue	0.9326074963
child	0.931366073
breast	0.9094090401
axe	0.8931207002
grave	0.8931207002
mother	0.8776142843
ear	0.8596845172
horse	0.8302504547
bird	0.8146494912
heart	0.8106082317
cow, cattle	0.8084923511
song	0.8029827324
father	0.7947238922
rope	0.7772857833
tooth	0.7768137847
ladder	0.7735844612
war	0.7680910651
chief	0.767358255
soap	0.7640363124
sieve	0.7588305979
medicine	0.7546184661
smoke	0.7537247346
bag	0.7533715738
stone	0.7528250584
headpad	0.7525833734
deity, god, God	0.7509742461
tree	0.7484875723
sheep	0.7404700503
gong	0.7382399097
fence	0.7295754486
road	0.72920572
hand	0.7276877419
head	0.7270275101
cat	0.7199588897
nose	0.718580772
sand	0.7145357637
hair	0.7131887501
fowl	0.7080770611
book	0.705039231
forest	0.7048387019
basket	0.7037444213
camwood	0.7005010593
goat	0.6899007219
dance	0.6860764741
umbrella	0.6840524425
crab	0.6829095802
devil	0.6791770354
hailstone	0.6788727403
stomach	0.6775295908
raffia bamboo	0.6693194066
horn (head)	0.6670465763
friend	0.6637915311
jaw	0.66307879
fire	0.6608164902
bitter leaf	0.6597711199
caterpillar	0.6591985147
work (n)	0.6557579008
eye	0.6553836207
place	0.6536154332
farm	0.6500184035
rain	0.6479708625
dog	0.6472428366
bridge	0.6447520106
faeces	0.6437302268
seed	0.6398722936
house	0.6360902439
toilet	0.6356405749
dust	0.6344671589
pineapple	0.6326090637
corn	0.629754692
air	0.6286719932
grass	0.6283411305
cricket	0.6259356361
monkey	0.6240258046
person	0.6212298026
potato	0.6207953974
animal	0.6187011962
plantain	0.6166202732
leaf	0.6161646259
mouth	0.6157597505
yam	0.6147240838
fireside	0.6124550056
belly	0.6120796804
bat	0.6101928383
chair	0.6100330838
case (court) (n)	0.6055157389
moon	0.6036343394
xylophone	0.6022419112
name	0.5987189846
snake	0.5917264153
owl	0.5840704147
broom	0.581526095
cutlass	0.5807713872
root	0.5783259286
zinc	0.5777905837
dry season	0.5768427909
gun	0.5764980803
intestine	0.5726069036
pig	0.5720473433
water	0.5697635496
bed	0.5639194943
gizzard (fowl)	0.5622407217
egg	0.559241578
fish	0.5581372651
knife	0.5560486754
palm nut	0.5536634315
fly (bird)	0.5530040603
cup	0.5528059335
oil	0.5490955136
hill	0.5490322496
sun	0.5478051174
cap	0.5454948856
pap	0.5452777892
hoe	0.5354767503
spider	0.5294059666
feather	0.5258132607
palm tree	0.5251742333
sky	0.5249327407
blood	0.5246760169
cloth	0.5234475522
salt	0.5209344977
day	0.5185357375
soldier ant	0.516118172
wingless termite	0.5055033958
grasshopper	0.5025016549
storm (wind)	0.4916422845
banana	0.4904036033
mushroom	0.4882260599
story	0.4782596854
pot	0.4656328389
pepper	0.4610979606
elephant stalk	0.4604730087
trap	0.4524484258
star	0.450817564
drum	0.4426569253
compound	0.4400380246
rainbow	0.4193587803
garden egg	0.3978753484
termite	0.2981569366
