Doculect1	Doculect2	SharedCognateCount
ABSMissong1	AGAMissong2	119
ABSMissong1	AOMNgun2	82
ABSMissong1	APBMumfu1	35
ABSMissong1	BAAMashi4	26
ABSMissong1	BKBMashi2	26
ABSMissong1	BNMKung2	18
ABSMissong1	CENMundabli2	38
ABSMissong1	DNMMumfu2	35
ABSMissong1	DPNFang13	32
ABSMissong1	ECLAbar8	79
ABSMissong1	ENBBiya1	66
ABSMissong1	FBCBiya8	74
ABSMissong1	ICNBiya2	60
ABSMissong1	JGYKoshin3	30
ABSMissong1	KBMNgun4	80
ABSMissong1	KCSKung3	23
ABSMissong1	KCYBuu2	48
ABSMissong1	KDCAjumbu10	34
ABSMissong1	KDVFang1	21
ABSMissong1	KEMBuu1	49
ABSMissong1	KFKMashi1	27
ABSMissong1	KHKFang12	32
ABSMissong1	KJSFang2	23
ABSMissong1	KMNAjumbu2	36
ABSMissong1	LFNMundabli1	38
ABSMissong1	MCANgun3	75
ABSMissong1	MEAMumfu3	36
ABSMissong1	MNJBuu4	54
ABSMissong1	MRYKoshin2	24
ABSMissong1	NACAbar2	75
ABSMissong1	NCCMumfu4	36
ABSMissong1	NCMMashi5	26
ABSMissong1	NDNMissong5	117
ABSMissong1	NEAMunken1	71
ABSMissong1	NEMAjumbu9	33
ABSMissong1	NFKBiya7	74
ABSMissong1	NGTMunken3	75
ABSMissong1	NINMundabli4	36
ABSMissong1	NJNBiya6	73
ABSMissong1	NJSKung4	22
ABSMissong1	NMAAbar1	68
ABSMissong1	NMNMundabli3	39
ABSMissong1	NMSMissong4	118
ABSMissong1	NNBBuu3	55
ABSMissong1	NSFBiya5	71
ABSMissong1	NUNMunken4	77
ABSMissong1	NVBAbar7	80
ABSMissong1	NVIAjumbu1	34
ABSMissong1	TELKoshin4	33
ABSMissong1	TNTMunken2	75
ABSMissong1	WCANgun1	78
ABSMissong1	ZKGKung1	15
AGAMissong2	AOMNgun2	82
AGAMissong2	APBMumfu1	34
AGAMissong2	BAAMashi4	25
AGAMissong2	BKBMashi2	25
AGAMissong2	BNMKung2	18
AGAMissong2	CENMundabli2	36
AGAMissong2	DNMMumfu2	33
AGAMissong2	DPNFang13	31
AGAMissong2	ECLAbar8	81
AGAMissong2	ENBBiya1	67
AGAMissong2	FBCBiya8	74
AGAMissong2	ICNBiya2	62
AGAMissong2	JGYKoshin3	29
AGAMissong2	KBMNgun4	79
AGAMissong2	KCSKung3	24
AGAMissong2	KCYBuu2	50
AGAMissong2	KDCAjumbu10	35
AGAMissong2	KDVFang1	21
AGAMissong2	KEMBuu1	52
AGAMissong2	KFKMashi1	27
AGAMissong2	KHKFang12	31
AGAMissong2	KJSFang2	23
AGAMissong2	KMNAjumbu2	36
AGAMissong2	LFNMundabli1	36
AGAMissong2	MCANgun3	76
AGAMissong2	MEAMumfu3	35
AGAMissong2	MNJBuu4	57
AGAMissong2	MRYKoshin2	23
AGAMissong2	NACAbar2	75
AGAMissong2	NCCMumfu4	35
AGAMissong2	NCMMashi5	28
AGAMissong2	NDNMissong5	121
AGAMissong2	NEAMunken1	74
AGAMissong2	NEMAjumbu9	37
AGAMissong2	NFKBiya7	73
AGAMissong2	NGTMunken3	78
AGAMissong2	NINMundabli4	34
AGAMissong2	NJNBiya6	73
AGAMissong2	NJSKung4	23
AGAMissong2	NMAAbar1	68
AGAMissong2	NMNMundabli3	37
AGAMissong2	NMSMissong4	122
AGAMissong2	NNBBuu3	57
AGAMissong2	NSFBiya5	72
AGAMissong2	NUNMunken4	78
AGAMissong2	NVBAbar7	83
AGAMissong2	NVIAjumbu1	35
AGAMissong2	TELKoshin4	33
AGAMissong2	TNTMunken2	78
AGAMissong2	WCANgun1	78
AGAMissong2	ZKGKung1	16
AOMNgun2	APBMumfu1	25
AOMNgun2	BAAMashi4	20
AOMNgun2	BKBMashi2	19
AOMNgun2	BNMKung2	15
AOMNgun2	CENMundabli2	27
AOMNgun2	DNMMumfu2	23
AOMNgun2	DPNFang13	28
AOMNgun2	ECLAbar8	101
AOMNgun2	ENBBiya1	91
AOMNgun2	FBCBiya8	103
AOMNgun2	ICNBiya2	79
AOMNgun2	JGYKoshin3	26
AOMNgun2	KBMNgun4	116
AOMNgun2	KCSKung3	24
AOMNgun2	KCYBuu2	47
AOMNgun2	KDCAjumbu10	37
AOMNgun2	KDVFang1	18
AOMNgun2	KEMBuu1	47
AOMNgun2	KFKMashi1	20
AOMNgun2	KHKFang12	27
AOMNgun2	KJSFang2	21
AOMNgun2	KMNAjumbu2	39
AOMNgun2	LFNMundabli1	28
AOMNgun2	MCANgun3	113
AOMNgun2	MEAMumfu3	25
AOMNgun2	MNJBuu4	50
AOMNgun2	MRYKoshin2	19
AOMNgun2	NACAbar2	93
AOMNgun2	NCCMumfu4	25
AOMNgun2	NCMMashi5	22
AOMNgun2	NDNMissong5	82
AOMNgun2	NEAMunken1	92
AOMNgun2	NEMAjumbu9	36
AOMNgun2	NFKBiya7	104
AOMNgun2	NGTMunken3	100
AOMNgun2	NINMundabli4	26
AOMNgun2	NJNBiya6	102
AOMNgun2	NJSKung4	22
AOMNgun2	NMAAbar1	88
AOMNgun2	NMNMundabli3	29
AOMNgun2	NMSMissong4	84
AOMNgun2	NNBBuu3	51
AOMNgun2	NSFBiya5	105
AOMNgun2	NUNMunken4	104
AOMNgun2	NVBAbar7	102
AOMNgun2	NVIAjumbu1	36
AOMNgun2	TELKoshin4	30
AOMNgun2	TNTMunken2	99
AOMNgun2	WCANgun1	119
AOMNgun2	ZKGKung1	17
APBMumfu1	BAAMashi4	42
APBMumfu1	BKBMashi2	41
APBMumfu1	BNMKung2	14
APBMumfu1	CENMundabli2	109
APBMumfu1	DNMMumfu2	114
APBMumfu1	DPNFang13	49
APBMumfu1	ECLAbar8	28
APBMumfu1	ENBBiya1	22
APBMumfu1	FBCBiya8	27
APBMumfu1	ICNBiya2	25
APBMumfu1	JGYKoshin3	56
APBMumfu1	KBMNgun4	25
APBMumfu1	KCSKung3	19
APBMumfu1	KCYBuu2	52
APBMumfu1	KDCAjumbu10	32
APBMumfu1	KDVFang1	35
APBMumfu1	KEMBuu1	53
APBMumfu1	KFKMashi1	42
APBMumfu1	KHKFang12	48
APBMumfu1	KJSFang2	34
APBMumfu1	KMNAjumbu2	32
APBMumfu1	LFNMundabli1	114
APBMumfu1	MCANgun3	22
APBMumfu1	MEAMumfu3	119
APBMumfu1	MNJBuu4	56
APBMumfu1	MRYKoshin2	34
APBMumfu1	NACAbar2	23
APBMumfu1	NCCMumfu4	118
APBMumfu1	NCMMashi5	42
APBMumfu1	NDNMissong5	36
APBMumfu1	NEAMunken1	26
APBMumfu1	NEMAjumbu9	34
APBMumfu1	NFKBiya7	26
APBMumfu1	NGTMunken3	24
APBMumfu1	NINMundabli4	111
APBMumfu1	NJNBiya6	27
APBMumfu1	NJSKung4	19
APBMumfu1	NMAAbar1	23
APBMumfu1	NMNMundabli3	111
APBMumfu1	NMSMissong4	35
APBMumfu1	NNBBuu3	58
APBMumfu1	NSFBiya5	26
APBMumfu1	NUNMunken4	26
APBMumfu1	NVBAbar7	26
APBMumfu1	NVIAjumbu1	28
APBMumfu1	TELKoshin4	55
APBMumfu1	TNTMunken2	25
APBMumfu1	WCANgun1	25
APBMumfu1	ZKGKung1	12
BAAMashi4	BKBMashi2	120
BAAMashi4	BNMKung2	13
BAAMashi4	CENMundabli2	44
BAAMashi4	DNMMumfu2	38
BAAMashi4	DPNFang13	32
BAAMashi4	ECLAbar8	25
BAAMashi4	ENBBiya1	19
BAAMashi4	FBCBiya8	20
BAAMashi4	ICNBiya2	19
BAAMashi4	JGYKoshin3	41
BAAMashi4	KBMNgun4	21
BAAMashi4	KCSKung3	14
BAAMashi4	KCYBuu2	34
BAAMashi4	KDCAjumbu10	24
BAAMashi4	KDVFang1	24
BAAMashi4	KEMBuu1	37
BAAMashi4	KFKMashi1	120
BAAMashi4	KHKFang12	31
BAAMashi4	KJSFang2	21
