Concept	NumDoculects	Pct
axe	55	1.0
bird	55	1.0
breast	55	1.0
chief	55	1.0
corn	55	1.0
devil	55	1.0
ear	55	1.0
egg	55	1.0
forest	55	1.0
hair	55	1.0
head	55	1.0
heart	55	1.0
house	55	1.0
jaw	55	1.0
name	55	1.0
nose	55	1.0
palm tree	55	1.0
pepper	55	1.0
pig	55	1.0
place	55	1.0
pot	55	1.0
potato	55	1.0
song	55	1.0
tongue	55	1.0
animal	54	0.98
bag	54	0.98
banana	54	0.98
basket	54	0.98
blood	54	0.98
broom	54	0.98
cat	54	0.98
chair	54	0.98
crab	54	0.98
cricket	54	0.98
cup	54	0.98
cutlass	54	0.98
eye	54	0.98
faeces	54	0.98
farm	54	0.98
fish	54	0.98
garden egg	54	0.98
grave	54	0.98
hand	54	0.98
ladder	54	0.98
leaf	54	0.98
monkey	54	0.98
palm nut	54	0.98
plantain	54	0.98
rain	54	0.98
salt	54	0.98
snake	54	0.98
sun	54	0.98
water	54	0.98
yam	54	0.98
bed	53	0.96
book	53	0.96
caterpillar	53	0.96
child	53	0.96
compound	53	0.96
cow, cattle	53	0.96
deity, god, God	53	0.96
dust	53	0.96
fowl	53	0.96
friend	53	0.96
gong	53	0.96
grass	53	0.96
hoe	53	0.96
moon	53	0.96
mouth	53	0.96
pineapple	53	0.96
root	53	0.96
seed	53	0.96
sieve	53	0.96
smoke	53	0.96
soap	53	0.96
stomach	53	0.96
stone	53	0.96
story	53	0.96
tooth	53	0.96
trap	53	0.96
tree	53	0.96
war	53	0.96
air	52	0.95
bitter leaf	52	0.95
day	52	0.95
drum	52	0.95
feather	52	0.95
grasshopper	52	0.95
gun	52	0.95
mother	52	0.95
owl	52	0.95
person	52	0.95
sand	52	0.95
storm (wind)	52	0.95
toilet	52	0.95
umbrella	52	0.95
xylophone	52	0.95
case (court) (n)	51	0.93
father	51	0.93
fire	51	0.93
goat	51	0.93
hill	51	0.93
intestine	51	0.93
medicine	51	0.93
oil	51	0.93
raffia bamboo	51	0.93
sheep	51	0.93
star	51	0.93
fence	50	0.91
hailstone	50	0.91
horse	50	0.91
rope	50	0.91
soldier ant	50	0.91
dance	48	0.87
dog	48	0.87
fly (bird)	48	0.87
knife	48	0.87
bat	47	0.85
bridge	47	0.85
headpad	47	0.85
rainbow	47	0.85
sky	47	0.85
cloth	46	0.84
gizzard (fowl)	46	0.84
zinc	46	0.84
cap	45	0.82
fireside	45	0.82
camwood	44	0.8
pap	44	0.8
road	44	0.8
spider	44	0.8
work (n)	44	0.8
belly	42	0.76
termite	42	0.76
wingless termite	42	0.76
