	air	animal	axe	bag	banana	basket	bat	bed	belly	bird	bitter leaf	blood	book	breast	bridge	broom	camwood	cap	case (court) (n)	cat	caterpillar	chair	chief	child	cloth	compound	corn	cow, cattle	crab	cricket	cup	cutlass	dance	day	deity, god, God	devil	dog	drum	dry season	dust	ear	egg	elephant stalk	eye	faeces	farm	father	feather	fence	fire	fireside	fish	fly (bird)	forest	fowl	friend	garden egg	gizzard (fowl)	goat	gong	grass	grasshopper	grave	gun	hailstone	hair	hand	head	headpad	heart	hill	hoe	horn (head)	horse	house	intestine	jaw	knife	ladder	leaf	medicine	monkey	moon	mother	mouth	mushroom	name	nose	oil	owl	palm nut	palm tree	pap	pepper	person	pig	pineapple	place	plantain	pot	potato	raffia bamboo	rain	rainbow	road	root	rope	salt	sand	seed	sheep	sieve	sky	smoke	snake	soap	soldier ant	song	spider	star	stomach	stone	storm (wind)	story	sun	termite	toilet	tongue	tooth	trap	tree	umbrella	war	water	wingless termite	work (n)	xylophone	yam	zinc
air	0.0	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.26254726989833455	0.0316069770620507	0.0316069770620507	0.0632139541241014	0.18156825980064073	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.10948978029027179	0.22360679774997896	0.0316069770620507	0.0948209311861521	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.3064410121150462	0.09995003746877731	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.1515817369508048	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.10482848367219183	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.04469901562676742	0.42168967004442715	0.0316069770620507	0.5222329678670935	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.04469901562676742	0.22360679774997896	0.17598020050287183	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.24277779746315137	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0632139541241014	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.07067534927402196	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.4447495899966607	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.4709333517369754	0.0316069770620507	0.38321423101595126
animal	0.0316069770620507	0.0	0.1580348853102535	0.1413506985480439	0.0316069770620507	0.0948209311861521	0.42168967004442715	0.04469901562676742	0.054744890145135894	0.12241329578528219	0.17879606250706967	0.0316069770620507	0.24685838235527052	0.3766406003846928	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.1580348853102535	0.1515817369508048	0.31129262262876856	0.1515817369508048	0.3344968040028363	0.47830035414081473	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.09995003746877731	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.25482359571881275	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.12241329578528219	0.0316069770620507	0.4762071259160522	0.29649972666444047	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.07742096611387637	0.09995003746877731	0.0316069770620507	0.0316069770620507	0.08362420100070908	0.0316069770620507	0.22360679774997896	0.2809289570711409	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.20238340089800091	0.15484193222775275	0.14824986333222023	0.0316069770620507	0.0316069770620507	0.21897956058054358	0.054744890145135894	0.22360679774997896	0.22360679774997896	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.13031890493330958	0.04469901562676742	0.04469901562676742	0.29140193018421295	0.12241329578528219	0.08939803125353483	0.28621335034914414	0.04469901562676742	0.22360679774997896	0.0316069770620507	0.14484136487558028	0.0316069770620507	0.0316069770620507	0.13031890493330958	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.18698939800169145	0.0632139541241014	0.2301022662796978	0.0316069770620507	0.0316069770620507	0.17598020050287183	0.0316069770620507	0.14824986333222023	0.22360679774997896	0.27189349739571544	0.0316069770620507	0.10482848367219183	0.0316069770620507	0.22360679774997896	0.14484136487558028	0.0316069770620507	0.22360679774997896	0.49270401130622304	0.0316069770620507	0.22360679774997896	0.18698939800169145	0.054744890145135894	0.22360679774997896	0.0316069770620507	0.13031890493330958	0.0316069770620507	0.08362420100070908	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.5007486902122169	0.0316069770620507	0.17020878053446295	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.04469901562676742	0.22360679774997896	0.22360679774997896	0.16116459280507606	0.0316069770620507	0.22360679774997896
axe	0.0316069770620507	0.1580348853102535	0.0	0.16724840200141816	0.34188172937891387	0.054744890145135894	0.6128820242300924	0.08939803125353483	0.0316069770620507	0.6399925074486494	0.04469901562676742	0.10482848367219183	0.18429876279029647	0.0316069770620507	0.04469901562676742	0.14824986333222023	0.48658322696455203	0.054744890145135894	0.08939803125353483	0.6903067988390934	0.4645257966832582	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.04469901562676742	0.0948209311861521	0.08939803125353483	0.0316069770620507	0.0316069770620507	0.4666714237900343	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.39980014987510926	0.054744890145135894	0.054744890145135894	0.4084521597851661	0.0316069770620507	0.0316069770620507	0.1413506985480439	0.0316069770620507	0.2322628983416291	0.0316069770620507	0.1580348853102535	0.0316069770620507	0.0316069770620507	0.30151134457776363	0.07742096611387637	0.0316069770620507	0.0316069770620507	0.0632139541241014	0.0316069770620507	0.7838275412267767	0.0316069770620507	0.07067534927402196	0.12241329578528219	0.07067534927402196	0.054744890145135894	0.0316069770620507	0.20483662259967567	0.18698939800169145	0.632139541241014	0.5938411847012235	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.6281762448591912	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.1896418623723042	0.28968272975116055	0.0316069770620507	1.0	0.0316069770620507	0.17020878053446295	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.07742096611387637	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.0316069770620507	0.19738550848793068	0.0316069770620507	0.0316069770620507	0.5988667286144378	0.10948978029027179	0.08362420100070908	0.12241329578528219	0.0316069770620507	0.04469901562676742	0.2212488394343549	0.39477101697586137	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.8045822812818135	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.15484193222775275	0.5335871856737985	0.35196040100574366	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.19990007493755463	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0632139541241014	0.9333428475800686	0.11826247919781652	0.0316069770620507	0.6689936080056726	0.8872501266344159	0.8650154612790156	0.0316069770620507	0.3603749850782236
bag	0.0316069770620507	0.1413506985480439	0.16724840200141816	0.0	0.14484136487558028	0.20965696734438366	0.22360679774997896	0.18156825980064073	0.22360679774997896	0.2279211529192759	0.2587142573053656	0.3645094413964237	0.22360679774997896	0.21668651770021816	0.04469901562676742	0.20238340089800091	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.2587142573053656	0.3064410121150462	0.5680469370371807	0.316069770620507	0.49371676471054105	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.26819409376060455	0.0316069770620507	0.17598020050287183	0.29985011240633197	0.0316069770620507	0.31129262262876856	0.22360679774997896	0.14824986333222023	0.2212488394343549	0.0316069770620507	0.27372445072567947	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.13031890493330958	0.13031890493330958	0.0316069770620507	0.2301022662796978	0.21897956058054358	0.10482848367219183	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.10948978029027179	0.2279211529192759	0.22360679774997896	0.0316069770620507	0.04469901562676742	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.17020878053446295	0.3207757829031096	0.14484136487558028	0.08362420100070908	0.1922577357690373	0.1580348853102535	0.1413506985480439	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.24482659157056438	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.13777161892428708	0.14484136487558028	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.4709333517369754	0.2663251226021889	0.0316069770620507	0.7644707871564383	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.04469901562676742	0.22360679774997896	0.33598677486935835	0.31921482092487796	0.13777161892428708	0.22360679774997896	0.16116459280507606	0.04469901562676742	0.0316069770620507	0.2528558164964056	0.0316069770620507	0.21202604782206586	0.0316069770620507	0.17598020050287183	0.10482848367219183	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.2981796252447322	0.0632139541241014	0.19990007493755463	0.0316069770620507	0.22360679774997896	0.6169435797699662	0.1731185431143353	0.19738550848793068	0.26063780986661916	0.2488735862602979	0.24482659157056438	0.22360679774997896	0.17598020050287183	0.22360679774997896	0.2827013970960878	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.26063780986661916	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.1731185431143353	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.07742096611387637	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.13777161892428708	0.5437869947914309
banana	0.04469901562676742	0.0316069770620507	0.34188172937891387	0.14484136487558028	0.0	0.16423467043540768	0.10482848367219183	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.5671669257620032	0.3447914135838056	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.29985011240633197	0.04469901562676742	0.5654027941921757	0.10948978029027179	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.3766406003846928	0.0316069770620507	0.0316069770620507	0.11826247919781652	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.71797250329279	0.19483849199282455	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.10948978029027179	0.04469901562676742	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.0316069770620507	0.24071156586682316	0.0316069770620507	0.17879606250706967	0.0316069770620507	0.28621335034914414	0.14484136487558028	0.1515817369508048	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.24685838235527052	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.07067534927402196	0.0316069770620507	0.0316069770620507	0.1580348853102535	0.07742096611387637	0.2279211529192759	0.2587142573053656	0.0316069770620507	0.07742096611387637	0.0316069770620507	0.08362420100070908	0.22360679774997896	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.07067534927402196	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.0316069770620507	0.10948978029027179	0.0316069770620507	0.0316069770620507	0.2528558164964056	0.11396057645963795	0.0316069770620507	0.0316069770620507	0.054744890145135894	0.22360679774997896	0.26444294267397256	0.0316069770620507	0.43567211272950424	0.29481025578003034	0.20238340089800091	0.0316069770620507	0.26254726989833455	0.1515817369508048	0.2301022662796978	0.07742096611387637	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.04469901562676742	0.04469901562676742	0.04469901562676742	0.22360679774997896	0.8644378215075664	0.0316069770620507	0.17020878053446295	0.0316069770620507	0.40476680179600183	0.0316069770620507	0.2931110470693418	0.19483849199282455	0.2344036154692477	0.18698939800169145	0.0316069770620507	0.04469901562676742
basket	0.0316069770620507	0.0948209311861521	0.054744890145135894	0.20965696734438366	0.16423467043540768	0.0	0.22360679774997896	0.1922577357690373	0.22360679774997896	0.3819085569271077	0.5164622607057235	0.08362420100070908	0.5759065303227006	0.6764188477137946	0.36723988735584656	0.17879606250706967	0.21202604782206586	0.0316069770620507	0.13409704688030227	0.47304991679126607	0.47515705379824236	0.1264279082482028	0.36313651960128146	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.2344036154692477	0.054744890145135894	0.22360679774997896	0.5853694070049635	0.0316069770620507	0.1731185431143353	0.5724267006982883	0.22360679774997896	0.17598020050287183	0.0316069770620507	0.0316069770620507	0.3048066483971321	0.0316069770620507	0.0632139541241014	0.10482848367219183	0.1896418623723042	0.0316069770620507	0.4010475792710397	0.14824986333222023	0.0316069770620507	0.0316069770620507	0.14824986333222023	0.0316069770620507	0.2386274438178831	0.337470167401674	0.1922577357690373	0.07742096611387637	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.04469901562676742	0.2488735862602979	0.20483662259967567	0.0948209311861521	0.0316069770620507	0.22360679774997896	0.09995003746877731	0.2212488394343549	0.0316069770620507	0.0316069770620507	0.3476767476825577	0.17020878053446295	0.0316069770620507	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.21436894820389904	0.5154941956358633	0.0948209311861521	0.37264076382105443	0.18429876279029647	0.0632139541241014	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.08362420100070908	0.14824986333222023	0.0316069770620507	0.14484136487558028	0.10948978029027179	0.0316069770620507	0.0316069770620507	0.1413506985480439	0.35759212501413934	0.0948209311861521	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.6859515074183237	0.34911047231230674	0.11396057645963795	0.054744890145135894	0.10948978029027179	0.04469901562676742	0.46559984620188266	0.2931110470693418	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.13031890493330958	0.6233870295501732	0.1413506985480439	0.0632139541241014	0.22360679774997896	0.0632139541241014	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.15484193222775275	0.07742096611387637	0.22360679774997896	0.22571896453123064	0.6975051874455749	0.0316069770620507	0.21436894820389904	0.0316069770620507	0.9116846116771036	0.0316069770620507	0.36587721146053065	0.7793539679712982	0.0316069770620507	0.628970902033151	0.0316069770620507	0.4957360646092291
bat	0.22360679774997896	0.42168967004442715	0.6128820242300924	0.22360679774997896	0.10482848367219183	0.22360679774997896	0.0	0.09995003746877731	0.22360679774997896	0.2386274438178831	0.5879237583686728	0.4228725325924809	0.22360679774997896	0.5887727461876497	0.22360679774997896	0.496742636335202	0.3128931093873719	0.22360679774997896	0.22360679774997896	0.09995003746877731	0.22360679774997896	0.0632139541241014	0.900105443928549	0.5410242995534422	0.22360679774997896	0.10482848367219183	0.22360679774997896	0.19990007493755463	0.04469901562676742	0.22360679774997896	0.2844627935584563	0.20238340089800091	0.1413506985480439	0.13409704688030227	0.09995003746877731	0.22360679774997896	0.04469901562676742	0.6201736729460423	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.19483849199282455	0.22360679774997896	0.4458712805297049	0.0316069770620507	0.5428676585552824	0.3344968040028363	0.48965318314112877	0.3871048305693819	0.17020878053446295	0.22360679774997896	0.14824986333222023	0.22360679774997896	0.16116459280507606	0.3048066483971321	0.7378723090450979	0.13031890493330958	0.49067223353195843	0.358986251646395	0.0316069770620507	0.5382474242486347	0.3048066483971321	0.9067402175804392	0.15484193222775275	0.49874968546481185	0.40476680179600183	0.5501793368505425	0.04469901562676742	0.22360679774997896	0.22360679774997896	0.7638171138542154	0.18698939800169145	0.22360679774997896	0.2234950781338371	0.18429876279029647	0.14484136487558028	0.25677629550654774	0.22360679774997896	0.25482359571881275	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.496742636335202	0.22360679774997896	0.22360679774997896	0.07067534927402196	0.5456210202166865	0.22360679774997896	0.337470167401674	0.23652495839563303	0.4772548876357662	0.22360679774997896	0.9094904217048287	0.5980320707473451	0.0316069770620507	0.4368171136862552	0.22360679774997896	0.5618579141422818	0.17020878053446295	0.11396057645963795	0.674199862463242	0.12241329578528219	0.22360679774997896	0.22360679774997896	0.16423467043540768	0.22360679774997896	0.33598677486935835	0.22360679774997896	0.22360679774997896	0.5307714025060899	0.8266297135457226	0.5887727461876497	0.427571260513593	0.4084521597851661	0.22360679774997896	0.8650154612790156	0.42050348015584466	0.6297645564839265	0.29140193018421295	0.22360679774997896	0.054744890145135894	0.22360679774997896	0.7102784696831972	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.8326504028142263	0.1413506985480439	0.11826247919781652	0.0948209311861521	0.22360679774997896	0.5183929674785999	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.054744890145135894	0.22360679774997896
bed	0.22360679774997896	0.04469901562676742	0.08939803125353483	0.18156825980064073	0.0316069770620507	0.1922577357690373	0.09995003746877731	0.0	0.22360679774997896	0.0316069770620507	0.08362420100070908	0.22360679774997896	0.2528558164964056	0.3779644730092272	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.07742096611387637	0.04469901562676742	0.04469901562676742	0.0316069770620507	0.24071156586682316	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.07067534927402196	0.0316069770620507	0.08939803125353483	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.27914526311954124	0.0632139541241014	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.3447914135838056	0.0316069770620507	0.22360679774997896	0.07067534927402196	0.0316069770620507	0.07742096611387637	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.09995003746877731	0.22360679774997896	0.32387513781564786	0.0316069770620507	0.13409704688030227	0.0316069770620507	0.0316069770620507	0.4072274129207976	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.04469901562676742	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.2301022662796978	0.22360679774997896	0.5007486902122169	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.07067534927402196	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.18429876279029647	0.0316069770620507	0.07067534927402196	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.3064410121150462	0.21202604782206586	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.08362420100070908	0.22360679774997896	0.18156825980064073	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.19738550848793068	0.3389470679694912	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.3739787960033829	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.5879237583686728	0.0316069770620507	0.22360679774997896
belly	0.22360679774997896	0.054744890145135894	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.0	0.3404175610689259	0.07742096611387637	0.22360679774997896	0.22360679774997896	0.17598020050287183	0.22360679774997896	0.07067534927402196	0.1413506985480439	0.0316069770620507	0.22360679774997896	0.3779644730092272	0.22360679774997896	0.0632139541241014	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.054744890145135894	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.054744890145135894	0.0316069770620507	0.0316069770620507	0.08939803125353483	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.07067534927402196	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.5086661564732401	0.054744890145135894	0.08939803125353483	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.07067534927402196	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.1413506985480439	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.2344036154692477	0.07067534927402196	0.04469901562676742	0.22360679774997896	0.22360679774997896	0.08939803125353483	0.0316069770620507	0.5066983883369442	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.10948978029027179	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.21668651770021816	0.22360679774997896	0.22360679774997896	0.7625080861332432	0.22360679774997896	0.1515817369508048	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.04469901562676742	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.0316069770620507	0.21202604782206586	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.1413506985480439	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.1922577357690373	0.0316069770620507	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.7242068243779014	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.3176461882332305	0.22360679774997896	0.0316069770620507	0.22360679774997896	0.054744890145135894	0.22360679774997896	0.22360679774997896	0.22360679774997896	0.04469901562676742	0.0316069770620507	0.22360679774997896	0.0316069770620507	0.9258200997725514	0.04469901562676742	0.22360679774997896	0.0316069770620507	0.24071156586682316	0.22360679774997896	0.0316069770620507	0.23652495839563303
bird	0.26254726989833455	0.12241329578528219	0.6399925074486494	0.2279211529192759	0.0316069770620507	0.3819085569271077	0.2386274438178831	0.0316069770620507	0.3404175610689259	0.0	0.17879606250706967	0.1515817369508048	0.24482659157056438	0.5382474242486347	0.14484136487558028	0.26819409376060455	0.13031890493330958	0.0316069770620507	0.36995018159630205	0.0316069770620507	0.5222329678670935	0.21436894820389904	0.2773500981126146	0.8638597954840509	0.0316069770620507	0.04469901562676742	0.08939803125353483	0.5391746384143923	0.04469901562676742	0.1264279082482028	0.0316069770620507	0.0316069770620507	0.49270401130622304	0.04469901562676742	0.0316069770620507	0.38059840364240216	0.054744890145135894	0.0316069770620507	0.33149677206589795	0.054744890145135894	0.0316069770620507	0.0316069770620507	0.0316069770620507	0.1413506985480439	0.08939803125353483	0.24277779746315137	0.46128864367900146	0.24277779746315137	0.23652495839563303	0.0316069770620507	0.15484193222775275	0.0316069770620507	0.27554323784857415	0.18156825980064073	0.2809289570711409	0.0316069770620507	0.0316069770620507	0.1896418623723042	0.07742096611387637	0.0316069770620507	0.20238340089800091	0.1264279082482028	0.6030226891555273	0.09995003746877731	0.5946817246614812	0.316069770620507	0.337470167401674	0.0316069770620507	0.054744890145135894	0.9482093118615209	0.0948209311861521	0.0316069770620507	0.0632139541241014	0.0316069770620507	0.3462370862286706	0.1580348853102535	0.0316069770620507	0.18698939800169145	0.43909815851036404	0.0632139541241014	0.14824986333222023	0.1580348853102535	0.6607294730549232	0.17879606250706967	0.19738550848793068	0.0316069770620507	0.0316069770620507	0.4677405464370379	0.1515817369508048	0.0316069770620507	0.24071156586682316	0.19483849199282455	0.19483849199282455	0.5609681940050744	0.22360679774997896	0.0316069770620507	0.5037323235074892	0.10948978029027179	0.28621335034914414	0.0316069770620507	0.0316069770620507	0.6241877839323593	0.0316069770620507	0.2488735862602979	0.40476680179600183	0.09995003746877731	0.25482359571881275	0.21668651770021816	0.35759212501413934	0.3896769839856491	0.7116835718867666	0.735159534019345	0.4413674147523748	0.8753477972976035	0.35759212501413934	0.054744890145135894	0.4458712805297049	0.4793435404490497	0.358986251646395	0.13409704688030227	0.3144854510165755	0.12241329578528219	0.1896418623723042	0.29649972666444047	0.18429876279029647	0.1580348853102535	0.1922577357690373	0.8673221732711278	0.10948978029027179	0.18698939800169145	0.0316069770620507	0.1264279082482028	0.2809289570711409	0.46128864367900146	0.24071156586682316	0.4997501873438866	0.18429876279029647	0.13409704688030227	0.18429876279029647
