	air_1	animal_22	axe_55	bag_67	basket_105	bird_217	bitter leaf_219	book_303	breast_354	bridge_390	broom_409	camwood_428	cat_511	caterpillar_522	chief_582	child_599	corn_669	cow, cattle_683	crab_698	cricket_705	cup_739	cutlass_780	dance_820	deity, god, God_853	devil_871	dog_904	dust_989	ear_1008	eye_1056	faeces_1084	farm_1136	father_1148	fence_1202	fire_1215	fireside_1245	forest_1309	fowl_1356	fowl_1361	friend_1408	goat_1466	gong_1480	grass_1484	grave_1542	gun_1549	hailstone_1573	hair_1623	hand_1639	head_1659	headpad_1667	heart_1684	horse_1805	house_1806	intestine_1825	jaw_1866	ladder_1911	ladder_1904	leaf_1912	medicine_1943	monkey_1966	mother_2027	mouth_2049	name_2122	nose_2143	nose_2144	owl_2219	palm nut_2254	person_2427	pineapple_2453	place_2491	plantain_2539	potato_2605	raffia bamboo_2619	raffia bamboo_2637	rain_2658	road_2704	rope_2787	sand_2834	sand_2837	seed_2851	sheep_2902	sieve_2946	smoke_3013	soap_3080	song_3176	stomach_3276	stone_3317	stone_3315	toilet_3519	tongue_3585	tooth_3597	tree_3640	umbrella_3645	war_3690	war_3691	work (n)_3785	xylophone_3799	yam_3836
air_1	0.0	0.09523809523809523	0.5555555555555556	0.4722222222222222	0.5588235294117647	0.4666666666666667	0.71875	0.475	0.5208333333333334	0.5	0.7692307692307693	0.6666666666666666	0.8333333333333334	0.7333333333333333	0.425	0.5208333333333334	0.8076923076923077	0.525	0.2702702702702703	0.7692307692307693	0.5862068965517241	0.5	0.15555555555555556	0.6060606060606061	0.8620689655172413	0.7692307692307693	0.9230769230769231	0.625	0.7692307692307693	0.8333333333333334	0.0975609756097561	0.41025641025641024	0.1111111111111111	0.6896551724137931	0.3142857142857143	0.48717948717948717	0.7692307692307693	0.09090909090909091	0.08333333333333333	0.8076923076923077	0.275	0.8275862068965517	0.5555555555555556	0.5517241379310345	0.11904761904761904	0.8333333333333334	0.6774193548387096	0.8076923076923077	0.6764705882352942	0.44680851063829785	0.6	0.8076923076923077	0.92	0.21052631578947367	0.65625	0.09523809523809523	0.7777777777777778	0.6388888888888888	0.09302325581395349	0.5217391304347826	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.08888888888888889	0.7307692307692307	0.6551724137931034	0.7307692307692307	0.92	0.7	0.0975609756097561	0.47058823529411764	0.7307692307692307	0.0975609756097561	0.8076923076923077	0.09302325581395349	0.0196078431372549	0.6428571428571429	0.09302325581395349	0.3333333333333333	0.375	0.5789473684210527	0.575	0.6578947368421053	0.6756756756756757	0.5675675675675675	0.75	0.09523809523809523	0.6666666666666666	0.5102040816326531	0.6176470588235294	0.5294117647058824	0.5	0.8076923076923077	0.08695652173913043	0.21052631578947367	0.40625	0.9615384615384616
animal_22	0.09523809523809523	0.0	0.24528301886792453	0.13953488372093023	0.1951219512195122	0.4418604651162791	0.13333333333333333	0.375	0.3269230769230769	0.3055555555555556	0.0	0.05128205128205128	0.18604651162790697	0.2	0.23255813953488372	0.3018867924528302	0.0	0.16326530612244897	0.5357142857142857	0.0	0.07692307692307693	0.10810810810810811	0.3333333333333333	0.13953488372093023	0.08695652173913043	0.0	0.09523809523809523	0.32608695652173914	0.0	0.0851063829787234	0.3225806451612903	0.18604651162790697	0.7692307692307693	0.0975609756097561	0.5	0.35	0.0	0.41935483870967744	0.5483870967741935	0.0	0.5161290322580645	0.06521739130434782	0.3469387755102041	0.10810810810810811	0.43333333333333335	0.13333333333333333	0.06666666666666667	0.0	0.2619047619047619	0.3617021276595745	0.20930232558139536	0.0	0.1	0.4482758620689655	0.06521739130434782	0.5	0.023255813953488372	0.25	0.6538461538461539	0.375	0.0	0.0	0.0	0.45161290322580644	0.07894736842105263	0.07317073170731707	0.0	0.07317073170731707	0.09302325581395349	0.3225806451612903	0.21052631578947367	0.0	0.41379310344827586	0.0	0.43333333333333335	0.5483870967741935	0.0	0.4827586206896552	0.5	0.18604651162790697	0.24444444444444444	0.1568627450980392	0.2553191489361702	0.2608695652173913	0.3170731707317073	0.046511627906976744	0.5555555555555556	0.05128205128205128	0.32075471698113206	0.0851063829787234	0.11627906976744186	0.3333333333333333	0.0	0.7037037037037037	0.3548387096774194	0.10810810810810811	0.09302325581395349
axe_55	0.5555555555555556	0.24528301886792453	0.0	0.43137254901960786	0.4897959183673469	0.6226415094339622	0.5957446808510638	0.6122448979591837	0.8979591836734694	0.4489795918367347	0.4666666666666667	0.3829787234042553	0.5306122448979592	0.46938775510204084	0.5714285714285714	0.8979591836734694	0.4888888888888889	0.6875	0.2641509433962264	0.4666666666666667	0.4666666666666667	0.32653061224489793	0.4117647058823529	0.6222222222222222	0.6444444444444445	0.4666666666666667	0.5555555555555556	0.6037735849056604	0.4666666666666667	0.6666666666666666	0.4444444444444444	0.6304347826086957	0.32075471698113206	0.40816326530612246	0.29411764705882354	0.5	0.4666666666666667	0.3877551020408163	0.46938775510204084	0.4888888888888889	0.42	0.6222222222222222	0.8367346938775511	0.32653061224489793	0.3958333333333333	0.6666666666666666	0.5	0.4888888888888889	0.5098039215686274	0.6923076923076923	0.5833333333333334	0.4888888888888889	0.5111111111111111	0.40425531914893614	0.5531914893617021	0.40425531914893614	0.4782608695652174	0.6122448979591837	0.2641509433962264	0.6981132075471698	0.4888888888888889	0.4888888888888889	0.4888888888888889	0.5	0.4444444444444444	0.4166666666666667	0.4444444444444444	0.5111111111111111	0.4489795918367347	0.4444444444444444	0.42857142857142855	0.4444444444444444	0.4444444444444444	0.4888888888888889	0.3673469387755102	0.3584905660377358	0.4666666666666667	0.3673469387755102	0.46938775510204084	0.5306122448979592	0.7777777777777778	0.8444444444444444	0.5660377358490566	0.8222222222222222	0.5	0.46808510638297873	0.29411764705882354	0.3829787234042553	0.9183673469387755	0.5306122448979592	0.46938775510204084	0.5384615384615384	0.4888888888888889	0.32075471698113206	0.3469387755102041	0.32653061224489793	0.5777777777777777
bag_67	0.4722222222222222	0.13953488372093023	0.43137254901960786	0.0	0.5135135135135135	0.5333333333333333	0.5263157894736842	0.47619047619047616	0.52	0.38461538461538464	0.53125	0.5	0.5675675675675675	0.4864864864864865	0.5	0.46153846153846156	0.5625	0.45454545454545453	0.35135135135135137	0.53125	0.4	0.6	0.30952380952380953	0.47368421052631576	0.5833333333333334	0.53125	0.4722222222222222	0.6585365853658537	0.53125	0.6111111111111112	0.09090909090909091	0.4146341463414634	0.15217391304347827	0.5294117647058824	0.32432432432432434	0.4878048780487805	0.53125	0.18604651162790697	0.1702127659574468	0.5625	0.38461538461538464	0.6	0.43137254901960786	0.45454545454545453	0.16279069767441862	0.48717948717948717	0.71875	0.5625	0.5384615384615384	0.4791666666666667	0.5128205128205128	0.5625	0.4166666666666667	0.225	0.6470588235294118	0.0425531914893617	0.5454545454545454	0.5121951219512195	0.13636363636363635	0.5208333333333334	0.5625	0.5625	0.5625	0.08333333333333333	0.4117647058823529	0.5454545454545454	0.5	0.45714285714285713	0.6875	0.09090909090909091	0.4722222222222222	0.5483870967741935	0.09090909090909091	0.5625	0.19047619047619047	0.2222222222222222	0.53125	0.13636363636363635	0.27906976744186046	0.45	0.2857142857142857	0.43478260869565216	0.7368421052631579	0.3829787234042553	0.5641025641025641	0.5757575757575758	0.11363636363636363	0.5	0.5098039215686274	0.7058823529411765	0.6666666666666666	0.7027027027027027	0.5625	0.1276595744680851	0.225	0.5483870967741935	0.5
basket_105	0.5588235294117647	0.1951219512195122	0.4897959183673469	0.5135135135135135	0.0	0.5333333333333333	0.45	0.4090909090909091	0.46153846153846156	0.4594594594594595	0.6333333333333333	0.6551724137931034	0.48717948717948717	0.41025641025641024	0.5	0.5833333333333334	0.6666666666666666	0.5238095238095238	0.28205128205128205	0.6333333333333333	0.48484848484848486	0.45454545454545453	0.1956521739130435	0.4	0.5	0.6333333333333333	0.5588235294117647	0.5454545454545454	0.6896551724137931	0.5263157894736842	0.09090909090909091	0.2608695652173913	0.17777777777777778	0.7333333333333333	0.2894736842105263	0.38636363636363635	0.6333333333333333	0.0	0.0784313725490196	0.6666666666666666	0.2857142857142857	0.5135135135135135	0.4897959183673469	0.6	0.041666666666666664	0.5263157894736842	0.5714285714285714	0.6666666666666666	0.5	0.5106382978723404	0.5526315789473685	0.6666666666666666	0.5	0.225	0.6470588235294118	0.13953488372093023	0.7	0.6756756756756757	0.19047619047619047	0.5208333333333334	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.10638297872340426	0.5	0.7	0.6	0.5454545454545454	0.5882352941176471	0.09090909090909091	0.5588235294117647	0.6551724137931034	0.06666666666666667	0.6666666666666666	0.041666666666666664	0.1702127659574468	0.5806451612903226	0.08695652173913043	0.27906976744186046	0.4146341463414634	0.4	0.40425531914893614	0.5714285714285714	0.5853658536585366	0.4878048780487805	0.7333333333333333	0.0425531914893617	0.6	0.4528301886792453	0.7058823529411765	0.41025641025641024	0.4	0.6666666666666666	0.1276595744680851	0.11363636363636363	0.3333333333333333	0.5882352941176471
bird_217	0.4666666666666667	0.4418604651162791	0.6226415094339622	0.5333333333333333	0.5333333333333333	0.0	0.5106382978723404	0.7045454545454546	0.7115384615384616	0.5227272727272727	0.37777777777777777	0.38636363636363635	0.5434782608695652	0.5111111111111111	0.5869565217391305	0.6792452830188679	0.4	0.4528301886792453	0.4	0.37777777777777777	0.5121951219512195	0.35555555555555557	0.3877551020408163	0.6829268292682927	0.5555555555555556	0.37777777777777777	0.4666666666666667	0.8	0.37777777777777777	0.5777777777777777	0.24489795918367346	0.36538461538461536	0.40425531914893614	0.4444444444444444	0.37777777777777777	0.6444444444444445	0.4090909090909091	0.30612244897959184	0.3877551020408163	0.4	0.4888888888888889	0.5333333333333333	0.6226415094339622	0.4186046511627907	0.3125	0.5434782608695652	0.5111111111111111	0.4	0.5208333333333334	0.5849056603773585	0.7560975609756098	0.4	0.4222222222222222	0.5121951219512195	0.46808510638297873	0.3191489361702128	0.4222222222222222	0.6666666666666666	0.3695652173913043	0.72	0.4	0.4	0.4	0.32653061224489793	0.4186046511627907	0.4222222222222222	0.4186046511627907	0.4222222222222222	0.4888888888888889	0.24489795918367346	0.6097560975609756	0.35555555555555557	0.2978723404255319	0.4	0.3125	0.3877551020408163	0.4090909090909091	0.2857142857142857	0.44680851063829785	0.4489795918367347	0.4339622641509434	0.49056603773584906	0.7555555555555555	0.5918367346938775	0.6818181818181818	0.4444444444444444	0.2653061224489796	0.38636363636363635	0.6981132075471698	0.5777777777777777	0.6585365853658537	0.7272727272727273	0.4	0.3469387755102041	0.19230769230769232	0.38636363636363635	0.4888888888888889
bitter leaf_219	0.71875	0.13333333333333333	0.5957446808510638	0.5263157894736842	0.45	0.5106382978723404	0.0	0.5238095238095238	0.5918367346938775	0.47368421052631576	0.59375	0.47058823529411764	0.7142857142857143	0.6285714285714286	0.47619047619047616	0.56	0.625	0.5	0.3333333333333333	0.59375	0.45714285714285713	0.5151515151515151	0.2391304347826087	0.5675675675675675	0.7352941176470589	0.59375	0.71875	0.627906976744186	0.59375	0.7647058823529411	0.19047619047619047	0.5	0.1956521739130435	0.5	0.34210526315789475	0.5365853658536586	0.59375	0.23255813953488372	0.2127659574468085	0.625	0.3023255813953488	0.7058823529411765	0.5957446808510638	0.42857142857142855	0.23809523809523808	0.6666666666666666	0.6285714285714286	0.625	0.5897435897435898	0.5208333333333334	0.5641025641025641	0.625	0.7096774193548387	0.24390243902439024	0.5675675675675675	0.1590909090909091	0.6060606060606061	0.5609756097560976	0.18181818181818182	0.5957446808510638	0.625	0.625	0.625	0.17391304347826086	0.6129032258064516	0.5588235294117647	0.5625	0.65625	0.6470588235294118	0.19047619047619047	0.4473684210526316	0.5625	0.19047619047619047	0.625	0.23809523809523808	0.14	0.59375	0.18181818181818182	0.35714285714285715	0.42857142857142855	0.5116279069767442	0.6190476190476191	0.7	0.6341463414634146	0.575	0.5882352941176471	0.18604651162790697	0.47058823529411764	0.6122448979591837	0.5789473684210527	0.5833333333333334	0.5476190476190477	0.625	0.1702127659574468	0.3076923076923077	0.42857142857142855	0.75
book_303	0.475	0.375	0.6122448979591837	0.47619047619047616	0.4090909090909091	0.7045454545454546	0.5238095238095238	0.0	0.7083333333333334	0.5789473684210527	0.375	0.2857142857142857	0.5609756097560976	0.525	0.5348837209302325	0.5471698113207547	0.4	0.4	0.4358974358974359	0.375	0.41025641025641024	0.38461538461538464	0.2708333333333333	0.55	0.5365853658536586	0.375	0.475	0.6444444444444445	0.375	0.5609756097560976	0.2558139534883721	0.4883720930232558	0.3409090909090909	0.3181818181818182	0.41025641025641024	0.5952380952380952	0.41025641025641024	0.32558139534883723	0.4186046511627907	0.4	0.6216216216216216	0.5121951219512195	0.6458333333333334	0.2857142857142857	0.3023255813953488	0.5609756097560976	0.4878048780487805	0.4	0.4666666666666667	0.5098039215686274	0.5116279069767442	0.4	0.46153846153846156	0.4864864864864865	0.4090909090909091	0.27906976744186046	0.3902439024390244	0.5111111111111111	0.3023255813953488	0.58	0.4	0.4	0.4	0.3181818181818182	0.38461538461538464	0.32558139534883723	0.35	0.46153846153846156	0.5	0.2558139534883721	0.5128205128205128	0.35	0.3170731707317073	0.4	0.3333333333333333	0.2978723404255319	0.34146341463414637	0.3333333333333333	0.4186046511627907	0.30612244897959184	0.46808510638297873	0.46938775510204084	0.6	0.6136363636363636	0.5581395348837209	0.38095238095238093	0.25	0.2857142857142857	0.6938775510204082	0.4222222222222222	0.525	0.6428571428571429	0.4	0.2826086956521739	0.30952380952380953	0.42105263157894735	0.5
breast_354	0.5208333333333334	0.3269230769230769	0.8979591836734694	0.52	0.46153846153846156	0.7115384615384616	0.5918367346938775	0.7083333333333334	0.0	0.5416666666666666	0.4375	0.36	0.625	0.5625	0.6326530612244898	0.8113207547169812	0.4583333333333333	0.6470588235294118	0.34615384615384615	0.4375	0.4375	0.4166666666666667	0.41509433962264153	0.5833333333333334	0.6041666666666666	0.4375	0.5208333333333334	0.6923076923076923	0.4375	0.625	0.3877551020408163	0.5918367346938775	0.37735849056603776	0.38461538461538464	0.38	0.5576923076923077	0.4375	0.4489795918367347	0.5306122448979592	0.4583333333333333	0.5102040816326531	0.5833333333333334	0.8979591836734694	0.3076923076923077	0.42857142857142855	0.625	0.5625	0.4583333333333333	0.6	0.75	0.5490196078431373	0.4583333333333333	0.4791666666666667	0.38	0.52	0.35294117647058826	0.4489795918367347	0.5769230769230769	0.32075471698113206	0.7547169811320755	0.4583333333333333	0.4583333333333333	0.4583333333333333	0.44	0.4166666666666667	0.39215686274509803	0.4166666666666667	0.4791666666666667	0.5416666666666666	0.3877551020408163	0.5208333333333334	0.4166666666666667	0.3877551020408163	0.4583333333333333	0.42857142857142855	0.41509433962264153	0.4375	0.42857142857142855	0.5306122448979592	0.4716981132075472	0.6938775510204082	0.7551020408163265	0.6538461538461539	0.7346938775510204	0.5882352941176471	0.44	0.35294117647058826	0.36	0.9795918367346939	0.5	0.5625	0.6274509803921569	0.4583333333333333	0.37735849056603776	0.40816326530612246	0.4166666666666667	0.5416666666666666
bridge_390	0.5	0.3055555555555556	0.4489795918367347	0.38461538461538464	0.4594594594594595	0.5227272727272727	0.47368421052631576	0.5789473684210527	0.5416666666666666	0.0	0.46875	0.3939393939393939	0.6	0.65625	0.5263157894736842	0.4230769230769231	0.45454545454545453	0.37777777777777777	0.2972972972972973	0.46875	0.38235294117647056	0.5333333333333333	0.1276595744680851	0.38461538461538464	0.4473684210526316	0.46875	0.5	0.5	0.42424242424242425	0.4358974358974359	0.15	0.24444444444444444	0.24390243902439024	0.42857142857142855	0.38235294117647056	0.40476190476190477	0.42424242424242425	0.16666666666666666	0.2619047619047619	0.45454545454545453	0.40540540540540543	0.42105263157894735	0.5777777777777777	0.2777777777777778	0.17073170731707318	0.47368421052631576	0.5142857142857142	0.45454545454545453	0.48717948717948717	0.5	0.3902439024390244	0.45454545454545453	0.48484848484848486	0.3055555555555556	0.38461538461538464	0.175	0.4411764705882353	0.42857142857142855	0.2631578947368421	0.4791666666666667	0.45454545454545453	0.45454545454545453	0.45454545454545453	0.16279069767441862	0.4375	0.4411764705882353	0.4375	0.48484848484848486	0.5757575757575758	0.15	0.59375	0.3939393939393939	0.15	0.45454545454545453	0.23076923076923078	0.20454545454545456	0.34285714285714286	0.2631578947368421	0.4722222222222222	0.21739130434782608	0.4523809523809524	0.3333333333333333	0.4883720930232558	0.5365853658536586	0.5526315789473685	0.42857142857142855	0.175	0.3939393939393939	0.5306122448979592	0.36585365853658536	0.4722222222222222	0.4186046511627907	0.45454545454545453	0.21428571428571427	0.2702702702702703	0.4838709677419355	0.4857142857142857
