Concept	AverageChisqPvalue
air	0.01238816026769224
animal	0.020927867225807386
axe	0.07696876199581369
bag	0.03737864835698093
banana	0.030237366099558915
basket	0.06375399763886173
bat	0.12099448246891047
bed	0.01797871209322875
belly	0.02727684853225561
bird	0.09879338519146223
bitter leaf	0.058389034468273114
blood	0.04363830765776532
book	0.08098713759062498
breast	0.16266000260739197
bridge	0.049683591537564555
broom	0.020310953943318194
camwood	0.03170203086862366
cap	0.005016173072883848
case (court) (n)	0.037985619509086035
cat	0.06444823892401626
caterpillar	0.05651805329219448
chair	0.055396995705046026
chief	0.08208939008756491
child	0.17256979481273857
cloth	0.005293598852747539
compound	0.004307379643511577
corn	0.012175636819271524
cow, cattle	0.08414363325583585
crab	0.0086087956021989
cricket	0.022982326228190252
cup	0.030039469395736915
cutlass	0.012141839949590422
dance	0.06686376449456431
day	0.01998914962808451
deity, god, God	0.010601973650855731
devil	0.030496610390456945
dog	0.00547452650486351
drum	0.019709091106620603
dry season	0.02279152307904019
dust	0.009902333615800795
ear	0.03990396106294679
egg	0.0071254510425946445
elephant stalk	0.017801904120403566
eye	0.016412432913977794
faeces	0.015434594297054372
farm	0.014363164794414386
father	0.2117973390116536
feather	0.06298030187804649
fence	0.032904901172602107
fire	0.018390419283112067
fireside	0.02319981675828752
fish	0.004845403385263889
fly (bird)	0.047061572836770024
forest	0.0620907220302892
fowl	0.029905478420210185
friend	0.038738159905554466
garden egg	0.006532325866052481
gizzard (fowl)	0.03558698838986304
goat	0.010917598447153235
gong	0.020555081155074637
grass	0.02232124227741202
grasshopper	0.024854437274116563
grave	0.08916194076874606
gun	0.029245249838848693
hailstone	0.056977403327321846
hair	0.023376342263650783
hand	0.04794420036358632
head	0.003157841369170487
headpad	0.03369996813187609
heart	0.22304072021960034
hill	0.04059798651398938
hoe	0.008746549189173529
horn (head)	0.013745961077432298
horse	0.022663503755368693
house	0.005946302211213234
intestine	0.010934783332971196
jaw	0.01072289941985529
knife	0.01336927116152069
ladder	0.050206780667637195
leaf	0.019244209054892842
medicine	0.060350043818670374
monkey	0.1531202970978279
moon	0.026783776227828116
mother	0.3378420898246529
mouth	0.018216875620160933
mushroom	0.025480005649349238
name	0.0013326669998334167
nose	0.041829113704017554
oil	0.012838772642664175
owl	0.01281683650928159
palm nut	0.05086963402356793
palm tree	0.028465092091635343
pap	0.018795440685454374
pepper	0.048170711021300945
person	0.017537833981559944
pig	0.002176448007880118
pineapple	0.04011946635377963
place	0.028434202463985397
plantain	0.05238734038777713
pot	0.0025059933801215334
potato	0.018085160318391528
raffia bamboo	0.029935155610600495
rain	0.002759489820307238
rainbow	0.062435666949134126
road	0.03845242016672823
root	0.040649325337331337
rope	0.03475272581100754
salt	0.03314227596346754
sand	0.0231111342879285
seed	0.059404573800056495
sheep	0.11228614026320173
sieve	0.04612846982305949
sky	0.03233371212944253
smoke	0.05306063417566579
snake	0.03264706921901368
soap	0.1338016672823009
soldier ant	0.03699499018606639
song	0.038158457003382364
spider	0.016949883753775288
star	0.05829644018570425
stomach	0.06465805503045578
stone	0.023835268597585266
storm (wind)	0.013912901520254366
story	0.03282821270524158
sun	0.0114776329226691
termite	0.030486452425960934
toilet	0.027794921379889766
tongue	0.1708891930846171
tooth	0.020790611940406607
trap	0.0183357415495151
tree	0.013747032280960969
umbrella	0.2692123641078012
war	0.02416481396982668
water	0.02536810000796703
wingless termite	0.10700289927500019
work (n)	0.06707784948105658
xylophone	0.15597770535022343
yam	0.008676821009784962
zinc	0.08385590827774518
