ID	Concept	Doculect	Value	Tokens
1	child	NVBAbar7	wân / átɛ̂ŋmbɪ̂	w a ⁵¹ n
2	child	ECLAbar8	wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́	w a ⁵¹ n
3	child	NMAAbar1	wân / bwɪ́tə᷇ːŋ ~ ʃǐːtə᷇ŋ	w a ⁵¹ n
4	child	NACAbar2	wân / bə̀tə᷇ːŋ	w a ⁵¹ n
5	child	NEMAjumbu9	wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ	w a ¹ ŋ
6	child	NVIAjumbu1	wâŋ / àtɔ᷇ːŋ	w a ⁵¹ ŋ
7	child	KMNAjumbu2	wàŋ / àtɔ᷇ːŋ	w a ¹ ŋ
8	child	KDCAjumbu10	wáːnə̂ / átɔ́ŋ	w aː ⁵ n ə ⁵¹
9	child	NNBBuu3	wán / ɲʲòmnə́	w a ⁵ n
10	child	MNJBuu4	wán / nwòmnə́~ɲʷòmnə́	w a ⁵ n
11	child	KEMBuu1	wán ~ kúóə̀ / ɲyòmnə́	w a ⁵ n
12	child	KCYBuu2	wán / ɲyòmnə́	w a ⁵ n
13	child	KHKFang12	wán / ŋmɛ́m	w a ⁵ n
14	child	DPNFang13	wán / ŋmɛ́m	w a ⁵ n
15	child	KDVFang1	wán ~ wāɲ / ŋmɛ́n ~ ŋmɛ́m	w a ⁵ n
16	child	KJSFang2	wen/bum this	w e ³ n
17	child	JGYKoshin3	wāɲ / bāɲ	w a ³ ɲ
18	child	TELKoshin4	wáɲ / ba᷇ːɲ	w a ⁵ ɲ
19	child	KCSKung3	wāɲ / m̀nɛ᷇ː	w a ³ ɲ
20	child	NJSKung4	wáʲ / wáːɣê ~ nêmê	w a ⁵ j
21	child	ZKGKung1	wāɪ̄ / wáɪ́	w a ³ ɪ ³
22	child	BNMKung2	wāɪ̄ / ə̀wáɪ́	w a ³ ɪ ³
23	child	NMNMundabli3	wáɦɲ / ɲɒ́ɦm	w a ⁵ ɦ ɲ
24	child	CENMundabli2	wán / ɲɒ́m	w a ⁵ n
25	child	LFNMundabli1	wān / ɲɔ̄m	w a ³ n
26	child	NINMundabli4	wān / ɲɔ̄mbó	w a ³ n
27	child	NGTMunken3	wān / bə̀kʲə̂ŋ	w a ³ n
28	child	NUNMunken4	wān / bə̀kʲɪ̄ŋ	w a ³ n
29	child	NEAMunken1	wán~ / bə́kɪ᷇ːn	w a ⁵ n
30	child	TNTMunken2	wān / bə́kyɨ᷇ːŋ	w a ³ n
31	child	MCANgun3	wān / bɛ̀tʲa᷇ːŋ	w a ³ n
32	child	KBMNgun4	wān / bə́tʲa᷇ːŋ	w a ³ n
33	child	WCANgun1	wān~wán/bə̀fɪ́n~bə́tyâŋ~ bɛ̀tya᷇ːŋ	w a ³ n
34	child	AOMNgun2	wán~wâw / bɛkyâŋ ~wâwɛ́nwɪ̂	w a ⁵ n
35	child	APBMumfu1	wɛ́ʼn / ɲɔ́m	w ɛ ⁵ ʔ n
36	child	DNMMumfu2	wɛ́ʼn / ɲɔ́m	w ɛ ⁵ ʔ n
37	child	BKBMashi2	ŋwə́ / bím	ŋ w ə ⁵
38	child	KFKMashi1	ŋwə́ / bín	ŋ w ə ⁵
39	child	ABSMissong1	wâ / bàbyáŋbʊ́	w a ⁵¹
40	child	AGAMissong2	wá ~ wó / bàbya᷇ŋ	w a ⁵
61	father	NVBAbar7	tà~bə̀bá / àtìlə́bʷɪ̂	t a ¹
62	father	ECLAbar8	bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́	b ʊ ¹ b a ⁵
63	father	NMAAbar1	téà / bə̀tìlô	t e ⁵ a ¹
64	father	NACAbar2	tə̀à ~ bàbá / bə̀tə́à	t ə ¹ a ¹
65	father	NEMAjumbu9	tâː~tâːtá~tátò / bàtâːtá~bə̀tâː	t aː ⁵¹
66	father	NVIAjumbu1	tsè~bâːbə́ / àtsèː~àbâbə́	ts e ¹
67	father	KMNAjumbu2	tsè / brǎs	ts e ¹
68	father	KDCAjumbu10	bâbə́~bʷâ / bə̀bâbə́~ábʷá	b a ⁵¹ b ə ⁵
69	father	NNBBuu3	tə̌ː / bə̀tǎː	t əː ¹⁵
70	father	MNJBuu4	tə̌ː / bə̀tə̌ː	t əː ¹⁵
71	father	KEMBuu1	tǎː / bə̀tə̌ː	t aː ¹⁵
72	father	KCYBuu2	tàː / bə̀tàː	t aː ¹
73	father	KHKFang12	tɪ̀lə́ / bə̀tɪ̀lə́	t ɪ ¹ l ə ⁵
74	father	DPNFang13	bə̀bá / bə̀bø̂	b ə ¹ b a ⁵
75	father	JGYKoshin3	bâ / bə̀bâ	b a ⁵¹
76	father	TELKoshin4	tʲə̂ / bə́tʲə̂	tʲ ə ⁵¹
77	father	KCSKung3	bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê	b ɛː ⁵¹
78	father	NJSKung4	bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ	b ɛː ¹⁵
79	father	ZKGKung1	bɛ̂ː / ɣɪ̀bɛ̂ː	b ɛː ⁵¹
80	father	BNMKung2	pə̀pá / sə̀pə̀pá	p ə ¹ p a ⁵
81	father	NMNMundabli3	tɪ̌ː / tʲě	t ɪː ¹⁵
82	father	CENMundabli2	tɪ̌ː / tɪ̌ː wɪ̄	t ɪː ¹⁵
83	father	LFNMundabli1	těː / tēbó	t eː ¹⁵
84	father	NINMundabli4	tjě / bə̀tjěbó	t j e ¹⁵
85	father	NGTMunken3	kʲə̀lə́ / bə̀kʲə̀lə́	kʲ ə ¹ l ə ⁵
86	father	NUNMunken4	tâ / bə̀tǎː	t a ⁵¹
87	father	NEAMunken1	tǎː ~tâː~ta᷇ː / bə̀ta᷇ː	t aː ¹⁵
88	father	TNTMunken2	tāː ~ tá / bə̀kyə̀lə́  ~ bə̀ta᷇ː	t aː ³
89	father	MCANgun3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé	p aː ¹⁵
90	father	KBMNgun4	bə̀bá / bə̀bə̀bá	b ə ¹ b a ⁵
91	father	WCANgun1	ba᷇ː~ tyē / bə̀ba᷇ː  ~ bə̀tyé	b aː ⁵³
92	father	AOMNgun2	bâː ~bʊ̀bá / bɛ̀bʊ̀bá	b aː ⁵¹
93	father	APBMumfu1	tǎ / bə̀tyə̌ ~ tā / bə̀tāː	t a ¹⁵
94	father	DNMMumfu2	tā / bə̀tāːbə́	t a ³
95	father	BKBMashi2	bə̀bə́ / bʊ̀bə̀bə́	b ə ¹ b ə ⁵
96	father	KFKMashi1	tʃyě / bʊ̀tʃyě	tʃ j e ¹⁵
97	father	ABSMissong1	tʃyɛ̌ / bàtʃyɛ̌	tʃ j ɛ ¹⁵
98	father	AGAMissong2	tʃyɛ̌ / bàtʃyɛ̌	tʃ j ɛ ¹⁵
99	mother	NVBAbar7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî	n a ⁵¹
100	mother	ECLAbar8	nɪ́jā / àné~bʷɪ̀nɪ́jā	n ɪ ⁵ j a ³
101	mother	NMAAbar1	néà / bə̀néà	n e ⁵ a ¹
102	mother	NACAbar2	nɪ́yā / bə̀nɪ́yā	n ɪ ⁵ j a ³
103	mother	NEMAjumbu9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́	ɲʲ ə ⁵
104	mother	NVIAjumbu1	má / nânə́ ~	m a ⁵
105	mother	KMNAjumbu2	mà / màs	m a ¹
106	mother	KDCAjumbu10	nânə́ / bə̀nânə́~ánâ	n a ⁵¹ n ə ⁵
107	mother	NNBBuu3	nâ / bə̀nâ	n a ⁵¹
108	mother	MNJBuu4	nɪ́ː / bə̀nɪ́	n ɪː ⁵
109	mother	KEMBuu1	nâː / ɲí	n aː ⁵¹
110	mother	KCYBuu2	nâ / bə̀nâ	n a ⁵¹
111	mother	KHKFang12	nɛ́ / bə̀nɛ́	n ɛ ⁵
112	mother	DPNFang13	nɛ̂ / bə̀nɛ̂	n ɛ ⁵¹
113	mother	JGYKoshin3	nə̂ / bə̀nə̂	n ə ⁵¹
114	mother	TELKoshin4	ɲʲə́ / bə̀ɲʲə́	ɲʲ ə ⁵
115	mother	MRYKoshin2	ɲʲə̄ / ø	ɲʲ ə ³
116	mother	KCSKung3	nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ	n e ⁵¹ ɲ
117	mother	NJSKung4	nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ	n e ⁵¹ j
118	mother	ZKGKung1	nɪ̂ / ɣénɪ̂	n ɪ ⁵¹
119	mother	BNMKung2	nè~nɪ̀ / sə́nè	n e ¹
120	mother	NMNMundabli3	nɪ́ / bɑ̀ɦ ~ bònɪ́	n ɪ ⁵
121	mother	CENMundabli2	nɪ́ / nɪ́ː	n ɪ ⁵
122	mother	LFNMundabli1	nɪ́ / nɪ́bō	n ɪ ⁵
123	mother	NINMundabli4	nɛ́ / bə̀nɛ́bó	n ɛ ⁵
124	mother	NGTMunken3	ɲí / bə̀ɲí	ɲ i ⁵
125	mother	NUNMunken4	nâ / bə̀nàâ	n a ⁵¹
126	mother	NEAMunken1	nǎː~na᷇ː / bə̀na᷇ː	n aː ¹⁵
127	mother	TNTMunken2	nà ~ nǎ / bèɲí ~bə̀na᷇	n a ¹
128	mother	MCANgun3	níjā / bɛ̀nɪ́jā	n i ⁵ j a ³
129	mother	KBMNgun4	níjā / bɛ̀nɪ́jā	n i ⁵ j a ³
130	mother	WCANgun1	ɲɪ́sə̀~ na᷇ː / bəɲísə́ ~ bə̀na᷇ː	ɲ ɪ ⁵ s ə ¹
131	mother	AOMNgun2	nɪ́ ~nɪ́yā / bɛ́nɪ́yā	n ɪ ⁵
