	air	animal	axe	bag	banana	basket	bat	bed	belly	bird	bitter leaf	blood	book	breast	bridge	broom	camwood	cap	case (court) (n)	cat	caterpillar	chair	chief	child	cloth	compound	corn	cow, cattle	crab	cricket	cup	cutlass	dance	day	deity, god, God	devil	dog	drum	dry season	dust	egg	elephant stalk	eye	faeces	farm	father	feather	fence	fire	fireside	fish	fly (bird)	forest	fowl	friend	garden egg	gizzard (fowl)	goat	gong	grass	grasshopper	grave	gun	hailstone	hair	hand	head	headpad	heart	hill	hoe	horn (head)	horse	house	intestine	jaw	knife	ladder	leaf	medicine	monkey	moon	mother	mouth	mushroom	name	nose	oil	owl	palm nut	palm tree	pap	pepper	person	pig	pineapple	place	plantain	pot	potato	raffia bamboo	rain	rainbow	road	root	rope	salt	sand	seed	sheep	sieve	sky	smoke	snake	soap	soldier ant	song	spider	star	stomach	stone	storm (wind)	story	sun	termite	toilet	tongue	tooth	trap	tree	umbrella	war	water	wingless termite	work (n)	xylophone	yam	zinc
air	0.0	0.03161487387093395	0.022355091700494795	0.14828690264905858	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.27196142831430087	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.03161487387093395	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.4537588031920294	0.022355091700494795	0.13413055020296877	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08060242939383344	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08364509399316518	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.04471018340098959	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.4128132660219366	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.11616046389935494	0.022355091700494795	0.5420821648636565	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.11177545850247397	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.15807436935466976	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.29992502811328636	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.21903427127735742	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.10485467442429873
animal	0.03161487387093395	0.0	0.5756164806827401	0.6706527510148438	0.0632297477418679	0.038720154633118314	0.6551987159033047	0.022355091700494795	0.04998750468554773	0.022355091700494795	0.19230577018222128	0.022355091700494795	0.9149215590805393	0.5194853871537359	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.13035146431044056	0.14314242949747213	0.3713906763541037	0.022355091700494795	0.5534860672019727	0.27379283909669677	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.1896892432256037	0.022355091700494795	0.022355091700494795	0.04471018340098959	0.022355091700494795	0.022355091700494795	0.16120485878766688	0.022355091700494795	0.1203858530857692	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.07069300707549024	0.022355091700494795	0.930895652928769	0.19360077316559157	0.08831760866327847	0.04998750468554773	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.18836735086146092	0.162747524164545	0.21674065549436713	0.022355091700494795	0.25781149434556183	0.09744358559604165	0.08831760866327847	0.6839342928538744	0.18836735086146092	0.022355091700494795	0.24488775998915044	0.7679226181239142	0.022355091700494795	0.2355255057696851	0.03161487387093395	0.022355091700494795	0.6624051703415006	0.17025130615174972	0.08831760866327847	0.08831760866327847	0.054758567819339354	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.5434632681590182	0.3293110643623203	0.1264594954837358	0.09484462161280185	0.022355091700494795	0.08831760866327847	0.054758567819339354	0.08831760866327847	0.04471018340098959	0.19995001874219093	0.2344621797713406	0.022355091700494795	0.2548872618274186	0.022355091700494795	0.08831760866327847	0.18703611615307666	0.022355091700494795	0.022355091700494795	0.35837938292952276	0.05914601317555325	0.20970934884859746	0.022355091700494795	0.11398904880897906	0.6521405955174383	0.022355091700494795	0.5677489150889745	0.08831760866327847	0.1203858530857692	0.022355091700494795	0.022355091700494795	0.654435525526743	0.08831760866327847	0.26545200623877735	0.21325398324372594	0.08831760866327847	0.4689243595426812	0.022355091700494795	0.08831760866327847	0.37071725662264643	0.38461154036444256	0.08831760866327847	0.038720154633118314	0.038720154633118314	0.022355091700494795	0.1203858530857692	0.05914601317555325	0.1829843118161079	0.08831760866327847	0.16427570345801806	0.5161073692476248	0.022355091700494795	0.12244387999457522	0.03161487387093395	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.054758567819339354	0.04998750468554773	0.08831760866327847
axe	0.022355091700494795	0.5756164806827401	0.0	0.2568404494851894	0.022355091700494795	0.022355091700494795	0.5425429232680175	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.32318381164895005	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.23763788443331385	0.022355091700494795	0.15325878725888434	0.07744030926623663	0.35487607905331947	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.5323141185799792	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.7584275798011952	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.05914601317555325	0.022355091700494795	0.5180403624153762	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.2854107047130811	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.28277202830196096	0.03161487387093395	0.7692230807288851	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.11177545850247397	0.7072834474681765	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.09744358559604165	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.06706527510148438	0.022355091700494795	1.0	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.1717127175584684	0.022355091700494795	0.022355091700494795	0.17884073360395836	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.0632297477418679	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	1.0	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.13960750292360263	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.16877724112403095	0.3200762028208187	0.022355091700494795	0.2268794015960147	0.24993752342773864	0.022355091700494795	0.022355091700494795	0.27921500584720527
bag	0.14828690264905858	0.6706527510148438	0.2568404494851894	0.0	0.6448194351506675	0.3463235914358239	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.18161362351397833	0.619522474129893	0.47789727672006227	0.08831760866327847	0.2344621797713406	0.45923256931933537	0.38784634535624657	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.4928271103740542	0.6784319163095632	0.8057142249543898	0.3330833645442713	1.0	0.054758567819339354	0.56110834845923	0.13413055020296877	1.0	0.31456402327289623	0.20970934884859746	0.10951713563867871	0.3200762028208187	0.5876455873499214	0.08831760866327847	0.20610376177957102	0.08831760866327847	0.5561882121515448	0.35346503537745116	0.08831760866327847	0.15161960871578067	0.7891062385206215	0.08831760866327847	0.09997500937109546	0.30323921743156135	0.1448775526000364	0.162747524164545	0.560662847516854	0.25781149434556183	0.5855156579521562	0.08831760866327847	0.1896892432256037	0.6334819258075463	0.8146583123721512	0.08831760866327847	0.15161960871578067	0.22355091700494795	0.08831760866327847	0.08831760866327847	0.0632297477418679	0.5228415805392964	0.4662524041201569	0.2407717061715384	0.9394459647258484	0.17025130615174972	0.25781149434556183	0.38461154036444256	0.1717127175584684	0.08831760866327847	0.08831760866327847	0.3611575592573076	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.4128132660219366	0.4887540892106581	0.4877305193139597	0.372733865824711	1.0	0.08831760866327847	0.3113703971765477	0.3955019457669548	0.1448775526000364	1.0	0.3463235914358239	0.08831760866327847	0.4188225087708079	0.14828690264905858	0.08831760866327847	0.7494792461634846	0.46410376409600035	0.06706527510148438	0.08831760866327847	0.24993752342773864	0.2036645780930378	0.1986964012509159	0.6118111175666971	0.11177545850247397	0.22797809761795812	0.09217240435150875	0.5534860672019727	0.1657897972480943	0.15161960871578067	0.08831760866327847	0.08831760866327847	0.29488391230979427	0.16427570345801806	0.5430032907019473	0.47789727672006227	0.08831760866327847	0.8292503674488441	0.6235427789666073	0.4856769080062534	0.3353263755074219	0.3904148922696815	1.0	0.08831760866327847	0.196165133548727	0.08831760866327847	0.27196142831430087	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.3153573764201001	0.27651721305452626	0.08831760866327847	0.08831760866327847	0.2268794015960147	0.5543882455793788	0.08831760866327847	0.13598071415715043	0.08831760866327847	0.3419671464269372	0.3097612370649465	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.15161960871578067	0.45044261646145084
banana	0.022355091700494795	0.0632297477418679	0.022355091700494795	0.6448194351506675	0.0	0.022355091700494795	0.11177545850247397	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.9349133481321904	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.3129712838069271	0.022355091700494795	0.5318444986221468	0.11616046389935494	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.04998750468554773	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.05914601317555325	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.3852606742277841	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.17316179571791196	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.04471018340098959	0.27921500584720527	0.022355091700494795	0.46785740853665947	0.022355091700494795	0.9287457755716464	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.04998750468554773	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.3576814672079167	0.022355091700494795	0.5530344261090525	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.054758567819339354	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.14828690264905858	0.022355091700494795	0.022355091700494795	0.21089751330786308	0.04471018340098959	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.08831760866327847	0.15161960871578067	0.08942036680197918	0.27011760076100105	0.04471018340098959	0.022355091700494795	0.08658089785895598	0.022355091700494795	0.022355091700494795	0.1284202247425947	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.0632297477418679	0.022355091700494795	0.08831760866327847	0.9317005779844143	0.022355091700494795	0.022355091700494795	0.05914601317555325	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.5829494703295658	0.04998750468554773	0.08831760866327847	0.022355091700494795	0.10244389988519646
basket	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.3463235914358239	0.022355091700494795	0.0	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.8885973201632443	0.4646418555974198	0.20970934884859746	0.04471018340098959	0.022355091700494795	0.022355091700494795	0.16120485878766688	0.2120790212264707	0.4662524041201569	0.022355091700494795	0.5266510413360348	0.04471018340098959	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.23973165074269207	0.022355091700494795	0.08831760866327847	0.07414345132452929	0.022355091700494795	0.038720154633118314	0.27011760076100105	0.08831760866327847	0.07744030926623663	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08658089785895598	0.022355091700494795	0.2845338648384056	0.09484462161280185	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.20851441405707477	0.16427570345801806	0.19995001874219093	0.022355091700494795	0.08831760866327847	0.15161960871578067	0.05914601317555325	0.4426082341930754	0.11177545850247397	0.03161487387093395	0.09217240435150875	0.665040495435966	0.022355091700494795	0.038720154633118314	0.17025130615174972	0.022355091700494795	0.5402352015220021	0.06706527510148438	0.022355091700494795	0.16120485878766688	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.11177545850247397	0.1284202247425947	0.35977115276078014	0.022355091700494795	0.3161487387093395	0.19100198721594439	0.022355091700494795	0.1896892432256037	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.04471018340098959	0.022355091700494795	0.054758567819339354	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.15964728739259584	0.2529189909674716	0.022355091700494795	0.022355091700494795	0.15807436935466976	0.1244678828978121	0.022355091700494795	0.236584052702213	0.17884073360395836	0.038720154633118314	0.022355091700494795	0.022355091700494795	0.06706527510148438	0.28099914544377164	0.2923307567881249	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.5686284646714256	0.2428384540031267	0.038720154633118314	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.04998750468554773	0.04998750468554773	0.13035146431044056	0.08831760866327847	0.022355091700494795	0.44821819488379494	0.022355091700494795	0.19743482404360035	0.022355091700494795	0.46410376409600035	0.022355091700494795	0.022355091700494795	0.16729018798633036	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.38461154036444256
bat	0.08831760866327847	0.6551987159033047	0.5425429232680175	0.08831760866327847	0.11177545850247397	0.08831760866327847	0.0	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.27287867013691663	0.022355091700494795	0.08831760866327847	0.8626285040688049	0.6665417174261977	0.2818869806590355	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.1244678828978121	0.959447617191753	0.3484813916980648	0.08831760866327847	0.36322724702795667	0.08831760866327847	0.38720154633118314	0.25390503365814066	0.08831760866327847	0.08831760866327847	0.3839613090619571	0.04471018340098959	0.03161487387093395	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.21789048136406847	0.08831760866327847	0.08831760866327847	0.2428384540031267	0.08831760866327847	0.17743803952665974	0.18836735086146092	0.47894186217778756	0.9677456970366407	0.27287867013691663	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.03161487387093395	0.18023251127623877	0.2529189909674716	0.08831760866327847	0.2888914516986747	0.10244389988519646	0.3353263755074219	0.7574385410238152	0.23015975591614254	0.9000527498562171	0.2407717061715384	0.6680395658710757	0.03161487387093395	0.4662524041201569	0.46945692571039066	0.13960750292360263	0.5083018931626201	0.08831760866327847	0.08831760866327847	0.6362370636794121	0.04998750468554773	0.08831760866327847	0.05914601317555325	0.2626128657194451	0.18161362351397833	0.2854107047130811	0.08831760866327847	0.31772555018031096	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.1948871711920833	0.08831760866327847	0.3973928025018318	0.5261763670247764	0.04471018340098959	0.038720154633118314	0.15488061853247326	0.022355091700494795	0.08831760866327847	0.31456402327289623	0.697679454828043	0.04471018340098959	0.3484813916980648	0.08831760866327847	0.41582874266744213	0.022355091700494795	0.054758567819339354	0.6654161184511934	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.1717127175584684	0.08831760866327847	0.11398904880897906	0.08831760866327847	0.08831760866327847	0.43635398199305964	0.14314242949747213	0.5252257314388902	0.30814367385706776	0.07744030926623663	0.08831760866327847	0.7941565699981109	0.3129712838069271	0.6342703292561561	0.09217240435150875	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.19360077316559157	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.8775619308793742	0.1829843118161079	0.2290715240234822	0.0632297477418679	0.08831760866327847	0.2355255057696851	0.3262618221792034	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847
bed	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.0	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.2120790212264707	0.03161487387093395	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.09217240435150875	0.022355091700494795	0.022355091700494795	0.20488779977039293	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.13225450605863528	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.038720154633118314	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.4877305193139597	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.05914601317555325	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.11398904880897906	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08658089785895598	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.696604171186437	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.2407717061715384	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.06706527510148438	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08658089785895598	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.038720154633118314	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.3247264639074233	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847
belly	0.08831760866327847	0.04998750468554773	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.0	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.05914601317555325	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.04998750468554773	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.03161487387093395	0.05914601317555325	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.1760241680739521	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.04998750468554773	0.022355091700494795	0.04998750468554773	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08942036680197918	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.09484462161280185	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.1182920263511065	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.5738774541083079	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.04471018340098959	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.20119582530445315	0.04471018340098959	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.054758567819339354
bird	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.18161362351397833	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.0	0.022355091700494795	0.022355091700494795	0.942632336671584	0.38265753175221395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08658089785895598	0.022355091700494795	0.3652852082391523	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.26919095102908275	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.2940353237524242	0.022355091700494795	0.6354511003606219	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.9876802336171667	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.7431176811622584	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.32778998895873745	0.038720154633118314	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.3555795011093798	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795
