Concept	AverageChisqPvalue
air	0.009357489138642358
animal	0.06561389013522435
axe	0.04294568044444931
bag	0.1551869634525803
banana	0.03706218788416011
basket	0.03660099074550316
bat	0.1004110718363446
bed	0.010061014748100403
belly	0.006077747257757982
bird	0.026271535764964233
bitter leaf	0.03355478392190766
blood	0.02595446072584146
book	0.297903641609852
breast	0.13776688298186673
bridge	0.043330056139813306
broom	0.014169738488420024
camwood	0.01728303658389783
cap	0.012465783896372982
case (court) (n)	0.03246129417043303
cat	0.03181871035285277
caterpillar	0.05650523059638064
chair	0.03530208545362355
chief	0.10077807811422755
child	0.1678660436205255
cloth	0.010904520732334562
compound	0.017481591321127758
corn	0.008868397917829406
cow, cattle	0.20497665692701095
crab	0.061351104739601
cricket	0.02327632315229247
cup	0.012142057438434068
cutlass	0.02655828217278222
dance	0.09633589774455838
day	0.00390308276518675
deity, god, God	0.01324234087335894
devil	0.02342451985685989
dog	0.00997719023699829
drum	0.010831129690629137
dry season	0.07906172169389758
dust	0.01008576295793709
egg	0.018901526608958295
elephant stalk	0.005226376592725535
eye	0.0061254613569127845
faeces	0.015029266388703458
farm	0.014385536428865859
father	0.17494866216526772
feather	0.028064326231045062
fence	0.07717781109445278
fire	0.02493242940573509
fireside	0.005158498852763399
fish	0.0065368775466281455
fly (bird)	0.034358013693882986
forest	0.07426800395422727
fowl	0.02230786285689272
friend	0.06268713234623564
garden egg	0.00817188340136501
gizzard (fowl)	0.035158599532350614
goat	0.028901532445456103
gong	0.07488605697151424
grass	0.05719323622860103
grasshopper	0.01898005522786052
grave	0.07497346217402248
gun	0.06943365032812061
hailstone	0.11575327153941277
hair	0.011261144610176663
hand	0.021559350251881357
head	0.03347596274855273
headpad	0.031763775776345406
heart	0.24932344849473073
hill	0.021645609312132254
hoe	0.014605333829435647
horn (head)	0.015869258801256305
horse	0.027755692956441487
house	0.01175403393193914
intestine	0.013912391979192886
jaw	0.010954376826185446
knife	0.00982255149797364
ladder	0.16665025151657747
leaf	0.017749169940577156
medicine	0.018576511744127937
monkey	0.06109983256546909
moon	0.011349194016130621
mother	0.39558015153007436
mouth	0.019588888037732958
mushroom	0.009772335729945247
name	0.030635890813717228
nose	0.03166521775608546
oil	0.012108298405541755
owl	0.011369583091665846
palm nut	0.022452419775513703
palm tree	0.01161827845201487
pap	0.011471286984245103
pepper	0.014004733399723496
person	0.014151574577674667
pig	0.006777633081269584
pineapple	0.03444241528870601
place	0.030459792001809316
plantain	0.022529233193622166
pot	0.004337247434676822
potato	0.04077523282154543
raffia bamboo	0.04240387178673437
rain	0.0059386365211554805
rainbow	0.044155239898299024
road	0.04748040359382353
root	0.011622712731225627
rope	0.01723998219868168
salt	0.012256929929195986
sand	0.05385134731904121
seed	0.06299976508096317
sheep	0.10072285900845197
sieve	0.02927382659035446
sky	0.02715859004804167
smoke	0.03377894045677891
snake	0.010374374856367437
soap	0.26194688276299805
soldier ant	0.027702682965086798
song	0.020391264221903647
spider	0.012527646395780212
star	0.013216161991996702
stomach	0.05881293149045915
stone	0.027603053947478817
storm (wind)	0.012265581078074102
story	0.011946221779621138
sun	0.011587155327445767
termite	0.02035778169309506
toilet	0.016633441673323923
tongue	0.13810977722817425
tooth	0.03671550356208757
trap	0.019992289256831438
tree	0.023466653534546595
umbrella	0.12427863294630057
war	0.042413242283967506
water	0.012366364263123913
wingless termite	0.12550422234138406
work (n)	0.03414243316298055
xylophone	0.02121158690727629
yam	0.008948649762709886
zinc	0.05092415471096569
