ConceptA	ConceptB	ChisqPvalue
air	animal	0.0009995002498750624
air	axe	0.0004997501249375312
air	bag	0.021989005497251374
air	banana	0.0004997501249375312
air	basket	0.0004997501249375312
air	bird	0.0004997501249375312
air	bitter leaf	0.0004997501249375312
air	blood	0.0004997501249375312
air	breast	0.0004997501249375312
air	bridge	0.0004997501249375312
air	broom	0.0004997501249375312
air	cap	0.0004997501249375312
air	case (court) (n)	0.0004997501249375312
air	cat	0.0004997501249375312
air	chair	0.0004997501249375312
air	chief	0.0009995002498750624
air	child	0.0009995002498750624
air	cloth	0.0004997501249375312
air	corn	0.0004997501249375312
air	cow, cattle	0.0014992503748125937
air	crab	0.0004997501249375312
air	cricket	0.0004997501249375312
air	cup	0.0004997501249375312
air	cutlass	0.0004997501249375312
air	deity, god, God	0.0004997501249375312
air	dog	0.0004997501249375312
air	drum	0.0004997501249375312
air	dust	0.0004997501249375312
air	egg	0.0004997501249375312
air	eye	0.0004997501249375312
air	faeces	0.0004997501249375312
air	farm	0.0004997501249375312
air	feather	0.0004997501249375312
air	fence	0.017991004497751123
air	fire	0.0004997501249375312
air	fireside	0.0004997501249375312
air	fish	0.0004997501249375312
air	forest	0.0004997501249375312
air	fowl	0.0004997501249375312
air	friend	0.006496751624187906
air	garden egg	0.0004997501249375312
air	gong	0.0069965017491254375
air	grave	0.0004997501249375312
air	gun	0.0004997501249375312
air	hailstone	0.001999000499750125
air	hand	0.0004997501249375312
air	head	0.0004997501249375312
air	hill	0.0004997501249375312
air	hoe	0.0004997501249375312
air	horse	0.0004997501249375312
air	house	0.0004997501249375312
air	intestine	0.0004997501249375312
air	jaw	0.0004997501249375312
air	knife	0.0004997501249375312
air	ladder	0.0004997501249375312
air	leaf	0.0004997501249375312
air	medicine	0.0004997501249375312
air	monkey	0.013493253373313344
air	moon	0.0004997501249375312
air	mouth	0.0004997501249375312
air	name	0.0004997501249375312
air	nose	0.0004997501249375312
air	oil	0.0004997501249375312
air	owl	0.0004997501249375312
air	palm nut	0.0004997501249375312
air	palm tree	0.0004997501249375312
air	pepper	0.0004997501249375312
air	person	0.0004997501249375312
air	pig	0.0004997501249375312
air	pineapple	0.0004997501249375312
air	place	0.0004997501249375312
air	pot	0.0004997501249375312
air	potato	0.01249375312343828
air	raffia bamboo	0.0004997501249375312
air	rain	0.0004997501249375312
air	root	0.0004997501249375312
air	rope	0.0004997501249375312
air	salt	0.0004997501249375312
air	sand	0.0004997501249375312
air	seed	0.0004997501249375312
air	sheep	0.02498750624687656
air	sieve	0.0004997501249375312
air	sky	0.0004997501249375312
air	smoke	0.0004997501249375312
air	snake	0.0004997501249375312
air	song	0.0004997501249375312
air	star	0.0004997501249375312
air	stone	0.0004997501249375312
air	storm (wind)	0.0004997501249375312
air	story	0.0004997501249375312
air	sun	0.0004997501249375312
air	toilet	0.0004997501249375312
air	tongue	0.0004997501249375312
air	tooth	0.0004997501249375312
air	trap	0.0004997501249375312
air	tree	0.0004997501249375312
air	umbrella	0.047976011994003
air	war	0.0004997501249375312
air	water	0.0004997501249375312
air	xylophone	0.0004997501249375312
air	yam	0.0004997501249375312
air	zinc	0.010994502748625687
animal	banana	0.00399800099950025
animal	basket	0.0014992503748125937
animal	bed	0.0004997501249375312
animal	belly	0.0024987506246876563
animal	bird	0.0004997501249375312
animal	bitter leaf	0.03698150924537731
animal	blood	0.0004997501249375312
animal	broom	0.0004997501249375312
animal	cap	0.0004997501249375312
animal	case (court) (n)	0.01699150424787606
animal	cat	0.02048975512243878
animal	chair	0.0004997501249375312
animal	cloth	0.0004997501249375312
animal	corn	0.0004997501249375312
animal	crab	0.0004997501249375312
animal	cricket	0.035982008995502246
animal	cup	0.0004997501249375312
animal	cutlass	0.0004997501249375312
animal	dance	0.001999000499750125
animal	day	0.0004997501249375312
animal	deity, god, God	0.0004997501249375312
animal	devil	0.025987006496751622
animal	dog	0.0004997501249375312
animal	drum	0.014492753623188406
animal	dust	0.0004997501249375312
