	air	animal	axe	bag	banana	basket	bat	bed	belly	bird	bitter leaf	blood	book	breast	bridge	broom	camwood	cap	case (court) (n)	cat	caterpillar	chair	chief	child	cloth	compound	corn	cow, cattle	crab	cricket	cup	cutlass	dance	day	deity, god, God	devil	dog	drum	dry season	dust	ear	egg	elephant stalk	eye	faeces	farm	father	feather	fence	fire	fireside	fish	fly (bird)	forest	fowl	friend	garden egg	gizzard (fowl)	goat	gong	grass	grasshopper	grave	gun	hailstone	hair	hand	head	headpad	heart	hill	hoe	horn (head)	horse	house	intestine	jaw	knife	ladder	leaf	medicine	monkey	moon	mother	mouth	mushroom	name	nose	oil	owl	palm nut	palm tree	pap	pepper	person	pig	pineapple	place	plantain	pot	potato	raffia bamboo	rain	rainbow	road	root	rope	salt	sand	seed	sheep	sieve	sky	smoke	snake	soap	soldier ant	song	spider	star	stomach	stone	storm (wind)	story	sun	termite	toilet	tongue	tooth	trap	tree	umbrella	war	water	wingless termite	work (n)	xylophone	yam	zinc
air	0.0	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.054758567819339354	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.24488775998915044	0.022355091700494795	0.022355091700494795	0.08060242939383344	0.18023251127623877	0.03161487387093395	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.09217240435150875	0.08831760866327847	0.03161487387093395	0.05914601317555325	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.31851102863530306	0.07744030926623663	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.15807436935466976	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.1244678828978121	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.43635398199305964	0.022355091700494795	0.5369877299240231	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.16120485878766688	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.2489357657956242	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.054758567819339354	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.03161487387093395	0.08364509399316518	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.44542204660321866	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.45977636177665304	0.022355091700494795	0.3929666507551209
animal	0.022355091700494795	0.0	0.162747524164545	0.14828690264905858	0.022355091700494795	0.04998750468554773	0.40425028244216815	0.022355091700494795	0.04998750468554773	0.1203858530857692	0.1843448087030175	0.03161487387093395	0.2568404494851894	0.3659686236322158	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.19743482404360035	0.13413055020296877	0.30241407517436786	0.15325878725888434	0.3353263755074219	0.46785740853665947	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.09484462161280185	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.2344621797713406	0.022355091700494795	0.04998750468554773	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.10244389988519646	0.022355091700494795	0.47894186217778756	0.28628485899494427	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.054758567819339354	0.11398904880897906	0.022355091700494795	0.022355091700494795	0.10485467442429873	0.022355091700494795	0.08831760866327847	0.27104108243182823	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.2036645780930378	0.15488061853247326	0.1284202247425947	0.022355091700494795	0.022355091700494795	0.26165963983091045	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.04471018340098959	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.1448775526000364	0.022355091700494795	0.022355091700494795	0.26826110040593754	0.11177545850247397	0.07414345132452929	0.2626128657194451	0.03161487387093395	0.08831760866327847	0.022355091700494795	0.13960750292360263	0.022355091700494795	0.022355091700494795	0.13413055020296877	0.022355091700494795	0.08831760866327847	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.17316179571791196	0.04471018340098959	0.21089751330786308	0.022355091700494795	0.022355091700494795	0.1843448087030175	0.022355091700494795	0.1448775526000364	0.08831760866327847	0.2888914516986747	0.022355091700494795	0.07414345132452929	0.022355091700494795	0.08831760866327847	0.162747524164545	0.022355091700494795	0.08831760866327847	0.4988742950071597	0.022355091700494795	0.08831760866327847	0.17884073360395836	0.0632297477418679	0.08831760866327847	0.022355091700494795	0.1203858530857692	0.022355091700494795	0.08060242939383344	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.03161487387093395	0.4784198545434641	0.022355091700494795	0.17743803952665974	0.03161487387093395	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.13035146431044056	0.022355091700494795	0.08831760866327847
axe	0.022355091700494795	0.162747524164545	0.0	0.13598071415715043	0.3360707190992427	0.03161487387093395	0.618311285338713	0.10485467442429873	0.022355091700494795	0.632297477418679	0.022355091700494795	0.10721125348377948	0.18703611615307666	0.038720154633118314	0.054758567819339354	0.14659213953112848	0.4784198545434641	0.04998750468554773	0.07414345132452929	0.7076366477136457	0.48413098289171924	0.022355091700494795	0.054758567819339354	0.038720154633118314	0.04471018340098959	0.022355091700494795	0.022355091700494795	0.04471018340098959	0.09997500937109546	0.07744030926623663	0.022355091700494795	0.022355091700494795	0.466788018775936	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.43232689799113433	0.03161487387093395	0.04998750468554773	0.3980210919099607	0.022355091700494795	0.022355091700494795	0.15807436935466976	0.022355091700494795	0.21558469708954392	0.03161487387093395	0.19100198721594439	0.022355091700494795	0.022355091700494795	0.308953514081113	0.08060242939383344	0.03161487387093395	0.022355091700494795	0.054758567819339354	0.022355091700494795	0.7688981712821923	0.022355091700494795	0.07414345132452929	0.1244678828978121	0.05914601317555325	0.022355091700494795	0.022355091700494795	0.22797809761795812	0.16427570345801806	0.6207312996191159	0.5998500562265727	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.6362370636794121	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.1717127175584684	0.2607029286208811	0.022355091700494795	1.0	0.022355091700494795	0.174598847708653	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.0632297477418679	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.22243035397358787	0.022355091700494795	0.03161487387093395	0.6126274102813928	0.07744030926623663	0.09217240435150875	0.13960750292360263	0.022355091700494795	0.03161487387093395	0.196165133548727	0.3713906763541037	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.8125084092133932	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.14314242949747213	0.5242733721214937	0.3330833645442713	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.21903427127735742	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.06706527510148438	0.9357148170733189	0.09997500937109546	0.03161487387093395	0.6699071668476932	0.8902829315172366	0.8637863951994926	0.022355091700494795	0.349197695417306
bag	0.022355091700494795	0.14828690264905858	0.13598071415715043	0.0	0.15161960871578067	0.20970934884859746	0.08831760866327847	0.18023251127623877	0.08831760866327847	0.25974269357686797	0.22243035397358787	0.36322724702795667	0.08831760866327847	0.23015975591614254	0.03161487387093395	0.19995001874219093	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.2548872618274186	0.31456402327289623	0.5769173105466638	0.3040621204843564	0.5033620102305381	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.2880252085141684	0.03161487387093395	0.14659213953112848	0.3048828024641285	0.022355091700494795	0.3048828024641285	0.08831760866327847	0.13598071415715043	0.2120790212264707	0.022355091700494795	0.28099914544377164	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.1264594954837358	0.15488061853247326	0.03161487387093395	0.233394009387968	0.22243035397358787	0.09744358559604165	0.04471018340098959	0.08831760866327847	0.022355091700494795	0.08364509399316518	0.21325398324372594	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.1829843118161079	0.31456402327289623	0.13960750292360263	0.11177545850247397	0.21325398324372594	0.15325878725888434	0.13225450605863528	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.23973165074269207	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.13035146431044056	0.15161960871578067	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.46410376409600035	0.26450901211727057	0.022355091700494795	0.7801894976054939	0.03161487387093395	0.08831760866327847	0.022355091700494795	0.04471018340098959	0.08831760866327847	0.349197695417306	0.31456402327289623	0.13225450605863528	0.08831760866327847	0.1717127175584684	0.022355091700494795	0.022355091700494795	0.30075699927631466	0.022355091700494795	0.2213041170965377	0.022355091700494795	0.18161362351397833	0.08364509399316518	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.3129712838069271	0.054758567819339354	0.196165133548727	0.022355091700494795	0.08831760866327847	0.5935687307136045	0.17025130615174972	0.1760241680739521	0.27287867013691663	0.22797809761795812	0.2568404494851894	0.08831760866327847	0.16120485878766688	0.08831760866327847	0.2940353237524242	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.25781149434556183	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.19230577018222128	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.04998750468554773	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.12244387999457522	0.5471291665023729
banana	0.054758567819339354	0.022355091700494795	0.3360707190992427	0.15161960871578067	0.0	0.1829843118161079	0.1244678828978121	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.0632297477418679	0.08831760866327847	0.5668680008033904	0.36046502255247753	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.32240971757533377	0.03161487387093395	0.5597707819597518	0.10721125348377948	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08060242939383344	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.38069349381344053	0.022355091700494795	0.022355091700494795	0.09217240435150875	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.022355091700494795	0.73737923481207	0.21674065549436713	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.038720154633118314	0.09997500937109546	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.022355091700494795	0.2407717061715384	0.022355091700494795	0.20119582530445315	0.03161487387093395	0.2529189909674716	0.14828690264905858	0.13413055020296877	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.23124286663228305	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.05914601317555325	0.022355091700494795	0.03161487387093395	0.1829843118161079	0.07414345132452929	0.1986964012509159	0.26545200623877735	0.022355091700494795	0.054758567819339354	0.022355091700494795	0.07414345132452929	0.08831760866327847	0.022355091700494795	0.04471018340098959	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.04471018340098959	0.022355091700494795	0.022355091700494795	0.09217240435150875	0.022355091700494795	0.022355091700494795	0.2268794015960147	0.1244678828978121	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.08831760866327847	0.26165963983091045	0.04998750468554773	0.43232689799113433	0.31217186670617614	0.20731259186221102	0.038720154633118314	0.2747039658715673	0.15648564190346356	0.19995001874219093	0.054758567819339354	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.04471018340098959	0.022355091700494795	0.05914601317555325	0.08831760866327847	0.8500815729444264	0.022355091700494795	0.15488061853247326	0.022355091700494795	0.37071725662264643	0.022355091700494795	0.28099914544377164	0.1829843118161079	0.2635626441025299	0.2201721193042855	0.022355091700494795	0.054758567819339354
basket	0.03161487387093395	0.04998750468554773	0.03161487387093395	0.20970934884859746	0.1829843118161079	0.0	0.08831760866327847	0.174598847708653	0.08831760866327847	0.36460051183916803	0.523796543125959	0.05914601317555325	0.5346560309809175	0.690117286456054	0.3955019457669548	0.18836735086146092	0.20610376177957102	0.022355091700494795	0.1264594954837358	0.4726397209789677	0.4752757688666277	0.13225450605863528	0.368689617406035	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.2201721193042855	0.05914601317555325	0.08831760866327847	0.5910375092422936	0.022355091700494795	0.15161960871578067	0.5628868262896146	0.08831760866327847	0.16877724112403095	0.022355091700494795	0.022355091700494795	0.30075699927631466	0.022355091700494795	0.07744030926623663	0.10721125348377948	0.18161362351397833	0.022355091700494795	0.41341812094855696	0.13598071415715043	0.03161487387093395	0.022355091700494795	0.1264594954837358	0.022355091700494795	0.2201721193042855	0.3506259128111222	0.20119582530445315	0.07414345132452929	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.04998750468554773	0.28628485899494427	0.19100198721594439	0.07744030926623663	0.03161487387093395	0.08831760866327847	0.08658089785895598	0.1986964012509159	0.022355091700494795	0.03161487387093395	0.36391452720171225	0.11616046389935494	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.22243035397358787	0.5194853871537359	0.08060242939383344	0.3463235914358239	0.17743803952665974	0.054758567819339354	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.0632297477418679	0.1284202247425947	0.038720154633118314	0.14828690264905858	0.08364509399316518	0.03161487387093395	0.022355091700494795	0.1244678828978121	0.3713906763541037	0.08942036680197918	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.6857586073584617	0.3477636125802735	0.09744358559604165	0.10485467442429873	0.08364509399316518	0.04998750468554773	0.46302570511603447	0.3153573764201001	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.14138601415098048	0.6207312996191159	0.14659213953112848	0.03161487387093395	0.08831760866327847	0.054758567819339354	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.19743482404360035	0.08942036680197918	0.08831760866327847	0.22355091700494795	0.7044514703391345	0.022355091700494795	0.22243035397358787	0.022355091700494795	0.9228077876207771	0.022355091700494795	0.3375544822480619	0.7773016795617228	0.022355091700494795	0.6255432421712243	0.022355091700494795	0.48413098289171924
bat	0.08831760866327847	0.40425028244216815	0.618311285338713	0.08831760866327847	0.1244678828978121	0.08831760866327847	0.0	0.10244389988519646	0.08831760866327847	0.22355091700494795	0.5812323842128646	0.454858826147342	0.08831760866327847	0.5738774541083079	0.08831760866327847	0.5013724292814457	0.32549504832909	0.08831760866327847	0.08831760866327847	0.11177545850247397	0.08831760866327847	0.03161487387093395	0.8905635565617213	0.5087932435848979	0.08831760866327847	0.12244387999457522	0.08831760866327847	0.22577535902668427	0.05914601317555325	0.08831760866327847	0.2940353237524242	0.22355091700494795	0.16427570345801806	0.15648564190346356	0.09217240435150875	0.08831760866327847	0.03161487387093395	0.6342703292561561	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.18836735086146092	0.08831760866327847	0.4689243595426812	0.022355091700494795	0.5425429232680175	0.3270267981934075	0.4768504030055723	0.39613323419070107	0.15648564190346356	0.08831760866327847	0.15964728739259584	0.08831760866327847	0.18023251127623877	0.2818869806590355	0.7326197063844984	0.13225450605863528	0.47894186217778756	0.38003655890841154	0.054758567819339354	0.5083018931626201	0.3105668593281381	0.8997750843398591	0.1244678828978121	0.4586881321755563	0.3747396230817423	0.5597707819597518	0.08658089785895598	0.08831760866327847	0.08831760866327847	0.7504787743864564	0.17743803952665974	0.08831760866327847	0.24993752342773864	0.2120790212264707	0.1448775526000364	0.27104108243182823	0.08831760866327847	0.2201721193042855	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.49384011680858336	0.08831760866327847	0.08831760866327847	0.0632297477418679	0.5452992979436441	0.08831760866327847	0.3590759421541397	0.2355255057696851	0.4721107451881803	0.08831760866327847	0.9217240435150876	0.603173350666724	0.03161487387093395	0.44821819488379494	0.08831760866327847	0.5624427340498385	0.17743803952665974	0.1244678828978121	0.6933683149595927	0.09997500937109546	0.08831760866327847	0.08831760866327847	0.13960750292360263	0.08831760866327847	0.35417125992847065	0.08831760866327847	0.08831760866327847	0.5233192796618209	0.8277423640779511	0.588495400646181	0.4253346273551994	0.4023916506089063	0.08831760866327847	0.8738524995126739	0.38069349381344053	0.6158817620514397	0.26639166229656935	0.08831760866327847	0.07069300707549024	0.08831760866327847	0.7033865393140218	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.8412170807297865	0.15964728739259584	0.10721125348377948	0.08658089785895598	0.08831760866327847	0.5388458245070714	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.06706527510148438	0.08831760866327847
bed	0.08831760866327847	0.022355091700494795	0.10485467442429873	0.18023251127623877	0.022355091700494795	0.174598847708653	0.10244389988519646	0.0	0.08831760866327847	0.022355091700494795	0.14138601415098048	0.08831760866327847	0.26450901211727057	0.3884900741732463	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.10721125348377948	0.022355091700494795	0.04471018340098959	0.022355091700494795	0.20610376177957102	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08364509399316518	0.022355091700494795	0.08942036680197918	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.24993752342773864	0.054758567819339354	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.3484813916980648	0.022355091700494795	0.08831760866327847	0.054758567819339354	0.022355091700494795	0.09484462161280185	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.11398904880897906	0.08831760866327847	0.3293110643623203	0.022355091700494795	0.13413055020296877	0.022355091700494795	0.022355091700494795	0.43116939417908784	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.2519290889656581	0.08831760866327847	0.49837316550347394	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.08831760866327847	0.04998750468554773	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.14996251405664318	0.022355091700494795	0.04998750468554773	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.28277202830196096	0.2246658910887246	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.07414345132452929	0.08831760866327847	0.1760241680739521	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.1717127175584684	0.31376866416628296	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.3955019457669548	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.5808023194967747	0.022355091700494795	0.08831760866327847
belly	0.08831760866327847	0.04998750468554773	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.0	0.3113703971765477	0.08658089785895598	0.08831760866327847	0.08831760866327847	0.13035146431044056	0.08831760866327847	0.04998750468554773	0.13035146431044056	0.022355091700494795	0.08831760866327847	0.40486793029271934	0.08831760866327847	0.04998750468554773	0.03161487387093395	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.04471018340098959	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.038720154633118314	0.022355091700494795	0.03161487387093395	0.07744030926623663	0.022355091700494795	0.08831760866327847	0.03161487387093395	0.08831760866327847	0.04471018340098959	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.5199661696603005	0.04471018340098959	0.07069300707549024	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.0632297477418679	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.13413055020296877	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.24488775998915044	0.08658089785895598	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08060242939383344	0.022355091700494795	0.4978715315912484	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08060242939383344	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.21558469708954392	0.08831760866327847	0.08831760866327847	0.7773016795617228	0.08831760866327847	0.15161960871578067	0.022355091700494795	0.022355091700494795	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.022355091700494795	0.03161487387093395	0.08831760866327847	0.08831760866327847	0.022355091700494795	0.23973165074269207	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.03161487387093395	0.1284202247425947	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.19230577018222128	0.022355091700494795	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.727142099031481	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.3434254351169368	0.08831760866327847	0.022355091700494795	0.08831760866327847	0.038720154633118314	0.08831760866327847	0.08831760866327847	0.08831760866327847	0.04471018340098959	0.022355091700494795	0.08831760866327847	0.022355091700494795	0.9249714665291322	0.04998750468554773	0.08831760866327847	0.022355091700494795	0.24488775998915044	0.08831760866327847	0.022355091700494795	0.2344621797713406
bird	0.24488775998915044	0.1203858530857692	0.632297477418679	0.25974269357686797	0.038720154633118314	0.36460051183916803	0.22355091700494795	0.022355091700494795	0.3113703971765477	0.0	0.19100198721594439	0.1203858530857692	0.24180728818150035	0.5397724732130944	0.18023251127623877	0.2888914516986747	0.17025130615174972	0.022355091700494795	0.3562815343715317	0.022355091700494795	0.5261763670247764	0.21325398324372594	0.2529189909674716	0.8544793341759256	0.022355091700494795	0.022355091700494795	0.07744030926623663	0.560662847516854	0.022355091700494795	0.1244678828978121	0.022355091700494795	0.022355091700494795	0.4953557422139445	0.03161487387093395	0.022355091700494795	0.40301214696916726	0.038720154633118314	0.04998750468554773	0.3192945747851917	0.054758567819339354	0.022355091700494795	0.03161487387093395	0.022355091700494795	0.15488061853247326	0.08942036680197918	0.2479299606084677	0.4646418555974198	0.23973165074269207	0.20610376177957102	0.05914601317555325	0.13225450605863528	0.022355091700494795	0.28277202830196096	0.2036645780930378	0.26732801549045876	0.022355091700494795	0.022355091700494795	0.19230577018222128	0.06706527510148438	0.022355091700494795	0.19995001874219093	0.17316179571791196	0.6319021679224462	0.12244387999457522	0.5820915604160966	0.3382939234019651	0.36322724702795667	0.022355091700494795	0.022355091700494795	0.9290147823189449	0.08658089785895598	0.022355091700494795	0.07069300707549024	0.022355091700494795	0.35837938292952276	0.14138601415098048	0.022355091700494795	0.1986964012509159	0.43116939417908784	0.022355091700494795	0.16120485878766688	0.15325878725888434	0.6529064684713379	0.19995001874219093	0.16427570345801806	0.022355091700494795	0.022355091700494795	0.4705202496676698	0.17743803952665974	0.022355091700494795	0.2519290889656581	0.19995001874219093	0.20243396514635967	0.5880706475048484	0.08831760866327847	0.022355091700494795	0.5087932435848979	0.1244678828978121	0.26919095102908275	0.022355091700494795	0.022355091700494795	0.6093556784248307	0.022355091700494795	0.24692005840429168	0.4164292176989066	0.07069300707549024	0.2756120806323713	0.1986964012509159	0.34487755759853733	0.3611575592573076	0.7062227868652046	0.7414345132452929	0.43290448929477987	0.8852164683861508	0.35417125992847065	0.038720154633118314	0.4247467423094011	0.47894186217778756	0.3576814672079167	0.13598071415715043	0.3247264639074233	0.09744358559604165	0.19743482404360035	0.27651721305452626	0.2036645780930378	0.12244387999457522	0.18569533817705186	0.8709883407113854	0.11398904880897906	0.23124286663228305	0.022355091700494795	0.13413055020296877	0.2587788954718471	0.4409113273671926	0.24993752342773864	0.4887540892106581	0.19995001874219093	0.14996251405664318	0.17743803952665974
