Concept	AverageChisqPvalue
air	0.0121781203601098
animal	0.021029265801881667
axe	0.07723674394686715
bag	0.038186215587858244
banana	0.030088889613164433
basket	0.06289573111994727
bat	0.12052008198799151
bed	0.01813443133505711
belly	0.02722977062193541
bird	0.09995584743859955
bitter leaf	0.05811018838406883
blood	0.043464481527352265
book	0.08037150337874541
breast	0.16285555700410664
bridge	0.050100049975012495
broom	0.020350789098204522
camwood	0.0318179149555657
cap	0.005045144094619357
case (court) (n)	0.03803269741940624
cat	0.06501317384785868
caterpillar	0.05713368750407405
chair	0.05583156103107866
chief	0.0820604190658294
child	0.17402921003266483
cloth	0.005329812629916926
compound	0.00443412786360443
corn	0.01189316935735031
cow, cattle	0.0845890627150193
crab	0.008836942398366033
cricket	0.022192865885897632
cup	0.030057576284321607
cutlass	0.011841265599084516
dance	0.06674788040762228
day	0.019869644163425532
deity, god, God	0.010652672938892872
devil	0.030054802308990432
dog	0.00542020583910943
drum	0.019701848351186727
dry season	0.02377291644033056
dust	0.009583652376710196
ear	0.03972289217709986
egg	0.007016809711086485
elephant stalk	0.017443387726426642
eye	0.016868726506312062
faeces	0.01551426460682702
farm	0.014254523462906229
father	0.21008804872925857
feather	0.062469687619958136
fence	0.0336074484496882
fire	0.017963096712513307
fireside	0.022899242407781618
fish	0.004914209561885724
fly (bird)	0.04708692248078859
forest	0.0623623253590596
fowl	0.029738895045231008
friend	0.03862227581861243
garden egg	0.006521461732901665
gizzard (fowl)	0.03555077461269365
goat	0.010783607471626506
gong	0.02094256857078707
grass	0.02191926935083183
grasshopper	0.024858058651833503
grave	0.08957115645076012
gun	0.029071423708435636
hailstone	0.0569267040392847
hair	0.023513954616894452
hand	0.0485417276868812
head	0.0033208033664327255
headpad	0.034275767188869335
heart	0.2239750356705705
hill	0.04073197748951611
hoe	0.008663257501683942
horn (head)	0.013684397656244341
horse	0.023637654361225183
house	0.006268604828020772
intestine	0.010902190933518748
jaw	0.01061787946606407
knife	0.013354785650652934
ladder	0.05024661582252352
leaf	0.019055897413612036
medicine	0.060780987766986073
monkey	0.15252276977453302
moon	0.026403531567549557
mother	0.3387691625201892
mouth	0.018061156378332572
mushroom	0.025360500184690264
name	0.001318181488965662
nose	0.04195224054639347
oil	0.012951035351889273
owl	0.012943584729374444
palm nut	0.05097103259964221
palm tree	0.028396285915013506
pap	0.018523837356683975
pepper	0.04794618560285075
person	0.017726145622840753
pig	0.002165583874729302
pineapple	0.039753707204368834
place	0.027735276564616242
plantain	0.05193828955087674
pot	0.002516857513272349
potato	0.017849770766790517
raffia bamboo	0.030163302406767633
rain	0.0027920822197596853
rainbow	0.0625732793023778
road	0.03846690567759598
root	0.04073261702482092
rope	0.034926551941420594
salt	0.03378688119708262
sand	0.023049570866740542
seed	0.05952770064243241
sheep	0.11267724905663111
sieve	0.04580616720625195
sky	0.032217828042500486
smoke	0.053574869811471075
snake	0.03278468157225735
soap	0.13345039364375783
soldier ant	0.036781328900767005
song	0.03783977576429177
spider	0.017351856680355476
star	0.05860787866936097
stomach	0.06433575241364825
stone	0.02360350042370119
storm (wind)	0.013967222186008444
story	0.033125165678030546
sun	0.01161162389819583
termite	0.030323490428698693
toilet	0.027027189303898774
tongue	0.1715808762285524
tooth	0.020754398163237223
trap	0.018900676473357525
tree	0.014004150098863612
umbrella	0.26936808334962953
war	0.024237241524165454
water	0.025469498584041312
wingless termite	0.10740487220158036
work (n)	0.06598781478825805
xylophone	0.15509408918729042
yam	0.008589907944578435
zinc	0.0839790351201211
