ConceptA	ConceptB	ChisqResidual	NumForms
air_1	animal_19	2.4494897427831783	12
air_1	animal_21	2.0	8
air_18	animal_36	6.505382386916238	4
air_4	animal_26	3.7185040980578097	5
air_5	axe_41	2.12881721739985	1
air_6	axe_41	3.68721958056394	3
air_7	axe_41	3.0106021806602214	2
air_10	bag_59	2.1333333333333333	4
air_4	bag_59	2.732791274164228	10
air_7	bag_62	6.929646455628165	1
air_1	banana_68	2.0	8
air_1	banana_84	-2.4494897427831783	0
air_10	banana_84	3.102687007525359	4
air_18	banana_84	3.102687007525359	4
air_4	banana_71	3.102687007525359	4
air_4	banana_75	3.102687007525359	4
air_5	banana_72	2.0999999999999996	1
air_6	banana_72	3.6373066958946425	3
air_7	banana_74	2.5403411844343533	1
air_18	basket_123	4.6	2
air_18	basket_129	3.252691193458119	1
air_4	basket_112	3.3730961708462717	10
air_5	basket_109	3.252691193458119	1
air_6	basket_109	5.633826408401309	3
air_1	bitter leaf_219	2.4336954540817946	23
air_10	bitter leaf_223	4.596893360893699	4
air_18	bitter leaf_226	2.5298221281347035	2
air_4	bitter leaf_221	2.687005768508881	3
air_6	bitter leaf_223	2.4379929294010525	2
air_7	bitter leaf_224	4.6	2
air_10	blood_277	6.581316394931647	4
air_18	blood_292	4.653693451990369	2
air_4	blood_271	2.0	8
air_5	blood_272	2.5724787771376323	1
air_6	blood_272	4.4556639433950345	3
air_7	blood_278	2.2294816068526147	2
air_4	book_296	4.104469108991645	7
air_4	book_303	-2.0495934556231714	2
air_7	book_344	6.929646455628165	1
air_7	breast_351	4.653693451990369	2
air_18	bridge_408	3.8232697137852862	2
air_4	bridge_391	3.989251864044512	7
air_4	bridge_401	2.3737697042248334	2
air_7	bridge_394	6.487446070815474	2
air_1	broom_409	3.162277660168379	20
air_1	broom_412	-2.4494897427831783	0
air_10	broom_418	6.505382386916238	4
air_18	broom_415	5.080682368868707	4
air_4	broom_409	-2.1908902300206647	0
air_4	broom_412	3.0169889330626027	8
air_4	broom_423	2.193931022920578	2
air_6	broom_412	2.687005768508881	3
air_7	broom_415	2.5403411844343533	1
air_10	cap_458	2.0808194840395364	2
air_18	cap_458	2.5484729913691146	3
air_4	cap_452	3.85995139946108	8
air_5	cap_453	2.0750055037352455	1
air_6	cap_453	3.5940149584544976	3
air_7	cap_455	2.6687249808205817	2
air_1	case (court) (n)_460	3.102272425641976	17
air_10	case (court) (n)_467	6.3508529610858835	4
air_18	case (court) (n)_464	2.886751345948129	2
air_4	case (court) (n)_460	-2.0615528128088303	0
air_4	case (court) (n)_472	3.759302188063161	12
air_5	case (court) (n)_463	3.75	1
air_6	case (court) (n)_464	3.5	2
air_7	case (court) (n)_508	6.783865662978103	1
air_1	cat_511	2.6843774609657967	25
air_1	cat_515	-2.5243908214870063	0
air_18	cat_515	2.951595422046346	4
air_4	cat_511	-2.2804583302657453	1
air_4	cat_516	3.1529631254723287	4
air_7	cat_515	2.087093138248141	2
air_10	chair_576	3.252691193458119	1
air_18	chair_564	2.263781323881116	4
air_5	chair_559	3.252691193458119	1
air_6	chair_559	5.633826408401309	3
air_4	chief_583	2.178324594548683	4
air_7	chief_583	3.6380343755449944	2
air_5	child_600	3.2906581974658233	1
air_6	child_600	5.699587188353825	3
air_1	cloth_601	2.4271195048676715	9
air_1	cloth_605	-2.335496832484569	0
air_10	cloth_605	2.7852424952911656	4
air_4	cloth_604	3.9389277113386476	8
air_6	cloth_605	2.4120907566221086	3
air_7	cloth_607	5.046751130152642	2
air_1	compound_617	2.1905662057299	8
air_1	compound_627	2.1905662057299	8
air_10	compound_626	6.428571428571429	4
air_18	compound_628	3.586752837646796	3
air_18	compound_634	2.0708127163320325	1
air_4	compound_620	3.411913900230343	5
air_5	compound_621	3.2142857142857144	1
air_6	compound_621	5.567306167185677	3
air_7	compound_623	4.545686450484949	2
air_1	corn_638	-2.214037213850238	0
air_1	corn_669	3.3367825291826887	21
air_10	corn_652	3.1529631254723287	4
air_18	corn_652	3.1529631254723287	4
air_4	corn_638	4.9852724275079074	10
air_4	corn_651	2.2294816068526147	2
air_4	corn_669	-2.2228757209048453	0
air_5	corn_639	3.2906581974658233	1
air_6	corn_639	5.699587188353825	3
air_7	corn_641	6.861372411737249	2
air_10	cow, cattle_676	3.051708565716593	4
air_18	cow, cattle_676	2.1578838210232756	2
air_5	cow, cattle_674	3.794016054674684	1
air_6	cow, cattle_674	4.238095238095238	2
air_1	crab_686	2.8083209693100732	14
air_1	crab_687	-2.4	0
air_10	crab_687	3.102687007525359	4
air_18	crab_702	6.505382386916238	4
air_4	crab_687	3.0169889330626027	8
air_1	cricket_705	3.162277660168379	20
air_1	cricket_710	-2.5495097567963927	0
air_10	cricket_710	2.5136550158010023	3
air_18	cricket_710	2.9025188000451236	4
air_4	cricket_705	-2.1908902300206647	0
air_4	cricket_706	3.102687007525359	4
air_6	cricket_708	3.592584956081995	2
air_7	cricket_709	2.9698484809834995	2
air_1	cup_739	2.4333213169614383	17
air_1	cup_740	-2.23606797749979	0
air_10	cup_746	3.9810264290219717	3
air_18	cup_746	4.596893360893699	4
air_4	cup_740	3.6147844564602556	8
air_4	cup_753	2.193931022920578	2
air_5	cup_741	4.8	1
air_6	cup_741	2.5403411844343533	1
air_6	cup_742	5.427092530382482	2
air_7	cup_740	2.5298221281347035	2
air_10	cutlass_789	2.9025188000451236	4
air_18	cutlass_789	2.5136550158010023	3
air_4	cutlass_780	-2.1354156504062622	0
air_4	cutlass_783	3.468909530866052	5
air_4	cutlass_788	2.687005768508881	3
air_4	cutlass_806	2.193931022920578	2
air_7	cutlass_786	4.6	2
air_10	deity, god, God_845	3.6373066958946425	3
air_4	deity, god, God_842	2.122891110412088	8
air_6	deity, god, God_842	2.0820662813657016	3
air_7	deity, god, God_845	2.9698484809834995	2
air_1	dog_904	3.3739293426931996	20
air_1	dog_908	-2.1869176243407464	0
air_10	dog_913	6.19256215850568	4
air_18	dog_921	6.487446070815474	2
air_4	dog_904	-2.2841609628806427	0
air_4	dog_907	3.3379677927606264	8
air_6	dog_908	2.9072622711140936	3
air_7	dog_908	2.3737697042248334	2
air_1	drum_925	-2.0	0
air_1	drum_928	-2.0	0
air_1	drum_932	2.5495097567963927	13
air_10	drum_925	2.193931022920578	2
air_10	drum_944	3.8375339303603124	1
air_18	drum_928	4.199999999999999	4
