	e46sonjo	e51kikuyu	e52embu	e52mbeere	e531muthambi	e531mwimbi	e53igoji	e53imenti	e53meru	e53meruimenti	e53merutig	e53miutini	e53tigania	e541chuka	e54tharaka	e55kamba	e55kambakitu	e55kambamach	e56daiso	e621bmachame	e621csiha	e621dkibosho	e622akimochi	e622clema	e622cmamba	e622cvunjo	e623akiseri	e623dkeni	e623mkuu	e64kahe	e65gweno	e701elwana	e71aupperpokomo	e72agiryama	e73digo	e74adawida	e74atuveta	f12bende	f21ntuzu	f21sukuma	f22nyamwezi	f23sumbwa	f24kimbu	f25bungu	f31nyiramba	f32nyaturucha	f32nyaturuwil	f33langi	g23sambaa	g24bondei	g31zigua	g32doe	g32kwere	g33zaramo	g34nguungulu	g35luguru	g36kami	g37kutu	g39saghala	g51pogoro	g52ndamba	g61sangu	g62hehe	g63bena	g64pangwa	g65kinga	g66wanji	jd62rundi	jd64shubi	jd65hangaza	jd66kiha	jd67kivinza	je11runyoro	je12rutooro	je13runyankore	je14rukiga	je15luganda	je16lusoga	je17gwere	je21runyambo	je22haya	je23zinza	je24kerebe	je25jita	je25kilegi	je25mkwaya	je31cbukusu	je31lumasaaba	je32luyia	je34samialugwe	je401ngoreme	je402ikizu	je403suba	je404shasi	je41maragoli	je42gusii	je43kuria	je43kuriamago	je43kuriatari	je44zanaki	je45nata	n11manda	n12ngoni	n13matengo	n14mpoto	p11ndengeleko	p12rufiji	p13matumbi	p14ngindo	p15mbunga	p21yao	p22mwera	p23simakonde	p25mabia
e46sonjo	1.0	0.8867746317928016	0.8982404307936271	0.8971469945077242	0.8960070370470314	0.8960992578058186	0.8947261351749766	0.8812807654430438	0.7920647959700583	0.7621286773839164	0.7334929607067969	0.8908986251923894	0.7158391568071828	0.8207906329732098	0.7593853300796735	0.9214968018889074	0.8784939079580051	0.8739022431709966	0.9213357418768234	0.8288569217390727	0.8241628051505657	0.8524160838847727	0.8282858217024596	0.8223764893459904	0.8270700471254888	0.8323263053423846	0.8515310528230313	0.8261167853330865	0.8261134035574162	0.8915104205016193	0.8462059433192626	0.9033593087747799	0.8420007859592515	0.8506836229760049	0.8586779941987372	0.8265100905595484	0.8624602810970831	0.8209937849622752	0.8006383977572309	0.7972541511866715	0.8351004277691652	0.8282568656956235	0.7791493866724448	0.7451035321172272	0.8312179261034681	0.7906840888532815	0.7987253623841906	0.7944432788941	0.83098295101885	0.8048798515572241	0.875376286363955	0.8742940671919524	0.86629702464331	0.8613690476251294	0.8758861412775575	0.8775717488149456	0.8770579712993241	0.8847931074352228	0.846638597669197	0.8137439272152591	0.7784423341923864	0.8208479931187944	0.773497706519719	0.8135770053247339	0.8584787159658649	0.777575334014261	0.8146754608866775	0.7270529686624414	0.7454893514861035	0.7516858247583548	0.6917339807362233	0.7289533146889094	0.8791193822173335	0.8854127629452653	0.8739517962686904	0.8697897518985245	0.8452845828136257	0.8838279675778791	0.8510113577661563	0.8712326970874008	0.8810998845132455	0.8673527557514367	0.8648932205154585	0.8593220723590893	0.8346174219467934	0.8332037252997139	0.8834947167699622	0.7829632758819773	0.7672679277734034	0.9096317348279713	0.8354488969988801	0.8242778561028314	0.8713938474124194	0.7842171610803045	0.804358035055658	0.8331759889930171	0.7838460042454135	0.7914307494460826	0.8003899024823278	0.831090111344881	0.8692191993420895	0.8776291913765871	0.8541981554283519	0.8371510741789486	0.8562212069370402	0.8394619912728042	0.8897670481574205	0.9154097696874557	0.9130333243541044	0.8131920620319171	0.8684477586396807	0.8610637041070773	0.843272632269671	0.8682685191353188
e51kikuyu	0.8867746317928016	1.0	0.9502600896320285	0.9597085810415591	0.9674623834075965	0.9686119761998901	0.9636377280788492	0.9821726470270677	0.8402921436397781	0.8406667402280195	0.8221137506249291	0.9678275478875464	0.8265018575448094	0.886716366287424	0.8372902148754007	0.8741752762146684	0.8244093384623613	0.8150800064955868	0.9492377677001526	0.8646852615116702	0.8472051054801223	0.8502328025272122	0.8716912179264751	0.8853564624314681	0.8838828636463862	0.8718764811604225	0.8671816338701169	0.8553831799943366	0.8588164315166439	0.8933421712927293	0.887289615553551	0.8252185955805932	0.8425135701218943	0.8556590902630127	0.8938429294658893	0.838150168534735	0.8676925840026297	0.7851837603488452	0.7119737549954614	0.7572179089385646	0.7759330114524817	0.7977127291239479	0.7700492163644304	0.7604735357389889	0.764571185220527	0.8358300681457279	0.8386745528725382	0.8360091052236449	0.8371337771801485	0.8201583915238077	0.8394811980483442	0.8319054712694876	0.83526505149464	0.834532445059021	0.8404982406360608	0.8072900884136162	0.8256005808866945	0.8449597258443821	0.8487261790844983	0.7964398279802963	0.7463969655517054	0.7864679710197455	0.754887101863775	0.768982486976117	0.7956923606112161	0.750022199366922	0.7409506435267346	0.8067605042256676	0.8061474169750322	0.8053965417306183	0.735121237218893	0.7336012951942971	0.8893103622016383	0.8992156653130502	0.873949542155475	0.8855838884580179	0.7811906963328655	0.8662965480809448	0.8384934663948086	0.8612232752566049	0.8486154451856043	0.8543865510305171	0.817548671380406	0.8296430685702944	0.8058311894398543	0.8986453215490654	0.8097326369644042	0.7707182957603336	0.7531792540439611	0.8569923079817875	0.908907838395687	0.8874496654695334	0.9151479833429784	0.8688742666000855	0.8378441035464425	0.8998823956551814	0.9110112694826835	0.8847234728480217	0.8937568674690336	0.8960012855928845	0.9138384883467721	0.7960871711201644	0.7836758108433758	0.7870395170354203	0.808816318800051	0.7834505034186388	0.8105134731879928	0.8002848616157324	0.8292138424768827	0.7796253556588559	0.7892119920911113	0.7979156150488168	0.8013384379786632	0.8049827808585719
e52embu	0.8982404307936271	0.9502600896320285	1.0	0.9953408529930735	0.9874452458634214	0.9869665015947208	0.9900494732799967	0.9741939140525475	0.758851771747609	0.7778271268930859	0.7588319338097106	0.9859677189451266	0.7424100505842357	0.8470034039469821	0.7710306082410667	0.9099043578200233	0.8742497635219929	0.8800857088244227	0.9339962770088709	0.7937494687006758	0.7682681154638256	0.7993539940110239	0.7894056028064905	0.829090849013718	0.8168132954953898	0.819932557867476	0.8142279169387914	0.7884744863009755	0.7959972127397599	0.848299684246063	0.8388613064687467	0.8233788194199273	0.7885942399671032	0.7983789107056966	0.8427224487837764	0.7780886688623765	0.8140099764343263	0.7274993713682412	0.6619448870840421	0.6748425827628298	0.727349671597804	0.7264662329831088	0.7044301964650691	0.6759328037358442	0.7150832281158643	0.7741823384331601	0.7859779520071577	0.7721269985547414	0.7929551368368774	0.7772441092047492	0.8047325851606053	0.808550885829041	0.7879618735277787	0.7783857384666308	0.800633499120702	0.7793457250448117	0.7746927884592237	0.7988776941824273	0.7867026023004029	0.7241897093407474	0.6680923853442992	0.715870783618015	0.6809306095077844	0.7061242968201987	0.7317721969655907	0.6866617800349116	0.7063146907885661	0.7247268528982463	0.7306273019661275	0.7190514602820047	0.6689187605008967	0.6623873104001263	0.8812739570044561	0.8733668527320875	0.8760104690333845	0.8780975828600016	0.7737523495057561	0.8544086021672577	0.7809663636483856	0.841109263233365	0.8280097473117299	0.8204304272439366	0.795849272438041	0.7787644689159606	0.7524637049887697	0.840662472281271	0.8043646709079613	0.6799567156357185	0.6607207791232981	0.8595246886283165	0.915539254050957	0.8849175420597608	0.8965442984888218	0.8489987601053799	0.7720362416447482	0.904340260291246	0.8481426476911894	0.8222981883026556	0.8382056772378621	0.8770448430924761	0.8897921518807035	0.7634467932959523	0.7374812437558532	0.7155955934869546	0.7438981261336467	0.7354843703851442	0.7823827146646142	0.7785559034214751	0.7984214586274287	0.7024137731423271	0.7544206273847319	0.7494012493261728	0.7451889015400599	0.7648096359558373
e52mbeere	0.8971469945077242	0.9597085810415591	0.9953408529930735	1.0	0.993359468486061	0.9924632762469369	0.9930378557625887	0.9830758040198001	0.7668871928846237	0.7834465711246512	0.7653850816112839	0.9927025432049925	0.7536905334641164	0.8529839748282302	0.7762620237647668	0.9118307522892641	0.8689600019675302	0.8717834415706608	0.9402470262724119	0.8010324724706662	0.7710961089335511	0.8083740857434565	0.7988521390110546	0.8354866122606452	0.8206966430562386	0.822988018575379	0.8160638575703465	0.800446787400861	0.8022873882596753	0.8576582041057066	0.8392586109771917	0.8366383953563946	0.7964320275305972	0.8096180898981532	0.8531001177862981	0.7922174396317702	0.8190264781829519	0.7313898048659367	0.6728414562583209	0.6821188457115986	0.735914942525437	0.7344779589798901	0.7033966367891407	0.6837697929456736	0.7250542163403931	0.7779887768130407	0.7894986907754868	0.7799259652203449	0.80088834026446	0.7830291409901454	0.8146077411438606	0.8131709437358694	0.7950314706918971	0.7844311903273161	0.8103561875012626	0.7796984910444408	0.7778979344864698	0.8051700509867732	0.7942693106462019	0.7343483109822424	0.6756786403053258	0.721218115737538	0.6857637690877928	0.7124635437831726	0.7375715975149868	0.6901279526494432	0.7100553251461832	0.7307594080085225	0.7366865650412845	0.727129475102592	0.669744266838481	0.6664719146734389	0.8770791836305747	0.8765744047194924	0.8664166934338676	0.8726166340223359	0.7762009955409054	0.8505864044731148	0.7868316744325635	0.8388449615025578	0.8231796365775049	0.8175887290783851	0.7921911965054018	0.7865438336726411	0.7622317437760321	0.850546792279249	0.8050507061324854	0.6872165899977742	0.6660744924889446	0.8473098990374663	0.9110698529831451	0.8820171324558406	0.8959794143329699	0.844125659719157	0.7783820501996105	0.8968863620467552	0.8509275142756358	0.8287330482993918	0.8461887061924788	0.8712948838692008	0.8944028859671372	0.7680438853062771	0.7406741139453309	0.7245460176431227	0.7541080818973133	0.7433917270130099	0.7880452157412768	0.789108841900756	0.8019213790181117	0.7158129706192925	0.7613849608489888	0.7556033302618186	0.7524813322316497	0.7696045199628266
e531muthambi	0.8960070370470314	0.9674623834075965	0.9874452458634214	0.993359468486061	1.0	0.9990649475470641	0.9979192789836085	0.9913282772103705	0.773157134010965	0.7955092959938417	0.779298491370516	0.9972852826497328	0.7700027081055366	0.8604733946708553	0.7901051389375646	0.9204992294929205	0.8701710891548559	0.8713090506989415	0.9417619259383649	0.8098069483944206	0.7758744328851948	0.813659118553506	0.8103397081022612	0.8436512977039884	0.8299139888370609	0.8315884942391936	0.8272536461214895	0.8048004254764668	0.8068914815777074	0.8634044613449191	0.8440775615954037	0.8330015357105927	0.8021105657388768	0.8111221776736818	0.8511371666916021	0.7971157263815934	0.8276332827083309	0.7463520635410799	0.6852298135932752	0.6952221899976854	0.7472365977604585	0.7436894080486013	0.7119500785571847	0.697180823251477	0.7445036320002313	0.7836079008365138	0.7928210385326383	0.793533620661443	0.8139513753404404	0.793836286389024	0.8239677690053127	0.8176151278171395	0.8040200838884155	0.7926976151691707	0.8204354364513755	0.7843280647301885	0.7849452925540146	0.8132940671968776	0.8026693178809339	0.7460592040359891	0.6865664548395872	0.7271899691110898	0.6911676247523186	0.7160653012172513	0.7471622455385106	0.6952984262646661	0.7116178910750676	0.7345327506002778	0.7399402763866938	0.7359965956850861	0.6722554920644264	0.6761905569968373	0.8795657349640166	0.8798225493613515	0.8692572600200171	0.8755023833256348	0.7837722553203472	0.8530424037886685	0.8018452878938179	0.8439558339395085	0.8287926088622846	0.8231964223290474	0.7992856469383769	0.7894254929812459	0.7700230485643733	0.8578800397089296	0.80031876210728	0.7022401534067648	0.6717343080645508	0.841637772858691	0.9103543355414533	0.8851782233666443	0.8974064272938456	0.8473871920903703	0.7795188093081344	0.8965981486724288	0.8573814725556372	0.8358740982386609	0.8529299654997654	0.8718046153776742	0.8947174604298737	0.7753598984968478	0.7459792237416044	0.7395185681927534	0.768129376561685	0.755870481942691	0.7954814688539102	0.7962389361447227	0.8110159947841256	0.7226839594488369	0.7663735637101767	0.7658521467869901	0.7623986335401742	0.7789775208053592
e531mwimbi	0.8960992578058186	0.9686119761998901	0.9869665015947208	0.9924632762469369	0.9990649475470641	1.0	0.9976748660964182	0.9920898089227184	0.7752564134869372	0.790846759718143	0.7743026790226747	0.9960060896823582	0.7707504569498952	0.8552049957866803	0.7856555675406415	0.9174679805784947	0.860098418624477	0.8613604611531317	0.9414304513485818	0.8090974185224399	0.7749077709348666	0.8107054989850804	0.8076162538145136	0.8428294097177002	0.8284343711194072	0.8289178515719406	0.8229977927374319	0.801999252177153	0.8024771510205138	0.8600847874805101	0.8433721243431035	0.8303003063302891	0.7989935481672491	0.8058782923633756	0.8489310587115546	0.7901608540999113	0.8220026844191647	0.7392516467022097	0.6836527856757973	0.6923601448039461	0.7440300695198008	0.7400172139214939	0.7091941184582999	0.6914776849460557	0.743875709771798	0.7805698936170945	0.7883401555384941	0.7892684926178887	0.806929882834614	0.7851812664394129	0.8169416702825366	0.8097575133955642	0.796466081844607	0.7852605300152261	0.8122116546256857	0.7782158231188889	0.7788705692448398	0.8065370859956705	0.7962383950424388	0.7423772641761904	0.6831877533259455	0.7229036214069551	0.6836396666078279	0.7096257658489146	0.7409948198919943	0.6886316152224345	0.7058833360289493	0.7309304733500994	0.7353946032301344	0.7311419935277816	0.6654462390321694	0.6687116012172034	0.8751025640829391	0.8753288832092773	0.8655091386575035	0.8703965496260977	0.7778819808844837	0.8459365940679757	0.7967594858000454	0.8381765070164638	0.8221599687116601	0.815551691335306	0.7913626853539857	0.7857636667067734	0.7620104792818472	0.8554928879227353	0.7975453209376743	0.6955498258981179	0.6685021165482373	0.8380466224918605	0.9062097497404336	0.8792998527463547	0.8941825621416116	0.8415452531373946	0.7750251198169323	0.8934786627163729	0.8557147933548497	0.8311874638198635	0.8484327589810241	0.8684757405280058	0.8894681469802748	0.769902224400543	0.7411127372648938	0.7347752438493295	0.7629328974727447	0.7501147513686142	0.7889463596707497	0.7954900052088753	0.8055059087464549	0.7190763390579608	0.7614711953488708	0.7617543779239674	0.7568033952791473	0.7736036251045243
e53igoji	0.8947261351749766	0.9636377280788492	0.9900494732799967	0.9930378557625887	0.9979192789836085	0.9976748660964182	1.0	0.9880180202794602	0.7708919971127073	0.7893276358208033	0.772924061424731	0.9967182044969849	0.7646514973376505	0.8536262764201873	0.7846333186083779	0.9130676557829496	0.8646468544186228	0.8677986984168581	0.9390269274329777	0.8060159942066532	0.7742310370082589	0.8062319156203911	0.8029485080474338	0.8412181753781302	0.8277431807875255	0.8280365060672719	0.825144557113242	0.79961699551559	0.803191526397573	0.8576390636754259	0.8456594017165622	0.825526806257955	0.7937412743062224	0.8013108310372519	0.846327690987369	0.7861515315759146	0.8179226173691225	0.7380178197633186	0.6723131011513878	0.6836817130134226	0.7380500544576107	0.7336146803611436	0.7076486063956015	0.6879722786073403	0.7325352092254062	0.7787824521014229	0.7879448700220948	0.786554039723265	0.8008188960594952	0.7808871169127892	0.809497746338899	0.8068995596545162	0.7915581472671581	0.7810238824590513	0.8065795632941452	0.777398569926831	0.7746700822434403	0.8033294558478743	0.7952507777523813	0.7370543914204812	0.6789184987981072	0.7202593845442508	0.6834060072596329	0.7082780182644238	0.7384971319121838	0.686306705951095	0.7028238422655974	0.73093952091653	0.7342701521210254	0.7290333172599943	0.6658261062057725	0.6662155578991992	0.8810889508480672	0.8766053864311734	0.8724291298353554	0.875691314779683	0.7760208613221699	0.8494299733754405	0.7966466515201206	0.8399935354389868	0.8258837771768222	0.8201533567451702	0.7920434689016237	0.782369010266381	0.7599736286372821	0.8538468042697877	0.7995071540102057	0.694246336929047	0.6660509613274089	0.8451155704653679	0.9152512950088479	0.8875278050018441	0.9000060577117676	0.8501158829196213	0.7738189559769879	0.9031924993578092	0.8601833317025892	0.8337898210678253	0.850470217824474	0.8775931834978858	0.8939456150876857	0.7657119889175635	0.7373912007754999	0.7271613112467915	0.7551183250872434	0.7444722165678643	0.7855486779296145	0.7881961610187006	0.801312382464665	0.7144513629504572	0.7560429776951576	0.754861920635256	0.750187508175637	0.7684934132023662
e53imenti	0.8812807654430438	0.9821726470270677	0.9741939140525475	0.9830758040198001	0.9913282772103705	0.9920898089227184	0.9880180202794602	1.0	0.8153479172818606	0.8308996174584105	0.8188976858960211	0.9914431054068199	0.8198261485864802	0.8817810605737708	0.8261291026606404	0.9062717298979064	0.8462659844041476	0.8450456100088122	0.9513075588992668	0.8426295278284887	0.8105948592727921	0.8370622320319413	0.842216587054359	0.8752147182616794	0.8622009413512168	0.858598426201565	0.8533218076389809	0.8370175628816174	0.8401126792174738	0.8779597320537376	0.86937746367446	0.8352780827198325	0.829106451731253	0.8375252358514309	0.8766184065722648	0.8253719772173165	0.8517142228483331	0.7732614520648565	0.6989719529096821	0.7326746810635721	0.7657807057000896	0.7792128013034082	0.7531865679068922	0.7428505172510654	0.7677271944285394	0.8212137202282432	0.8264397476387372	0.8292079597202362	0.8363417742537392	0.8168140473681064	0.8408720527566788	0.8327202124996573	0.822265066591229	0.8165461205656009	0.8360057701398943	0.7994682316154792	0.8026961458516075	0.8335817436827937	0.8305877364326082	0.7827153381343841	0.7283273870276074	0.7641985874248767	0.7300754327503081	0.749103076258441	0.7686656413510575	0.730588312148909	0.7365921905578067	0.7803638855950426	0.7834615723087747	0.7805774724165282	0.716921302878731	0.7187142945254995	0.8869527738659758	0.8955266074283019	0.8735528447956045	0.8827199784686737	0.7961074926640851	0.8642460873596237	0.8273185365385727	0.859841980571739	0.8419438087453209	0.8398225792713073	0.8140521495007744	0.8197458071812673	0.7960258671033534	0.886020336780264	0.808314763728984	0.7345036976615937	0.7124140992496403	0.8430506080135182	0.9083621157576789	0.8829742617247912	0.8985648879847472	0.8625472006289402	0.8170657981240644	0.891888646262549	0.8862539833865918	0.8572204138802426	0.8752827954896752	0.8830707354183503	0.8980230495779881	0.7909169613121075	0.7687817630328555	0.7666785834032364	0.7927013526177746	0.7811714768002344	0.8106737813051001	0.8070966957531309	0.8195225126797551	0.7598500014630405	0.7872770917644033	0.7899208341891171	0.7891843562329576	0.7999605611237768
e53meru	0.7920647959700583	0.8402921436397781	0.758851771747609	0.7668871928846237	0.773157134010965	0.7752564134869372	0.7708919971127073	0.8153479172818606	1.0	0.9095455501459995	0.9011300164828211	0.7738929652463598	0.8921309367382613	0.8975879661043339	0.9124841457119588	0.7143160833116519	0.6940913691094148	0.702574694909707	0.8415600159615119	0.983737922902683	0.9817565152889741	0.9554578790643082	0.9650432273866694	0.9574735257193979	0.9655180580442922	0.953267405503675	0.9516119940704824	0.9596078738369929	0.959897210511265	0.9366875081340013	0.9597502770510872	0.7772456410285381	0.9331096484707935	0.9239720630450037	0.9354862251065438	0.9231405895347811	0.9278206960261979	0.9090186722581507	0.7977028652744313	0.9196971659010277	0.8506903867338097	0.9388221328118262	0.9363673948128367	0.9264409637491086	0.8333576040100478	0.9333561001041478	0.9207660708379152	0.9322739128898212	0.9047437349757989	0.8865118296260192	0.8946488404504851	0.8826274363162737	0.8908244975005456	0.9036613823924141	0.8940910643130238	0.8962265895557883	0.9002146459402758	0.9064695433104688	0.9307288757710802	0.9268878331481792	0.9112555687750115	0.9364395598696248	0.9150835714305806	0.9106471107045127	0.8876564554819089	0.9050860984138337	0.8686956283006486	0.9300275530708032	0.9347544492357708	0.9462251279765465	0.8767625119318228	0.8926591322640622	0.891264602575465	0.9162395882084496	0.8806467531915595	0.8824242630249484	0.8488075076681366	0.8955565076591714	0.9378886882945126	0.8929851815442676	0.8881573206916088	0.9049868778920357	0.8846230232776376	0.9256467570751962	0.8812268980481921	0.947504563362811	0.8909027739551452	0.8950108362137684	0.9149133635604557	0.8704404332697661	0.8102791307051326	0.7893242278931927	0.8342341235209075	0.8477949439316513	0.9540312549474613	0.7770691947274598	0.8974909125428684	0.8754140800726915	0.8802626380913093	0.8833391464014336	0.8330694259539208	0.8881516759771514	0.9007802617397805	0.897354441081659	0.8974796903491983	0.8980189642601335	0.8731019047099718	0.8541798794718596	0.863333036616533	0.9024184057024979	0.9045505662314131	0.9067677141875897	0.9121382523763167	0.9048940043792976
e53meruimenti	0.7621286773839164	0.8406667402280195	0.7778271268930859	0.7834465711246512	0.7955092959938417	0.790846759718143	0.7893276358208033	0.8308996174584105	0.9095455501459995	1.0	0.9872580989400661	0.7947566061328868	0.9318921251429525	0.9715466018183587	0.9972343595456709	0.7122513106761601	0.7160629298591071	0.7264524156904046	0.8351782655010251	0.9058480143681241	0.9003606534619412	0.8874298606092298	0.90447306110421	0.9462200571318719	0.9310477343820115	0.9376712665807352	0.9154291856057979	0.8927726415811029	0.9211964126813822	0.8974449128666626	0.9102350988188187	0.703983263039774	0.9180243689679906	0.9243521247668536	0.9136578520474763	0.9376613970718128	0.9183329233567022	0.8821453343143415	0.7347079495983291	0.8925125208817877	0.770542293445669	0.8807072779123466	0.8967992122795027	0.910525090562585	0.7807593228253296	0.9770166547699195	0.9782978745633053	0.959380722544435	0.928942265589062	0.9285711067096456	0.9038069708158583	0.9003776112872719	0.9160498018818997	0.9034875773286382	0.9027493664652211	0.9130230095057714	0.9029587656434096	0.8758952019001244	0.9043047066440729	0.9234378932127321	0.8857465881030107	0.8979037498038721	0.9055090558067079	0.8897534296898134	0.8590750863246019	0.9169622869445451	0.8559402511790939	0.9704743267989969	0.9717815262191771	0.9638885833189641	0.9507973991906117	0.9259027585470139	0.9170270573969581	0.9408259570449755	0.912368953581962	0.9164996589180346	0.9072801032739185	0.9180443105886098	0.9107571327000442	0.9126212135352632	0.8966446805268125	0.892830820974333	0.8890015733978448	0.883407832594019	0.8577824511370719	0.9455731821027328	0.806490243871423	0.8689482869546594	0.8706329238662411	0.8247329114444235	0.7921101500866239	0.8214028378740418	0.8329332375659609	0.9125574792374946	0.9482235304439585	0.7556658990083523	0.8521432649631967	0.865951167079481	0.8717684379744475	0.9119225580844809	0.8648867015267283	0.8785783776517974	0.8941133632970631	0.9001597985224481	0.8997257696817269	0.9060824769348953	0.8636413062074904	0.803809836907095	0.8615017092216065	0.8718552940235801	0.8687083374127783	0.890145242880051	0.8963019703149827	0.8823034256163688
