Concept	Density
277_child	0.95
74_baby	0.48
487_father	0.91
909_mother	0.93
870_man	0.45
1516_woman	0.5
1003_person	0.93
867_male	0.45
1509_wife	0.5
307_cowife	0.25
1503_whiteman	0.5
161_blackman	0.48
1435_twin	0.5
1454_uncle	0.3
693_husband	0.52
557_friend	0.95
558_friendfemale	0.02
559_friendmale	0.05
483_family	0.52
361_crowdgroup	0.41
276_chief	1.0
1318_subchief	0.2
1074_quarterhead	0.05
453_elderbirth	0.52
39_agedperson	0.27
454_elderculturalinitiationrites	0.02
1375_thief	0.52
1221_slave	0.48
1506_wickedman	0.45
1301_stingyman	0.43
721_jealousman	0.14
821_lazyman	0.18
385_deitygodgod	0.98
391_devil	1.0
1514_witch	0.5
1515_witchman	0.5
1269_spirit	0.41
488_fatherinlaw	0.32
910_motherinlaw	0.25
732_juju	0.27
691_hunter	0.11
144_beggar	0.52
469_evilsocietynyogo	0.02
497_female	0.2
1057_prince	0.02
892_messenger	0.2
496_fellowmanfriendlyexpression	0.02
614_guard	0.45
166_body	0.55
1215_skin	0.55
648_head	1.0
475_face	0.48
474_eye	0.98
939_nose	1.0
913_mouth	0.95
435_ear	1.0
719_jaw	1.0
1405_tooth	0.95
1404_tongue	1.0
929_neck	0.55
148_belly	0.73
1384_throat	0.52
2_adamsapple	0.36
591_goitre	0.41
621_hair	1.0
1201_shoulder	0.48
274_chest	0.52
184_breast	1.0
1112_rib	0.52
62_arm	0.59
1473_waist	0.5
928_navel	0.55
1450_umbilicalcord	0.43
452_elbow	0.52
1539_wrist	0.45
623_hand	0.98
1306_stomach	0.98
1025_placenta	0.39
75_backhumanbody	0.48
210_buttock	0.52
58_anus	0.48
548_foot	0.5
1376_thighlap	0.55
826_leg	0.45
1401_toe	0.55
999_penis	0.52
1370_testicle	0.55
1464_vagina	0.52
298_clitoris	0.45
63_armpit	0.55
549_forehead	0.43
529_fist	0.48
961_palmhand	0.45
1386_thumb	0.52
515_finger	0.48
810_knuckle	0.45
517_fingernail	0.5
940_nostril	0.5
280_chin	0.55
801_knee	0.55
51_ankle	0.48
713_intestine	0.95
848_liver	0.48
654_heart	1.0
1250_soleunderfoot	0.48
572_gallbladder	0.5
864_lungs	0.36
1192_shin	0.48
657_heelbackfoot	0.43
169_bone	0.52
1218_skull	0.41
1268_spinebackbone	0.34
188_breath2	0.5
1270_spit	0.52
1359_tears	0.52
163_blood	0.98
1490_water	0.98
1463_urine	0.52
874_marrow	0.25
875_marrowbone	0.09
876_marrowbrain	0.05
178_brain	0.43
672_hornhead	0.73
1214_skeleton	0.05
232_calfleg	0.5
1265_sperm	0.02
1360_teeth	0.05
1053_pregnancy	0.32
584_gizzardfowl	0.82
959_painn	0.52
1471_vomit	0.45
649_headache	0.5
392_diarrhoea	0.41
434_dysentry	0.23
1154_scabies	0.5
251_catarrh	0.52
718_itchingcatarrh	0.02
345_coughn	0.52
167_boilabscess	0.5
168_boilsmallabscess	0.02
18_flatswellingfilaria	0.05
1336_swellingwithnopus	0.05
516_fingerabscesswicklow	0.05
1332_sweat	0.52
1245_snore	0.55
146_belch	0.48
1020_pimple	0.27
1508_wicklow	0.48
1334_swelln	0.43
660_hieniaswellingsaroundgroin	0.45
917_mumps	0.05
1530_wound	0.55
570_fungipimple	0.27
1063_pus	0.5
1155_scar	0.36
1121_ringworm	0.55
442_eczema	0.41
828_leprosy	0.39
1204_sickness	0.55
382_death	0.45
1217_skinrashesbaby	0.36
1271_spleensidebellypain	0.43
189_breathair	0.05
686_hunger	0.23
30_abstinence	0.05
1205_sidepainrapidheartbeatundertheleftbreast	0.02
1244_sneeze	0.02
1472_vomitmatter	0.36
889_medicine	0.93
1416_tree	0.95
785_kotreeboundarytree	0.02
784_kotreebomafruitchildrenspin	0.02
787_kotreecamwoodtree	0.05
790_kotreespoonfruit	0.05
783_kotree	0.02
305_clothtree	0.02
789_kotreeleaf	0.16
786_kotreebrownedibleleaves	0.05
788_kotreecaterpillarsforcrabs	0.02
1555_nkohtree	0.02
1554_nkohleaf	0.02
159_bitterleaf	0.95
543_foam	0.5
1151_sandpapertree	0.02
1294_stick	0.55
526_firewood	0.45
991_peaceplant	0.39
547_food	0.52
181_branchtree	0.5
1258_soupvegetable	0.27
1257_soupliquid	0.27
379_datepalm	0.36
594_grass	0.95
1263_speargrass	0.27
822_leaf	0.98
1293_stem	0.11
1134_root	0.98
908_mossplant	0.05
1397_tobacco	0.66
1400_tobaccopowder	0.27
1398_tobaccoleaf	0.3
233_camwood	0.82
1493_waxnativeincense	0.09
270_charcoal	0.55
69_ashwood	0.55
86_barkoftree	0.07
550_forest	1.0
1373_thatchgrass	0.45
662_hillgrass	0.02
1043_poison	0.48
565_fruit	0.32
956_orange	0.52
993_pear	0.52
988_pawpaw	0.55
1022_pineapple	0.98
609_groundnut	0.55
322_cola	0.55
760_kofruit	0.05
1062_pumpkinleaf	0.2
1061_pumpkinfruit	0.27
44_amaranthusgreen	0.55
574_gardenegg	1.0
458_elephantstalk	0.75
918_mushroom	0.73
768_komushroomwhitish	0.02
769_komushroomyellowish	0.02
763_komushroomsmall	0.02
766_komushroomwhiteflatlikefufu	0.02
762_komushroombrown	0.02
1225_slimysoupchaff	0.02
683_huckleberrynjamanjama	0.5
1256_soup	0.52
1224_slimysoup	0.41
1000_pepper	1.0
924_nativemaggispice	0.16
229_calciumcarbonatekangwa	0.32
230_calciumcarbonateliquid	0.07
1546_yellowsoup	0.45
944_oil	0.91
976_palmoil	0.05
978_palmtree	1.0
975_palmnut	1.0
970_palmflower	0.23
967_palmcone	0.41
793_kerneluncracked	0.43
794_kernelchaff	0.45
969_palmcotton	0.3
962_palmbamboo	0.25
971_palmfrond	0.52
964_palmbeetle	0.5
973_palmmaggotgrub	0.36
963_palmbarrenfruit	0.25
1009_pestlepalmnut	0.07
796_kernelshellbark	0.5
795_kerneloil	0.52
968_palmconeempty	0.05
380_datepalm	0.05
1551_youngpalmtree	0.02
880_mbangasoup	0.45
1511_winepalmraffia	0.5
957_outerpalmnuts	0.02
507_fibrepalmrope	0.02
461_emptypalmcone	0.3
712_innerpalmnutscone	0.25
15_conepalmnut	0.02
14_conenutsremoved	0.05
22_palmfrondrope	0.05
88_barrenpalmcone	0.02
979_palmnutscracked	0.02
23_palmnutripeuncracked	0.02
977_palmthorns	0.05
974_palmmargotyellowdestroysyoungpalms	0.09
945_oilchaff	0.5
792_kernel	0.48
1075_raffia	0.43
1078_raffiafruit	0.32
1077_raffiafibre	0.34
1076_raffiabamboo	0.98
704_indianbamboo	0.09
136_beans	0.52
1417_treebeans	0.02
5_beansfromkom	0.05
611_groundnutpudding	0.25
575_garri	0.25
893_milk	0.45
444_egussi	0.07
447_egussiuncracked	0.18
445_egussicracked	0.14
446_egussipudding	0.25
1114_rice	0.52
349_cowpeabean	0.45
350_cowpealeaf	0.41
1167_seed	0.98
1168_seedlingplantingseeds	0.25
980_pap	0.82
340_corn	1.0
343_cornfufu	0.52
342_cornflour	0.02
308_coarseflourkende	0.32
341_cornbeer	0.52
1027_plantain	1.0
81_banana	0.98
82_banananative	0.02
248_cassava	0.55
1046_potato	1.0
1323_sugarcane	0.55
1542_yam	1.0
314_cocoyam	0.66
746_kococoyam	0.05
747_kococoyama	0.05
748_kococoyamb	0.05
13_cocoyamigbo	0.05
316_cocoyammakabo	0.09
315_cocoyameggyolk	0.43
317_cocoyamnative	0.41
318_cocoyamnativered	0.05
320_cocoyamleafsoup	0.41
38_aerialyam	0.34
1110_rhizomefruithilllilly	0.3
1111_rhizomefruitvalleylilly	0.25
428_drum	0.93
1345_talkingdrum	0.5
617_guitar	0.14
1252_song	1.0
374_dance	0.91
791_kodance	0.05
499_femaleyouthdance	0.02
869_maleyouthdance	0.02
1146_sacreddance	0.02
455_eldersdance	0.02
17_fangannualdance	0.05
751_kofemaledancefemaleritesociety	0.02
540_flutedance	0.05
537_flute	0.45
674_horntrumpetcow	0.09
53_anklerattlewomen	0.07
1541_xylophone	0.95
592_gong	1.0
52_anklerattlemen	0.5
1011_pianobamboo	0.36
1012_pianostring	0.32
919_musicalpipe	0.45
429_drumbothside	0.05
1229_smalldrum	0.02
855_longdrum	0.02
1200_shortdrum	0.02
538_flutehorizontal	0.05
539_flutevertical	0.05
673_horntrumpet	0.2
774_kosong	0.05
177_boxrattlezinc	0.45
626_handrattlecane	0.11
371_cutlass	0.98
803_knife	0.84
72_axe	1.0
667_hoe	0.98
715_iron	0.34
1552_zinc	0.86
1118_ring	0.07
1044_pot	1.0
1092_razorblade	0.14
401_dish	0.2
1259_soupdish	0.43
1226_slimysoupdish	0.34
569_fufudish	0.36
805_knittingpin	0.45
920_nail	0.52
1262_spear	0.52
1349_tappingknife	0.36
1187_shavingknife	0.02
716_irontrap	0.32
147_bell	0.16
299_clock	0.39
1489_watch	0.36
1348_tappinghoe	0.05
339_cookingspoon	0.45
1350_tappingpipe	0.07
1412_trappartridge	0.05
902_money	0.18
776_kospearlargehead	0.05
777_kospearsharphead	0.02
775_kospearfins	0.05
402_dishaluminium	0.05
1119_ringhandear	0.05
933_needle	0.3
403_dishpan	0.66
152_bicycle	0.2
373_cutlasssmall	0.02
778_kotrap	0.07
1448_tyrecar	0.2
78_bamboorattle	0.25
192_bridge	0.89
1381_thongs	0.45
420_doorwayspace	0.07
1352_tappingpipe	0.02
998_pen	0.45
170_book	0.98
571_funnel	0.27
1451_umbrella	0.93
927_nativeumbrella	0.05
1018_pillar	0.41
365_cup	0.98
194_broom	0.98
215_calabash	0.55
1023_pipe	0.34
519_fire	0.91
618_gun	0.93
521_firegun	0.09
1006_pestlecocoyam	0.45
1008_pestlefufu	0.45
1419_troughcocoyamcow	0.36
236_canoe	0.3
1132_roof	0.34
906_mortar	0.52
330_comb	0.55
1409_trap	0.98
779_kotrapadughole	0.02
1413_trapropebone	0.05
1411_trapinclinedstone	0.05
781_kotrapnecktrap	0.05
267_chairplank	0.07
1521_woodendish	0.32
1274_spoon	0.55
1523_woodenspoon	0.05
1275_spooncalabash	0.18
981_papspoon	0.25
1276_spoonvegetables	0.39
79_bamboopiano	0.02
1522_woodendishleg	0.05
227_calabashwineshare	0.5
223_calabashnohole	0.27
216_calabashball	0.32
221_calabashlongneck	0.32
225_calabashpeaceplant	0.2
228_calabashwine	0.05
1149_saltcalabash	0.45
278_childcalabash	0.34
1436_twincalabash	0.27
226_calabashwinecontainer	0.11
219_calabashfortwins	0.05
1152_saucercalabash	0.23
6_calabashrattle	0.02
858_longneckcalabash	0.05
742_kocalabash	0.05
743_kocalabashballlike	0.02
224_calabashnotyetperforated	0.02
222_calabashlongneckchildtwincalabash	0.05
503_fencesealedpalace	0.05
266_chaircarved	0.39
176_boxcontainer	0.05
28_woodendishyellowsoupfeast	0.05
7_canoetrough	0.02
27_woodendishleglid	0.02
1524_woodendishyellowsoupfeastbitterleaf	0.05
923_nativecup	0.02
1479_walkingstaff	0.05
246_carvedchairusedbychief	0.05
1420_trumpet	0.02
