Concept	Density
30_abstinence	0.02
32_abyss	0.5
2_adamsapple	0.36
38_aerialyam	0.48
39_agedperson	0.27
40_air	0.75
42_all	0.5
44_amaranthusgreen	0.27
46_amuletsforcompounda	0.07
47_amuletsforcompoundb	0.48
50_animal	0.86
51_ankle	0.48
52_anklerattlemen	0.45
53_anklerattlewomen	0.5
55_ant	0.02
56_antblackbuildsamountonatree	0.02
57_antsblackopenthongs	0.3
58_anus	0.48
62_arm	0.59
63_armpit	0.55
67_ascarisstomachworm	0.36
69_ashwood	0.55
70_ask	0.45
72_axe	0.86
73_baboon	0.05
74_baby	0.48
75_backhumanbody	0.48
76_bag	0.48
79_bamboopiano	0.27
81_banana	1.0
82_banananative	0.55
83_bangle	0.05
86_barkoftree	0.45
87_barrenpalmbroom	0.5
88_barrenpalmcone	0.05
89_barrenpalmflower	0.43
90_basket	0.45
3_basketmale	0.05
92_basketverybigfeast	0.32
94_basketvisitfeast	0.45
93_basketvisit	0.25
95_bat	0.45
96_batlargest	0.32
97_batsmallentershouse	0.27
98_batsmallest	0.41
105_beblack	0.55
136_beans	0.25
5_beansfromkom	0.45
137_beat	0.48
139_bed	0.41
140_bedbug	0.02
141_beetle	0.07
142_begn	0.02
143_begv	0.07
144_beggar	0.52
146_belch	0.48
147_bell	0.05
148_belly	0.73
149_belt	0.02
152_bicycle	0.2
153_bigbasketcarriage	0.32
154_bighawkcatchesmonkeys	0.41
155_bigtermitemount	0.02
156_bigwovendish	0.52
157_bird	0.95
159_bitterleaf	0.48
160_black	0.05
161_blackman	0.48
163_blood	0.98
166_body	0.55
167_boilabscess	0.05
168_boilsmallabscess	0.05
169_bone	0.41
170_book	0.5
173_bottle	0.05
175_box	0.52
176_boxcontainer	0.02
177_boxrattlezinc	0.39
178_brain	0.05
179_branchoftheroad	0.02
181_branchtree	0.36
184_breast	1.0
187_breath1	0.52
189_breathair	0.05
190_brick	0.52
191_brickbuildinghouse	0.5
192_bridge	0.43
194_broom	0.91
196_buffalobushcow	0.45
197_buildbridge	0.05
198_buildhouse	0.41
200_bundlen	0.05
203_burntrans	0.5
201_burninterns	0.45
202_burnn	0.64
206_bushfarm	0.3
207_bushinside	0.52
208_bushowner	0.43
209_butterfly	0.05
210_buttock	0.52
211_buy	0.45
215_calabash	0.48
216_calabashball	0.05
217_calabashballshape	0.05
218_calabashfortwin	0.39
219_calabashfortwins	0.02
221_calabashlongneck	0.45
223_calabashnohole	0.2
224_calabashnotyetperforated	0.05
225_calabashpeaceplant	0.34
226_calabashwinecontainer	0.23
227_calabashwineshare	0.32
228_calabashwine	0.27
6_calabashrattle	0.02
229_calciumcarbonatekangwa	0.45
230_calciumcarbonateliquid	0.05
231_calf	0.43
232_calfleg	0.05
233_camwood	1.0
234_cane	0.02
235_canerat	0.36
236_canoe	0.55
7_canoetrough	0.02
237_cap	0.82
8_capnativeblack	0.02
238_carpenterbee	0.05
246_carvedchairusedbychief	0.05
247_casecourtn	0.45
248_cassava	0.55
250_cat	0.89
251_catarrh	0.52
252_catchrun	0.45
253_caterpillar	0.48
256_caterpillaredible	0.05
257_caterpillarforcrabs	0.02
258_caterpillarredyellowlines	0.02
259_caterpillarstings	0.5
260_caterpillarvariegated	0.02
261_ceiling	0.55
262_centipede	0.48
264_chair	0.45
265_chairbamboo	0.45
266_chaircarved	0.02
267_chairplank	0.05
268_chameleon	0.11
274_chest	0.52
276_chief	1.0
277_child	0.95
278_childcalabash	0.11
279_chimpanzee	0.11
280_chin	0.55
281_clapv	0.02
282_clay	0.48
283_claypot	0.07
284_claypotcookingfufu	0.05
9_claypotfathersoup	0.02
286_claypotforcookingfufu	0.05
287_claypotfufu	0.52
11_claypotpalacewine60l	0.16
10_claypotpalacewine	0.05
12_claypotsoupamulet	0.27
288_claypotsoup	0.07
289_claypotbig	0.05
290_claypotlegs	0.05
291_claypotwithlegssoupforelders	0.41
298_clitoris	0.45
299_clock	0.45
300_clockbird	0.48
304_cloth	0.48
305_clothtree	0.05
306_cloud	0.02
307_cowife	0.25
309_cobra	0.3
310_cobweb	0.18
311_cock	0.05
312_cockroachhouse	0.09
313_cockroachtoilet	0.3
314_cocoyam	0.5
315_cocoyameggyolk	0.41
13_cocoyamigbo	0.41
316_cocoyammakabo	0.05
318_cocoyamnativered	0.3
317_cocoyamnative	0.34
319_cocoyamslimystrands	0.43
320_cocoyamleafsoup	0.25
321_coffin1	0.52
322_coffin2	0.02
323_cola	0.27
324_cold	0.32
325_coldair	0.39
326_coldsolid	0.5
331_comb	0.05
332_come	0.45
335_compound	0.93
14_conenutsremoved	0.02
15_conepalmnut	0.02
337_cook	0.45
341_corn	0.77
343_cornflour	0.55
344_cornfufu	0.98
346_coughn	0.02
347_countv	0.45
348_country	0.55
349_cowcattle	0.64
350_cowpeabean	0.25
351_cowpealeaf	0.36
352_crab	0.5
353_crabcastlots	0.05
360_cricket	0.82
362_crowdgroup	0.41
363_cryn	0.02
364_cryv	0.52
366_cup	0.8
367_cupsieve	0.41
372_cutlass	0.98
374_cutlasssmall	0.25
375_dance	0.43
377_dancev	0.16
379_date	0.11
380_datepalm	0.52
381_datepalm	0.5
382_day1	0.98
383_day2	0.41
384_death	0.43
16_decemberfrogsmanyinwatermakesalotofnoise	0.48
387_deitygodgod	0.98
393_devil	1.0
394_diarrhoea	0.5
395_diev	0.45
396_dig	0.45
399_dirts	0.14
403_dish	0.36
404_dishaluminium	0.2
405_dishpan	0.52
407_dishpotclay	0.05
414_dog	0.5
416_door	0.05
417_doorframe	0.05
418_doorlid	0.02
419_doorlidspace	0.02
420_doorspace	0.48
421_doorlidcover	0.11
422_doorwayspace	0.52
424_dragonfly	0.52
425_dreamv	0.36
428_drinkv	0.45
430_drum	1.0
431_drumbothside	0.02
432_dryseason	0.7
434_duck	0.41
435_dust	0.98
437_ear	1.0
438_earth	0.52
439_earthworm	0.05
440_eat	0.45
443_eath	0.02
444_eczema	0.55
445_egg	0.77
446_egussi	0.25
447_egussicracked	0.45
448_egussipudding	0.41
449_egussiuncracked	0.52
450_eight8	0.45
451_eighthundred800	0.32
452_eighteen18	0.45
453_eighty80	0.45
454_elbow	0.52
455_elderbirth	0.52
456_elderculturalinitiationrites	0.02
457_eldersdance	0.05
458_electricfish	0.5
459_elephant	0.09
460_elephantstalk	0.48
461_eleven11	0.45
463_emptypalmcone	0.05
468_equal	0.52
471_evilsocietynyogo	0.02
476_eye	0.98
477_face	0.48
479_faeces	0.45
480_faeceslittle	0.23
481_fall	0.45
485_family	0.52
17_fangannualdance	0.45
486_farm	0.98
487_farmhousecornstorage	0.18
489_father	0.91
490_fatherinlaw	0.32
491_faxstick	0.2
492_faxedpillar	0.05
493_fearn	0.48
495_feather	0.89
498_fellowmanfriendlyexpression	0.02
499_female	0.2
500_femalelizardbrown	0.2
501_femaleyouthdance	0.02
502_fence	0.5
503_fenceopenfarm	0.05
504_fenceopenfarm	0.02
505_fencesealedpalace	0.05
506_fencesealedpalace	0.05
507_fencerestrict	0.02
508_few	0.3
509_fibrepalmrope	0.02
510_fifteen15	0.45
511_fifty50	0.45
513_fightv	0.5
517_finger	0.48
518_fingerabscesswicklow	0.55
519_fingernail	0.5
521_fire	0.91
522_firesidestonesupport	0.45
523_firegun	0.36
