Pattern	abar1239	biya1235	buuu1246	fang1248	kosh1246	kung1260	mbuu1238	miss1255	mufu1234	mund1340	munk1244	naki1238	ngun1279	Examples	COGID
abar1239:4 mbuu1238:4	4	0	0	0	0	0	4	0	0	0	0	0	0	1	6	1000_pepper
biya1235:2 munk1244:4 ngun1279:3	0	2	0	0	0	0	0	0	0	0	4	0	3	1	2	1000_pepper
buuu1246:4 kosh1246:4 ngun1279:1	0	0	4	0	4	0	0	0	0	0	0	0	1	1	5	1000_pepper
fang1248:4 miss1255:2 mufu1234:2 mund1340:4	0	0	0	4	0	0	0	2	2	4	0	0	0	1	1	1000_pepper
kung1260:4	0	0	0	0	0	4	0	0	0	0	0	0	0	43	4 10 17 39 46 58 64 89 96 127 134 162 177 198 216 267 286 359 374 426 434 438 464 479 566 571 577 613 640 647 683 695 701 707 710 744 752 765 773 801 832 838 875	1000_pepper, 1003_person, 1017_pig, 1027_plantain, 1044_pot, 1076_raffiabamboo, 1079_rain, 1134_root, 1136_rope, 1219_sky, 1238_smoke, 1252_song, 1290_star, 1307_stone, 1312_story, 1404_tongue, 1416_tree, 159_bitterleaf, 184_breast, 276_chief, 304_cloth, 334_compound, 359_cricket, 371_cutlass, 474_eye, 477_faeces, 484_farm, 527_fish, 557_friend, 574_gardenegg, 599_grave, 620_hailstone, 621_hair, 623_hand, 648_head, 681_house, 713_intestine, 72_axe, 803_knife, 889_medicine, 913_mouth, 921_name, 975_palmnut
naki1238:2	0	0	0	0	0	0	0	0	0	0	0	2	0	60	3 16 23 38 57 101 107 120 133 140 152 167 189 204 226 239 254 270 290 306 328 336 395 401 422 429 437 450 457 470 488 511 519 528 536 540 565 570 584 599 605 612 618 667 676 700 706 735 751 759 764 772 781 784 792 826 844 850 884 889	1000_pepper, 1017_pig, 1022_pineapple, 1027_plantain, 1076_raffiabamboo, 1148_salt, 1150_sand, 1206_sieve, 1238_smoke, 1240_snake, 1249_soldierant, 1266_spider, 1306_stomach, 1311_stormwind, 1325_sun, 1367_termite, 139_bed, 1405_tooth, 1451_umbrella, 1490_water, 1541_xylophone, 1542_yam, 237_cap, 247_casecourtn, 264_chair, 277_child, 334_compound, 340_corn, 348_cowcattle, 365_cup, 381_day, 40_air, 412_dog, 428_drum, 430_dryseason, 433_dust, 474_eye, 477_faeces, 493_feather, 519_fire, 522_fireside, 527_fish, 541_flybird, 594_grass, 596_grasshopper, 621_hair, 623_hand, 667_hoe, 713_intestine, 719_jaw, 72_axe, 803_knife, 813_ladder, 81_banana, 822_leaf, 90_basket, 939_nose, 944_oil, 978_palmtree, 980_pap
abar1239:4 biya1235:2 fang1248:2 mbuu1238:4 munk1244:4 ngun1279:4	4	2	0	2	0	0	4	0	0	0	4	0	4	1	8	1003_person
buuu1246:4 naki1238:2	0	0	4	0	0	0	0	0	0	0	0	2	0	1	9	1003_person
kosh1246:1 mufu1234:1 mund1340:4	0	0	0	0	1	0	0	0	1	4	0	0	0	1	11	1003_person
kosh1246:2	0	0	0	0	2	0	0	0	0	0	0	0	0	13	13 74 208 296 310 367 387 416 601 691 747 754 816	1003_person, 1080_rainbow, 1311_stormwind, 1451_umbrella, 1490_water, 163_blood, 194_broom, 253_caterpillar, 519_fire, 618_gun, 681_house, 713_intestine, 905_moon
