	ABSMissong1	AGAMissong2	AOMNgun2	APBMumfu1	BAAMashi4	BKBMashi2	BNMKung2	CENMundabli2	DNMMumfu2	DPNFang13	ECLAbar8	ENBBiya1	FBCBiya8	ICNBiya2	JGYKoshin3	KBMNgun4	KCSKung3	KCYBuu2	KDCAjumbu10	KDVFang1	KEMBuu1	KFKMashi1	KHKFang12	KJSFang2	KMNAjumbu2	LFNMundabli1	MCANgun3	MEAMumfu3	MNJBuu4	MRYKoshin2	NACAbar2	NCCMumfu4	NCMMashi5	NDNMissong5	NEAMunken1	NEMAjumbu9	NFKBiya7	NGTMunken3	NINMundabli4	NJNBiya6	NJSKung4	NMAAbar1	NMNMundabli3	NMSMissong4	NNBBuu3	NSFBiya5	NUNMunken4	NVBAbar7	NVIAjumbu1	TELKoshin4	TNTMunken2	WCANgun1	ZKGKung1
ABSMissong1	1.000000000	0.950923604	0.947316896	0.856994113	0.891793568	0.908971908	0.888337162	0.903642125	0.879698488	0.859314204	0.951059510	0.924813025	0.933345647	0.915133041	0.884919129	0.937564386	0.878554625	0.843532641	0.879611484	0.829087806	0.830688578	0.907777522	0.835919040	0.815573203	0.873028974	0.873756302	0.934342749	0.860702879	0.859976754	0.850768294	0.962509536	0.872787764	0.889229995	0.955667150	0.934662697	0.890398832	0.930045258	0.939588191	0.881353140	0.951169409	0.857119472	0.941013175	0.911208090	0.935298060	0.858014362	0.956720432	0.936895424	0.947583178	0.881709435	0.890567757	0.954553064	0.949062890	0.861907332
AGAMissong2	0.950923604	1.000000000	0.963926235	0.883317741	0.916732593	0.956718761	0.930514563	0.903286502	0.905599410	0.877543204	0.969913112	0.971683838	0.966954971	0.975200649	0.905316688	0.927992896	0.877611196	0.893561202	0.886450363	0.843191061	0.869705636	0.960418797	0.854680754	0.833740302	0.882259268	0.876799382	0.903579501	0.902374710	0.877092681	0.878739632	0.969251443	0.914909475	0.929189935	0.964593532	0.977484165	0.893118583	0.957100117	0.961011043	0.890849873	0.956464060	0.883140609	0.974234771	0.912064044	0.973916677	0.876873174	0.950527762	0.958172845	0.966766444	0.910526055	0.907656482	0.938134317	0.989627409	0.925720243
AOMNgun2	0.947316896	0.963926235	1.000000000	0.885226116	0.876510841	0.899653501	0.902786195	0.900766450	0.902039635	0.861121964	0.979385449	0.922665482	0.966410040	0.927354290	0.881252382	0.970894231	0.899905093	0.849441795	0.897386262	0.842073111	0.835637436	0.901496472	0.842248391	0.823341875	0.887151913	0.894192263	0.962029748	0.890101274	0.863566693	0.867177818	0.979446426	0.902712237	0.889775103	0.969874337	0.959259233	0.908373727	0.954632301	0.965802610	0.894054349	0.966752226	0.892508751	0.950315149	0.891122264	0.961293401	0.855665725	0.978814701	0.968076205	0.977029278	0.896574203	0.885598326	0.969180868	0.973945007	0.888236557
APBMumfu1	0.856994113	0.883317741	0.885226116	1.000000000	0.889498619	0.910535660	0.832648586	0.918913504	0.988444927	0.822099580	0.861951804	0.860551809	0.857663938	0.884623274	0.832764692	0.830974236	0.814754334	0.829818713	0.819728877	0.815627051	0.812250018	0.907855509	0.798503500	0.804892256	0.835680185	0.961510596	0.828890342	0.961134666	0.827327950	0.852148903	0.881434191	0.948931155	0.878888531	0.834610371	0.873074133	0.821545649	0.853882238	0.847621110	0.957698472	0.839233247	0.801093082	0.884865709	0.921469506	0.852431690	0.807611506	0.833974595	0.871681452	0.872526039	0.868267466	0.830664111	0.853680472	0.884761986	0.831656029
BAAMashi4	0.891793568	0.916732593	0.876510841	0.889498619	1.000000000	0.960482358	0.863417490	0.934179053	0.890945963	0.883035966	0.881332795	0.904926187	0.897772565	0.927429285	0.893755736	0.851883382	0.844513489	0.862047466	0.846728564	0.839005500	0.844496428	0.956218044	0.857441246	0.838543711	0.846582256	0.908321881	0.832753999	0.896964351	0.873002840	0.861561047	0.890175060	0.892584385	0.979963414	0.880738253	0.910492596	0.849888308	0.894462651	0.882925919	0.915888083	0.883476286	0.839279157	0.892655542	0.938951306	0.895680019	0.871012726	0.857945092	0.891922159	0.870697152	0.878066990	0.889604534	0.877360019	0.909366826	0.856521063
BKBMashi2	0.908971908	0.956718761	0.899653501	0.910535660	0.960482358	1.000000000	0.910513314	0.934001055	0.922593944	0.897170244	0.904909450	0.958324225	0.925693568	0.972750934	0.926108484	0.863898634	0.864985078	0.920451725	0.881388377	0.867286019	0.897839083	0.998751069	0.875347546	0.866557604	0.885819361	0.911601585	0.838621425	0.927882096	0.901168117	0.900149904	0.921094860	0.929069619	0.958183653	0.897746399	0.952623784	0.879422774	0.924874380	0.915538582	0.926254532	0.909201563	0.868516736	0.936241856	0.947747608	0.919527534	0.900077009	0.883385815	0.919941457	0.905523033	0.926721677	0.922158945	0.894696223	0.952758291	0.913808250
BNMKung2	0.888337162	0.930514563	0.902786195	0.832648586	0.863417490	0.910513314	1.000000000	0.851851709	0.840839767	0.940811215	0.904583019	0.968920540	0.961115384	0.953550240	0.949551389	0.871370440	0.952289869	0.961138872	0.925806377	0.931441014	0.954840059	0.912156364	0.936382765	0.929782655	0.958879711	0.819314192	0.840239305	0.839561114	0.939003210	0.949417651	0.908925468	0.857361305	0.850085346	0.887825449	0.930259420	0.932137227	0.967858242	0.895902927	0.842386155	0.936099506	0.963811824	0.885831589	0.846861904	0.895870054	0.942802969	0.884449858	0.884292139	0.890200538	0.968697516	0.952951122	0.886769824	0.944399354	0.992517617
CENMundabli2	0.903642125	0.903286502	0.900766450	0.918913504	0.934179053	0.934001055	0.851851709	1.000000000	0.921129384	0.886575500	0.889353676	0.877994386	0.896992935	0.895837221	0.892757093	0.892389262	0.875601283	0.860008095	0.880076010	0.859868609	0.852256878	0.928130348	0.863879516	0.851914681	0.868110222	0.941560139	0.885275362	0.934500102	0.895650304	0.875057241	0.915542403	0.934216461	0.915354821	0.890979081	0.907189542	0.878679380	0.898807495	0.903293543	0.956563158	0.896095925	0.858554425	0.897494879	0.985092781	0.893882514	0.878289278	0.887822026	0.908935226	0.897734048	0.888339862	0.892317521	0.907107379	0.904916667	0.842576382
DNMMumfu2	0.879698488	0.905599410	0.902039635	0.988444927	0.890945963	0.922593944	0.840839767	0.921129384	1.000000000	0.815259036	0.885323151	0.874618951	0.870144109	0.898150900	0.836787997	0.854220568	0.817920831	0.827401378	0.830712155	0.795076095	0.804520696	0.921324691	0.790663565	0.782888453	0.831966560	0.949001773	0.850994476	0.967496258	0.822173184	0.837776921	0.902906841	0.963945523	0.897133166	0.867894884	0.896041031	0.833565734	0.862206872	0.872071410	0.947612239	0.853435681	0.806154062	0.915019711	0.927886720	0.885198909	0.804329982	0.861354131	0.896475308	0.897534411	0.867281195	0.832566849	0.876713262	0.903561193	0.839628524
DPNFang13	0.859314204	0.877543204	0.861121964	0.822099580	0.883035966	0.897170244	0.940811215	0.886575500	0.815259036	1.000000000	0.870943221	0.915955919	0.934733588	0.911293461	0.962892835	0.864211701	0.950722791	0.950906970	0.935251547	0.976755222	0.958534464	0.892441131	0.992456460	0.980555483	0.955569801	0.843943490	0.838849967	0.837389289	0.974785300	0.966306439	0.871030050	0.835483852	0.841954073	0.856595821	0.903317006	0.936224746	0.950147803	0.879394375	0.864521195	0.922882185	0.952271108	0.818287315	0.872538092	0.857359101	0.977914388	0.848530721	0.867176991	0.844405831	0.958060512	0.965009511	0.884054741	0.893778027	0.931284544
ECLAbar8	0.951059510	0.969913112	0.979385449	0.861951804	0.881332795	0.904909450	0.904583019	0.889353676	0.885323151	0.870943221	1.000000000	0.935545326	0.965178145	0.933557260	0.895560224	0.968448555	0.887574049	0.865141005	0.900894275	0.832694666	0.848063035	0.909141451	0.849349583	0.822755837	0.875541698	0.867718291	0.955328878	0.880070383	0.874392489	0.864371430	0.981923752	0.891303573	0.891365712	0.984642192	0.962714754	0.909718876	0.954544924	0.975282792	0.875796362	0.972480199	0.884638057	0.959579096	0.890161292	0.980574524	0.871631114	0.973396148	0.977081295	0.991440835	0.890866170	0.897459986	0.958666768	0.972219201	0.889334409
ENBBiya1	0.924813025	0.971683838	0.922665482	0.860551809	0.904926187	0.958324225	0.968920540	0.877994386	0.874618951	0.915955919	0.935545326	1.000000000	0.970060671	0.991040304	0.945405531	0.883845188	0.903788811	0.959638320	0.902639126	0.895954271	0.942624398	0.960938252	0.905150007	0.894633553	0.926162832	0.845021602	0.850907210	0.872038521	0.928775167	0.924392466	0.934077985	0.889440940	0.902773971	0.913666027	0.961348736	0.906972398	0.970832975	0.925886465	0.869575361	0.946473253	0.915612458	0.933899856	0.891348518	0.929272511	0.932545429	0.907530649	0.917197266	0.923940867	0.954420307	0.944869367	0.903603853	0.977988463	0.962298891
FBCBiya8	0.933345647	0.966954971	0.966410040	0.857663938	0.897772565	0.925693568	0.961115384	0.896992935	0.870144109	0.934733588	0.965178145	0.970060671	1.000000000	0.963871484	0.941567925	0.941728306	0.945021971	0.934369499	0.932526630	0.918450758	0.924805150	0.927529666	0.926299005	0.908671587	0.939922056	0.865302020	0.917422582	0.867293029	0.934935443	0.928778250	0.962415481	0.885298807	0.896620589	0.946755824	0.974055727	0.942177885	0.997135064	0.956503444	0.876726246	0.982260066	0.950126183	0.926167200	0.888457195	0.946351221	0.933774324	0.950857073	0.948456618	0.947586411	0.952177656	0.943187472	0.960001380	0.977056908	0.946152035
ICNBiya2	0.915133041	0.975200649	0.927354290	0.884623274	0.927429285	0.972750934	0.953550240	0.895837221	0.898150900	0.911293461	0.933557260	0.991040304	0.963871484	1.000000000	0.939576066	0.883698019	0.888995654	0.950448457	0.897156580	0.884464171	0.929734668	0.975115937	0.897993004	0.885486490	0.911779520	0.869585245	0.851666900	0.897220787	0.921647179	0.914015977	0.933173571	0.910950733	0.922760464	0.912398151	0.967748354	0.899459502	0.962306517	0.930605421	0.892711297	0.936757505	0.901465289	0.943637117	0.907878634	0.934380928	0.924527807	0.906776381	0.926429604	0.925260527	0.943767561	0.937963623	0.903690891	0.981364655	0.953583208
JGYKoshin3	0.884919129	0.905316688	0.881252382	0.832764692	0.893755736	0.926108484	0.949551389	0.892757093	0.836787997	0.962892835	0.895560224	0.945405531	0.941567925	0.939576066	1.000000000	0.876297036	0.936875443	0.964740824	0.957405836	0.943359458	0.962367576	0.923993206	0.958175274	0.945273289	0.964341250	0.843128507	0.850156048	0.853180846	0.965862718	0.961057338	0.893866041	0.859592159	0.867283289	0.875405382	0.933509401	0.957942955	0.953462718	0.909909318	0.866331776	0.932564276	0.938767922	0.861080830	0.885716670	0.884674761	0.974295885	0.879145058	0.903071726	0.882922593	0.973591755	0.995485321	0.898627953	0.927092837	0.949231543
