Segment	STDev
ə	99
¹	67
⁵	50
ɪ	43
a	40
i	35
k	34
ʊ	31
³	30
ŋ	26
ɛ	25
n	24
o	23
m	21
h	20
ʔ	20
⁵¹	19
b	19
j	18
¹⁵	18
d	17
f	17
w	17
ɲ	16
s	15
ts	15
e	15
l	14
ɔ	14
z	14
ɥ	13
ɣ	13
aː	12
dʒ	12
u	12
⁵³	12
ʃ	11
g	11
kʷ	9
t	9
ɦ	9
oː	9
əː	8
ⁿb	7
tʃ	7
eː	7
ʊː	7
kp	6
ɒ	6
ɛː	6
ⁿd	5
iː	5
ʒ	5
ʃʲ	4
ɔː	4
ɒː	4
ŋm	4
bʷ	4
gʷ	4
gb	4
kʲ	4
v	3
kx	3
ɑ	3
ø	3
ɪː	3
fʷ	3
æ	3
tʲ	3
ɨ	3
uː	3
p	3
ɘ	3
œ	3
ɦː	2
mʷ	2
ɛ̃	2
ɘː	2
ũ	2
ɲʲ	2
ŋʷ	2
ã	2
dʒʷ	2
ʊʱ	2
ĩ	2
fʲ	2
¹³	2
uʱ	2
ə̃	1
q	1
ⁿbʷ	1
dʷ	1
ɛ̃ː	1
ɠ	1
β	1
ɲʷ	1
ɨ̃	1
ʒʷ	1
ʊ̃	1
ɪ̃	1
ɪ̃ː	1
ɱ	1
ʉ	1
ʃʷ	1
vʷ	1
r	1
tʷ	1
ɑː	1
õ	1
õː	1
øː	1
ŋˤ	1
œː	1
ⁿt	1
tʃʷ	1
ɔ̃	1
nʷ	0
ẽ	0
tsʷ	0
ʊ̃ː	0
ʊ̤	0
sʷ	0
æ̃	0
æː	0
ãː	0
βʷ	0
ẽː	0
ʊʱː	0
⁴⁵	0
³⁵	0
³¹	0
uːʱ	0
dzʷ	0
²¹	0
zː	0
ⁿdʷ	0
ɔ̃ː	0
kpʳʷ	0
ĩː	0
œ̃	0
ɒ̃	0
tʰ	0
ɨː	0
ɑ̃ː	0
ɑ̃	0
ũː	0
ũʱ	0
ɯ	0
kʰ	0
ɒ̃ː	0
tsː	0
ɳ	0
ŋmʷ	0
kpʷ	0
ə̃ː	0
tˢ	0
ʉʱ	0
ʉː	0
əˠ	0
