Doculect	Segment	Zscore	Normedcount	SalienceScore
ABSMissong1	a	0.56	151	85
ABSMissong1	aː	-0.24	18	-4
ABSMissong1	b	-0.98	52	-51
ABSMissong1	bʷ	-0.66	1	-1
ABSMissong1	d	-0.4	21	-8
ABSMissong1	dzʷ	-0.2	0	0
ABSMissong1	dʒ	-0.24	14	-3
ABSMissong1	dʒʷ	-0.22	0	0
ABSMissong1	dʷ	-0.19	0	0
ABSMissong1	e	-0.38	14	-5
ABSMissong1	eː	-0.18	5	-1
ABSMissong1	f	0.9	67	60
ABSMissong1	fʲ	-0.6	0	0
ABSMissong1	fʷ	-0.59	0	0
ABSMissong1	g	-0.95	6	-6
ABSMissong1	gb	-0.52	8	-4
ABSMissong1	gʷ	-0.31	0	0
ABSMissong1	h	1.05	36	38
ABSMissong1	i	4.16	199	827
ABSMissong1	iː	0.22	8	2
ABSMissong1	j	-0.07	36	-2
ABSMissong1	k	0.58	126	73
ABSMissong1	kp	-0.2	14	-3
ABSMissong1	kpʳʷ	-0.2	0	0
ABSMissong1	kpʷ	-0.14	0	0
ABSMissong1	kx	-0.71	0	0
ABSMissong1	kʰ	-0.14	0	0
ABSMissong1	kʲ	-0.4	0	0
ABSMissong1	kʷ	-0.58	1	-1
ABSMissong1	l	0.75	40	30
ABSMissong1	m	-0.3	85	-25
ABSMissong1	mʷ	-0.56	0	0
ABSMissong1	n	-0.05	104	-5
ABSMissong1	nʷ	-0.2	0	0
ABSMissong1	o	-0.66	24	-16
ABSMissong1	oː	-0.05	9	0
ABSMissong1	p	-0.61	1	-1
ABSMissong1	q	-0.14	0	0
ABSMissong1	r	0.0	1	0
ABSMissong1	s	-0.33	23	-8
ABSMissong1	sʷ	-0.14	0	0
ABSMissong1	t	-1.98	29	-57
ABSMissong1	ts	0.05	19	1
ABSMissong1	tsʷ	-0.24	0	0
ABSMissong1	tsː	-0.14	0	0
ABSMissong1	tʃ	1.72	24	41
ABSMissong1	tʃʷ	1.05	1	1
ABSMissong1	tʰ	-0.24	0	0
ABSMissong1	tʲ	-0.35	0	0
ABSMissong1	tʷ	-0.43	0	0
ABSMissong1	tˢ	-0.14	0	0
ABSMissong1	u	1.28	38	49
