Doculect	Segment	Zscore	Normedcount	SalienceScore
Abar	a	0.62	612	376
Abar	aː	-0.73	59	-43
Abar	b	-0.6	253	-153
Abar	bʷ	1.37	19	26
Abar	d	-0.16	108	-17
Abar	dzʷ	-0.43	0	0
Abar	dʒ	1.14	99	113
Abar	dʒʷ	-0.43	0	0
Abar	dʷ	-0.37	0	0
Abar	e	2.12	164	348
Abar	eː	-0.41	16	-7
Abar	f	-1.74	101	-176
Abar	fʲ	-0.97	0	0
Abar	fʷ	-0.38	3	-1
Abar	g	-1.05	26	-27
Abar	gb	0.33	49	16
Abar	gʷ	-0.47	0	0
Abar	h	1.98	202	399
Abar	i	1.12	353	394
Abar	iː	0.78	38	30
Abar	j	-0.59	128	-75
Abar	k	0.43	503	214
Abar	kp	-1.12	37	-41
Abar	kpʳʷ	-0.29	0	0
Abar	kpʷ	-0.29	0	0
Abar	kx	-0.24	6	-1
Abar	kʰ	-0.29	0	0
Abar	kʲ	-0.67	0	0
Abar	kʷ	-0.28	14	-4
Abar	l	-0.62	96	-60
Abar	m	-0.26	362	-93
Abar	mʷ	-0.42	2	-1
Abar	n	-0.07	421	-30
Abar	nʷ	-0.43	0	0
Abar	o	2.41	300	724
Abar	oː	-0.45	24	-11
Abar	p	-0.3	8	-2
Abar	q	-0.29	0	0
Abar	r	-0.77	1	-1
Abar	s	-1.07	66	-71
Abar	sʷ	-0.29	0	0
Abar	t	0.33	200	66
Abar	ts	-0.77	44	-34
Abar	tsʷ	-0.4	0	0
Abar	tsː	-0.29	0	0
Abar	tʃ	0.24	60	14
Abar	tʃʷ	-0.76	0	0
Abar	tʰ	-0.51	0	0
Abar	tʲ	-0.37	1	0
Abar	tʷ	1.32	4	5
Abar	tˢ	-0.29	0	0
Abar	u	-0.58	77	-45
Abar	uʱ	-0.42	1	0
Abar	uː	-0.02	11	0
Abar	uːʱ	-0.29	0	0
Abar	v	-0.47	0	0
Abar	vʷ	-0.29	0	0
Abar	w	-0.9	120	-108
Abar	z	-0.72	58	-42
Abar	zː	-0.29	0	0
Abar	²¹	-0.29	0	0
Abar	³	-0.84	184	-155
Abar	³¹	-0.43	0	0
Abar	³⁵	3.46	2	7
Abar	¹	0.81	1341	1086
Abar	¹³	-0.15	4	-1
Abar	¹⁵	-0.42	108	-45
Abar	ã	-0.32	1	0
Abar	ãː	-0.54	0	0
Abar	æ	-0.44	0	0
Abar	æː	-0.43	0	0
Abar	æ̃	-0.4	0	0
Abar	õ	2.58	15	39
Abar	õː	-0.46	0	0
Abar	ø	-0.71	0	0
Abar	øː	-0.73	0	0
Abar	ĩ	-0.04	2	0
Abar	ĩː	-0.29	0	0
Abar	ŋ	-0.19	335	-63
Abar	ŋm	-0.47	2	-1
Abar	ŋmʷ	-0.29	0	0
Abar	ŋʷ	-0.25	1	0
Abar	ŋˤ	-0.29	0	0
Abar	œ	-0.45	0	0
Abar	œː	-0.38	0	0
Abar	œ̃	-0.29	0	0
Abar	ũ	-0.32	0	0
Abar	ũʱ	-0.29	0	0
Abar	ũː	-0.37	0	0
Abar	ɑ	-0.42	2	-1
Abar	ɑː	0.53	2	1
Abar	ɑ̃	-0.29	0	0
Abar	ɑ̃ː	-0.29	0	0
Abar	ɒ	-0.41	0	0
Abar	ɒː	-0.47	0	0
Abar	ɒ̃	-0.29	0	0
Abar	ɒ̃ː	-0.29	0	0
Abar	ɔ	0.11	128	14
Abar	ɔː	-0.46	11	-5
Abar	ɔ̃	0.1	1	0
Abar	ɔ̃ː	-0.37	0	0
Abar	ɘ	-0.69	0	0
Abar	ɘː	-0.45	0	0
Abar	ə	-1.1	357	-391
Abar	əː	-1.0	4	-4
Abar	əˠ	-0.29	0	0
Abar	ə̃	0.41	3	1
Abar	ə̃ː	-0.42	0	0
Abar	ɛ	-0.24	80	-19
Abar	ɛː	-1.32	1	-1
Abar	ɛ̃	-0.16	1	0
Abar	ɛ̃ː	-0.43	0	0
Abar	ɠ	-0.29	0	0
Abar	ɣ	-0.47	4	-2
Abar	ɥ	-0.46	11	-5
Abar	ɦ	-0.29	0	0
Abar	ɦː	-0.29	0	0
Abar	ɨ	-0.6	4	-2
Abar	ɨː	0.18	1	0
Abar	ɨ̃	-0.03	1	0
Abar	ɪ	1.24	439	544
Abar	ɪː	0.3	15	4
Abar	ɪ̃	-0.4	0	0
Abar	ɪ̃ː	-0.29	0	0
Abar	ɯ	-0.29	0	0
Abar	ɱ	-0.6	0	0
Abar	ɲ	-0.45	61	-27
Abar	ɲʲ	-1.12	0	0
Abar	ɲʷ	-0.54	0	0
Abar	ɳ	-0.29	0	0
Abar	ʃ	1.79	155	277
Abar	ʃʲ	-0.48	3	-1
Abar	ʃʷ	-0.57	0	0
Abar	ʉ	-0.42	0	0
Abar	ʉʱ	-0.29	0	0
Abar	ʉː	-0.29	0	0
Abar	ʊ	0.92	370	340
Abar	ʊʱ	-0.07	3	0
Abar	ʊʱː	3.46	1	3
Abar	ʊː	-0.73	17	-12
Abar	ʊ̃	-0.48	0	0
Abar	ʊ̃ː	-0.43	0	0
Abar	ʊ̤	-0.29	0	0
Abar	ʒ	-0.13	9	-1
Abar	ʒʷ	-0.29	0	0
Abar	ʔ	-0.53	0	0
Abar	β	-0.5	0	0
Abar	βʷ	-0.29	0	0
Abar	ẽ	-0.39	0	0
Abar	ẽː	-0.29	0	0
Abar	⁴⁵	3.46	1	3
Abar	⁵	0.48	1289	619
Abar	⁵³	-0.64	36	-23
