Doculect	Gloss	Form	Segments	SalienceScore
ABSMissong1	head	i¹fi¹	i ¹ f i ¹	489
AGAMissong2	charcoal	a⁵kɪ⁵	a ⁵ k ɪ ⁵	248
AOMNgun2	boilabscess	ɪ¹fɛ¹	ɪ ¹ f ɛ ¹	260
APBMumfu1	palmmaggotgrub	ŋkŋjɔ³	ŋ k ŋ j ɔ ³	219
BAAMashi4	road	dzɪ³	d z ɪ ³	207
BKBMashi2	bed	a⁵na⁵ŋ	a ⁵ n a ⁵ ŋ	185
BNMKung2	poison	fo⁵kə⁵kɪ⁵kə⁵	f o ⁵ k ə ⁵ k ɪ ⁵ k ə ⁵	257
CENMundabli2	fightv	nɒ³	n ɒ ³	140
DNMMumfu2	partridgeredlegs	mja¹⁵ʔŋ³	m j a ¹⁵ ʔ ŋ ³	170
DPNFang13	palmnut	bə⁵lə³	b ə ⁵ l ə ³	178
ECLAbar8	wear	dʒi¹	dʒ i ¹	192
ENBBiya1	pestlefufu	ʊ⁵fi⁵	ʊ ⁵ f i ⁵	428
FBCBiya8	centipede	ɪ¹fə¹	ɪ ¹ f ə ¹	175
ICNBiya2	casecourtn	ɪ⁵sa⁵	ɪ ⁵ s a ⁵	353
JGYKoshin3	stone	tə⁵	t ə ⁵	194
KBMNgun4	heshe	ʊ¹	ʊ ¹	402
KCSKung3	i	m¹	m ¹	270
KCYBuu2	belt	kə⁵nə⁵kə⁵	k ə ⁵ n ə ⁵ k ə ⁵	479
KDCAjumbu10	feather	gʷa⁵¹ɲnə¹	gʷ a ⁵¹ ɲ n ə ¹	185
KDVFang1	eye	wə³sə³	w ə ³ s ə ³	277
KEMBuu1	belt	kə⁵nə⁵kə⁵	k ə ⁵ n ə ⁵ k ə ⁵	418
KFKMashi1	dysentry	a⁵da⁵	a ⁵ d a ⁵	273
KHKFang12	zinc	gʷə⁵¹lə¹	gʷ ə ⁵¹ l ə ¹	201
KJSFang2	woventray	tsə³	ts ə ³	273
KMNAjumbu2	deitygodgod	kə¹zə¹	k ə ¹ z ə ¹	176
LFNMundabli1	soot	ŋ³kœ³	ŋ ³ k œ ³	275
MCANgun3	youpl	bɛ¹	b ɛ ¹	470
MEAMumfu3	buy	ta¹⁵ŋ	t a ¹⁵ ŋ	158
MNJBuu4	salt	mbə⁵nə⁵	m b ə ⁵ n ə ⁵	166
MRYKoshin2	liver	kə³ɲʲə³	k ə ³ ɲʲ ə ³	206
NACAbar2	animal	i¹ʃi¹	i ¹ ʃ i ¹	207
NCCMumfu4	fireside	tʃɔː⁵³ŋ	tʃ ɔː ⁵³ ŋ	120
NCMMashi5	hair	dzʊː¹⁵	d z ʊː ¹⁵	226
NDNMissong5	yousg	a¹	a ¹	306
NEAMunken1	gizzardfowl	a⁵ʃa⁵ha⁵	a ⁵ ʃ a ⁵ h a ⁵	366
NEMAjumbu9	walk	kʲa¹	kʲ a ¹	188
NFKBiya7	toe	ɪ¹tʃə¹sə¹	ɪ ¹ tʃ ə ¹ s ə ¹	158
NGTMunken3	youpl	ba¹	b a ¹	274
NINMundabli4	bed	jɔ³m	j ɔ ³ m	222
NJNBiya6	lizard	ʊ¹be¹	ʊ ¹ b e ¹	220
NJSKung4	twenty20	m¹ɣə⁵¹mbə¹ɣ	m ¹ ɣ ə ⁵¹ m b ə ¹ ɣ	220
NMAAbar1	pus	ɪ⁵gbe⁵	ɪ ⁵ gb e ⁵	227
NMNMundabli3	workn	na³m	n a ³ m	139
NMSMissong4	burnintrans1	dʒo⁵	dʒ o ⁵	209
NNBBuu3	housefly	kə⁵dʒə⁵ŋə⁵	k ə ⁵ dʒ ə ⁵ ŋ ə ⁵	196
NSFBiya5	stone	ɪ¹ti¹	ɪ ¹ t i ¹	371
NUNMunken4	yousg	a¹	a ¹	280
NVBAbar7	person	o¹no¹	o ¹ n o ¹	182
NVIAjumbu1	ridgefarm	fə⁵mə⁵	f ə ⁵ m ə ⁵	135
TELKoshin4	mother	ɲʲə⁵	ɲʲ ə ⁵	184
TNTMunken2	greensnake	a¹sa¹	a ¹ s a ¹	530
WCANgun1	eye	ɪ⁵dʒɪ⁵hɪ⁵	ɪ ⁵ dʒ ɪ ⁵ h ɪ ⁵	219
ZKGKung1	pimple	fwɔ⁵kə⁵kɔ⁵ʔkə⁵	f w ɔ ⁵ k ə ⁵ k ɔ ⁵ ʔ k ə ⁵	239
