Doculect	Segment	Zscore	Normedcount	SalienceScore
ABSMissong1	i	4.16	199	827
AGAMissong2	ɱ	2.33	2	5
AOMNgun2	ɨ	3.85	14	54
APBMumfu1	ŋ	2.47	145	358
BAAMashi4	³	2.25	132	297
BKBMashi2	p	2.15	9	19
BNMKung2	k	2.09	177	370
CENMundabli2	ɦ	5.29	50	264
DNMMumfu2	j	3.04	90	274
DPNFang13	l	3.13	73	228
ECLAbar8	h	2.99	75	225
ENBBiya1	⁵	2.3	410	941
FBCBiya8	ɛ̃ː	4.67	3	14
ICNBiya2	⁵	2.07	399	827
JGYKoshin3	ⁿb	4.22	30	126
KBMNgun4	b	2.45	118	289
KCSKung3	ɣ	4.11	60	246
KCYBuu2	p	2.15	9	19
KDCAjumbu10	⁵¹	2.92	107	313
KDVFang1	l	2.26	61	138
KEMBuu1	p	2.84	11	31
KFKMashi1	p	2.15	9	19
KHKFang12	l	3.27	75	245
KJSFang2	l	2.69	67	181
KMNAjumbu2	f	2.58	96	248
LFNMundabli1	³	3.23	161	520
MCANgun3	¹	2.11	430	909
MEAMumfu3	ŋ	2.16	137	297
MNJBuu4	eː	5.27	45	237
MRYKoshin2	ã	4.68	10	47
NACAbar2	ʃ	3.09	51	157
NCCMumfu4	ɥ	3.75	57	214
NCMMashi5	d	3.61	89	322
NDNMissong5	o	2.27	91	206
NEAMunken1	ʃ	2.26	42	95
NEMAjumbu9	⁵¹	2.19	93	203
NFKBiya7	fʷ	2.26	9	20
NGTMunken3	b	2.3	115	264
NINMundabli4	³	2.69	145	390
NJNBiya6	æ	5.85	16	94
NJSKung4	ɣ	4.95	71	351
NMAAbar1	e	3.72	73	272
NMNMundabli3	ɒ	4.16	26	108
NMSMissong4	o	2.62	99	259
NNBBuu3	t	2.19	68	149
NSFBiya5	bʷ	2.38	13	31
NUNMunken4	e	3.51	70	246
NVBAbar7	h	2.25	60	135
NVIAjumbu1	ʊʱ	5.49	9	49
TELKoshin4	ⁿb	3.6	26	94
TNTMunken2	¹	2.25	439	987
WCANgun1	ø	4.74	17	81
ZKGKung1	ʔ	2.73	63	172

