Doculect	Segment	Zscore
ABSMissong1	ʊ̤	7.21
AGAMissong2	ɱ	2.33
AOMNgun2	uːʱ	7.21
APBMumfu1	q	7.21
BAAMashi4	dzʷ	5.05
BKBMashi2	ɳ	7.21
BNMKung2	tsː	7.21
CENMundabli2	sʷ	7.21
DNMMumfu2	ŋˤ	7.21
DPNFang13	ⁿdʷ	7.21
ECLAbar8	dʒ	3.3
ENBBiya1	ʊ̃ː	4.1
FBCBiya8	œ̃	7.21
ICNBiya2	kpʷ	7.21
JGYKoshin3	ĩː	7.21
KBMNgun4	kʷ	4.63
KCSKung3	ɣ	4.11
KCYBuu2	æː	5.05
KDCAjumbu10	dʒʷ	6.98
KDVFang1	ɑ̃ː	7.21
KEMBuu1	ə̃ː	5.05
KFKMashi1	βʷ	7.21
KHKFang12	tˢ	7.21
KJSFang2	ɯ	5.05
KMNAjumbu2	uʱ	5.71
LFNMundabli1	œː	5.34
MCANgun3	kʷ	4.08
MEAMumfu3	ɥ	3.82
MNJBuu4	eː	5.27
MRYKoshin2	kʰ	7.21
NACAbar2	³⁵	7.21
NCCMumfu4	ɥ	3.75
NCMMashi5	ɘ	4.93
NDNMissong5	dʒ	2.72
NEAMunken1	ʃ	2.26
NEMAjumbu9	ⁿd	5.09
NFKBiya7	əˠ	7.21
NGTMunken3	mʷ	2.72
NINMundabli4	ʉʱ	7.21
NJNBiya6	ŋmʷ	7.21
NJSKung4	ɣ	4.95
NMAAbar1	ʊʱː	7.21
NMNMundabli3	tʷ	5.46
NMSMissong4	ɛː	2.88
NNBBuu3	ʃʷ	4.26
NSFBiya5	ɛ̃	4.03
NUNMunken4	ɱ	3.72
NVBAbar7	bʷ	2.63
NVIAjumbu1	ʊʱ	5.49
TELKoshin4	β	5.46
TNTMunken2	¹	2.25
WCANgun1	²¹	7.21
ZKGKung1	tʰ	4.08

