	ABSMissong1	AGAMissong2	AOMNgun2	APBMumfu1	BAAMashi4	BKBMashi2	BNMKung2	CENMundabli2	DNMMumfu2	DPNFang13	ECLAbar8	ENBBiya1	FBCBiya8	ICNBiya2	JGYKoshin3	KBMNgun4	KCSKung3	KCYBuu2	KDCAjumbu10	KDVFang1	KEMBuu1	KFKMashi1	KHKFang12	KJSFang2	KMNAjumbu2	LFNMundabli1	MCANgun3	MEAMumfu3	MNJBuu4	MRYKoshin2	NACAbar2	NCCMumfu4	NCMMashi5	NDNMissong5	NEAMunken1	NEMAjumbu9	NFKBiya7	NGTMunken3	NINMundabli4	NJNBiya6	NJSKung4	NMAAbar1	NMNMundabli3	NMSMissong4	NNBBuu3	NSFBiya5	NUNMunken4	NVBAbar7	NVIAjumbu1	TELKoshin4	TNTMunken2	WCANgun1	ZKGKung1
a	151	158	141	131	145	176	86	131	161	78	132	121	122	139	114	118	71	96	177	70	64	182	56	48	107	119	133	169	69	86	152	160	179	171	200	167	104	169	99	113	67	160	119	177	65	168	182	146	124	121	192	137	89
aː	18	15	41	43	32	19	15	17	29	18	12	23	27	34	5	16	6	25	25	12	29	13	14	10	38	33	6	35	45	6	21	43	37	12	22	31	34	3	13	13	8	13	11	27	41	13	4	6	21	7	29	30	6
b	52	63	59	45	73	76	54	83	50	96	60	56	55	65	72	118	58	53	57	59	57	71	73	60	53	53	114	89	106	72	60	92	74	101	74	31	59	115	61	90	57	68	76	83	96	102	91	56	55	66	73	67	53
bʷ	1	0	1	1	11	0	2	4	0	2	14	6	7	1	4	10	3	0	7	0	0	1	4	0	0	1	10	2	0	1	0	2	7	9	0	7	6	4	1	9	2	0	4	7	3	13	4	14	0	3	0	1	2
d	21	15	20	33	84	57	15	48	21	16	14	26	30	35	21	14	37	41	13	38	39	58	20	36	23	45	15	9	20	30	39	9	89	13	25	13	28	14	44	24	34	27	50	18	19	16	13	13	26	14	19	20	12
dzʷ	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
dʒ	14	14	14	12	21	9	1	11	13	12	57	17	11	15	26	9	2	19	7	8	20	11	14	8	14	17	12	13	36	29	12	13	18	50	12	4	12	22	12	13	2	11	11	49	41	13	21	43	15	30	10	12	2
dʒʷ	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
dʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e	14	10	8	10	10	25	16	18	16	12	28	11	10	9	18	6	38	19	2	16	13	27	22	23	7	43	13	30	23	8	15	25	13	22	10	5	14	7	43	13	31	73	33	16	31	6	70	39	3	21	9	9	20
eː	5	4	0	2	13	6	2	15	2	7	11	4	5	3	9	0	2	9	5	1	10	7	9	4	2	9	1	9	45	5	3	25	9	3	2	2	6	1	6	0	3	0	9	15	19	1	1	7	3	7	1	2	4
f	67	54	65	33	67	55	62	43	27	48	25	72	57	61	65	44	64	47	57	76	52	50	43	63	96	29	46	45	61	57	20	45	83	42	31	57	56	29	27	40	59	25	41	31	71	54	27	34	84	70	33	71	68
fʲ	0	0	0	0	2	0	0	0	0	3	0	0	6	0	2	1	2	0	8	0	0	0	5	0	0	0	3	6	0	0	0	8	2	3	0	9	5	0	0	1	0	0	2	3	0	1	0	0	0	2	0	0	0
fʷ	0	0	0	0	15	0	0	0	0	0	3	0	8	0	2	6	2	0	7	0	0	0	0	0	2	0	3	0	0	3	0	0	7	0	0	7	9	0	0	7	3	0	2	1	0	7	0	1	3	0	0	0	1
g	6	7	9	36	11	20	12	20	40	31	10	10	12	9	14	0	8	18	15	34	18	25	29	29	32	28	3	48	18	18	4	43	17	6	11	23	10	12	25	6	8	7	24	6	19	6	7	6	35	14	13	4	11
gb	8	7	9	16	8	9	5	15	17	7	6	11	11	3	9	7	3	15	12	16	18	8	9	9	9	18	10	19	8	20	16	17	9	7	9	9	9	9	16	6	5	13	13	13	8	6	10	7	8	7	9	11	3
gʷ	0	0	0	1	2	0	0	4	0	5	0	0	0	0	0	0	0	0	20	0	0	0	5	1	2	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
h	36	38	48	2	0	0	0	0	3	0	75	21	19	17	0	24	0	1	0	3	0	0	0	0	0	0	25	0	2	1	45	0	0	60	31	0	9	25	16	22	2	36	0	58	2	31	31	60	0	0	7	44	1
i	199	85	49	15	55	71	52	61	23	31	75	83	40	50	42	92	43	24	28	22	27	67	20	24	24	32	110	19	36	20	93	17	41	99	55	29	53	94	38	98	19	87	91	61	47	115	64	86	24	58	92	69	26
iː	8	10	3	12	17	4	5	7	6	5	14	4	5	4	23	13	0	12	0	3	8	3	5	8	2	10	9	9	12	8	8	9	17	10	3	2	2	4	9	7	2	10	4	13	8	1	0	6	1	10	4	6	4
j	36	37	36	85	11	37	22	59	90	33	24	35	25	36	12	21	46	51	10	48	56	39	36	41	45	62	24	54	45	44	34	55	13	20	35	13	25	25	69	28	37	37	71	22	41	31	22	21	45	19	39	36	31
k	126	115	119	113	46	79	177	41	112	87	112	159	127	132	91	84	121	163	128	115	161	81	88	113	157	78	87	84	106	159	124	83	48	102	62	115	127	56	75	120	124	134	32	98	99	121	64	113	143	91	60	121	161
kp	14	24	18	21	8	14	3	26	23	12	11	13	12	21	12	18	2	9	17	20	12	15	11	12	15	24	21	24	20	16	8	28	7	16	16	20	13	13	21	18	0	7	28	16	18	19	16	13	15	12	18	13	4
kpʳʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kpʷ	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kx	0	0	1	0	0	1	5	0	0	8	6	6	0	1	0	0	3	4	0	9	3	2	7	10	1	0	0	0	0	7	1	0	0	0	2	2	0	0	1	4	3	0	0	0	3	0	0	1	1	2	0	0	6
kʰ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kʲ	0	0	0	1	0	0	0	2	0	2	0	0	0	0	5	0	3	0	18	0	0	0	2	0	0	0	0	9	0	0	0	9	0	0	0	23	0	6	0	0	0	0	2	1	0	0	3	0	0	5	0	0	0
