	Abar	Ajumbu	Biya	Buu	Fang	Koshin	Kung	Mashi	Missong	Mumfu	Mundabli	Munken	Ngun
a	612	541	500	308	253	413	331	713	655	617	464	773	550
aː	59	117	108	131	53	24	37	85	71	154	82	80	113
b	253	208	267	285	282	288	225	299	279	252	261	335	320
bʷ	19	8	27	2	4	9	9	11	11	4	7	5	14
d	108	87	111	136	123	98	86	265	70	88	187	79	75
dzʷ	0	0	0	0	0	0	0	1	0	0	1	0	0
dʒ	99	48	53	105	40	117	6	50	103	52	55	56	49
dʒʷ	0	12	0	0	3	0	0	0	0	0	2	0	1
dʷ	0	0	0	0	1	3	0	0	0	0	0	0	0
e	164	19	45	80	74	55	98	90	58	71	155	73	36
eː	16	12	16	68	18	26	11	32	24	28	36	5	3
f	101	326	234	224	248	254	262	238	216	144	130	126	252
fʲ	0	11	13	0	6	3	1	2	4	9	1	0	3
fʷ	3	16	24	0	0	9	4	12	1	0	1	0	5
g	26	119	39	74	127	66	41	83	25	164	103	46	20
gb	49	37	35	56	45	59	16	35	35	68	66	37	38
gʷ	0	26	0	0	9	0	0	1	0	1	6	0	0
h	202	0	73	3	4	2	2	0	180	6	23	84	161
i	353	104	261	125	98	140	144	258	501	74	193	312	293
iː	38	5	15	40	22	50	13	29	40	38	33	13	26
j	128	143	118	203	165	124	131	127	129	312	265	135	131
k	503	575	535	580	426	515	621	291	465	420	262	247	449
kp	37	65	60	55	59	57	10	52	73	96	97	66	67
kpʳʷ	0	2	0	0	0	0	0	0	0	0	0	0	0
kpʷ	0	0	1	0	0	0	0	0	0	0	0	0	0
kx	6	3	6	12	36	16	19	5	0	0	1	3	2
kʰ	0	0	0	0	0	2	0	0	0	0	0	0	0
kʲ	0	25	0	0	3	10	2	0	1	14	2	5	0
kʷ	14	18	39	9	19	19	10	7	8	3	20	11	57
l	96	116	103	109	275	107	142	98	149	143	82	147	77
m	362	267	368	364	398	354	373	434	343	488	489	336	330
mʷ	2	5	1	2	0	0	2	2	6	3	6	10	2
n	421	361	425	564	442	371	203	487	358	501	549	453	421
nʷ	0	1	0	0	0	0	0	0	0	0	1	0	0
o	300	161	79	122	102	66	124	127	202	199	194	72	163
oː	24	35	26	89	18	12	30	51	31	49	36	10	18
p	8	3	6	39	3	2	18	33	6	10	2	9	9
q	0	0	0	0	0	0	0	0	0	9	0	0	0
r	1	2	3	2	3	7	1	19	1	6	2	7	6
s	66	164	128	178	172	48	221	95	87	69	142	121	73
sʷ	0	0	0	0	0	0	0	0	0	0	1	0	0
t	200	130	196	231	209	183	196	256	138	183	184	147	201
ts	44	62	22	60	80	117	90	160	59	82	174	38	36
tsʷ	0	0	0	0	0	0	1	0	0	0	2	0	0
tsː	0	0	0	0	0	0	2	0	0	0	0	0	0
tʃ	60	33	51	52	61	47	15	63	77	74	93	46	49
tʃʷ	0	1	0	0	1	0	0	2	1	3	1	0	0
tʰ	0	0	0	0	0	2	1	1	0	0	0	0	0
tʲ	1	0	7	2	1	31	8	1	0	1	0	0	0
tʷ	4	2	1	0	1	5	0	2	0	0	5	0	0
tˢ	0	0	0	0	1	0	0	0	0	0	0	0	0
u	77	99	72	69	163	119	120	92	95	42	126	65	93
uʱ	1	32	3	2	3	5	1	0	2	3	3	0	2
uː	11	16	9	7	3	19	15	9	20	6	12	5	12
uːʱ	0	0	0	0	0	0	0	0	0	0	0	0	1
v	0	42	0	0	18	0	12	0	0	0	0	0	1
vʷ	0	5	0	0	0	0	0	0	0	0	0	0	0
w	120	171	90	105	142	171	182	197	111	156	207	151	162
z	58	115	56	52	56	64	135	201	65	85	135	73	61
zː	0	0	0	0	0	0	1	0	0	0	0	0	0
²¹	0	0	0	0	0	0	0	0	0	0	0	0	1
³	184	177	227	175	388	337	172	368	241	404	542	195	215
³¹	0	0	0	0	0	0	0	0	0	1	0	0	1
³⁵	2	0	0	0	0	0	0	0	0	0	0	0	0
¹	1341	1218	1323	978	1091	1065	1144	787	1328	841	951	1551	1447
¹³	4	1	3	8	12	0	2	8	5	8	7	0	1
¹⁵	108	67	106	119	140	97	73	235	161	202	214	72	104
ã	1	0	7	2	3	33	0	0	0	1	2	0	0
ãː	0	0	1	2	0	5	2	0	0	0	0	0	0
æ	0	0	12	0	0	21	2	0	0	0	0	0	0
æː	0	0	1	1	0	0	0	0	0	0	0	0	0
æ̃	0	0	1	0	0	2	0	0	0	0	0	0	0
õ	15	0	0	0	4	12	0	0	0	0	0	0	1
õː	0	0	1	7	0	7	0	0	0	0	0	0	0
ø	0	4	1	1	10	31	9	0	1	3	9	1	37
øː	0	0	0	0	3	0	1	0	2	3	0	0	2
ĩ	2	0	1	1	0	26	0	0	0	0	0	0	0
ĩː	0	0	0	0	0	2	0	0	0	0	0	0	0
ŋ	335	388	294	327	349	342	271	345	285	547	515	294	268
ŋm	2	3	11	1	57	7	2	6	1	4	15	1	4
ŋmʷ	0	0	1	0	0	0	0	0	0	0	0	0	0
ŋʷ	1	13	0	3	0	0	1	3	1	0	2	0	0
ŋˤ	0	0	0	0	0	0	0	0	0	9	0	0	0
œ	0	0	0	0	3	0	6	1	4	1	52	3	9
œː	0	0	0	0	0	0	3	0	0	0	8	0	0
œ̃	0	0	1	0	0	0	0	0	0	0	0	0	0
ũ	0	0	2	1	0	26	0	0	0	0	0	0	0
ũʱ	0	0	0	0	0	2	0	0	0	0	0	0	0
ũː	0	0	1	0	0	3	0	0	0	0	0	0	0
ɑ	2	1	3	0	14	16	5	1	0	0	27	0	1
ɑː	2	0	1	0	6	2	1	0	0	0	1	0	2
ɑ̃	0	0	0	0	0	2	0	0	0	0	0	0	0
ɑ̃ː	0	0	0	0	1	0	0	0	0	0	0	0	0
ɒ	0	0	0	0	6	7	3	2	0	0	58	2	2
ɒː	0	0	0	0	10	10	0	0	0	0	27	0	0
ɒ̃	0	0	0	0	0	3	0	0	0	0	0	0	0
ɒ̃ː	0	0	0	0	0	3	0	0	0	0	0	0	0
ɔ	128	104	112	47	85	112	153	123	75	199	211	123	131
ɔː	11	11	13	10	4	7	23	9	16	67	24	16	24
ɔ̃	1	0	0	0	0	9	0	0	0	0	0	0	0
ɔ̃ː	0	0	0	1	0	3	0	0	0	0	0	0	0
ɘ	0	1	0	0	6	0	10	9	0	1	5	0	0
ɘː	0	0	0	0	14	0	8	1	0	0	1	0	0
ə	357	1176	858	1371	1438	1205	1112	569	454	260	386	667	492
əː	4	19	18	23	53	19	71	28	14	18	18	6	2
əˠ	0	0	1	0	0	0	0	0	0	0	0	0	0
ə̃	3	0	3	4	0	9	0	1	3	0	0	1	2
ə̃ː	0	0	0	2	0	3	0	0	0	0	0	0	0
ɛ	80	69	70	50	63	40	36	6	42	312	126	182	236
ɛː	1	24	14	8	39	26	54	4	59	64	43	12	19
ɛ̃	1	0	10	0	3	5	0	0	0	0	0	0	0
ɛ̃ː	0	0	5	0	0	5	0	0	0	0	0	0	0
ɠ	0	0	0	0	0	0	0	0	0	10	0	0	0
ɣ	4	12	3	5	62	7	138	44	0	1	7	1	2
ɥ	11	67	26	5	3	33	8	3	2	95	8	45	4
ɦ	0	0	0	0	0	0	0	0	0	0	103	0	0
ɦː	0	0	0	0	0	0	0	0	0	0	8	0	0
ɨ	4	16	4	1	32	7	19	1	0	5	13	2	28
ɨː	1	0	0	1	1	5	1	0	0	0	0	0	1
ɨ̃	1	0	2	0	0	2	0	0	0	0	0	0	9
