	ABSMissong1	AGAMissong2	AOMNgun2	APBMumfu1	BAAMashi4	BKBMashi2	BNMKung2	CENMundabli2	DNMMumfu2	DPNFang13	ECLAbar8	ENBBiya1	FBCBiya8	ICNBiya2	JGYKoshin3	KBMNgun4	KCSKung3	KCYBuu2	KDCAjumbu10	KDVFang1	KEMBuu1	KFKMashi1	KHKFang12	KJSFang2	KMNAjumbu2	LFNMundabli1	MCANgun3	MEAMumfu3	MNJBuu4	MRYKoshin2	NACAbar2	NCCMumfu4	NCMMashi5	NDNMissong5	NEAMunken1	NEMAjumbu9	NFKBiya7	NGTMunken3	NINMundabli4	NJNBiya6	NJSKung4	NMAAbar1	NMNMundabli3	NMSMissong4	NNBBuu3	NSFBiya5	NUNMunken4	NVBAbar7	NVIAjumbu1	TELKoshin4	TNTMunken2	WCANgun1	ZKGKung1
ABSMissong1	0.000000000	0.049076396	0.052683104	0.143005887	0.108206432	0.091028092	0.111662838	0.096357875	0.120301512	0.140685796	0.048940490	0.075186975	0.066654353	0.084866959	0.115080871	0.062435614	0.121445375	0.156467359	0.120388516	0.170912194	0.169311422	0.092222478	0.164080960	0.184426797	0.126971026	0.126243698	0.065657251	0.139297121	0.140023246	0.149231706	0.037490464	0.127212236	0.110770005	0.044332850	0.065337303	0.109601168	0.069954742	0.060411809	0.118646860	0.048830591	0.142880528	0.058986825	0.088791910	0.064701940	0.141985638	0.043279568	0.063104576	0.052416822	0.118290565	0.109432243	0.045446936	0.050937110	0.138092668
AGAMissong2	0.049076396	0.000000000	0.036073765	0.116682259	0.083267407	0.043281239	0.069485437	0.096713498	0.094400590	0.122456796	0.030086888	0.028316162	0.033045029	0.024799351	0.094683312	0.072007104	0.122388804	0.106438798	0.113549637	0.156808939	0.130294364	0.039581203	0.145319246	0.166259698	0.117740732	0.123200618	0.096420499	0.097625290	0.122907319	0.121260368	0.030748557	0.085090525	0.070810065	0.035406468	0.022515835	0.106881417	0.042899883	0.038988957	0.109150127	0.043535940	0.116859391	0.025765229	0.087935956	0.026083323	0.123126826	0.049472238	0.041827155	0.033233556	0.089473945	0.092343518	0.061865683	0.010372591	0.074279757
AOMNgun2	0.052683104	0.036073765	0.000000000	0.114773884	0.123489159	0.100346499	0.097213805	0.099233550	0.097960365	0.138878036	0.020614551	0.077334518	0.033589960	0.072645710	0.118747618	0.029105769	0.100094907	0.150558205	0.102613738	0.157926889	0.164362564	0.098503528	0.157751609	0.176658125	0.112848087	0.105807737	0.037970252	0.109898726	0.136433307	0.132822182	0.020553574	0.097287763	0.110224897	0.030125663	0.040740767	0.091626273	0.045367699	0.034197390	0.105945651	0.033247774	0.107491249	0.049684851	0.108877736	0.038706599	0.144334275	0.021185299	0.031923795	0.022970722	0.103425797	0.114401674	0.030819132	0.026054993	0.111763443
APBMumfu1	0.143005887	0.116682259	0.114773884	0.000000000	0.110501381	0.089464340	0.167351414	0.081086496	0.011555073	0.177900420	0.138048196	0.139448191	0.142336062	0.115376726	0.167235308	0.169025764	0.185245666	0.170181287	0.180271123	0.184372949	0.187749982	0.092144491	0.201496500	0.195107744	0.164319815	0.038489404	0.171109658	0.038865334	0.172672050	0.147851097	0.118565809	0.051068845	0.121111469	0.165389629	0.126925867	0.178454351	0.146117762	0.152378890	0.042301528	0.160766753	0.198906918	0.115134291	0.078530494	0.147568310	0.192388494	0.166025405	0.128318548	0.127473961	0.131732534	0.169335889	0.146319528	0.115238014	0.168343971
BAAMashi4	0.108206432	0.083267407	0.123489159	0.110501381	0.000000000	0.039517642	0.136582510	0.065820947	0.109054037	0.116964034	0.118667205	0.095073813	0.102227435	0.072570715	0.106244264	0.148116618	0.155486511	0.137952534	0.153271436	0.160994500	0.155503572	0.043781956	0.142558754	0.161456289	0.153417744	0.091678119	0.167246001	0.103035649	0.126997160	0.138438953	0.109824940	0.107415615	0.020036586	0.119261747	0.089507404	0.150111692	0.105537349	0.117074081	0.084111917	0.116523714	0.160720843	0.107344458	0.061048694	0.104319981	0.128987274	0.142054908	0.108077841	0.129302848	0.121933010	0.110395466	0.122639981	0.090633174	0.143478937
BKBMashi2	0.091028092	0.043281239	0.100346499	0.089464340	0.039517642	0.000000000	0.089486686	0.065998945	0.077406056	0.102829756	0.095090550	0.041675775	0.074306432	0.027249066	0.073891516	0.136101366	0.135014922	0.079548275	0.118611623	0.132713981	0.102160917	0.001248931	0.124652454	0.133442396	0.114180639	0.088398415	0.161378575	0.072117904	0.098831883	0.099850096	0.078905140	0.070930381	0.041816347	0.102253601	0.047376216	0.120577226	0.075125620	0.084461418	0.073745468	0.090798437	0.131483264	0.063758144	0.052252392	0.080472466	0.099922991	0.116614185	0.080058543	0.094476967	0.073278323	0.077841055	0.105303777	0.047241709	0.086191750
BNMKung2	0.111662838	0.069485437	0.097213805	0.167351414	0.136582510	0.089486686	0.000000000	0.148148291	0.159160233	0.059188785	0.095416981	0.031079460	0.038884616	0.046449760	0.050448611	0.128629560	0.047710131	0.038861128	0.074193623	0.068558986	0.045159941	0.087843636	0.063617235	0.070217345	0.041120289	0.180685808	0.159760695	0.160438886	0.060996790	0.050582349	0.091074532	0.142638695	0.149914654	0.112174551	0.069740580	0.067862773	0.032141758	0.104097073	0.157613845	0.063900494	0.036188176	0.114168411	0.153138096	0.104129946	0.057197031	0.115550142	0.115707861	0.109799462	0.031302484	0.047048878	0.113230176	0.055600646	0.007482383
CENMundabli2	0.096357875	0.096713498	0.099233550	0.081086496	0.065820947	0.065998945	0.148148291	0.000000000	0.078870616	0.113424500	0.110646324	0.122005614	0.103007065	0.104162779	0.107242907	0.107610738	0.124398717	0.139991905	0.119923990	0.140131391	0.147743122	0.071869652	0.136120484	0.148085319	0.131889778	0.058439861	0.114724638	0.065499898	0.104349696	0.124942759	0.084457597	0.065783539	0.084645179	0.109020919	0.092810458	0.121320620	0.101192505	0.096706457	0.043436842	0.103904075	0.141445575	0.102505121	0.014907219	0.106117486	0.121710722	0.112177974	0.091064774	0.102265952	0.111660138	0.107682479	0.092892621	0.095083333	0.157423618
DNMMumfu2	0.120301512	0.094400590	0.097960365	0.011555073	0.109054037	0.077406056	0.159160233	0.078870616	0.000000000	0.184740964	0.114676849	0.125381049	0.129855891	0.101849100	0.163212003	0.145779432	0.182079169	0.172598622	0.169287845	0.204923905	0.195479304	0.078675309	0.209336435	0.217111547	0.168033440	0.050998227	0.149005524	0.032503742	0.177826816	0.162223079	0.097093159	0.036054477	0.102866834	0.132105116	0.103958969	0.166434266	0.137793128	0.127928590	0.052387761	0.146564319	0.193845938	0.084980289	0.072113280	0.114801091	0.195670018	0.138645869	0.103524692	0.102465589	0.132718805	0.167433151	0.123286738	0.096438807	0.160371476
DPNFang13	0.140685796	0.122456796	0.138878036	0.177900420	0.116964034	0.102829756	0.059188785	0.113424500	0.184740964	0.000000000	0.129056779	0.084044081	0.065266412	0.088706539	0.037107165	0.135788299	0.049277209	0.049093030	0.064748453	0.023244778	0.041465536	0.107558869	0.007543540	0.019444517	0.044430199	0.156056510	0.161150033	0.162610711	0.025214700	0.033693561	0.128969950	0.164516148	0.158045927	0.143404179	0.096682994	0.063775254	0.049852197	0.120605625	0.135478805	0.077117815	0.047728892	0.181712685	0.127461908	0.142640899	0.022085612	0.151469279	0.132823009	0.155594169	0.041939488	0.034990489	0.115945259	0.106221973	0.068715456
