	Abar	Ajumbu	Biya	Buu	Fang	Koshin	Kung	Mashi	Missong	Mumfu	Mundabli	Munken	Ngun
Abar	0.000000000	0.105681621	0.035491083	0.137201544	0.169449163	0.116347685	0.096993253	0.068018565	0.011071964	0.088418072	0.088350617	0.027324590	0.015510409
Ajumbu	0.105681621	0.000000000	0.043914291	0.032331825	0.037258567	0.015316447	0.029374554	0.097248442	0.094024106	0.135005077	0.121402044	0.075102133	0.082000939
Biya	0.035491083	0.043914291	0.000000000	0.055178311	0.075690319	0.048236218	0.034621718	0.057357201	0.027430740	0.111788195	0.101817739	0.025311308	0.022080108
Buu	0.137201544	0.032331825	0.055178311	0.000000000	0.028238670	0.021274194	0.037938310	0.096879198	0.127354055	0.162614734	0.143666748	0.114891550	0.121063831
Fang	0.169449163	0.037258567	0.075690319	0.028238670	0.000000000	0.023044769	0.046989349	0.128030626	0.150735607	0.182558146	0.136385217	0.125420175	0.137088403
Koshin	0.116347685	0.015316447	0.048236218	0.021274194	0.023044769	0.000000000	0.031884252	0.085830007	0.102810293	0.140778868	0.111477185	0.088668256	0.095674209
Kung	0.096993253	0.029374554	0.034621718	0.037938310	0.046989349	0.031884252	0.000000000	0.097729251	0.087458647	0.150725834	0.142918791	0.084116710	0.078610125
Mashi	0.068018565	0.097248442	0.057357201	0.096879198	0.128030626	0.085830007	0.097729251	0.000000000	0.057144505	0.070024176	0.061257313	0.068414499	0.077348468
Missong	0.011071964	0.094024106	0.027430740	0.127354055	0.150735607	0.102810293	0.087458647	0.057144505	0.000000000	0.098837778	0.092904297	0.023055876	0.015917192
Mumfu	0.088418072	0.135005077	0.111788195	0.162614734	0.182558146	0.140778868	0.150725834	0.070024176	0.098837778	0.000000000	0.039715613	0.103741711	0.095715230
Mundabli	0.088350617	0.121402044	0.101817739	0.143666748	0.136385217	0.111477185	0.142918791	0.061257313	0.092904297	0.039715613	0.000000000	0.094080028	0.090676328
Munken	0.027324590	0.075102133	0.025311308	0.114891550	0.125420175	0.088668256	0.084116710	0.068414499	0.023055876	0.103741711	0.094080028	0.000000000	0.015838160
Ngun	0.015510409	0.082000939	0.022080108	0.121063831	0.137088403	0.095674209	0.078610125	0.077348468	0.015917192	0.095715230	0.090676328	0.015838160	0.000000000
