	Doculect1	Doculect2	cosDistance
265	BKBMashi2	KFKMashi1	0.998751069
581	FBCBiya8	NFKBiya7	0.997135064
820	KDVFang1	KJSFang2	0.995555045
671	JGYKoshin3	TELKoshin4	0.995485321
750	KCYBuu2	KEMBuu1	0.995437871
799	KDCAjumbu10	NEMAjumbu9	0.994591582
1093	MNJBuu4	NNBBuu3	0.993999581
685	KBMNgun4	MCANgun3	0.993358090
735	KCSKung3	NJSKung4	0.992999672
342	BNMKung2	ZKGKung1	0.992517617
444	DPNFang13	KHKFang12	0.992456460
511	ECLAbar8	NVBAbar7	0.991440835
518	ENBBiya1	ICNBiya2	0.991040304
995	KMNAjumbu2	NVIAjumbu1	0.990492029
1197	NDNMissong5	NMSMissong4	0.990027035
101	AGAMissong2	WCANgun1	0.989627409
1012	LFNMundabli1	NINMundabli4	0.989193977
1266	NGTMunken3	NUNMunken4	0.988449859
157	APBMumfu1	DNMMumfu2	0.988444927
1056	MEAMumfu3	NCCMumfu4	0.988023787
377	CENMundabli2	NMNMundabli3	0.985092781
497	ECLAbar8	NDNMissong5	0.984642192
913	KHKFang12	KJSFang2	0.983514465
1141	NACAbar2	NVBAbar7	0.983497672
584	FBCBiya8	NJNBiya6	0.982260066
704	KBMNgun4	NSFBiya5	0.982100231
494	ECLAbar8	NACAbar2	0.981923752
635	ICNBiya2	WCANgun1	0.981364655
1244	NFKBiya7	NJNBiya6	0.981244736
1265	NGTMunken3	NSFBiya5	0.980956524
873	KEMBuu1	NNBBuu3	0.980647232
507	ECLAbar8	NMSMissong4	0.980574524
445	DPNFang13	KJSFang2	0.980555483
1127	NACAbar2	NDNMissong5	0.980046371
1223	NEAMunken1	WCANgun1	0.980021541
229	BAAMashi4	NCMMashi5	0.979963414
1201	NDNMissong5	NVBAbar7	0.979774359
130	AOMNgun2	NACAbar2	0.979446426
110	AOMNgun2	ECLAbar8	0.979385449
1336	NMSMissong4	NVBAbar7	0.979056121
1357	NUNMunken4	NVBAbar7	0.978870863
145	AOMNgun2	NSFBiya5	0.978814701
1120	MRYKoshin2	NVIAjumbu1	0.978692747
819	KDVFang1	KHKFang12	0.978368304
556	ENBBiya1	WCANgun1	0.977988463
466	DPNFang13	NNBBuu3	0.977914388
826	KDVFang1	MRYKoshin2	0.977791650
857	KEMBuu1	MNJBuu4	0.977674695
84	AGAMissong2	NEAMunken1	0.977484165
510	ECLAbar8	NUNMunken4	0.977081295
596	FBCBiya8	WCANgun1	0.977056908
147	AOMNgun2	NVBAbar7	0.977029278
1045	MCANgun3	NSFBiya5	0.976938833
441	DPNFang13	KDVFang1	0.976755222
1292	NJNBiya6	NSFBiya5	0.976705548
1199	NDNMissong5	NSFBiya5	0.976358385
934	KHKFang12	NNBBuu3	0.976261138
1368	NVIAjumbu1	TELKoshin4	0.975368017
501	ECLAbar8	NGTMunken3	0.975282792
63	AGAMissong2	ICNBiya2	0.975200649
605	ICNBiya2	KFKMashi1	0.975115937
1209	NEAMunken1	NGTMunken3	0.974999353
976	KMNAjumbu2	MRYKoshin2	0.974958841
1137	NACAbar2	NMSMissong4	0.974829115
450	DPNFang13	MNJBuu4	0.974785300
948	KJSFang2	MRYKoshin2	0.974516290
696	KBMNgun4	NGTMunken3	0.974480476
1346	NNBBuu3	TELKoshin4	0.974330843
666	JGYKoshin3	NNBBuu3	0.974295885
91	AGAMissong2	NMAAbar1	0.974234771
579	FBCBiya8	NEAMunken1	0.974055727
151	AOMNgun2	WCANgun1	0.973945007
93	AGAMissong2	NMSMissong4	0.973916677
1267	NGTMunken3	NVBAbar7	0.973829669
778	KCYBuu2	NVIAjumbu1	0.973714527
1259	NGTMunken3	NJNBiya6	0.973712637
670	JGYKoshin3	NVIAjumbu1	0.973591755
509	ECLAbar8	NSFBiya5	0.973396148
774	KCYBuu2	NNBBuu3	0.973248626
1351	NSFBiya5	NVBAbar7	0.972949144
257	BKBMashi2	ICNBiya2	0.972750934
503	ECLAbar8	NJNBiya6	0.972480199
515	ECLAbar8	WCANgun1	0.972219201
1139	NACAbar2	NSFBiya5	0.972174332
1350	NSFBiya5	NUNMunken4	0.971983123
1317	NMAAbar1	NVBAbar7	0.971687869
61	AGAMissong2	ENBBiya1	0.971683838
877	KEMBuu1	NVIAjumbu1	0.971378607
1256	NFKBiya7	WCANgun1	0.970928830
115	AOMNgun2	KBMNgun4	0.970894231
541	ENBBiya1	NFKBiya7	0.970832975
758	KCYBuu2	MNJBuu4	0.970819897
1218	NEAMunken1	NUNMunken4	0.970618945
918	KHKFang12	MNJBuu4	0.970539004
698	KBMNgun4	NJNBiya6	0.970421662
1135	NACAbar2	NMAAbar1	0.970212769
517	ENBBiya1	FBCBiya8	0.970060671
60	AGAMissong2	ECLAbar8	0.969913112
133	AOMNgun2	NDNMissong5	0.969874337
692	KBMNgun4	NDNMissong5	0.969720790
1191	NDNMissong5	NGTMunken3	0.969642388
963	KJSFang2	NNBBuu3	0.969453152
996	KMNAjumbu2	TELKoshin4	0.969267488
80	AGAMissong2	NACAbar2	0.969251443
150	AOMNgun2	TNTMunken2	0.969180868
852	KEMBuu1	KJSFang2	0.969175040
821	KDVFang1	KMNAjumbu2	0.968991417
1354	NSFBiya5	TNTMunken2	0.968981215
1270	NGTMunken3	TNTMunken2	0.968935661
301	BNMKung2	ENBBiya1	0.968920540
338	BNMKung2	NVIAjumbu1	0.968697516
1297	NJNBiya6	TNTMunken2	0.968645900
479	ECLAbar8	KBMNgun4	0.968448555
1200	NDNMissong5	NUNMunken4	0.968336946
1366	NVBAbar7	WCANgun1	0.968305809
1271	NGTMunken3	WCANgun1	0.968305721
146	AOMNgun2	NUNMunken4	0.968076205
1133	NACAbar2	NJNBiya6	0.967993233
1145	NACAbar2	WCANgun1	0.967932400
1208	NEAMunken1	NFKBiya7	0.967871698
326	BNMKung2	NFKBiya7	0.967858242
618	ICNBiya2	NEAMunken1	0.967748354
406	DNMMumfu2	MEAMumfu3	0.967496258
1144	NACAbar2	TNTMunken2	0.967180628
62	AGAMissong2	FBCBiya8	0.966954971
97	AGAMissong2	NVBAbar7	0.966766444
139	AOMNgun2	NJNBiya6	0.966752226
845	KDVFang1	NVIAjumbu1	0.966720822
1222	NEAMunken1	TNTMunken2	0.966667722
1313	NMAAbar1	NMSMissong4	0.966627094
112	AOMNgun2	FBCBiya8	0.966410040
705	KBMNgun4	NUNMunken4	0.966343386
451	DPNFang13	MRYKoshin2	0.966306439
1298	NJNBiya6	WCANgun1	0.966250129
1360	NUNMunken4	TNTMunken2	0.966208840
650	JGYKoshin3	MNJBuu4	0.965862718
137	AOMNgun2	NGTMunken3	0.965802610
1131	NACAbar2	NGTMunken3	0.965697219
706	KBMNgun4	NVBAbar7	0.965691083
1335	NMSMissong4	NUNMunken4	0.965614987
858	KEMBuu1	MRYKoshin2	0.965436328
947	KJSFang2	MNJBuu4	0.965324792
1098	MNJBuu4	TELKoshin4	0.965222542
476	ECLAbar8	FBCBiya8	0.965178145
471	DPNFang13	TELKoshin4	0.965009511
1321	NMAAbar1	WCANgun1	0.964937112
1340	NMSMissong4	WCANgun1	0.964802395
982	KMNAjumbu2	NEMAjumbu9	0.964766723
639	JGYKoshin3	KCYBuu2	0.964740824
1140	NACAbar2	NUNMunken4	0.964701473
1371	NVIAjumbu1	ZKGKung1	0.964636002
83	AGAMissong2	NDNMissong5	0.964593532
709	KBMNgun4	TNTMunken2	0.964505889
646	JGYKoshin3	KMNAjumbu2	0.964341250
919	KHKFang12	MRYKoshin2	0.963990111
410	DNMMumfu2	NCCMumfu4	0.963945523
52	AGAMissong2	AOMNgun2	0.963926235
558	FBCBiya8	ICNBiya2	0.963871484
330	BNMKung2	NJSKung4	0.963811824
1263	NGTMunken3	NMSMissong4	0.963707143
1361	NUNMunken4	WCANgun1	0.963627036
1128	NACAbar2	NEAMunken1	0.963564888
1121	MRYKoshin2	TELKoshin4	0.963411511
779	KCYBuu2	TELKoshin4	0.963322987
1345	NNBBuu3	NVIAjumbu1	0.963309481
1193	NDNMissong5	NJNBiya6	0.963161645
436	DPNFang13	JGYKoshin3	0.962892835
841	KDVFang1	NNBBuu3	0.962759289
498	ECLAbar8	NEAMunken1	0.962714754
1253	NFKBiya7	NVIAjumbu1	0.962693220
29	ABSMissong1	NACAbar2	0.962509536
1238	NEMAjumbu9	TELKoshin4	0.962453091
575	FBCBiya8	NACAbar2	0.962415481
1097	MNJBuu4	NVIAjumbu1	0.962380480
642	JGYKoshin3	KEMBuu1	0.962367576
620	ICNBiya2	NFKBiya7	0.962306517
557	ENBBiya1	ZKGKung1	0.962298891
689	KBMNgun4	NACAbar2	0.962110814
126	AOMNgun2	MCANgun3	0.962029748
1293	NJNBiya6	NUNMunken4	0.961859687
1116	MRYKoshin2	NNBBuu3	0.961660527
813	KDCAjumbu10	TELKoshin4	0.961606374
174	APBMumfu1	LFNMundabli1	0.961510596
817	KDVFang1	KEMBuu1	0.961399015
539	ENBBiya1	NEAMunken1	0.961348736
143	AOMNgun2	NMSMissong4	0.961293401
825	KDVFang1	MNJBuu4	0.961250153
307	BNMKung2	KCYBuu2	0.961138872
782	KCYBuu2	ZKGKung1	0.961135389
176	APBMumfu1	MEAMumfu3	0.961134666
302	BNMKung2	FBCBiya8	0.961115384
651	JGYKoshin3	MRYKoshin2	0.961057338
87	AGAMissong2	NGTMunken3	0.961011043
526	ENBBiya1	KFKMashi1	0.960938252
851	KEMBuu1	KHKFang12	0.960846697
788	KDCAjumbu10	KMNAjumbu2	0.960549646
878	KEMBuu1	TELKoshin4	0.960492853
202	BAAMashi4	BKBMashi2	0.960482358
71	AGAMissong2	KFKMashi1	0.960418797
991	KMNAjumbu2	NNBBuu3	0.960162834
1211	NEAMunken1	NJNBiya6	0.960059707
595	FBCBiya8	TNTMunken2	0.960001380
1033	MCANgun3	NDNMissong5	0.959930280
1078	MNJBuu4	MRYKoshin2	0.959896333
1037	MCANgun3	NGTMunken3	0.959885320
522	ENBBiya1	KCYBuu2	0.959638320
505	ECLAbar8	NMAAbar1	0.959579096
1245	NFKBiya7	NJSKung4	0.959543842
853	KEMBuu1	KMNAjumbu2	0.959525688
134	AOMNgun2	NEAMunken1	0.959259233
1355	NSFBiya5	WCANgun1	0.959170822
759	KCYBuu2	MRYKoshin2	0.959167555
1050	MCANgun3	TNTMunken2	0.959089464
1215	NEAMunken1	NMSMissong4	0.958966224
314	BNMKung2	KMNAjumbu2	0.958879711
967	KJSFang2	NVIAjumbu1	0.958814112
514	ECLAbar8	TNTMunken2	0.958666768
442	DPNFang13	KEMBuu1	0.958534464
255	BKBMashi2	ENBBiya1	0.958324225
943	KJSFang2	KMNAjumbu2	0.958301065
276	BKBMashi2	NCMMashi5	0.958183653
644	JGYKoshin3	KHKFang12	0.958175274
96	AGAMissong2	NUNMunken4	0.958172845
470	DPNFang13	NVIAjumbu1	0.958060512
1237	NEMAjumbu9	NVIAjumbu1	0.958029523
657	JGYKoshin3	NEMAjumbu9	0.957942955
975	KMNAjumbu2	MNJBuu4	0.957809277
939	KHKFang12	TELKoshin4	0.957742683
187	APBMumfu1	NINMundabli4	0.957698472
1204	NDNMissong5	TNTMunken2	0.957640092
1276	NINMundabli4	NMNMundabli3	0.957451458
640	JGYKoshin3	KDCAjumbu10	0.957405836
1195	NDNMissong5	NMAAbar1	0.957211417
86	AGAMissong2	NFKBiya7	0.957100117
894	KFKMashi1	NEAMunken1	0.957038666
1046	MCANgun3	NUNMunken4	0.957036639
1205	NDNMissong5	WCANgun1	0.956911298
44	ABSMissong1	NSFBiya5	0.956720432
55	AGAMissong2	BKBMashi2	0.956718761
930	KHKFang12	NJSKung4	0.956659098
1334	NMSMissong4	NSFBiya5	0.956641710
373	CENMundabli2	NINMundabli4	0.956563158
582	FBCBiya8	NGTMunken3	0.956503444
89	AGAMissong2	NJNBiya6	0.956464060
1047	MCANgun3	NVBAbar7	0.956377956
1294	NJNBiya6	NVBAbar7	0.956370801
218	BAAMashi4	KFKMashi1	0.956218044
892	KFKMashi1	NCMMashi5	0.956157630
812	KDCAjumbu10	NVIAjumbu1	0.955961747
753	KCYBuu2	KJSFang2	0.955912444
754	KCYBuu2	KMNAjumbu2	0.955702165
32	ABSMissong1	NDNMissong5	0.955667150
1254	NFKBiya7	TELKoshin4	0.955643192
446	DPNFang13	KMNAjumbu2	0.955569801
490	ECLAbar8	MCANgun3	0.955328878
911	KFKMashi1	WCANgun1	0.955192152
719	KCSKung3	KMNAjumbu2	0.954879969
310	BNMKung2	KEMBuu1	0.954840059
731	KCSKung3	NFKBiya7	0.954646749
136	AOMNgun2	NFKBiya7	0.954632301
1311	NJSKung4	ZKGKung1	0.954588520
49	ABSMissong1	TNTMunken2	0.954553064
500	ECLAbar8	NFKBiya7	0.954544924
1039	MCANgun3	NJNBiya6	0.954512781
553	ENBBiya1	NVIAjumbu1	0.954420307
1219	NEAMunken1	NVBAbar7	0.954186204
1255	NFKBiya7	TNTMunken2	0.954143467
717	KCSKung3	KHKFang12	0.953622343
636	ICNBiya2	ZKGKung1	0.953583208
303	BNMKung2	ICNBiya2	0.953550240
658	JGYKoshin3	NFKBiya7	0.953462718
881	KEMBuu1	ZKGKung1	0.953417085
1130	NACAbar2	NFKBiya7	0.953321676
1085	MNJBuu4	NFKBiya7	0.953219106
987	KMNAjumbu2	NJSKung4	0.953204849
983	KMNAjumbu2	NFKBiya7	0.953184019
1316	NMAAbar1	NUNMunken4	0.953087369
1257	NFKBiya7	ZKGKung1	0.953017525
1249	NFKBiya7	NNBBuu3	0.952989233
339	BNMKung2	TELKoshin4	0.952951122
295	BKBMashi2	WCANgun1	0.952758291
1307	NJSKung4	NVIAjumbu1	0.952691324
278	BKBMashi2	NEAMunken1	0.952623784
306	BNMKung2	KCSKung3	0.952289869
462	DPNFang13	NJSKung4	0.952271108
593	FBCBiya8	NVIAjumbu1	0.952177656
1030	MCANgun3	NACAbar2	0.952158931
938	KHKFang12	NVIAjumbu1	0.951989480
837	KDVFang1	NJSKung4	0.951453108
1188	NDNMissong5	NEAMunken1	0.951407645
38	ABSMissong1	NJNBiya6	0.951169409
9	ABSMissong1	ECLAbar8	0.951059510
0	ABSMissong1	AGAMissong2	0.950923604
439	DPNFang13	KCYBuu2	0.950906970
590	FBCBiya8	NSFBiya5	0.950857073
438	DPNFang13	KCSKung3	0.950722791
999	KMNAjumbu2	ZKGKung1	0.950647187
95	AGAMissong2	NSFBiya5	0.950527762
914	KHKFang12	KMNAjumbu2	0.950519688
1374	TELKoshin4	ZKGKung1	0.950492990
601	ICNBiya2	KCYBuu2	0.950448457
1242	NFKBiya7	NGTMunken3	0.950416615
141	AOMNgun2	NMAAbar1	0.950315149
458	DPNFang13	NFKBiya7	0.950147803
585	FBCBiya8	NJSKung4	0.950126183
714	KCSKung3	KDVFang1	0.949969521
766	KCYBuu2	NFKBiya7	0.949661898
968	KJSFang2	TELKoshin4	0.949629921
304	BNMKung2	JGYKoshin3	0.949551389
846	KDVFang1	TELKoshin4	0.949501689
319	BNMKung2	MRYKoshin2	0.949417651
743	KCSKung3	NVIAjumbu1	0.949389044
752	KCYBuu2	KHKFang12	0.949291227
674	JGYKoshin3	ZKGKung1	0.949231543
749	KCYBuu2	KDVFang1	0.949222218
50	ABSMissong1	WCANgun1	0.949062890
404	DNMMumfu2	LFNMundabli1	0.949001773
180	APBMumfu1	NCCMumfu4	0.948931155
702	KBMNgun4	NMSMissong4	0.948856046
1365	NVBAbar7	TNTMunken2	0.948573178
591	FBCBiya8	NUNMunken4	0.948456618
959	KJSFang2	NJSKung4	0.948358087
1112	MRYKoshin2	NJSKung4	0.948039087
1225	NEMAjumbu9	NFKBiya7	0.947985266
724	KCSKung3	MRYKoshin2	0.947806166
1290	NJNBiya6	NMSMissong4	0.947799022
286	BKBMashi2	NMNMundabli3	0.947747608
417	DNMMumfu2	NINMundabli4	0.947612239
592	FBCBiya8	NVBAbar7	0.947586411
46	ABSMissong1	NVBAbar7	0.947583178
1217	NEAMunken1	NSFBiya5	0.947351581
1	ABSMissong1	AOMNgun2	0.947316896
578	FBCBiya8	NDNMissong5	0.946755824
730	KCSKung3	NEMAjumbu9	0.946561444
544	ENBBiya1	NJNBiya6	0.946473253
588	FBCBiya8	NMSMissong4	0.946351221
597	FBCBiya8	ZKGKung1	0.946152035
1213	NEAMunken1	NMAAbar1	0.945752421
519	ENBBiya1	JGYKoshin3	0.945405531
1124	MRYKoshin2	ZKGKung1	0.945322731
645	JGYKoshin3	KJSFang2	0.945273289
1303	NJSKung4	NNBBuu3	0.945254184
561	FBCBiya8	KCSKung3	0.945021971
554	ENBBiya1	TELKoshin4	0.944869367
1375	TNTMunken2	WCANgun1	0.944826714
718	KCSKung3	KJSFang2	0.944693266
341	BNMKung2	WCANgun1	0.944399354
865	KEMBuu1	NFKBiya7	0.944019648
926	KHKFang12	NFKBiya7	0.943808158
632	ICNBiya2	NVIAjumbu1	0.943767561
625	ICNBiya2	NMAAbar1	0.943637117
641	JGYKoshin3	KDVFang1	0.943359458
594	FBCBiya8	TELKoshin4	0.943187472
902	KFKMashi1	NMNMundabli3	0.943163087
1108	MRYKoshin2	NFKBiya7	0.943069618
334	BNMKung2	NNBBuu3	0.942802969
525	ENBBiya1	KEMBuu1	0.942624398
1308	NJSKung4	TELKoshin4	0.942244289
580	FBCBiya8	NEMAjumbu9	0.942177885
560	FBCBiya8	KBMNgun4	0.941728306
1229	NEMAjumbu9	NJSKung4	0.941669550
744	KCSKung3	TELKoshin4	0.941591462
559	FBCBiya8	JGYKoshin3	0.941567925
360	CENMundabli2	LFNMundabli1	0.941560139
1250	NFKBiya7	NSFBiya5	0.941417898
901	KFKMashi1	NMAAbar1	0.941133012
40	ABSMissong1	NMAAbar1	0.941013175
1089	MNJBuu4	NJSKung4	0.940859698
