	Doculect1	Doculect2	cosDistance
46	Fang	Mumfu	0.182558146
3	Abar	Fang	0.169449163
38	Buu	Mumfu	0.162614734
45	Fang	Missong	0.150735607
59	Kung	Mumfu	0.150725834
39	Buu	Mundabli	0.143666748
60	Kung	Mundabli	0.142918791
53	Koshin	Mumfu	0.140778868
2	Abar	Buu	0.137201544
49	Fang	Ngun	0.137088403
47	Fang	Mundabli	0.136385217
19	Ajumbu	Mumfu	0.135005077
44	Fang	Mashi	0.128030626
37	Buu	Missong	0.127354055
48	Fang	Munken	0.125420175
20	Ajumbu	Mundabli	0.121402044
41	Buu	Ngun	0.121063831
4	Abar	Koshin	0.116347685
40	Buu	Munken	0.114891550
29	Biya	Mumfu	0.111788195
54	Koshin	Mundabli	0.111477185
0	Abar	Ajumbu	0.105681621
73	Mumfu	Munken	0.103741711
52	Koshin	Missong	0.102810293
30	Biya	Mundabli	0.101817739
68	Missong	Mumfu	0.098837778
57	Kung	Mashi	0.097729251
17	Ajumbu	Mashi	0.097248442
5	Abar	Kung	0.096993253
36	Buu	Mashi	0.096879198
74	Mumfu	Ngun	0.095715230
56	Koshin	Ngun	0.095674209
75	Mundabli	Munken	0.094080028
18	Ajumbu	Missong	0.094024106
69	Missong	Mundabli	0.092904297
76	Mundabli	Ngun	0.090676328
55	Koshin	Munken	0.088668256
8	Abar	Mumfu	0.088418072
9	Abar	Mundabli	0.088350617
58	Kung	Missong	0.087458647
51	Koshin	Mashi	0.085830007
61	Kung	Munken	0.084116710
22	Ajumbu	Ngun	0.082000939
62	Kung	Ngun	0.078610125
67	Mashi	Ngun	0.077348468
24	Biya	Fang	0.075690319
21	Ajumbu	Munken	0.075102133
64	Mashi	Mumfu	0.070024176
66	Mashi	Munken	0.068414499
6	Abar	Mashi	0.068018565
65	Mashi	Mundabli	0.061257313
27	Biya	Mashi	0.057357201
63	Mashi	Missong	0.057144505
23	Biya	Buu	0.055178311
25	Biya	Koshin	0.048236218
43	Fang	Kung	0.046989349
12	Ajumbu	Biya	0.043914291
72	Mumfu	Mundabli	0.039715613
35	Buu	Kung	0.037938310
14	Ajumbu	Fang	0.037258567
1	Abar	Biya	0.035491083
26	Biya	Kung	0.034621718
13	Ajumbu	Buu	0.032331825
50	Koshin	Kung	0.031884252
16	Ajumbu	Kung	0.029374554
33	Buu	Fang	0.028238670
28	Biya	Missong	0.027430740
10	Abar	Munken	0.027324590
31	Biya	Munken	0.025311308
70	Missong	Munken	0.023055876
42	Fang	Koshin	0.023044769
32	Biya	Ngun	0.022080108
34	Buu	Koshin	0.021274194
71	Missong	Ngun	0.015917192
77	Munken	Ngun	0.015838160
11	Abar	Ngun	0.015510409
15	Ajumbu	Koshin	0.015316447
7	Abar	Missong	0.011071964
