Segment	STDev
ə	417
¹	234
ɪ	165
⁵	161
a	160
i	124
k	122
ʊ	118
³	117
n	94
ɛ	90
ŋ	87
ʔ	86
h	76
o	66
f	66
m	62
j	61
⁵¹	57
¹⁵	56
ɲ	56
d	55
s	53
l	51
ts	47
z	45
ʃ	45
g	45
ɔ	45
e	42
ɣ	40
aː	38
w	36
t	35
b	35
u	32
dʒ	32
⁵³	31
ɦ	29
ɥ	29
kp	22
oː	21
ɛː	21
tʃ	20
əː	19
eː	17
ɔː	16
ɒ	16
ⁿb	16
ŋm	15
kʷ	15
gb	15
œ	14
ʒ	14
iː	13
p	12
v	12
ø	12
ʊː	12
ɨ	11
kx	10
ã	9
tʲ	9
ɒː	8
ɪː	8
fʷ	8
uʱ	8
ɑ	8
ũ	7
ⁿd	7
bʷ	7
kʲ	7
gʷ	7
ĩ	7
æ	6
ʃʲ	6
r	5
ɲʲ	5
ʊʱ	5
uː	5
õ	5
¹³	4
ŋʷ	4
fʲ	4
ɘː	4
ɘ	4
ɠ	3
ɛ̃	3
ɲʷ	3
ɪ̃	3
ə̃	3
õː	3
ʊ̃	3
β	3
dʒʷ	3
mʷ	3
ɪ̃ː	2
ɨ̃	2
ɱ	2
ɦː	2
ʃʷ	2
ʉ	2
ɛ̃ː	2
ʒʷ	2
ⁿt	2
tʷ	2
ɔ̃	2
ŋˤ	2
ɑː	2
q	2
œː	2
tsʷ	1
ãː	1
ẽ	1
tʃʷ	1
øː	1
tsː	1
ĩː	1
dʷ	1
tʰ	1
³⁵	1
ʊ̃ː	1
æ̃	1
ɯ	1
vʷ	1
ũː	1
ɑ̃	1
ɨː	1
ⁿbʷ	1
kpʳʷ	1
ə̃ː	1
ɔ̃ː	1
ũʱ	1
ɒ̃	1
ɒ̃ː	1
kʰ	1
βʷ	0
zː	0
ẽː	0
ⁿdʷ	0
⁴⁵	0
uːʱ	0
dzʷ	0
²¹	0
əˠ	0
³¹	0
ʊ̤	0
ʊʱː	0
ʉː	0
ʉʱ	0
æː	0
ɳ	0
sʷ	0
ŋmʷ	0
œ̃	0
ɑ̃ː	0
kpʷ	0
nʷ	0
tˢ	0
