ABSMissong1
Segment	Zscore	Normedcount	SalienceScore
i	4.16	199	827
ɱ	3.72	3	11
ʊ̤	7.21	1	7

AGAMissong2
Segment	Zscore	Normedcount	SalienceScore
ɱ	2.33	2	5

AOMNgun2
Segment	Zscore	Normedcount	SalienceScore
ɨ	3.85	14	54
ɨ̃	6.61	6	40
uːʱ	7.21	1	7

APBMumfu1
Segment	Zscore	Normedcount	SalienceScore
ŋ	2.47	145	358
³	2.05	126	258
j	2.75	85	234
ʔ	2.83	65	184
ɛ	2.08	79	164
ɔː	4.09	21	86
ɠ	7.21	7	50
q	7.21	6	43
³¹	5.05	1	5

BAAMashi4
Segment	Zscore	Normedcount	SalienceScore
³	2.25	132	297
d	3.32	84	279
z	3.69	73	270
ts	3.09	63	195
ʊː	4.54	40	182
u	2.28	50	114
oː	2.45	32	79
uː	4.21	15	63
fʷ	4.15	15	62
iː	2.12	17	36
¹³	3.26	6	20
dzʷ	5.05	2	10
tʃʷ	2.51	2	5

BKBMashi2
Segment	Zscore	Normedcount	SalienceScore
p	2.15	9	19
r	2.75	5	14
ɳ	7.21	1	7
tʰ	4.08	1	4

BNMKung2
Segment	Zscore	Normedcount	SalienceScore
k	2.09	177	370
ʔ	2.42	57	138
n	-2.82	39	-110
⁵³	2.17	40	87
əː	2.45	24	59
tsː	7.21	2	14
zː	7.21	1	7
œː	2.52	2	5
ɨː	2.22	1	2

CENMundabli2
Segment	Zscore	Normedcount	SalienceScore
ɦ	5.29	50	264
ɒ	5.37	33	177
⁵³	2.42	43	104
ʊː	3.32	31	103
ɒː	4.53	20	91
ɦː	7.09	11	78
ʃʲ	2.9	13	38
ɪː	2.24	9	20
sʷ	7.21	2	14
tsʷ	4.75	2	10
œː	2.52	2	5

DNMMumfu2
Segment	Zscore	Normedcount	SalienceScore
j	3.04	90	274
ʔ	3.19	72	230
ɔ	2.59	63	163
g	2.07	40	83
ɛː	2.4	22	53
ŋˤ	7.21	7	50
ɔː	2.89	16	46

DPNFang13
Segment	Zscore	Normedcount	SalienceScore
l	3.13	73	228
əː	2.99	28	84
ⁿb	2.69	20	54
ŋm	3.35	15	50
ɘː	4.29	10	43
ɲʲ	2.92	7	20
kx	2.29	8	18
ⁿt	3.22	5	16
ⁿdʷ	7.21	2	14
ɑː	2.42	2	5

ECLAbar8
Segment	Zscore	Normedcount	SalienceScore
h	2.99	75	225
dʒ	3.3	57	188
bʷ	2.63	14	37

ENBBiya1
Segment	Zscore	Normedcount	SalienceScore
⁵	2.3	410	941
ã	2.63	6	16
ʊ̃ː	4.1	2	8
ʊ̃	2.74	2	5

FBCBiya8
Segment	Zscore	Normedcount	SalienceScore
ɛ̃ː	4.67	3	14
œ̃	7.21	1	7
ẽː	7.21	1	7
æ̃	5.05	1	5
ɨ̃	2.05	2	4
ẽ	2.82	1	3

ICNBiya2
Segment	Zscore	Normedcount	SalienceScore
⁵	2.07	399	827
u	2.11	48	101
kpʷ	7.21	1	7
ʊ̃	2.74	2	5

JGYKoshin3
Segment	Zscore	Normedcount	SalienceScore
ⁿb	4.22	30	126
iː	3.39	23	78
ĩ	6.01	11	66
tʲ	4.02	14	56
ʊː	2.23	23	51
ʒ	2.85	18	51
ũ	4.24	7	30
dʷ	6.44	4	26
ɪ̃ː	5.63	4	23
ʒʷ	5.74	4	23
ã	3.14	7	22
ø	2.25	9	20
ɲʷ	3.98	5	20
ə̃	3.98	4	16
ĩː	7.21	2	14
ʃʷ	3.32	4	13
ũː	4.75	2	10
ãː	4.1	2	8
ɔ̃	3.76	2	8
õː	2.94	2	6
ɛ̃ː	3.02	2	6
ɪ̃	2.28	2	5
ɱ	2.33	2	5
ⁿbʷ	2.46	2	5

KBMNgun4
Segment	Zscore	Normedcount	SalienceScore
b	2.45	118	289
kʷ	4.63	48	222
ⁿt	2.5	4	10

KCSKung3
Segment	Zscore	Normedcount	SalienceScore
ɣ	4.11	60	246
s	2.0	57	114
əː	3.13	29	91
ɛː	2.08	20	42
ɑː	2.42	2	5
kp	-2.11	2	-4

KCYBuu2
Segment	Zscore	Normedcount	SalienceScore
p	2.15	9	19
õː	2.94	2	6
æː	5.05	1	5
ɨː	2.22	1	2

KDCAjumbu10
Segment	Zscore	Normedcount	SalienceScore
⁵¹	2.92	107	313
ɲ	2.97	68	202
dʒʷ	6.98	17	119
m	-2.21	45	-100
gʷ	4.74	20	95
ŋʷ	5.71	13	74
kʲ	3.79	18	68
ⁿd	2.01	12	24
fʲ	2.82	8	23
vʷ	5.21	3	16
ⁿt	3.22	5	16
kpʳʷ	5.05	2	10
nʷ	5.05	2	10
tʃʷ	2.51	2	5

KDVFang1
Segment	Zscore	Normedcount	SalienceScore
l	2.26	61	138
ŋm	2.84	13	37
ɨ	2.88	11	32
kx	2.66	9	24
ɑ	2.76	8	22
ɑ̃ː	7.21	1	7
ɯ	5.05	1	5
ɨː	2.22	1	2

KEMBuu1
Segment	Zscore	Normedcount	SalienceScore
p	2.84	11	31
ɪː	2.24	9	20
õː	4.56	3	14
ə̃ː	5.05	2	10
ɪ̃	2.28	2	5
ɔ̃ː	3.12	1	3

KFKMashi1
Segment	Zscore	Normedcount	SalienceScore
p	2.15	9	19
r	2.75	5	14
βʷ	7.21	1	7

KHKFang12
Segment	Zscore	Normedcount	SalienceScore
l	3.27	75	245
əː	3.8	34	129
ŋm	4.13	18	74
ⁿb	2.99	22	66
ɒː	2.85	13	37
ɘː	3.83	9	34
øː	6.32	4	25
ɘ	2.82	9	25
ɑː	5.23	4	21
ɲʲ	2.92	7	20
tˢ	7.21	2	14
ʉː	7.21	2	14
ⁿt	2.5	4	10
ʉ	3.62	2	7
dʷ	3.12	2	6
tʃʷ	2.51	2	5

KJSFang2
Segment	Zscore	Normedcount	SalienceScore
l	2.69	67	181
a	-2.02	48	-97
ŋm	2.58	12	31
kx	3.03	10	30
¹³	3.26	6	20
ɯ	5.05	1	5

KMNAjumbu2
Segment	Zscore	Normedcount	SalienceScore
f	2.58	96	248
ɲ	2.33	58	135
uʱ	5.71	13	74
v	3.18	11	35
uː	2.15	9	19
vʷ	3.39	2	7

LFNMundabli1
Segment	Zscore	Normedcount	SalienceScore
³	3.23	161	520
⁵	-2.07	194	-402
ŋ	2.36	142	335
ɔ	3.02	69	209
w	2.42	73	176
ts	2.12	49	104
œ	4.3	15	65
œː	5.34	4	21

MCANgun3
Segment	Zscore	Normedcount	SalienceScore
¹	2.11	430	909
b	2.24	114	256
ɛ	2.63	93	245
kʷ	4.08	43	175
ⁿbʷ	3.88	3	12

MEAMumfu3
Segment	Zscore	Normedcount	SalienceScore
ŋ	2.16	137	297
ɥ	3.82	58	222
ɛ	2.28	84	191
g	2.78	48	133
gb	2.05	19	39
ʃʲ	2.9	13	38
tʃʷ	2.51	2	5

MNJBuu4
Segment	Zscore	Normedcount	SalienceScore
eː	5.27	45	237
⁵³	2.42	43	104
oː	2.78	35	97
aː	2.03	45	91
ʃʲ	2.9	13	38
ɪː	2.62	10	26

MRYKoshin2
Segment	Zscore	Normedcount	SalienceScore
ã	4.68	10	47
gb	2.29	20	46
æ	3.56	10	36
ɪ̃	6.1	5	30
ũ	3.6	6	22
õ	3.56	5	18
ɔ̃	5.76	3	17
ɑ	2.35	7	16
ɒ̃	7.21	2	14
ɒ̃ː	7.21	2	14
ĩ	2.59	5	13
ɔ̃ː	6.44	2	13
ʊ̃	4.29	3	13
ẽ	5.87	2	12
ə̃ː	5.05	2	10
ɨː	4.79	2	10
ãː	4.1	2	8
kʰ	7.21	1	7
ũʱ	7.21	1	7
ɑ̃	7.21	1	7
õː	2.94	2	6
ɛ̃ː	3.02	2	6
æ̃	5.05	1	5
tʰ	4.08	1	4

NACAbar2
Segment	Zscore	Normedcount	SalienceScore
ʃ	3.09	51	157
õ	4.34	6	26
³⁵	7.21	1	7
⁴⁵	7.21	1	7
ɨː	2.22	1	2

NCCMumfu4
Segment	Zscore	Normedcount	SalienceScore
ɥ	3.75	57	214
⁵³	3.61	57	206
ʔ	2.11	51	108
g	2.33	43	100
eː	2.55	25	64
kp	2.04	28	57
ɔː	3.13	17	53
ʃʲ	2.37	11	26
fʲ	2.82	8	23
tʃʷ	2.51	2	5

NCMMashi5
Segment	Zscore	Normedcount	SalienceScore
d	3.61	89	322
z	3.91	76	297
ʊ	2.08	131	272
¹⁵	3.0	87	261
ts	3.23	65	210
oː	3.76	44	165
ɘ	4.93	15	74
iː	2.12	17	36
r	3.44	6	21
¹³	3.26	6	20
tʃʷ	2.51	2	5

NDNMissong5
Segment	Zscore	Normedcount	SalienceScore
o	2.27	91	206
dʒ	2.72	50	136
h	2.25	60	135

NEAMunken1
Segment	Zscore	Normedcount	SalienceScore
ʃ	2.26	42	95

NEMAjumbu9
Segment	Zscore	Normedcount	SalienceScore
⁵¹	2.19	93	203
ɲ	2.39	59	141
ⁿd	5.09	27	137
kʲ	4.95	23	114
ʒ	4.19	25	105
m	-2.07	48	-99
gʷ	4.74	20	95
b	-2.07	31	-64
v	4.17	14	58
fʲ	3.25	9	29
ŋʷ	2.92	7	20
ʊʱ	2.84	5	14
ɲʷ	3.11	4	12
kpʳʷ	5.05	2	10
ⁿt	2.5	4	10
vʷ	3.39	2	7

NFKBiya7
Segment	Zscore	Normedcount	SalienceScore
fʷ	2.26	9	20
əˠ	7.21	1	7
ɛ̃ː	3.02	2	6
æː	5.05	1	5
ẽ	2.82	1	3
ũː	2.26	1	2

NGTMunken3
Segment	Zscore	Normedcount	SalienceScore
b	2.3	115	264
mʷ	2.72	7	19

NINMundabli4
Segment	Zscore	Normedcount	SalienceScore
³	2.69	145	390
ɔ	2.73	65	178
ɦ	4.18	40	167
œ	4.61	16	74
tʃ	2.3	28	64
ɑ	3.97	11	44
ʉ	5.57	3	17
ʉʱ	7.21	1	7

NJNBiya6
Segment	Zscore	Normedcount	SalienceScore
æ	5.85	16	94
ɛ̃	5.28	9	47
ŋmʷ	7.21	1	7

NJSKung4
Segment	Zscore	Normedcount	SalienceScore
ɣ	4.95	71	351
s	2.41	63	152
ɘ	3.52	11	39
ɘː	3.83	9	34
tʲ	2.46	9	22
kp	-2.43	0	0

NMAAbar1
Segment	Zscore	Normedcount	SalienceScore
e	3.72	73	272
õ	3.56	5	18
ʊʱː	7.21	1	7

NMNMundabli3
Segment	Zscore	Normedcount	SalienceScore
ɒ	4.16	26	108
ɒː	4.53	20	91
k	-2.2	32	-70
kp	2.04	28	57
ɦ	2.19	22	48
ʃʲ	2.9	13	38
tʷ	5.46	6	33
ɑ	3.16	9	28
œ	2.44	9	22
mʷ	2.72	7	19
ɲʷ	3.11	4	12
dzʷ	5.05	2	10
nʷ	5.05	2	10
tsʷ	4.75	2	10
tʃʷ	2.51	2	5
œː	2.52	2	5

NMSMissong4
Segment	Zscore	Normedcount	SalienceScore
o	2.62	99	259
dʒ	2.64	49	129
h	2.15	58	124
ɛː	2.88	25	72

NNBBuu3
Segment	Zscore	Normedcount	SalienceScore
t	2.19	68	149
oː	2.67	34	91
ɪː	2.62	10	26
ʃʷ	4.26	5	21

NSFBiya5
Segment	Zscore	Normedcount	SalienceScore
