Abar
Segment	Zscore	Normedcount	SalienceScore
o	2.41	300	724
e	2.12	164	348
õ	2.58	15	39
³⁵	3.46	2	7
ʊʱː	3.46	1	3
⁴⁵	3.46	1	3

Ajumbu
Segment	Zscore	Normedcount	SalienceScore
ɲ	2.71	231	626
v	3.07	42	129
uʱ	3.42	32	109
gʷ	3.2	26	83
kʲ	2.82	25	71
ʊʱ	3.22	20	64
ⁿd	2.48	23	57
ŋʷ	3.29	13	43
dʒʷ	3.32	12	40
vʷ	3.46	5	17
kpʳʷ	3.46	2	7
nʷ	2.35	1	2

Biya
Segment	Zscore	Normedcount	SalienceScore
bʷ	2.58	27	70
fʷ	2.53	24	61
ɛ̃	2.97	10	30
fʲ	2.12	13	28
ɛ̃ː	2.35	5	12
ʊ̃ː	2.35	3	7
kpʷ	3.46	1	3
ŋmʷ	3.46	1	3
œ̃	3.46	1	3
əˠ	3.46	1	3
ẽː	3.46	1	3
æː	2.35	1	2

Buu
Segment	Zscore	Normedcount	SalienceScore
oː	2.78	89	247
eː	2.79	68	190
ɪː	2.98	35	104
p	2.43	39	95
õː	2.33	7	16
æː	2.35	1	2

Fang
Segment	Zscore	Normedcount	SalienceScore
l	3.04	275	836
u	2.24	163	365
ŋm	3.33	57	190
kx	2.8	36	101
ɨ	2.13	32	68
ɘː	2.97	14	42
¹³	2.04	12	25
ɑː	3.01	6	18
ⁿt	2.21	6	13
ɯ	3.46	3	10
ʉ	2.02	4	8
tˢ	3.46	1	3
ɑ̃ː	3.46	1	3
ʉː	3.46	1	3
ⁿdʷ	3.46	1	3

Koshin
Segment	Zscore	Normedcount	SalienceScore
⁵¹	2.08	319	663
ⁿb	2.98	55	164
ã	3.38	33	112
tʲ	3.29	31	102
ĩ	3.45	26	90
ũ	3.45	26	90
æ	2.97	21	62
ɪ̃	3.27	12	39
ɲʷ	3.15	10	32
ɔ̃	3.44	9	31
ɪ̃ː	3.46	9	31
ʊ̃	3.25	9	29
ɲʲ	2.01	14	28
β	3.13	9	28
ə̃	2.86	9	26
ʒʷ	3.46	7	24
ʃʷ	2.68	7	19
õː	2.33	7	16
ɨː	3.23	5	16
ẽ	3.2	5	16
ãː	2.97	5	15
ɛ̃ː	2.35	5	12
dʷ	3.28	3	10
ũː	3.28	3	10
ɒ̃	3.46	3	10
ɒ̃ː	3.46	3	10
ɔ̃ː	3.28	3	10
ə̃ː	2.83	3	9
kʰ	3.46	2	7
ĩː	3.46	2	7
ũʱ	3.46	2	7
ɑ̃	3.46	2	7
ʊ̃ː	2.35	3	7
tʰ	2.79	2	6
æ̃	3.07	2	6

Kung
Segment	Zscore	Normedcount	SalienceScore
ʔ	2.16	222	479
ɣ	3.05	138	421
⁵³	2.13	120	256
əː	2.6	71	185
ɘ	2.11	10	21
tsː	3.46	2	7
zː	3.46	1	3

Mashi
Segment	Zscore	Normedcount	SalienceScore
d	2.83	265	751
z	2.6	201	522
r	3.06	19	58
ɳ	3.46	1	3
βʷ	3.46	1	3
dzʷ	2.35	1	2

Missong
Segment	Zscore	Normedcount	SalienceScore
i	2.36	501	1181
ɱ	3.1	8	25
ʊ̤	3.46	1	3

Mumfu
Segment	Zscore	Normedcount	SalienceScore
ŋ	2.34	547	1277
j	2.55	312	796
ɛ	2.45	312	763
ʔ	2.4	242	581
g	2.12	164	348
ɥ	2.54	95	241
ɔː	3.17	67	213
ɠ	3.46	10	35
q	3.46	9	31
ŋˤ	3.46	9	31
tʃʷ	2.54	3	8
³¹	2.35	1	2

Mundabli
Segment	Zscore	Normedcount	SalienceScore
³	2.34	542	1266
ɔ	2.01	211	425
ts	2.12	174	369
ɦ	3.46	103	357
ɒ	3.43	58	199
œ	3.4	52	177
ɒː	3.06	27	83
ɑ	2.68	27	72
ɦː	3.46	8	28
œː	3.23	8	26
ʉ	2.63	5	13
tsʷ	3.07	2	6
sʷ	3.46	1	3
ʉʱ	3.46	1	3
dzʷ	2.35	1	2
nʷ	2.35	1	2

Munken
Segment	Zscore	Normedcount	SalienceScore
mʷ	2.5	10	25

Ngun
Segment	Zscore	Normedcount	SalienceScore
kʷ	2.75	57	156
ø	2.49	37	92
ɨ̃	3.3	9	30
uːʱ	3.46	1	3
²¹	3.46	1	3
³¹	2.35	1	2


