ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
NVBAbar7-277_child-1,,NVBAbar7,277_child,wân / átɛ̂ŋmbɪ̂,wân,w a.⁵¹/a n,,,,,^ w â n $,default
ECLAbar8-277_child-1,,ECLAbar8,277_child,wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́,wân,w a.⁵¹/a n,,,,,^ w â n $,default
NMAAbar1-277_child-1,,NMAAbar1,277_child,wân / bwɪ́tə᷇ːŋ ~ ʃǐːtə᷇ŋ,wân,w a.⁵¹/a n,,,,,^ w â n $,default
NACAbar2-277_child-1,,NACAbar2,277_child,wân / bə̀tə᷇ːŋ,wân,w a.⁵¹/a n,,,,,^ w â n $,default
NEMAjumbu9-277_child-1,,NEMAjumbu9,277_child,wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ,wàŋ,w a.¹/a ŋ,,,,,^ w à ŋ $,default
NVIAjumbu1-277_child-1,,NVIAjumbu1,277_child,wâŋ / àtɔ᷇ːŋ,wâŋ,w a.⁵¹/a ŋ,,,,,^ w â ŋ $,default
KMNAjumbu2-277_child-1,,KMNAjumbu2,277_child,wàŋ / àtɔ᷇ːŋ,wàŋ,w a.¹/a ŋ,,,,,^ w à ŋ $,default
KDCAjumbu10-277_child-1,,KDCAjumbu10,277_child,wáːnə̂ / átɔ́ŋ,wáːnə̂,w aː.⁵/aː n ə.⁵¹/ə,,,,,^ w áː n ə̂ $,default
ENBBiya1-277_child-1,,ENBBiya1,277_child,wán / bə̀tə̂ŋ,wán,w a.⁵/a n,,,,,^ w á n $,default
ICNBiya2-277_child-1,,ICNBiya2,277_child,wán / bə̀tə᷇ːŋ,wán,w a.⁵/a n,,,,,^ w á n $,default
NNBBuu3-277_child-1,,NNBBuu3,277_child,wán / ɲʲòmnə́,wán,w a.⁵/a n,,,,,^ w á n $,default
MNJBuu4-277_child-1,,MNJBuu4,277_child,wán / nwòmnə́~ɲʷòmnə́,wán,w a.⁵/a n,,,,,^ w á n $,default
KEMBuu1-277_child-1,,KEMBuu1,277_child,wán ~ kúóə̀ / ɲyòmnə́,wán,w a.⁵/a n,,,,,^ w á n $,default
KCYBuu2-277_child-1,,KCYBuu2,277_child,wán / ɲyòmnə́,wán,w a.⁵/a n,,,,,^ w á n $,default
KHKFang12-277_child-1,,KHKFang12,277_child,wán / ŋmɛ́m,wán,w a.⁵/a n,,,,,^ w á n $,default
DPNFang13-277_child-1,,DPNFang13,277_child,wán / ŋmɛ́m,wán,w a.⁵/a n,,,,,^ w á n $,default
KDVFang1-277_child-1,,KDVFang1,277_child,wán ~ wāɲ / ŋmɛ́n ~ ŋmɛ́m,wán,w a.⁵/a n,,,,,^ w á n $,default
KJSFang2-277_child-1,,KJSFang2,277_child,wen/bum this,wen,w e.³/e n,,,,,^ w e n $,default
JGYKoshin3-277_child-1,,JGYKoshin3,277_child,wāɲ / bāɲ,wāɲ,w a.³/a ɲ,,,,,^ w ā ɲ $,default
TELKoshin4-277_child-1,,TELKoshin4,277_child,wáɲ / ba᷇ːɲ,wáɲ,w a.⁵/a ɲ,,,,,^ w á ɲ $,default
KCSKung3-277_child-1,,KCSKung3,277_child,wāɲ / m̀nɛ᷇ː,wāɲ,w a.³/a ɲ,,,,,^ w ā ɲ $,default
