ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Variety
ABSMissong1,ABS-Missong-1,miss1255,Missong,,Africa,6.5975,10.2471,Atlantic-Congo,Missong
AGAMissong2,AGA-Missong-2,miss1255,Missong,,Africa,6.5975,10.2471,Atlantic-Congo,Missong
AOMNgun2,AOM-Ngun-2,ngun1279,Ngun,,Africa,6.5814,10.2126,Atlantic-Congo,Ngun
APBMumfu1,APB-Mumfu-1,mufu1234,Mufu,,Africa,6.6124,10.2572,Atlantic-Congo,Mufu
BAAMashi4,BAA-Mashi-4,naki1238,Naki,mff,Africa,6.6008,10.2657,Atlantic-Congo,Mashi
BKBMashi2,BKB-Mashi-2,naki1238,Naki,mff,Africa,6.6008,10.2657,Atlantic-Congo,Mashi
BNMKung2,BNM-Kung-2,kung1260,Kung,kfl,Africa,6.561,10.2204,Atlantic-Congo,Kung
CENMundabli2,CEN-Mundabli-2,mund1340,Mundabli,,Africa,6.6069,10.2733,Atlantic-Congo,Mundabli
DNMMumfu2,DNM-Mumfu-2,mufu1234,Mufu,,Africa,6.6124,10.2572,Atlantic-Congo,Mufu
DPNFang13,DPN-Fang-13,fang1248,Fang (Cameroon),fak,Africa,6.5497,10.279,Atlantic-Congo,Fang
ECLAbar8,ECL-Abar-8,abar1239,Abar,,Africa,6.5776,10.2375,Atlantic-Congo,Abar
ENBBiya1,ENB-Biya-1,biya1235,Biya,,Africa,6.5922,10.2055,Atlantic-Congo,Biya
FBCBiya8,FBC-Biya-8,biya1235,Biya,,Africa,6.5922,10.2055,Atlantic-Congo,Biya
ICNBiya2,ICN-Biya-2,biya1235,Biya,,Africa,6.5922,10.2055,Atlantic-Congo,Biya
JGYKoshin3,JGY-Koshin-3,kosh1246,Koshin,kid,Africa,6.5881,10.2813,Atlantic-Congo,Koshin
KBMNgun4,KBM-Ngun-4,ngun1279,Ngun,,Africa,6.5814,10.2126,Atlantic-Congo,Ngun
KCSKung3,KCS-Kung-3,kung1260,Kung,kfl,Africa,6.561,10.2204,Atlantic-Congo,Kung
KCYBuu2,KCY-Buu-2,buuu1246,Buu,,Africa,6.5647,10.2552,Atlantic-Congo,Buu
KDCAjumbu10,KDC-Ajumbu-10,mbuu1238,Ajumbu,muc,Africa,6.5391,10.2386,Atlantic-Congo,Ajumbu
KDVFang1,KDV-Fang-1,fang1248,Fang (Cameroon),fak,Africa,6.5497,10.279,Atlantic-Congo,Fang
KEMBuu1,KEM-Buu-1,buuu1246,Buu,,Africa,6.5647,10.2552,Atlantic-Congo,Buu
KFKMashi1,KFK-Mashi-1,naki1238,Naki,mff,Africa,6.6008,10.2657,Atlantic-Congo,Mashi
KHKFang12,KHK-Fang-12,fang1248,Fang (Cameroon),fak,Africa,6.5497,10.279,Atlantic-Congo,Fang
KJSFang2,KJS-Fang-2,fang1248,Fang (Cameroon),fak,Africa,6.5497,10.279,Atlantic-Congo,Fang
KMNAjumbu2,KMN-Ajumbu-2,mbuu1238,Ajumbu,muc,Africa,6.5391,10.2386,Atlantic-Congo,Ajumbu
LFNMundabli1,LFN-Mundabli-1,mund1340,Mundabli,,Africa,6.6069,10.2733,Atlantic-Congo,Mundabli
MCANgun3,MCA-Ngun-3,ngun1279,Ngun,,Africa,6.5814,10.2126,Atlantic-Congo,Ngun
MEAMumfu3,MEA-Mumfu-3,mufu1234,Mufu,,Africa,6.6124,10.2572,Atlantic-Congo,Mufu
MNJBuu4,MNJ-Buu-4,buuu1246,Buu,,Africa,6.5647,10.2552,Atlantic-Congo,Buu
MRYKoshin2,MRY-Koshin-2,kosh1246,Koshin,kid,Africa,6.5881,10.2813,Atlantic-Congo,Koshin
NACAbar2,NAC-Abar-2,abar1239,Abar,,Africa,6.5776,10.2375,Atlantic-Congo,Abar
NCCMumfu4,NCC-Mumfu-4,mufu1234,Mufu,,Africa,6.6124,10.2572,Atlantic-Congo,Mufu
NCMMashi5,NCM-Mashi-5,naki1238,Naki,mff,Africa,6.6008,10.2657,Atlantic-Congo,Mashi
NDNMissong5,NDN-Missong-5,miss1255,Missong,,Africa,6.5975,10.2471,Atlantic-Congo,Missong
NEAMunken1,NEA-Munken-1,munk1244,Munken,,Africa,6.5953,10.2235,Atlantic-Congo,Munken
NEMAjumbu9,NEM-Ajumbu-9,mbuu1238,Ajumbu,muc,Africa,6.5391,10.2386,Atlantic-Congo,Ajumbu
NFKBiya7,NFK-Biya-7,biya1235,Biya,,Africa,6.5922,10.2055,Atlantic-Congo,Biya
NGTMunken3,NGT-Munken-3,munk1244,Munken,,Africa,6.5953,10.2235,Atlantic-Congo,Munken
NINMundabli4,NIN-Mundabli-4,mund1340,Mundabli,,Africa,6.6069,10.2733,Atlantic-Congo,Mundabli
NJNBiya6,NJN-Biya-6,biya1235,Biya,,Africa,6.5922,10.2055,Atlantic-Congo,Biya
NJSKung4,NJS-Kung-4,kung1260,Kung,kfl,Africa,6.561,10.2204,Atlantic-Congo,Kung
NMAAbar1,NMA-Abar-1,abar1239,Abar,,Africa,6.5776,10.2375,Atlantic-Congo,Abar
NMNMundabli3,NMN-Mundabli-3,mund1340,Mundabli,,Africa,6.6069,10.2733,Atlantic-Congo,Mundabli
NMSMissong4,NMS-Missong-4,miss1255,Missong,,Africa,6.5975,10.2471,Atlantic-Congo,Missong
NNBBuu3,NNB-Buu-3,buuu1246,Buu,,Africa,6.5647,10.2552,Atlantic-Congo,Buu
NSFBiya5,NSF-Biya-5,biya1235,Biya,,Africa,6.5922,10.2055,Atlantic-Congo,Biya
NUNMunken4,NUN-Munken-4,munk1244,Munken,,Africa,6.5953,10.2235,Atlantic-Congo,Munken
NVBAbar7,NVB-Abar-7,abar1239,Abar,,Africa,6.5776,10.2375,Atlantic-Congo,Abar
NVIAjumbu1,NVI-Ajumbu-1,mbuu1238,Ajumbu,muc,Africa,6.5391,10.2386,Atlantic-Congo,Ajumbu
TELKoshin4,TEL-Koshin-4,kosh1246,Koshin,kid,Africa,6.5881,10.2813,Atlantic-Congo,Koshin
TNTMunken2,TNT-Munken-2,munk1244,Munken,,Africa,6.5953,10.2235,Atlantic-Congo,Munken
WCANgun1,WCA-Ngun-1,ngun1279,Ngun,,Africa,6.5814,10.2126,Atlantic-Congo,Ngun
ZKGKung1,ZKG-Kung-1,kung1260,Kung,kfl,Africa,6.561,10.2204,Atlantic-Congo,Kung
