ID,Name,Concepticon_ID,Concepticon_Gloss
2_adamsapple,Adam's apple,,
3_basketmale,Basket (male),,
4_basketsmall,Basket (small),,
5_beansfromkom,Beans (from Kom),,
6_calabashrattle,Calabash-rattle,,
7_canoetrough,"Canoe, trough",,
8_capnativeblack,Cap (native black),,
9_claypotfathersoup,Clay pot (father soup),,
10_claypotpalacewine,Clay pot (palace-wine),,
12_claypotsoupamulet,"Clay pot (soup, amulet)",,
13_cocoyamigbo,Cocoyam (igbo),,
14_conenutsremoved,Cone (nuts removed),,
15_conepalmnut,Cone (palmnut),,
17_fangannualdance,Fang annual dance,,
18_flatswellingfilaria,Flat swelling (filaria),,
19_furrowbetweenridges,Furrow (between ridges),,
20_i,I,,
21_lizardsmallest,Lizard (smallest),,
22_palmfrondrope,Palm frond rope,,
23_palmnutripeuncracked,"Palmnut (ripe, uncracked)",,
24_pipewinetapping,Pipe (wine tapping),,
25_senegalesekucaltimebird,Senegalese kucal (time bird),,
26_souppestlevegetable,Soup pestle(vegetable),,
27_woodendishleglid,Wooden-dish (leg+lid),,
28_woodendishyellowsoupfeast,"Wooden-dish (yellow soup, feast)",,
30_abstinence,abstinence,,
38_aerialyam,aerial yam,,
39_agedperson,aged person,,
40_air,air,,
44_amaranthusgreen,amaranthus (green),,
45_amuletsforcompound,amulets (for compound),,
49_amuletsinclinedroof,amulets (inclined roof),,
50_animal,animal,,
51_ankle,ankle,,
52_anklerattlemen,ankle rattle (men),,
53_anklerattlewomen,ankle rattle (women),,
55_ant,ant,,
56_antblackbuildsamountonatree,"ant (black, builds a mount on a tree)",,
57_antsblackopenthongs,"ants (black, open thongs)",,
58_anus,anus,,
62_arm,arm,,
63_armpit,armpit,,
67_ascarisstomachworm,ascaris (stomach worm),,
69_ashwood,ash (wood),,
70_ask,ask,,
71_attachedhouse3walls,attached-house (3 walls),,
72_axe,axe,,
73_baboon,baboon,,
74_baby,baby,,
75_backhumanbody,back (human body),,
76_bag,bag,,
78_bamboorattle,bamboo rattle,,
79_bamboopiano,bamboo-piano,,
81_banana,banana,,
82_banananative,banana (native),,
83_bangle,bangle,,
86_barkoftree,bark (of tree),,
88_barrenpalmcone,barren palm cone,,
90_basket,basket,,
92_basketverybigfeast,"basket (very big, feast)",,
93_basketvisit,basket (visit),,
94_basketvisitfeast,"basket (visit, feast)",,
