ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
12197	NVBAbar7	air	ʊ́gbáhá / ɪ̀gbáhákî	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	44	44.Y.V 44.K.C 44.A.V 44.H.C 44.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
12198	ECLAbar8	air	ʊ̀gbáhá / kɪ̀gbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	11	11.Y.V 11.K.C 11.A.V 11.H.C 11.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
12199	NMAAbar1	air	ʊ́gbáhá / kígbáhá	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	39	39.Y.V 39.K.C 39.A.V 39.H.C 39.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
12200	NACAbar2	air	ʊ́gbáhá~ʊ́báhá/ kígbáhá	ʊ́gbáhá	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	30	30.Y.V 30.K.C 30.A.V 30.H.C 30.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.⁵/ʊgba.⁵/aha.⁵/a	0	1	ʊ.⁵/ʊ gb a.⁵/a h a.⁵/a
12201	NEMAjumbu9	air	ŋ̩̀vùlə́ / àŋ̩̀vùlə́	ŋ̩̀vùlə́	ŋ.¹/ŋ v u.¹/u l ə.⁵/ə		4 3 7 5 7	ACYBZ	NBYLE	35	35.N.C 35.B.C 35.Y.V 35.L.C 35.E.V	2.0 1.5 1.3 1.75 0.8	ŋ.¹/ŋvu.¹/ulə.⁵/ə	0	18	ŋ.¹/ŋ v u.¹/u l ə.⁵/ə
12202	NVIAjumbu1	air	m̀vùlə́ / bə̀mvʊ̀lə́~bə̀àmvùlə́~àmvùlə́	m̀vùlə́	m.¹/m v u.¹/u l ə.⁵/ə		4 3 7 5 7	ACYBZ	MBYLE	45	45.M.C 45.B.C 45.Y.V 45.L.C 45.E.V	2.0 1.5 1.3 1.75 0.8	m.¹/mvu.¹/ulə.⁵/ə	0	18	m.¹/m v u.¹/u l ə.⁵/ə
12203	KMNAjumbu2	air	m̀vùːlə́ / àmvúːlə́	m̀vùːlə́	m.¹/m v uː.¹/uː l ə.⁵/ə		4 3 7 5 7	ACYBZ	MBYLE	24	24.M.C 24.B.C 24.Y.V 24.L.C 24.E.V	2.0 1.5 1.3 1.75 0.8	m.¹/mvuː.¹/uːlə.⁵/ə	0	18	m.¹/m v uː.¹/uː l ə.⁵/ə
12204	KDCAjumbu10	air	ⁿvùlə́ / àⁿvùlə́	ⁿvùlə́	n v u.¹/u l ə.⁵/ə		4 3 7 5 7	ACYBZ	NBYLE	18	18.N.C 18.B.C 18.Y.V 18.L.C 18.E.V	2.0 1.5 1.3 1.75 0.8	nvu.¹/ulə.⁵/ə	0	18	n v u.¹/u l ə.⁵/ə
12205	ENBBiya1	air	ʊ̀gbáhá / ʊ̀gbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	12	12.Y.V 12.K.C 12.A.V 12.H.C 12.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
12206	ICNBiya2	air	ʊ̀gbáhá / ʊ̀gbáhá	ʊ̀gbáhá	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a		7 1 7 3 7	XBYBZ	YKAHA	13	13.Y.V 13.K.C 13.A.V 13.H.C 13.A.V	1.5 1.75 1.3 1.75 0.8	ʊ.¹/ʊgba.⁵/aha.⁵/a	0	1	ʊ.¹/ʊ gb a.⁵/a h a.⁵/a
