Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
́	NULL			
̀	NULL			
͏	NULL			Weird joiner character
_	NULL	16	U+005f	
-	NULL	3	U+002d	
’	NULL			
`	NULL			
0	NULL			
1	NULL			
ã̀	ã.¹			
à	a.¹	179	U+00e0	
ã̌	ã.¹⁵			
ǎ	a.¹⁵	7	U+01ce	
a	a.³			
ã̄	ã.³			
ā	a.³	12	U+0101	
ã́	ã.⁵			
á	a.⁵	134	U+00e1	
ã̂	ã.⁵¹			
â	a.⁵¹	4	U+00e2	
a᷇	a.⁵³			
a:	aː.³			
á:	aː.⁵			
ã̀ː	ã.¹			
ã̌ː	ã.¹⁵			
àː	aː.¹	18	U+00e0 U+02d0	
ǎː	aː.¹⁵	6	U+01ce U+02d0	
aː	aː.³			
ã̄ː	ãː.³			
āː	aː.³			
ã́ː	ãː.⁵			
áː	aː.⁵	11	U+00e1 U+02d0	
ã̂ː	ãː.⁵¹			
âː	aː.⁵¹	6	U+00e2 U+02d0	
ã᷇ː	ãː.⁵³			
a᷇ː	aː.⁵³	11	U+0061 U+1dc7 U+02d0	
a21ː	aː.²¹			
æ̀	æ.¹			
æ̃̀	æ̃.¹			
æ̌	æ.¹⁵			
æ̃̌	æ̃.¹⁵			
æ̃̄	æ̃.³			
ǣ	æ.³			
æ	æ.³		Making all untoned vowels mid by default or alignment doesn't work well	
ǽ	æ.⁵			
æ̃́	æ.⁵			
æ̂	æ.⁵¹			
æ᷇	æ.⁵³			
ǽː	æː.⁵			
æ᷇ː	æː.⁵³			
àʲ	a.¹	4	U+00e0 U+02b2	
àⁿ	a n.¹	12	U+00e0 U+207f	
ᴂ̀	æ.¹			
ᴂ̌	æ.¹⁵			
ᴂ̄	æ.³			
ᴂ́	æ.⁵			
ᴂ̂	æ.⁵¹			
ɑ̀	ɑ.¹			
ɑ̃̀	ɑ̃.¹			
ɑ	ɑ.³			
ɑ̄	ɑ.³			
ɑ́	ɑ.⁵			
ɑ̂	ɑ.⁵¹			
ɑ̌	ɑ.⁵¹			
ɑ᷇	ɑ.⁵³			
ɑ̌ː	aː.¹⁵			
ɑ̂ː	aː.⁵¹	5	U+0251 U+0302 U+02d0	
ɑ̀ː	ɑː.¹			
ɑ̃̀ː	ɑ̃ː.¹			
ɑː	ɑː.³			
ɑ̄ː	ɑː.³			
ɑ́ː	ɑː.⁵			
ɑ᷇ː	ɑː.⁵³			
ɒ̀	ɒ.¹			
ɒ̃̀	ɒ̃.¹			
ɒ̃̌	ɒ̃.¹⁵			
ɒ̌	ɒ.¹⁵	3	U+0252 U+030c	
ɒ	ɒ.³			
ɒ̄	ɒ.³			
ɒ́	ɒ.⁵	4	U+0252 U+0301	
ɒ̂	ɒ.⁵¹			
ɒ᷇	ɒ.⁵³	4	U+0252 U+1dc7	
ɒ̃̂ː	ɒ̃.⁵¹			
ɒ́ː	ɒː.¹			
ɒ̀ː	ɒː.¹			
ɒ̌ː	ɒː.¹⁵	11	U+0252 U+030c U+02d0	
ɒ̄ː	ɒː.³			
ɒ̃́ː	ɒ̃ː.⁵			
ɒ̂ː	ɒː.⁵¹			
ɒ᷇ː	ɒː.⁵³	15	U+0252 U+1dc7 U+02d0	
b	b	541	U+0062	
bᵇ	b			
bʷ	bʷ			
d	d	60	U+0064	
dʷ	dʷ			
dzʷ	dzʷ			
dʒ	dʒ	125	U+0064U+0292	125
