Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
́	NULL
̀	NULL
͏	NULL			Weird joiner character
_	NULL	16	U+005f
-	NULL	3	U+002d
’	NULL
`	NULL
0	NULL
1	NULL
ã̀	ã.¹/ã
à	a.¹/a	179	U+00e0
ã̌	ã.¹⁵/ã
ǎ	a.¹⁵/a	7	U+01ce
a	a.³/a
ã̄	ã.³/ã
ā	a.³/a	12	U+0101
ã́	ã.⁵/ã
á	a.⁵/a	134	U+00e1
ã̂	ã.⁵¹/ã
â	a.⁵¹/a	4	U+00e2
a᷇	a.⁵³/a
a:	aː.³/aː
á:	aː.⁵/aː
ã̀ː	ã.¹/ã
ã̌ː	ã.¹⁵/ã
àː	aː.¹/aː	18	U+00e0 U+02d0
ǎː	aː.¹⁵/aː	6	U+01ce U+02d0
aː	aː.³/aː
ã̄ː	ãː.³/ãː
āː	aː.³/aː
ã́ː	ãː.⁵/ãː
áː	aː.⁵/aː	11	U+00e1 U+02d0
ã̂ː	ãː.⁵¹/ãː
âː	aː.⁵¹/aː	6	U+00e2 U+02d0
ã᷇ː	ãː.⁵³/ãː
a᷇ː	aː.⁵³/aː	11	U+0061 U+1dc7 U+02d0
a21ː	aː.²¹/aː
æ̀	æ.¹/æ
æ̃̀	æ̃.¹/æ̃
æ̌	æ.¹⁵/æ
æ̃̌	æ̃.¹⁵/æ̃
æ̃̄	æ̃.³/æ
ǣ	æ.³/æ
æ	æ.³/æ		Making all untoned vowels mid by default or alignment doesn't work well
ǽ	æ.⁵/æ
æ̃́	æ.⁵/æ̃
æ̂	æ.⁵¹/æ
æ᷇	æ.⁵³/æ
ǽː	æː.⁵/æ
æ᷇ː	æː.⁵³/æː
àʲ	a.¹/a j	4	U+00e0 U+02b2
àⁿ	a n.¹/a n	12	U+00e0 U+207f
ᴂ̀	æ.¹/æ
ᴂ̌	æ.¹⁵/æ
ᴂ̄	æ.³/æ
ᴂ́	æ.⁵/æ
ᴂ̂	æ.⁵¹/æ
ɑ̀	ɑ.¹/ɑ
ɑ̃̀	ɑ̃.¹/ɑ̃
ɑ	ɑ.³/ɑ
ɑ̄	ɑ.³/ɑ
ɑ́	ɑ.⁵/ɑ	
ɑ̂	ɑ.⁵¹/ɑ
ɑ̌	ɑ.⁵¹/ɑ
ɑ᷇	ɑ.⁵³/ɑ
ɑ̌ː	aː.¹⁵/aː
ɑ̂ː	aː.⁵¹/aː	5	U+0251 U+0302 U+02d0
ɑ̀ː	ɑː.¹/ɑː
ɑ̃̀ː	ɑ̃ː.¹/ɑ̃ː
ɑː	ɑː.³/ɑː
ɑ̄ː	ɑː.³/ɑː
ɑ́ː	ɑː.⁵/ɑː
ɑ᷇ː	ɑː.⁵³/ɑː
ɒ̀	ɒ.¹/ɒ
ɒ̃̀	ɒ̃.¹/ɒ̃
ɒ̃̌	ɒ̃.¹⁵/ɒ̃
ɒ̌	ɒ.¹⁵/ɒ	3	U+0252 U+030c
ɒ	ɒ.³/ɒ
ɒ̄	ɒ.³/ɒ
ɒ́	ɒ.⁵/ɒ	4	U+0252 U+0301
ɒ̂	ɒ.⁵¹/ɒ
ɒ᷇	ɒ.⁵³/ɒ	4	U+0252 U+1dc7
ɒ̃̂ː	ɒ̃.⁵¹/ɒ̃
ɒ́ː	ɒː.¹/ɒː
ɒ̀ː	ɒː.¹/ɒː
ɒ̌ː	ɒː.¹⁵/ɒː	11	U+0252 U+030c U+02d0
